address,Allocation %,Type,Sum
0x91d4d0e05deda018a015e779b41458ee7518cbb6,10.000000000000%,Developer,100.00%
0x99999a0b66af30f6fef832938a5038644a72180a,0.002521432173%,Bridge-user,
0x2f1566ee652fed136a5ef7038e8ee08b3ccc631f,0.002521432173%,Bridge-user,
0x174f0770354d38e3846aadee61b3d39f2a799b44,0.002521432173%,Bridge-user,
0xd2820243e62a95d7b674a552d94dbd35db3036bb,0.002521432173%,Bridge-user,
0x55aee557fb8a7c265deae02760b7e955f3181137,0.002521432173%,Bridge-user,
0x4d915a2f0a2c94b159b69d36bc26338e0ef8e3f6,0.002521432173%,Bridge-user,
0x8a3f60ebd4e4e40f89dca40c055162c77c5699a4,0.002521432173%,Bridge-user,
0xadfe250dd4ebeb61f16c18287e7fe2227eed9422,0.002521432173%,Bridge-user,
0x3803431f81fde7239c6947b09bdc02a8beac6ebc,0.002521432173%,Bridge-user,
0xbb50690db3897ca5b1f63cff6e0c061b93f9bfbd,0.002521432173%,Bridge-user,
0x08fc9477fe3819126b941ca3fdf9fccf6c801f66,0.002521432173%,Bridge-user,
0x1725c90c3574dcbbc9e334b9bab71eef5985f995,0.002521432173%,Bridge-user,
0x74aadae2c7aa9321314a0a6f53a70eda5ebe103a,0.002521432173%,Bridge-user,
0x1487d02ff09b9ff91ad5541cea3feacf891f15c6,0.002521432173%,Bridge-user,
0x466064ab0366a325d34926321958c7068708a1ae,0.002521432173%,Bridge-user,
0x9d93f0c816b40fc3989e0f09a1f95e7f2570d43d,0.002521432173%,Bridge-user,
0x456b24e65f82f4afaa01bfab9299f44fdd72b8fd,0.002521432173%,Bridge-user,
0x49140c2b11dc37bb0451fa2c639744d9867d9486,0.002521432173%,Bridge-user,
0x3f1aa12447353a794ba4b2a721462c113f06efe0,0.002521432173%,Bridge-user,
0xdc595e2600d120128af6ddf04cad130ce1bda3fb,0.002521432173%,Bridge-user,
0x72938242cb7d4d305b33138c2f7b6387afd28e82,0.002521432173%,Bridge-user,
0xecedde7900d9f0271e894f59061b5b67a522a227,0.002521432173%,Bridge-user,
0x3c82bc7e6513bf433bcd5cf64b3889385fe34014,0.002521432173%,Bridge-user,
0x8533483eaba09bc689be6a0ac7130c1b41566915,0.002521432173%,Bridge-user,
0x11a15c04817042dbb738a58150f341331f7265b0,0.002521432173%,Bridge-user,
0x5b982c9edb2a46c82e28164ff57e7e481f2bb204,0.002521432173%,Bridge-user,
0x2e56b784f46a2c0bed6c43a31a5862399f487737,0.002521432173%,Bridge-user,
0xcddd571de6e580e7936d488672c87aa1bd2226f0,0.002521432173%,Bridge-user,
0xa8927e20b68294fe9150f58805fc2ba64f0994fc,0.002521432173%,Bridge-user,
0x6c6f0dc21b3da96c9319e8c4488f4e6b0bd6482b,0.002521432173%,Bridge-user,
0xb09df9094ecbef033d2684ef71bc85cfbb881861,0.002521432173%,Bridge-user,
0x6330528c466dc7b9d49064fc40271c1d459abd6b,0.002521432173%,Bridge-user,
0x19ee463a37671e45f929ce1d0f2596fd458351df,0.002521432173%,Bridge-user,
0x702d2fd2bf222348675581079521d6b4503fe5f2,0.002521432173%,Bridge-user,
0x1930b7f236d94e872a0b9ded104ba092d85a3856,0.002521432173%,Bridge-user,
0x0e5b20110a98f5bf6e037d6137637b8e5b0123b1,0.002521432173%,Bridge-user,
0x29f731573b3acbd22a7c6023d9e3cc8ec758de42,0.002521432173%,Bridge-user,
0xe6118452150354c495fcb9f67bb7162f465cf273,0.002521432173%,Bridge-user,
0x903061d4038751df6ac1879fcd2d84c99630eeb4,0.002521432173%,Bridge-user,
0x890c01f574e819981c6d030505500b552f6132df,0.002521432173%,Bridge-user,
0x0691a9463b30c568dcce66a5bdbf4f3bc974d7c1,0.002521432173%,Bridge-user,
0xffdb1780a5b2bfc97e1987921c81eece0385ae53,0.002521432173%,Bridge-user,
0x491771c9ac70a1b5b4cf7e114aa10fdf8043813a,0.002521432173%,Bridge-user,
0xe93efc81f6ed4b118116da078070892bf83cf6d6,0.002521432173%,Bridge-user,
0x3b021d9b15542e1450b31826498fc5ae973e517c,0.002521432173%,Bridge-user,
0x17bb6e35e883115251822d715300a89082a80500,0.002521432173%,Bridge-user,
0xd9392a22a6f7d9fa3d7a65d33e5956ad7538d2e3,0.002521432173%,Bridge-user,
0x4fb63d01dc521fceeabac44e57bc675077656deb,0.002521432173%,Bridge-user,
0x27c4ce8fe4b758fde9e0f3ca1d696a11b9c4cc9f,0.002521432173%,Bridge-user,
0x1691565c9e5846b348bf21707521e492614df376,0.002521432173%,Bridge-user,
0x36d50cf7b7dfac786f3f14d251299f0593517e17,0.002521432173%,Bridge-user,
0xc582669fba03cb38d545c469dd3ac98586c65f73,0.002521432173%,Bridge-user,
0xc1ab66d22a76e7c5d71b7cf22cec878987b9847b,0.002521432173%,Bridge-user,
0xb4f2a791fb6a0dc046bf36d546d2c885a6e90fe9,0.002521432173%,Bridge-user,
0xa1b188cc3b01bdbeeebf6ee5e2857516006d7a2b,0.002521432173%,Bridge-user,
0x47edb226e36d005befc9eee49aed49f6039c0a77,0.002521432173%,Bridge-user,
0x540d97eebf6d787eeab1ac2928103296e3a543c1,0.002521432173%,Bridge-user,
0xb34d352ff533fe9669dda12da8b00bab8f033033,0.002521432173%,Bridge-user,
0xd6b6edbb4de3b65b0ad19e8c0f49f878e294bca8,0.002521432173%,Bridge-user,
0x28efc5d721d383db3404914632b2d9bfe8c225f3,0.002521432173%,Bridge-user,
0x51a53b03309e49b12b3c833e9b69983bbb077f34,0.002521432173%,Bridge-user,
0x02198148945b88cce1e310af31d372f99aeec57b,0.002521432173%,Bridge-user,
0x9097346c64bd0931e044fdd80dfdb3df4354c99e,0.002521432173%,Bridge-user,
0x06f3b9bcb455ce1d13bf689f3af3d4b7d856c9a8,0.002521432173%,Bridge-user,
0x0d7fadd685aa7818451effbd5184a5ae49044732,0.002521432173%,Bridge-user,
0xde44d54e68e4799f911e48774ae7b2e908ae9743,0.002521432173%,Bridge-user,
