Address,Allocation,Type ,Sum
0x539d633d45ee0e16f425ecd6127159805e11a3b8,0.678%,bridge-users,100.000%
0x5dcc389082cbb29f7e36e0114549b2566210cf39,0.678%,bridge-users,
0x1a427d8717c16788a8a4a265804f489b9ab1e798,0.678%,bridge-users,
0x1bd24acb7a8bda1622eb6f93e97ca35005303478,0.678%,bridge-users,
0xbe0d68729e0802a4cdab88e0eb2ad80dce107571,0.678%,bridge-users,
0x68a8fb23e6fe18d29da22929c75be33e43bd81b3,0.678%,bridge-users,
0xf305b1a1cbdeb7f35c5fefdfab3bca069a2bf1d7,0.678%,bridge-users,
0x8a7f162daac546997cc36b6b7c528a21800507b9,0.678%,bridge-users,
0xe215513f85adf65d6c058f4ff060b5aa2f7647c3,0.678%,bridge-users,
0xde9b03b793d2364d1dc83566a0f8f3aabb52140a,0.678%,bridge-users,
0x000000e28faa823d5b53ff6c2922c28335840375,0.678%,bridge-users,
0x70be2bfe60d875faad5922f2379af1a0afc8e754,0.678%,bridge-users,
0x02d10f41f3a88614c63f718272c60da7bf37a53e,0.678%,bridge-users,
0xe6b44d9bb0c1ec24f10cd20dd418064acc0fd94f,0.678%,bridge-users,
0xf0607e43f7fb2c888324deab09e34e4abfee6483,0.678%,bridge-users,
0xc768d653965e4a650d5cbb2b50d3df4ecaefd700,0.678%,bridge-users,
0x745182ca1dc212b63ff2bed58f1df3e0dd015dbb,0.678%,bridge-users,
0x81b1ff9db174941bf1f3595f27dd9e16d9c07e27,0.678%,bridge-users,
0xe8f65bff630a1102e45c53d89183040a2da27d36,0.678%,bridge-users,
0x35cb9ac3f3d5080bd35d06252b26d4e5244488bb,0.678%,bridge-users,
0x03add89c931ccc6f91827cf3bf30cc54bcefc05d,0.678%,bridge-users,
0xa77a9ee28355505f42365212bb806a6b8a5915dd,0.678%,bridge-users,
0x58a8e0a468c8442bd00a8413dc880312f3f01c06,0.678%,bridge-users,
0x9b3c5cebd2c63f53bbc7c3d15b72a35e75f22639,0.678%,bridge-users,
0x99a993a97208208442a28e4df0c3302a49c2f09b,0.678%,bridge-users,
0x8cb79c389065f9fa1b2ed4aae0a9efaeabaee910,0.678%,bridge-users,
0x24bfb386966a6d9888b5e5b8f3a8e875ea0fb3e2,0.678%,bridge-users,
0xb4c4ec70eed2f59971bc409c1dadb9ad63a8763f,0.678%,bridge-users,
0xcbee9f1bed2f39512154a40f4c55dbf45b7be318,0.678%,bridge-users,
0x8c60dba75d1f9a2e821cfeb92d50b3c28ed7cbde,0.678%,bridge-users,
0xe3284f71ccf36966a89d72addb8159fa743edc9c,0.678%,bridge-users,
0x0a0753168956ed536c58aeb0ae68abf54530fa3f,0.678%,bridge-users,
