Address,Allocation % ,Type ,Sum
0x3938E47A1abEc4deBBEE3c0CF98117d8B38aef9d,0.0045%,User,100.0000%
0x95F879F25196D666bF8DF3b9EBb352D0F5677e58,0.0026%,User,
0x7852e2BF269816115178614E3f91717412451dEa,0.0026%,User,
0x17dAF278f0d4e406B435EA74387f52D0b18C5c25,0.0060%,User,
0xdB3202D37bB6a2E4e1315B7a5DBd217246A66666,0.0026%,User,
0x46C7401ff8a4ef746AA18cBFc113C53f5Bd3D803,0.0026%,User,
0xc6A8f094DF0275C34A3e818b6B4b22CBb758f5E5,0.0031%,User,
0x2A399D1b879ac5CF143f7C26fb253d11958bE131,0.0026%,User,
0xa540A85FAD845Fc76A9C9A13C96AE1B1fA12EA07,0.0030%,User,
0xEf2E20701f0DBCb6Bd5F86C5a3195c8ce68B844F,0.0027%,User,
0x7D4e9992F6c4F063c7598499Fb7294616890f3Ef,0.0029%,User,
0x50e9CB3F085A38E197E08301caAF3052CC1adFd3,0.0027%,User,
0xd0fCF6eD907A7fA0Be97D83776Cc0EB2f8c86745,0.0043%,User,
0x3aD0E514230eFAbcc509aEF6b07BE074158a9349,0.0029%,User,
0x66c197D75Db44734D595DE713D6eC300d82f8363,0.0035%,User,
0x11e03386CA3FED3625B7e9d62F9b3Db5eC5e9Af1,0.0026%,User,
0x5eadc7B7c89F8f5b9831D0C9b2f568d0e07fe381,0.0037%,User,
0xf54eEb92AB2d295039E3970c5a0365E46a9dBeec,0.0037%,User,
0x6Bb671DAcc6F69bBBCe7B1Faba6Ce3be0b42b81d,0.0026%,User,
0x60F24E997be2EdB8b367b3b4841607934A5CdFbD,0.0026%,User,
0xE9ecC5527b1756a484b3Ccb0b45F02dE849055b1,0.0026%,User,
0xaaAFCc120F19f565c3d799c2e7e66A807A4D3adD,0.0027%,User,
0x04FC3f6f1e7c15854D211132e817E8EC9c6Db1bf,0.0035%,User,
0x52b4af394C7DC271C9716084A46203ad8431e1B9,0.0036%,User,
0x7B6c7B5fdBbF546f56EcAFc937340c2c439E544b,0.0061%,User,
0x0EAeA94B84Ef62FA7E30624041051537561ea470,0.0026%,User,
0x1431A59a078A6cBa473C3899b6AD358Ad698d2A5,0.0026%,User,
0x875bdE4C417E22035C03BaC45Bb953D8000AbA70,0.0030%,User,
0x6e2ABFd67d8fb62E76BdfB47427dC47F862b56A0,0.0027%,User,
0x02460D0Cb7ae1F14104c267439CA920e69226C04,0.0027%,User,
0x13cA95c065b7bE0756f44a2b2B449b3A54ef4Aae,0.0028%,User,
0x3d021B49A7BA111FbF1083D6133E19FB56Ca8028,0.0026%,User,
0xE2d17a14eCE83bF3f22340e2f1C68e151205e211,0.0027%,User,
0x6a5Bb7b74775E8D268d0D39C0c6DeBa02c7847F4,0.0027%,User,
0xf3e4D991a20043b6Bd025058CF4d96Fd7501070b,0.0029%,User,
0xcB89a6b0511eF9AE37C4C1BCaa677c2A152E5DCc,0.0026%,User,
0xdb97a571B77B14A79595b76C7e64483CDC28c06A,0.0039%,User,
0x74749dd570F8F649459aE020EDEB9df06B2E20e1,0.0029%,User,
0x5b4c26F87821377A5E176b363496C846834D6a2a,0.0026%,User,
0xF53053215988831a8dE4deC7b079985D623E6296,0.0026%,User,
0xB48B71799A1Ca6Df8bc2bAD37CF2881951B8A712,0.0027%,User,
0x36fed7961e7F09feD4abe0b9b206E65fC96fA1CF,0.0027%,User,
0x65378326EC7917917A71D3848dc5C0F47f6Cdeb8,0.0026%,User,
0xC43E6D402d1259C741F93da60162c11681497522,0.0026%,User,
0x59bCCFf173D8215E7111db7b4c59cF56a7E90a92,0.0026%,User,
0x0F18adc56E15d080988E1801fA3FDE6699e64F23,0.0026%,User,
0xA43fCd5Ec9D00C5879548906413fCbECcc360F7D,0.0027%,User,
0x599D9b00f2DE1A716A5ff77b026EDa1556eE300A,0.0026%,User,
0x59E690106a9e84c920E46E17CFa897d6fb96f5bf,0.0026%,User,
0x0aa92bAB89D46203C9f2827f299b5E5729A06B28,0.0026%,User,
0xfb63F9D1bD7aa2345c7d213e9d855A330E68cAbA,0.0026%,User,
0xBAcc31eBD9750c5D709a8C6D321cE1a07DaCB74A,0.0026%,User,
0xaF835c4bE5377CCc0B6D3D79406f29ebc3d66fA3,0.0026%,User,
0x64389eC0f168896f26062D3E08D9DDCda3FDBA23,0.0027%,User,
0xB91c8Bf268aa63e54BdED991668F3F619252c450,0.0026%,User,
0x67D2c5E0c19AfdCBa7E3AAd3D10A07F82C167106,0.0046%,User,
0x9a2efCAfe6890FB594F54B8DD173309EC03822Bd,0.0026%,User,
0x23190Dbd482e8F29D348cF624cF34213D1f4fBF3,0.0027%,User,
0x4426F66628E02299932c49C4685f4A50a5f8666c,0.0030%,User,
0xc43Ffa24919CC00D1c3789f405668f19D580963F,0.0027%,User,
0xa00DD0A149B513e1d5Eb1BeaCE4a1985233665c2,0.0026%,User,
0x2ffE6A232abD0d8E86d8B02c05495aE33c8769D5,0.0028%,User,
0x0134755E4298083d9C4253e06bE882D02ceF0884,0.0026%,User,
0xBcebC0E18036E7b6fE608D9413E26D0fbbC61aE1,0.0027%,User,
0xCF112F492A0c0971A73Ef3150C7eF21bEC183B49,0.0026%,User,
0x5fE994889069059c1BB70EF6b06c3C190232A219,0.0026%,User,
0xCD81D6a4C7e432DF5EECD4Ff24a3fb7ed6512b3A,0.0026%,User,
0x2D2EbcF70fd7301832e42709F10384Dc447a4244,0.0028%,User,
0xb1eaE46A5eD3E7553AdCE7B378Ac17840c93f56b,0.0027%,User,
0x2cf6A4e182EF7cE145daA5Ad81f80656c50c561A,0.0027%,User,
0xbF78034fc10Df766b462F82E5F493b12997B9c00,0.0027%,User,
0x97e7C739188B8c7397b8C47B31d881F4D7F8852B,0.0027%,User,
0xEC5aFF28D9E2454Efdf860Bfd1FdDBb82f5a1933,0.0027%,User,
0x9fD3EeC65DA4b75C9CBcd76a6C6e27C857158570,0.0026%,User,
0xaA93E14435412C462Bb6Cc005Cd6fCE30A0945bD,0.0029%,User,
0x31d25fcE9F76c6C14b4753B960ee0df040BC6190,0.0042%,User,
0xa8feEe6fc5009256F809A2857ae291182D524d09,0.0026%,User,
0xC37A8867C9aA6d5A71360de15FEB5a05A585e584,0.0026%,User,
0xB422d4224443Ae399dF2Ea69E22bB9d20877234a,0.0026%,User,
0x9d17Bb55b57b31329CF01aa7017948e398B277bc,0.0073%,User,
0x4B6d0854Ee25E7F38b0A1CFcb7A1Ded06a30Cc69,0.0027%,User,
0x9d6a981CB3aFc59D44161229aA863615531761aC,0.0026%,User,
0x214fCBf2848d481D2A2236eCA2438cFd05fbA996,0.0050%,User,
0x801dFC2f90F18cADE1F9169F485D931FEF0A086A,0.0028%,User,
0x2ABe1A3474d6A9A5629770b8507DA3dAE34F5FD1,0.0026%,User,
0xD934d7a25cBe1BD19442C28884316DEE1AfDa548,0.0036%,User,
