Address,Allocation %,Type,Sum
0x08b282d362d689eefB18B8B38d783e33300b665b,10.0000000000000000%,developer,100.00%
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.3267973856209150%,bridge-user,
0xcc251a5c9ab873994ab0b565d0982799f6e6b955,0.3267973856209150%,bridge-user,
0x6f989daff4f485aba94583110d555e7af36e531a,0.3267973856209150%,bridge-user,
0x6f989daff4f485aba94583110d555e7af36e531a,0.3267973856209150%,bridge-user,
0x5bb624108f403643cfbb3aa01fa438413e057b54,0.3267973856209150%,bridge-user,
0x6e3c0266e9a92c5139656b02f6b4fd9bb647b33c,0.3267973856209150%,bridge-user,
0x25b1300c94e09ff734eca4a918edf2709a836d2e,0.3267973856209150%,bridge-user,
0x7299f7c4fd737cc086ea1012c01e3edcf736c3a6,0.3267973856209150%,bridge-user,
0x4df8c568a97a731084a214303da5bd7dbb6aa185,0.3267973856209150%,bridge-user,
0x4210fd4fd4402a1fc4fa4f2cbd5a362653fa9ab3,0.3267973856209150%,bridge-user,
0x012e414b3043e5de1714cc0a03fa6e0125efd80e,0.3267973856209150%,bridge-user,
0x30ed3c3df92f2f3c6a7ae9094a614a5e487aa14f,0.3267973856209150%,bridge-user,
0xd23939a2995e56723c542a5b3d3051a0a80d4dbe,0.3267973856209150%,bridge-user,
0x5eede1c45e4401d7d95e55446dad71b511328534,0.3267973856209150%,bridge-user,
0x7a61f99343660e583b21697018681da543fef0cf,0.3267973856209150%,bridge-user,
0x80e8f298069cbe363cf8c16091d37171fd30a247,0.3267973856209150%,bridge-user,
0x8c90e009a6567ea39fe1443ae3ab03c0eb80cc11,0.3267973856209150%,bridge-user,
0x74451be63699119867acc3969a3cf9b0fdc97eb5,0.3267973856209150%,bridge-user,
0x0011eaa39468412f260c45397a30790e42260ded,0.3267973856209150%,bridge-user,
0x7719be6618f4de9d9cacc5bed06190bd7137b387,0.3267973856209150%,bridge-user,
0xbacf53f44cbe63745ffd1071edd541697f76f256,0.3267973856209150%,bridge-user,
0xd80500d840e04bdae9e6a72ad942d5784a54b8cd,0.3267973856209150%,bridge-user,
0x2551dc445daf962fd020d52d25fc88c476ecc7cf,0.3267973856209150%,bridge-user,
0x17134d2b7529a0692e39fc1eadb24d1a903ad0bd,0.3267973856209150%,bridge-user,
0xa8dcfea236769467b57e97d91c5e86e13ad615a3,0.3267973856209150%,bridge-user,
0xf2650c2b30dc835da174021e178ab0239d188c00,0.3267973856209150%,bridge-user,
0x7f85cf44e446a4b1aace2a28774e88cd6d4e3441,0.3267973856209150%,bridge-user,
0x4a118ed231eac5726121efc35c52e7417b240b19,0.3267973856209150%,bridge-user,
0xf05eb60be3c74e0ea900f18b587642a3f49a2f85,0.3267973856209150%,bridge-user,
0x4a118ed231eac5726121efc35c52e7417b240b19,0.3267973856209150%,bridge-user,
0xba81641229aa83260087bbc4e5bb14f99d94e315,0.3267973856209150%,bridge-user,
0xb4e876a98c1655aef3e2a368bd7b22b24a9792cb,0.3267973856209150%,bridge-user,
0x77bb41b3a80982e19daae2cfe94403afcc613489,0.3267973856209150%,bridge-user,
0xf48ca98ffd9693c6f115cba7683ccd211e0bd84e,0.3267973856209150%,bridge-user,
0x2b246012ad2e2e3fc62431daf2f854c7a889d3f2,0.3267973856209150%,bridge-user,
0xa1dd4920dbc4dd544962088e64e01047fb14706a,0.3267973856209150%,bridge-user,
0x66fe61f9e2865688e64f0c5e212fbe5176a9d013,0.3267973856209150%,bridge-user,
0x31bb6cbdca85eeeecbec1055b008472ef2c356c1,0.3267973856209150%,bridge-user,
0x6a69c95a70b7b150ca9974cfefce6d7fd597390c,0.3267973856209150%,bridge-user,
0xbc8ac0b88bfae25bd57f444d526bbb065898228f,0.3267973856209150%,bridge-user,
0xa811e79e386146b9611a045f992f0920348d1df4,0.3267973856209150%,bridge-user,
0x299ef7a5ea83c538596ca472a3461c94f2b89378,0.3267973856209150%,bridge-user,
0xb6669d77fe63c7987f479d6a2c916fd05e989acb,0.3267973856209150%,bridge-user,
0x25aea4ebaddfa8c8422ed7abb96200c30be542a6,0.3267973856209150%,bridge-user,
0x192ef736afc178d743902a8ce4c42f8e7b65729e,0.3267973856209150%,bridge-user,
0x39f0fe96202b84398fa4b7d245f315f2c4185c77,0.3267973856209150%,bridge-user,
0x7a69880dafe564396ad7f866be9885fcfac28e75,0.3267973856209150%,bridge-user,
0xe7c7172639e23af771c49dbed55925b86ca64df1,0.3267973856209150%,bridge-user,
0xd870b3fcd2ca9d1d374a6f95a31d6612f58d6251,0.3267973856209150%,bridge-user,
0xcb8eca4ab47c7dc89bc455271a0650f66e0dae6e,0.3267973856209150%,bridge-user,
0xe7c7172639e23af771c49dbed55925b86ca64df1,0.3267973856209150%,bridge-user,
0x95205e1fba8dee07dd457558c83a6d395910570c,0.3267973856209150%,bridge-user,
0x586286a10af4d684a8d62837eee7331ae6129b22,0.3267973856209150%,bridge-user,
0x615775029e3bcf748779d364207513a80bbe055d,0.3267973856209150%,bridge-user,
0xb75286fda90e3a697fe3bdae62f9e6f54e8cf0fb,0.3267973856209150%,bridge-user,
0x948aa35a5b3c6ac0b2f9cbe3c094fd7f8cd043e3,0.3267973856209150%,bridge-user,
0xf4da286c9fa24310ea9f8cf190cfd911e0e0708f,0.3267973856209150%,bridge-user,
0x273deea849f7306631cc7965fec95d86c364a71b,0.3267973856209150%,bridge-user,
0xea896718ef44f56216add5cf3e7ae6873fcae425,0.3267973856209150%,bridge-user,
0xd94e1c5376665a9b18ab93542d38005c36d64790,0.3267973856209150%,bridge-user,
0x89b0ca3a93f095041e08f9f6cde6a59bd263a2c7,0.3267973856209150%,bridge-user,
0xe09ad735d16a8213dc4877cb9cc1faf8c74357ae,0.3267973856209150%,bridge-user,
0x914249db8f1e1903b432e1af075d35c82560b262,0.3267973856209150%,bridge-user,
0xdbd7643919de7d1c839fd3259c97316e3fa7ac09,0.3267973856209150%,bridge-user,
0x8af185c98d53fc8e4169628fae48064a2add41c8,0.3267973856209150%,bridge-user,
0xc652bf04db2ee7cf1aeda2d0dd38803712568163,0.3267973856209150%,bridge-user,
0x55afab54d569ae0a74d6aa0315f0aa0cc113e998,0.3267973856209150%,bridge-user,
0x2a23d0650db1c536e71aeb63ecd3daa0b52e66e1,0.3267973856209150%,bridge-user,
0x4e571db524840c0ac14a136c5e4c6abaa4e4aa7c,0.3267973856209150%,bridge-user,
0x0a92d84093c2faed1528c433f1244536f5544026,0.3267973856209150%,bridge-user,
0x94c4ab20a61d4fa13eaead0174e873a049a2bfda,0.3267973856209150%,bridge-user,
0x8efad9e74dd4e01429ab6fb0974f651e13970fef,0.3267973856209150%,bridge-user,
0x9d23fe9622a11b23c732574800565adad824e0fd,0.3267973856209150%,bridge-user,
0x3774539539a91ba9dbcfba5802fcbdbb8a40f45f,0.3267973856209150%,bridge-user,
0x97b03128092f5137c9a660ec20b98fbfb532a7a4,0.3267973856209150%,bridge-user,
0x91e7e183fdbec1901c49f9c79e8409e519fb2538,0.3267973856209150%,bridge-user,
0x1431a59a078a6cba473c3899b6ad358ad698d2a5,0.3267973856209150%,bridge-user,
0x0d9fe4d2312fe4db12c2aef5dc1c3514af3da502,0.3267973856209150%,bridge-user,
0x4dd6314c1ca169f076612244f53be63be768443f,0.3267973856209150%,bridge-user,
0xf3792d9808c19638155a1cc6072cdaa8ee25f0ac,0.3267973856209150%,bridge-user,
0x75632aaf83120eae9b0618f8f50773ce347de2ad,0.3267973856209150%,bridge-user,
0x44ec1d21f5d9359d185b442237630dc1e6f62c5b,0.3267973856209150%,bridge-user,
0xc34bc9aa5f8a93ea5a1a47b09bf0da8b8980fce7,0.3267973856209150%,bridge-user,
0x68b4d9324c24c020e43b4bf0bd3e6228bc312cb3,0.3267973856209150%,bridge-user,
