Address,Allocation %,Type,Sum
0xdc8ee58cebff504ccf6222c55a8f27f6033dfec4 ,10.00%,developer,100.00%
0xd7c443e9960c55fa217a5ac9564f10a58fc87551,0.002188183807439830%,user,
0x417281911e96e0220e349e28bb60d850396580ad,0.002188183807439830%,user,
0x8f1d4dfd9db1b5db8ea8589820bf5d569fe109d4,0.002188183807439830%,user,
0x6442b001c5acce8cb71986ad65b22684821a927a,0.002188183807439830%,user,
0x71c3ee917b29fcb24c8f4071c0740dbaca3a4ab8,0.002188183807439830%,user,
0xec6e43baca2913fdc00fbe4274667ba194d36db7,0.002188183807439830%,user,
0xc084bede87eb4337e7176578c4e2096797063a67,0.002188183807439830%,user,
0x111fbf7b389e024d09f35fb091d7d4479b321b0a,0.002188183807439830%,user,
0x1587c94817bfaa7172f6c82e03bb2ac3a5ad6102,0.002188183807439830%,user,
0x80b3d7735bbaa17b27d45acc17c3c233c32f4a59,0.002188183807439830%,user,
0xfab8480b9dbd263168680d864400797c78563783,0.002188183807439830%,user,
0xa99f45c3867e34492e5d4bbacf367c76704f0621,0.002188183807439830%,user,
0xe44d27d26df64de74474e86c0c22cebacdfcc67d,0.002188183807439830%,user,
0xdcd3f402043d3c708013de78f5d79d66950917bc,0.002188183807439830%,user,
0xbaea24e991f0723f845a08d3e299dd6f739285ef,0.002188183807439830%,user,
0x03430a8d4997fc42035c51ee052ec776bc980495,0.002188183807439830%,user,
0xa6e72ccac7dcd1ed713ed49f7b3896cf1958a558,0.002188183807439830%,user,
0x64e516140c41eb6ce00a666579e1be4c6ef9ad95,0.002188183807439830%,user,
0x9c303de078c7252964059cb252d0dce2bdaa568f,0.002188183807439830%,user,
0x7326f20e7c774e91c7f2a3971c43296cd3a5fc5d,0.002188183807439830%,user,
0x8a60a2bdc7f720307a65804a2a0d206efbc91ebf,0.002188183807439830%,user,
0x1b8b9c74e4bb5f110c561b8b96ffe4f634334111,0.002188183807439830%,user,
0x56cc6549556416ae6b74b035b2e19324eac7f780,0.002188183807439830%,user,
0xd48408bcdf7d5c001874ee8d233220642d0e7d65,0.002188183807439830%,user,
0x946a5b3f718c2e9a1cfbd66716b01e04d33c5cd3,0.002188183807439830%,user,
0x99e0ced8145cab5b541211fd993ef28ed11124f2,0.002188183807439830%,user,
0x54fe014a1fb506ff3a00d863e6522f24e6edba47,0.002188183807439830%,user,
0xf1f8aa6999da063b0af5ff7d8c092152734f1179,0.002188183807439830%,user,
0x3cd116c8849c857e7acb358e1379954dba4882eb,0.002188183807439830%,user,
0xdbba5c9ab0f3ac341fc741b053678ade367236e6,0.002188183807439830%,user,
0xb27098da73c02b90e83d4f7dd8ca8444f6a497b8,0.002188183807439830%,user,
0xa3f74a565dd97bce5b1e358720b0d89b3d12f4c4,0.002188183807439830%,user,
0x80779687d5144503ba12fa43dd20638a27659616,0.002188183807439830%,user,
0x7b0662cbb185beda00a943e77828d40b0c841095,0.002188183807439830%,user,
0x44ae4efa8463ada0dbba34fd969b973c92cab5ca,0.002188183807439830%,user,
0xd57b086df589055e8d11a5fe5460dc358f128f2c,0.002188183807439830%,user,
0x1e2735fcfa4f90e340571f123bebfd784ae4978a,0.002188183807439830%,user,
0xa3ad5cfb4ff4b68e37a338da200ba441c1850b5b,0.002188183807439830%,user,
0x7a120d3150530a1cb538711ef04623aa8d90ff4e,0.002188183807439830%,user,
0xb135fd8410b374a16c26ee0f729b93bba64df1bd,0.002188183807439830%,user,
0xdb20b0830fbce9dd983bbaa1d4d1ce5f77985895,0.002188183807439830%,user,
0xb97dd51fb4fae9141f0fcb5f5c78e75fa6e1f126,0.002188183807439830%,user,
0x86c99caeaa45477caf05af18e6aa58b02f482986,0.002188183807439830%,user,
0x50025a3a50da7ae49630c5806b4411b0b7b55821,0.002188183807439830%,user,
0xc96232d2e6829ac19c1e773aa79df2a3e08d2edb,0.002188183807439830%,user,
0x89261a7e4b287671d9c8fa7844ef94f88450a370,0.002188183807439830%,user,
0xbc340c2177f3d11dc56424f8130a09b3a0ac4abf,0.002188183807439830%,user,
0x8295f58f004a21793f33f7cb7129e7dc9948d741,0.002188183807439830%,user,
0x0816e9cf0fffefda927e3808090f032cd7f74808,0.002188183807439830%,user,
0x19a33f3822f360e5d066beccea8c0ac8177b80bd,0.002188183807439830%,user,
0x16906fe850dd6641abf46eaf887b4e8ce0ba9fa1,0.002188183807439830%,user,
0xb21dfcf420cc7536c7ef5652ee8018741f17f017,0.002188183807439830%,user,
0x5ab9c0cce996e1e5a8b4019368cab4808370e5f0,0.002188183807439830%,user,
0xdfe9e60f3ae7cf03894822e99ff2cd90f44d7306,0.002188183807439830%,user,
0xcd2c1e27cb06317bd72034ebe670c35ad6f898c7,0.002188183807439830%,user,
0x5e752b1c8477a81f3cd6c76c68af99df1b35bb02,0.002188183807439830%,user,
0xd50434d038e63cb08ee022613e621a4eeeb5473d,0.002188183807439830%,user,
0x3d39c2962fe9577308f74e1ff2cd2eee6af1cb22,0.002188183807439830%,user,
0x9ff8978201bcf41c20ebc483a8654e9dfb34c3b5,0.002188183807439830%,user,
0x457bd8b39eff39ed87a7bfa034b4c1239b83e73e,0.002188183807439830%,user,
0xa403a2288ffac7ece2b65ce42aa348cac2fd00a2,0.002188183807439830%,user,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.002188183807439830%,user,
0xf3c75536f49326be8f417e122feefba3845b27d6,0.002188183807439830%,user,
