Address,Allocation %,Type,Sum
0xe184C0798fb748501F71B015CD382313b9DdC8d1,10.000000%,Developer,100.000000%
0xb89ab7d975d6720cd03f97d0e888f683c356ad00,14.444866%,OFT User,
0x1d77539aab2d7dc0a58ed421adcaad211c58bd5e,10.575788%,OFT User,
0xd456c0982c17a7c61a59cf6b4b6807b3fbfe354d,9.113956%,OFT User,
0x146e9a456a96c5b2090deb417287888953f2831f,7.497369%,OFT User,
0xa748b28b0d1109da8a722180e8d1b88efbc1b139,4.566318%,OFT User,
0x983d00be309bb6d31c55ffa4060eca0caafcd7a2,4.490971%,OFT User,
0xa4aecbac581bef246a0224e96fb50227d2f815ba,4.292417%,OFT User,
0x53cbcddab21be5f867d19c372164e408f17c3268,4.231818%,OFT User,
0xce66904511dcd1d7b29ce2ff8bbfcbb348159fd4,4.183406%,OFT User,
0x3033134590c789f2988ea0457f570e5f7f567b38,3.417038%,OFT User,
0x8a30fe8dd7c1b8ee6fff8892731ed345b9e33b29,2.941320%,OFT User,
0x223cdd329dbb168c2443605d861291ad29bcc13c,2.137864%,OFT User,
0xfb22294831cc2de06121a3c6c8b01d5e2bc1b8d9,1.923422%,OFT User,
0xc5084c28aa92c43d06154278cdc0989efa10c215,1.076860%,OFT User,
0xfa7c975ab75494007865270000fe89611b1d006d,1.029263%,OFT User,
0xe61910654713485712ead8b58a846c5e7f7c565c,0.990060%,OFT User,
0xbfc928c1e0d073c9a44539f5d84fb57201b9808c,0.974457%,OFT User,
0x2725c649b05fedc986a1e5db931f2d47ccf0208c,0.964442%,OFT User,
0x3dd857f8b149db3a4815ac3952cd823b90768f3f,0.871623%,OFT User,
0xeab0d664c61df6c756703076a88418af09085e42,0.862330%,OFT User,
0xb882eb54d4446560a0b0948614e4d9cebcc99115,0.751920%,OFT User,
0x4551bda9180542a30000e8991c6d67000070d2ea,0.707082%,OFT User,
0x0daf508cc624a8482bec5286f83bfa646fe4d0f8,0.698148%,OFT User,
0x70b4ab88cac0a07b44cf8110b3e3b4f59a6e52c6,0.685843%,OFT User,
0x0f2272c4fe6ace76c89b01937adc6c84cf17f2fc,0.628918%,OFT User,
0x99ca42c26492f0cd055ac6253d1e2f89f37ab8fd,0.561768%,OFT User,
0x40b8cef0fa62aef0050bf7d8bb62cf065583b648,0.559018%,OFT User,
