Address,Allocation % ,Type ,Sum
0x1922c71c62fb8e15c81e779d0791a1ed5016e344,10%,dev,100%
0x1922c71c62fb8e15c81e779d0791a1ed5016e344,1.1852%,Token holders,
0x5b9a387B5B31A9F8Fae1Dd029119AbC516891cfC,1.1852%,Token holders,
0xCa17D8DdaF0e12F5aAbaBCCd8BCf5337f11bDA18,1.1852%,Token holders,
0xaecfe4Eff84a1cd9a24ACcc1914aC537Af7f6E1b,1.1852%,Token holders,
0xc3dC519e1f1F8b45Cf8CbDCD18A122E54c710061,1.1852%,Token holders,
0xcc498ba32b4Eb9cbdaB4847D9a87f41C085213Fc,1.1852%,Token holders,
0x170CE88506eE01d6AEbB6EE267C550df7A6d4320,1.1852%,Token holders,
0xc7458B493a0A29eA69C99fDEFf6eF7c073897ceE,1.1557%,Token holders,
0x00f91504046cB47D24b7ac9EE6Ae8f407BdCa65f,1.1368%,Token holders,
0x7f534820c3931B168b1A46e16f677ae9bc4914b6,1.0835%,Token holders,
0x016adc37a9a1f56af4c513f64c53345dccbe73f0,1.0209%,Token holders,
0x1119c4ce8f56d96a51b5a38260fede037c7126f5,1.0107%,Token holders,
0x28d23205a0c28e48f76dee5541479b7edc8c2865,0.9977%,Token holders,
0x06aae58a4ee126e0f69668be3054675799eba9c4,0.9917%,Token holders,
0xe0ad714d328f33e5f67d68a6219f87bbd43cc54d,0.9218%,Token holders,
0x8839373f70f966ab8d0d2c79c528c32c0a47c1f7,0.8690%,Token holders,
0x08d442dd4bc57cd431c437842dc9636154802acb,0.8359%,Token holders,
0x1e6fcd9455418772a7deff9b89ad0c72514a7b25,0.8172%,Token holders,
0xfb2632bac46c2a2f558fd2fedf07eb75da07ed6d,0.8172%,Token holders,
0x8704d913c32cd00446eb59b1c0646fe4d1bcd689,0.7776%,Token holders,
0x8bf29bd3737a65180e0f67331f88ba9fb9e918af,0.7752%,Token holders,
0x64baeb02876aa58078aa25c1c43b7a5492873559,0.7585%,Token holders,
0xd55feb56368fcc0d01d5c5dce95863f3a11cdd36,0.6857%,Token holders,
0x13b3a50f3947476eda74fe191344524e2d2d28e5,0.6795%,Token holders,
0xedd60595ff64a1e8f45d160f35d52b4a1a80d3e2,0.6729%,Token holders,
0x8170f51e682d65a398da9146172a2b5737aef0ce,0.6361%,Token holders,
0x25c992d8159e42f793297292f2d0a1c4620100c6,0.6170%,Token holders,
0x028aa8e8e6fadae82debfad06d87b824dc28275e,0.6128%,Token holders,
0x8985d18e62d8ce1484b688e54ed972d8806004c5,0.6098%,Token holders,
0x0bc79852a2cf4394b7c67bc8a7085eea47f275b1,0.6032%,Token holders,
0x4e0d06ba27ae44e6ecc3d327ffeb802cb4164bbd,0.5997%,Token holders,
0x138659609e75fc0f495238d9b2b62ea9b9f87180,0.5926%,Token holders,
0x44997e3bde5e22b1dae67132f417de232d3ad2e7,0.5835%,Token holders,
0x8f2eb615da47c3d9dc99c03b4f3cadf8646360c7,0.5333%,Token holders,
0xcc89ec35fcecc62273603b6031f93ca692a54414,0.4901%,Token holders,
0x0031d9b46383d5e46bf8ec1a97364810f8dab05a,0.4757%,Token holders,
0xddfa0011a23a9fdb96dd7113bdf3fd9687c68218,0.4741%,Token holders,
0x4c137ffd0ff4b9f341fb911feb810733cae4c481,0.4697%,Token holders,
0x4c8b582a769c108099ab80b085ca5ff3b3bf436f,0.4686%,Token holders,
0x9a9d613d6bbec0598ded4862e9ebc197f143715c,0.4669%,Token holders,
0x2f04748d94a9bde93e3635f340d2ad1e137d26c8,0.4417%,Token holders,
0x1123a097fe1e2a1d5316f46cee5cc4eadd04b00f,0.4030%,Token holders,
0x63e4f7ffce71f9acf56df1f85ad184e125e68f08,0.3758%,Token holders,
0xade1102d0d7668df358d551e534da1752afb4120,0.3513%,Token holders,
0x81974a4e7bc9282988e8af49d4b15c3678bd3365,0.3484%,Token holders,
0x721cfcdee6deabcf4622808b6d703e8780bddddd,0.3411%,Token holders,
0x0516c0ea7b00d653da4be1ecab800e3f59541ace,0.3398%,Token holders,
0x5ff12d617f944bcda83daff7fff4ed75a003c14b,0.3363%,Token holders,
0x14fcc8693c4d954714c5fc41d7833dec88c6aad8,0.3344%,Token holders,
0xd4b8ba16a136535118cde0c8eb5044a4d910afb6,0.3305%,Token holders,
0x10e22ee7a0ca40ecc1463c5dfa0d752bf26dd8e9,0.3238%,Token holders,
0xb81fb2f147496a393cfd9e2af19bb7ca3ca81ee4,0.3206%,Token holders,
0x22c9568f8a6a0d19ac680ce79f0abad7e99af7b8,0.3116%,Token holders,
0xf5fb0fd2c3a00e7509aaf6307e7df886c3e6fe9a,0.3097%,Token holders,
0x8899c92488373b6e0d9a6cc3f3051f7d4a70b84c,0.2962%,Token holders,
0xb338c6ef3fe4cbe4439f2cbc4bbd278d30ea0722,0.2846%,Token holders,
0x9b921fad875b06183d3992a125026c89915d71f6,0.2759%,Token holders,
0xfa04696abdb78d9010e268a56a869c719975152a,0.2685%,Token holders,
0xde1f3a568edfa5391b64420e6b6197e79d41ad92,0.2645%,Token holders,
0x132e47cf2c19ec2d8dd56e1528fc7e18dc09188f,0.2643%,Token holders,
0x8cc985d499597c38236b6b8dc400b14b6a341047,0.2607%,Token holders,
0x8c95b72ae39aceb670ae65da23e3b4230480daf9,0.2518%,Token holders,
0x3760493970bb11f9b93dae548908acb07de43435,0.2492%,Token holders,
0xcd7a0680c14b13618bf119ff899ed10ca4dbcccc,0.2481%,Token holders,
0x04b44f4897b78dadccbe3a03510fb3a4cd52b952,0.2476%,Token holders,
0x140a2ce1f458b2fb07950dce32e367ce26685b54,0.2457%,Token holders,
0x298eec00d3f3d262de5efd7652f3ac3a201dde86,0.2442%,Token holders,
0x6bb1944966eb20a51554245e400ae14ac25ab8ae,0.2416%,Token holders,
0x7a1b82fe48a68b9bc0be8832c20c2f00d1bfbde8,0.2370%,Token holders,
0x0478faec5bb44c02c3be28181de4d565ab139bbc,0.2315%,Token holders,
0x899b6097e10b86aa7a347c7f98a50ba6f693afb0,0.2287%,Token holders,
0x3e8faf5b3a4ef575a329f8c976ff27f286ab2643,0.2250%,Token holders,
0xe24c322324e02cdd9989d3092be456e92cde53f2,0.2214%,Token holders,
0xd391b1a6f7db15b94a78a7cc76fba0e6ed7bd802,0.2152%,Token holders,
0x7816165399c78b6f64738bbcfde9d90c387c8642,0.2098%,Token holders,
0xf8e46a1af21ce8ac9a1777d202bb43228e2125f1,0.2090%,Token holders,
0x6e39834641aa09b8395a8736f400a15b02905468,0.2024%,Token holders,
0xeebfdf4ce58f4f5442495d7e474d5da00aff0f57,0.2014%,Token holders,
0xe79cf4bb37e3f2634487dfd073e29f22968500be,0.1968%,Token holders,
0x6d0101634547d5ab2ffb01789a109a9503d44e98,0.1962%,Token holders,
0x4c3b918d365addf10b63eb130d68f8ccc4d67a6f,0.1928%,Token holders,
0xd5a8cc1fa9181c5a30e0ef17515020c1d3755416,0.1909%,Token holders,
0xa6af765d30ca000042e6697c298aafd00871b4af,0.1886%,Token holders,
0xbb26debbfdd8ee465d3557fdaaabd7d5e88ac7c7,0.1843%,Token holders,
0xbcd2a6909612740afbf9bdd8d1dfab763c30a3ef,0.1843%,Token holders,
0x19d0d8a3b0aaae287e79fe635e58701dba2cfeae,0.1837%,Token holders,
0xa4d2ff8a495146aaca5b59cfc98345e31d12fce7,0.1830%,Token holders,
0xef1c8cc2d9b92c8530abd2da674388c687861351,0.1822%,Token holders,
0x9594b1acfb5dfee0788b822aa2d0bf5ef519da4e,0.1803%,Token holders,
0x0dedd9ed281a4cb7fbc91a4ef7790dd8f669c899,0.1789%,Token holders,
0x60fbf4079b3069d96cba140ec0838be4b271653e,0.1785%,Token holders,
0x2f99683198e048115080102495b5fbebb13d4e3d,0.1781%,Token holders,
0xbefd4bd5f1d6270a66f0c4adfbd045fd9592b62f,0.1768%,Token holders,
0xfe29915808bae9da07fadd93a9a876bf9f28e4bf,0.1722%,Token holders,
0x4e44d464c055373223666f4002b94480b38bf087,0.1707%,Token holders,
0xd15ce52a4edf9a408c44757d78b36d5b0e9c5c3e,0.1700%,Token holders,
0x1a3e7ef3dfaa61cecf046b6e5edfeded0b55820f,0.1691%,Token holders,
0xfc58054e821ae568ff937fd33aef45170e4f70a4,0.1646%,Token holders,
0x2838bfc684dfdc39623950896e754a5e7b4f09ad,0.1625%,Token holders,
0x302b6c3897509a5b47095f4e2839e8e79405b9af,0.1580%,Token holders,
0x07958f38648b2b43a46e42bb0e781eb112a30716,0.1574%,Token holders,
0x9733eaa817b57d1afd80f6f6fdcbb91d0b8ab632,0.1566%,Token holders,
0xfb7a39a070a305514fb38c99fab903f620cc28fa,0.1548%,Token holders,
0xa7522bdfd35b917cb85838fb2eb297d3d9905f53,0.1529%,Token holders,
0x697dbd48c65fbfd5280ae4003f2282d4e71f4671,0.1502%,Token holders,
0x106d5d166e34071c2f30a1be15a193d1659fdf78,0.1495%,Token holders,
0xd706509e6c56e07a9325d1dd59424e2f3416d023,0.1468%,Token holders,
0x1922c71c62fb8e15c81e779d0791a1ed5016e344,0.1422%,Token holders,
0xedb1a46f86be0e821366549b5b2796c9be8f1385,0.1402%,Token holders,
0x28e250885f982b4fd20a8224f7cf901183a777c3,0.1397%,Token holders,
0xa1a9a3431570719ab5661f2cc4fce0639f9f786f,0.1391%,Token holders,
0x4d4934480ade234aaf7909d3d6bc75926ce328f5,0.1378%,Token holders,
0xd63eb26bc516810f19e031027e52d290b071a5e9,0.1377%,Token holders,
0x06cad0470d892037b55672b1a9ad85a16c86d12e,0.1341%,Token holders,
0xc5d36285cf501c3383bde4e71fbc1dace9206a41,0.1334%,Token holders,
0x1a6a03b245af2c8e0351738a2b84121395d1fc54,0.1313%,Token holders,
0x24ab8412503da4c2276db691b1d4e0a55e02734a,0.1291%,Token holders,
0xd1173e79ca3eb3859e36fbc07a92b2ebdba13528,0.1279%,Token holders,
0x88888072702e0dd59a093a102f633e40e22807ae,0.1278%,Token holders,
0xdc5ffc45775b3e3b717bdec500fa822b8c004299,0.1268%,Token holders,
0xd116ec51ced0a7a49bea6555f90872752448d8bc,0.1251%,Token holders,
0x40d5f50f6fc0e0eedd7d1dca31d2d8bc7fafe7f5,0.1250%,Token holders,
0x5beb73230788563839b560529b0741d50f6f63e3,0.1243%,Token holders,
0x0272a76aadea13f0418a0e2d956bee9f07ecdcd6,0.1242%,Token holders,
0x99b4a38fb63c24f3974a2a3ec955b91caa15dbf7,0.1225%,Token holders,
0x2b3b27b97392dc5c27fd36c692380178f03a0120,0.1225%,Token holders,
0x04d118824d12da4c33c70c11c6780c1961084cbd,0.1212%,Token holders,
0x9e1d8e574dfa1e0e280a4c002140f613aad56ee4,0.1185%,Token holders,
0xc8b45a051e8bf87750a46c68a0ca5a3a5b8efac1,0.1185%,Token holders,
0xa3ccbee1729f2d744fe2325c25199cf0e670fc44,0.1185%,Token holders,
0x96fd61202a698ee3eac21e247a6b209ea5ffeb91,0.1170%,Token holders,
0x6ee9f7ffdcdb6830317dd9941555cad759f00508,0.1167%,Token holders,
0x94e4862a7f285f4f720f84088cfa9a7f6c405b86,0.1165%,Token holders,
0x0de4e02f67b7c363ad6206bfd06f37bc3e605f07,0.1157%,Token holders,
0xf05ad7059e166b850e6cc4ccf046796b75c993c3,0.1154%,Token holders,
0x46907be2f347a3d08a7e484c5b6a7fe13089cb20,0.1151%,Token holders,
