Address,Allocation %,Type,Sum
0xd44044f706b7a3491ae810173e916ce94a15ade5,10%,dev,100%
0xC0496FE72226E6463A30Cf0E0f0B5BE525262B4E,1.15%,user,
0x805EBB94084e01da57c4bc70B6FE414aF9148596,1.15%,user,
0x036d6794fdDE4b5c4ED216503d0717783dF900AA,1.15%,user,
0x3C2792d5Ea8f9C03e8E73738E9Ed157aeB4FeCBe,1.15%,user,
0x582cA23C72A715bA7304d42099BBbFE9868Ba5AA,1.15%,user,
0xf793859eC763477EE2f282186eBB2Fb2E6A71BbA,1.15%,user,
0xD44044f706B7a3491ae810173e916cE94a15ade5,1.15%,user,
0x5F9c1591199A917afcC066E691A3891E6aA963FB,1.15%,user,
0xc9E8DbFc889a2a7192e1c188c5143EAc3417cfF1,1.15%,user,
0x853eadd8cc45896D29826911026e47B919F7368d,1.15%,user,
0xb992E179423D23ad1B51d61779f7a9DF93730CDA,1.15%,user,
0xd93e036A2a3bc252A4B1a1269E640aFbE2aC8A53,1.15%,user,
0x2319ad98c36dfBcd5e99a99685B317A71e14FCB6,1.15%,user,
0x79446B9086AD7a6316Cd2f0917DafEfF2FB703E4,1.15%,user,
0x89203E21658f5F0d3bF680F8eBC3A092c26F027F,1.15%,user,
0x57186D47Bb7b65d35E28591130aACBd115fADFF1,1.15%,user,
0x9Ca627DE8E06213671B6166717C8Cf876C1D7808,1.15%,user,
0xCbD0016B0e5d5A56a4ceff5E22D0fB6F28Bb1C0d,1.15%,user,
0x05Be8D9FcB36647032fE5aee73fE0407f29aBAa8,1.15%,user,
0x423bF3038EAEE9cB3880DDdc44b8AaA543Aa5B4A,1.15%,user,
0x9c6c56700F4952d45896757ac098968E97695A55,1.15%,user,
0x1E11D959310C69628D487620A17D7F8841257BC9,1.15%,user,
0xD43f974FA5f9F3Ab8Aedb3121Dc614366D8fD24B,1.15%,user,
0xDa399382F2bCAF1199D72D0E76592eb3147aC8f6,1.15%,user,
0x91CCA8cF03FDF510dAde6649a25cC5eA6FC9BFB0,1.15%,user,
0xC80c40f6222659589CfB4Ec66502561E5209FbB8,1.15%,user,
0x4C904f5C12B86AAA4cA1d35d52D2c0064618A737,1.15%,user,
0xB232b6791d83fCe7a99222c63a525c88c227A53D,1.15%,user,
0xd278A92a2bED505A67987D2d597Afd2AB160bB3a,1.15%,user,
0xDA77cB90A29BC56288734e2cb2f97bECdE61c7ff,1.15%,user,
0x60a11C355bFEd5b907088665358a896a8331E269,1.15%,user,
0xfB484E136c85b961473d385093b1aB071D407aeC,1.15%,user,
0x0244dEf181972d20b50548c1a6F4b366488be7AA,1.15%,user,
0x1858C0c5C0a5E18232b22CED0095b7E3dD8A7eDC,1.15%,user,
0x286528c251cD9A0c1E2310b81146bEC2738B3b4B,1.15%,user,
0xA065237D1f3e4436E8750fe3f75DF0ceFADE6bb7,1.15%,user,
0xcc112a107ABe98901B9EfD9ac4880A143dF48083,1.15%,user,
0x5F24D718FCd798F43d37B20E7c50C400b82891BB,1.15%,user,
0x604Fd492376548F6AF577107F4B6e58999dF12A1,1.15%,user,
0x5f95C7c4058413fdAD68d5796381f64fB883584D,1.15%,user,
0x8043363fC6Eb9A03cC245137ac4a33D4A0c9BEc1,1.15%,user,
0xc5D7Fa9447894ef55426c91914Fc27f93e76b98f,1.15%,user,
0x71d156de6f259afACC4fDF50d9E949f54d359ffC,1.15%,user,
0x96Cff75d2Cbb86a71105FaF4b5b2a4e4C2B8D395,1.15%,user,
0x303cD4749EB5aB28ff14114BCBb71f0E6a2b16cD,1.15%,user,
0x6Fc993bE4FAF3d30517B00679389fE76dC8187d6,1.15%,user,
0xBc0aE0De189f87f9d454621D4e43dE04c243194e,1.15%,user,
0x70f1BDDFe9Dc458acE77FBCac7B3236a57D49A63,1.15%,user,
0x84c9c943b10AD2172B09E639b3B25e02Fe0094B5,1.15%,user,
0xAd5bE27903B69C006D2Ad5B99ea6A9d58B5f5070,1.15%,user,
0x19bddDcd62159bff07451D3A784497c0A1e08249,1.15%,user,
0xe2daD7d7bA12433cae7d3b11e66F070bC602E50c,1.15%,user,
0x729F2222aaCD99619B8B660b412baE9fCEa3d90F,1.15%,user,
0x27AE592f4237402A98f93e4E8FACd181D691b6eA,1.15%,user,
0x2B29833a831207A3B92102b0708B32D624AA0F65,1.15%,user,
0x08F1878917cb324b1DBe7d5b0CfF56dF7D3BD0e9,1.15%,user,
0x08346245987481Ec0421fD4e29e576340F0BBc40,1.15%,user,
0x072CC683C9e366283B40D3e43a6290C847a77013,1.15%,user,
0x197f4c3Cc2C89a0f4C4E2443c453f29ecdf67D4b,1.15%,user,
0x2ef203C1C9d63fc8D4f64057B2F63d2D437aD7F4,1.15%,user,
0xcEd29BA48490C51E4348e654C313AC97762beCCC,1.15%,user,
0x4c2dcd269f68b404FDAE6307D1C36e5fdfb6244C,1.15%,user,
0x2bD699E5dD0C6723A62966fE017AC4Ba11434F71,1.15%,user,
0x5596881cC48580733B90Ca2B6b025870d55ed8d0,1.15%,user,
0x985Eaaa9531DDD634321208bf79Baf623455d187,1.15%,user,
0xc6185fDac62a1454D371bb41D4C7012AEDCB91Ec,1.15%,user,
0xaF5a7FE94B673eb569EaCcc18Df9fbbfc85f768D,1.15%,user,
0xa1fcd0889982ea96Fe5870E7366A5892eC90f919,1.15%,user,
0xd7Ef2CD0D56316Cc124ccd49EA9E2d7E299C1420,1.15%,user,
0xF84CaaeeC1712FaDF0CA774Fa838e435271304a5,1.15%,user,
0xf8A5cdA43918f3560E3d7B872A42FcCF54851986,1.15%,user,
0x73f6F1eD2B4246Aa5313abD8799164F632E4409C,1.15%,user,
0x6D1c23cF7d212000584C4A23Ee20d6CCC7F92de3,1.15%,user,
0xe9Ce1ca0C3a0fC24Ef65d8BC1886F060368ccB66,1.15%,user,
0xB2810EaD39E5Ea6c371bbC1Df8c00e1590D2dA4d,1.15%,user,
0x7701eA24fF3F7f2d27a490Fd56be79f934A513Dc,1.15%,user,
0x18acce43e77897c295700946386B85d0bb1f5A65,1.15%,user,
0x71B8976d5A647a5ECCE880fF426bDa9AE431CEfe,1.15%,user,
