Address,Allocation %,Type,Sum
0x7AFfD8bF8e1F6fa486afE3Fdf73590D0ABbfb8dD,10.000000000%,Dev,100.00%
0x9f551d9eCA6E3fAAde610357AdeB8d5822ee0FBe,0.034006734%,LZ Bridge Tx,
0xE327c846AEC6E8f841cF218296b5B49880c7c490,0.034006734%,LZ Bridge Tx,
0xB1dB096De2A713DBb6950Dff2EaFB76521881863,0.034006734%,LZ Bridge Tx,
0xD6707B918ae2D1b802e6aa8b05e2d04A3eD2f53F,0.034006734%,LZ Bridge Tx,
0x6d394fBc3B64472002f94A0a190B287dAa66E86F,0.034006734%,LZ Bridge Tx,
0xD6a9cA0e8ceB737fff3Ab2Ae81Bc5a8eB5048F69,0.034006734%,LZ Bridge Tx,
0xf617bb2EeB02139dba112086f2c2d37314aCC9ED,0.034006734%,LZ Bridge Tx,
0x7b49740facAFaD3CD945DA4806a18B310a197F8A,0.034006734%,LZ Bridge Tx,
0x344d9C4f488bb5519D390304457D64034618145C,0.034006734%,LZ Bridge Tx,
0xa417bD32b4405a9Db92298B94Dc019B64dD8AA35,0.034006734%,LZ Bridge Tx,
0x30eD3C3DF92f2F3c6A7ae9094A614a5E487aA14f,0.034006734%,LZ Bridge Tx,
0x718E7B7e03F9370394CC8a3BD41B395C72B90fa2,0.034006734%,LZ Bridge Tx,
0xF949B5edd3AD6180E9933EAdc8CC9130aBA4972C,0.034006734%,LZ Bridge Tx,
0xbF0B68Aa51A6E0632C4CFf02C084e7a53D80Fa7d,0.034006734%,LZ Bridge Tx,
0x5Ea5a55be3C8C199244141F904857B0a389C218f,0.034006734%,LZ Bridge Tx,
0xEa0A77dba85aD9a9c5d5C07f0d81f26826aD6Bc3,0.034006734%,LZ Bridge Tx,
0xD1Abe5DB14d073883f2084c2aF105652102BDefc,0.034006734%,LZ Bridge Tx,
0xAd46779CcB2327B02E8668e65F7B8c608B648de7,0.034006734%,LZ Bridge Tx,
0x655F2B1d2217963B11CEF324B8822918080934E7,0.034006734%,LZ Bridge Tx,
0x1F4b9B2dD4366A1f602200565B9Fd911E789B45B,0.034006734%,LZ Bridge Tx,
0xfc36dB952de0156aD45a9C6654CAB1ba07daDec2,0.034006734%,LZ Bridge Tx,
0x2d97a170242691AC8F0562EeDA342C86900f2ffA,0.034006734%,LZ Bridge Tx,
0xCDEc866689af5EcA60da47733c669Fc44dc4500C,0.034006734%,LZ Bridge Tx,
0xA7E5245F1Cfbea3025e69f10d56c2C563633fb45,0.034006734%,LZ Bridge Tx,
0xE0A625e2865D3Bb8092E50F45DECDeD7E9283db2,0.034006734%,LZ Bridge Tx,
0x5FA27D1496b1B3B532230bF97aC4BB10dee944fb,0.034006734%,LZ Bridge Tx,
0x0586F3C9d2aeefc40e1a5A9eeC6a5CdC97962F4C,0.034006734%,LZ Bridge Tx,
0xaf0FDd39e5D92499B0eD9F68693DA99C0ec1e92e,0.034006734%,LZ Bridge Tx,
0xEc8E259978e19368A74715C6EA11cFE934b07333,0.034006734%,LZ Bridge Tx,
0x3Af0e0Cb6E87D67C2708debb77AE3F8ACD7493b5,0.034006734%,LZ Bridge Tx,
0x08cADA3c196Aa32C21c897CBc2Cb582e92Aab5EE,0.034006734%,LZ Bridge Tx,
0xe64a9B43760E4cC63b3755710A684BCB50Ab20e5,0.034006734%,LZ Bridge Tx,
0x693400B676fF8a6c6761Ec4C2c68094731d0c3cF,0.034006734%,LZ Bridge Tx,
0x6a9970c2A370667eBAACa1Bd78CeA36371D3cCFE,0.034006734%,LZ Bridge Tx,
0x7488aDFD1a8A86504149b5A88c8Ac33eFFaaA9B1,0.034006734%,LZ Bridge Tx,
0x5115B261fb75084Af050349020F09164CB8Fe059,0.034006734%,LZ Bridge Tx,
0x63Fe1742192f07D67739cc0f091645a2A50804E1,0.034006734%,LZ Bridge Tx,
0x67d6421955c3C232f6497afCf6d7C3594dbA7a93,0.034006734%,LZ Bridge Tx,
0x25440Cf20F8Ef4E8f990C5DB1C1E1cF86d5C710D,0.034006734%,LZ Bridge Tx,
0x3Ebc104B457886370d469bDa51409996f758E399,0.034006734%,LZ Bridge Tx,
0x432b46453CF700fFd708cF4824cD5735f685A1F0,0.034006734%,LZ Bridge Tx,
0x9Ff8128c08bF3396620174b96b827f6DC77Da6D3,0.034006734%,LZ Bridge Tx,
0xf9a6eAB21B54196dDF7E9BAf79Be2188f32681db,0.034006734%,LZ Bridge Tx,
0x1aC88AEA19fF7cA5683930dB5434A06cB9c8897f,0.034006734%,LZ Bridge Tx,
0xf4aEC9871916762Fd2F541fb2f193351C0Db329A,0.034006734%,LZ Bridge Tx,
0xdC382CDF2a25790F535a518EC26958c227e9DCF2,0.034006734%,LZ Bridge Tx,
0xE5cDe6071Ff829c1297B7A944ceBB276050a1aE8,0.034006734%,LZ Bridge Tx,
0x5789A38a3FAcfaa86ED950e88D79a9A2F6140052,0.034006734%,LZ Bridge Tx,
0xd302DfF76D5fDaDdA32cFd667753e54045eC7cEd,0.034006734%,LZ Bridge Tx,
0x911537786291C315FD57E3a5a2D078202A913bD1,0.034006734%,LZ Bridge Tx,
0x3eC92C9d09403a76bda445FFDFaf6de59717219f,0.034006734%,LZ Bridge Tx,
0xd027b4D10ba1e45E97854B190d14A5d892a6C787,0.034006734%,LZ Bridge Tx,
0x8d95956d21Ee0AeB59d78119cA07745736F1f1fD,0.034006734%,LZ Bridge Tx,
0x8BB349Ca9E50e12a19f2fE9A97652cDf90595e9c,0.034006734%,LZ Bridge Tx,
0x5268fEA5c595218840EDD14E65b0A18DbD1D6366,0.034006734%,LZ Bridge Tx,
0x811e8f6d80F38A2f0f8b606cB743A950638f0aD4,0.034006734%,LZ Bridge Tx,
0xa765A629f11f538F6d67e3fDF799BaEd1506017d,0.034006734%,LZ Bridge Tx,
0xEC5AB29E8c78237378D4893Cd5e61bC30a9A2C89,0.034006734%,LZ Bridge Tx,
0x4C09DD7c598b12c781C4B5d74D245a1784a2E148,0.034006734%,LZ Bridge Tx,
0x53DCB1143F7F2Da6C9E182d4d42eC45b0Ffa5726,0.034006734%,LZ Bridge Tx,
0x3bF26D161691316b37144EE04346e6f199F926cf,0.034006734%,LZ Bridge Tx,
0x41AE9695736C2EA18961AB18afe68295C3428F99,0.034006734%,LZ Bridge Tx,
0x93e5204E7033483985Bcc94E48283f3359b2be69,0.034006734%,LZ Bridge Tx,
0x11197272254aC4814828ad9c4571456B6483908d,0.034006734%,LZ Bridge Tx,
0x496B34DbB3ED71F78406b8c5902bb8b09d55C742,0.034006734%,LZ Bridge Tx,
0x7aB5386c78C73B10d04c470315948a2983AD7B68,0.034006734%,LZ Bridge Tx,
0x773A8871DBfC2f5d699b88B8c37B3Cec0CC62281,0.034006734%,LZ Bridge Tx,
0xaeD0A189fe381D5BB35da6FA925aC36e54d84607,0.034006734%,LZ Bridge Tx,
0xFB7c1D49e006eaDdff2385c7eF8B0C5Cf49d038A,0.034006734%,LZ Bridge Tx,
0xeB8D6488e51db64884d46FedE04a4B6453E203e6,0.034006734%,LZ Bridge Tx,
0x751D833E461a1a4d7C3431d512AC4245dF7f0a03,0.034006734%,LZ Bridge Tx,
0x8023edb27F86839c483536a59b0268B76c0c211E,0.034006734%,LZ Bridge Tx,
0x83E2b8BE676100D93c59a04d138AAE9ec581f4bC,0.034006734%,LZ Bridge Tx,
0xC0028E1c8ed88548C8327945a793e0fFee9b46BF,0.034006734%,LZ Bridge Tx,
0x0382faAFA6d3920AF755FD66Db933530CDdf4B65,0.034006734%,LZ Bridge Tx,
0xaE69FF41f0E293a38730312BD73247Bd70414c0A,0.034006734%,LZ Bridge Tx,
0x6294371aaCBC4b87481fF955A994E37717db6C4D,0.034006734%,LZ Bridge Tx,
0x22b9a3617A83D92a6977DaFEb1D2e0cF3Cc8776F,0.034006734%,LZ Bridge Tx,
0xF90D28704c0d943525c303f2Be8d5102DAe22420,0.034006734%,LZ Bridge Tx,
