Address,Allocation %,Type,Sum
0x937b94DC8C81ed42B2aDA5855B220F098568B2be,10.0000000%,developer,100.0000000%
0x937b94DC8C81ed42B2aDA5855B220F098568B2be,0.1910828%,user,
0xDA131CB1C1729A08352d5D432DDA984727FBA447,0.1910828%,user,
0x78cF02118AA15b598Aaa1aA3f957B82305058d12,0.1910828%,user,
0xda131cb1c1729a08352d5d432dda984727fba447,0.1910828%,user,
0x937b94dc8c81ed42b2ada5855b220f098568b2be,0.1910828%,user,
0x000000000000000000000000000000000000dead,0.1910828%,user,
0x6369c21ac8feb53959e62a17bbf122298e09e795,0.1910828%,user,
0xe2027013b8355a9d0f03300bb5e781577c730693,0.1910828%,user,
0xda360606e4e484e7c97abbcc8441ae0887f88a18,0.1910828%,user,
0x971828ce302eae40571453e4aee7e6021d4f8b6c,0.1910828%,user,
0x9c529af39499eec506ac31fdfa13bb299c2c2a55,0.1910828%,user,
0x95c2ec97903c993efbe4630f1535282a12fead98,0.1910828%,user,
0x7e6adfc16c5f202205d9455e633d8ab5dc0cccf5,0.1910828%,user,
0xf60fd90fc72e1eb4d2054a24f5dcf7658f166eda,0.1910828%,user,
0x31575e07c79011949a434b683e933ecae2e66484,0.1910828%,user,
0xbd987fa25aaffbe68c048d7528aa115824090b62,0.1910828%,user,
0x432c53218a11bed08d238cf84ff547ce4fe933ab,0.1910828%,user,
0x5032a923872a27bb91703e938740fb0f715c804f,0.1910828%,user,
0x9cfdad32f9127b87fff03ba323bad8d2251b62bb,0.1910828%,user,
0x1b83ca589de6817f040c1bd83e448d8b0c6f2aa7,0.1910828%,user,
0x9cab8cb4de8231ad9c8658cf0b746e5bf822dbd9,0.1910828%,user,
0x9d8fcfe97ff0d25545c43115e8f39927dc7936c6,0.1910828%,user,
0x5a248e96ff16b259867b80df1ecde4b6d68b6a6d,0.1910828%,user,
0xd31f6bcad59e7f4d6f00bcc9c786981d7b10abfb,0.1910828%,user,
0x523f34b546abe81793ae12fe91683c148c9a6be0,0.1910828%,user,
0xfbc6d35823a82ec3ffc685e57f9ded3639fb5660,0.1910828%,user,
0x7a855e3e13585368576a5a583c50451339acc561,0.1910828%,user,
0x0a4b2413fc8f172633d8b146d0f3423049d84528,0.1910828%,user,
0x5206cce153467f0d411ab3d5b4a9a690814b1cb0,0.1910828%,user,
0xc67fbd493097fb241eeb8500e8d7ad412b0c463a,0.1910828%,user,
0x4267ca7c40d73ccbb532fb0f2359eba7cf836112,0.1910828%,user,
0xb7bcb59094f4fa12b17751dc9386577266e23351,0.1910828%,user,
0xf85f2099ca465c056f85fcdd37e77c88bd25b7d6,0.1910828%,user,
0xee52865c21d681f827f0a8ecbd304646acbd2852,0.1910828%,user,
0x1b1b64e8cfff1b9d99b6a47880ec9c4080b5f0ba,0.1910828%,user,
0x55c5f4a12b9b23c3763734230747e60b6a326ec0,0.1910828%,user,
0x2eb619bf6ef1b2144d47d5a006591ee284f21820,0.1910828%,user,
0x93ee3d041d093662120eaca4ca99fe12e6275e56,0.1910828%,user,
0xba68e6dc2c60670fb0a8c320e67185116aef2515,0.1910828%,user,
0x5dc631f244fd8bcf5bb61c6db0e9994e2b4aa69c,0.1910828%,user,
0xc11438f9885e11cc2051c15a09012a08931384a6,0.1910828%,user,
0xa8daa4f94fa328b2fe61eac2539aaa4dc71e67ca,0.1910828%,user,
0x39af8d24b794c3077519c7b6bafbb0d997fef819,0.1910828%,user,
0xbdb1c27384baf248a4cfbc9f464b72706f725089,0.1910828%,user,
0x4579e45fe5817cf9c726ffb59141d5c40c354042,0.1910828%,user,
0x921598833cae6619f67861e9037ab3be2bd438ca,0.1910828%,user,
0x690f8b8eeaaf183123db3ccbe4f2c729bad314b5,0.1910828%,user,
0xd212ef67b4f9d262d7f90355d66ea8c9a90604f4,0.1910828%,user,
0x84f7376ec7f04ac2fd2c42b934e2f605ee8ecc99,0.1910828%,user,
0xc5ab76657bd7d33cb9b5bcb1b37630dbe052ad8d,0.1910828%,user,
0x016addc729b564b86c3435b73e14526be4451115,0.1910828%,user,
