Address,Allocation % ,Type ,Sum
0x2fD2C0E235D6F3aA42c328415D8C7266572256A4,10.00000000000000%,dev,100.00%
0x4ee0020dce6bd8de3984bf13e60156e76b83903d,5.24375282655978%,stakers,
0xde993262b7fc309eb5f915e4c4186382c6475b28,5.16704899532021%,stakers,
0x063b88d53d109c12ec21785c4e5e89bb71369432,2.80666291581158%,stakers,
0x22866c5c7f2b5475cff41465c53aa813b4c22b13,2.70508337663192%,stakers,
0x7a5a694e995185243974cff1dc0ee0301bf85ec4,2.70372128742945%,stakers,
0x7810ada15ff25286cc6c4a85d25198b4693dfa87,2.58883224240114%,stakers,
0xef31c87ca31a5e70a1d0a58c3fa982b103daa495,2.58400349914004%,stakers,
0x9f8d6acc821f0de7f6bdcc473f1bd0d65da8556b,2.58002553385583%,stakers,
0xf8be61b318a860ea6101398df4e8cc88646e6b03,2.47492097248849%,stakers,
0x2c0bbc92f802038d4c6d057927217968452f69b3,2.16056832114768%,stakers,
0x5cba9f3ef723469ce5c83d28e8f3b9d4b3ce4beb,1.90915638965908%,stakers,
0xc16c6b6b55f3c195537bc22f9aba162648e5b285,1.76325582179334%,stakers,
0xe7d96b5fdab3dcb6ab5cb8b14b291e03a8ac496b,1.72928500238900%,stakers,
0xd11246118f01faf6a98f3e93a1967b047e4177d3,1.65421656307567%,stakers,
0x808a7287d7ce25f06b6f2201a95042e15f047c6b,1.59824631434698%,stakers,
0x7f7d208e6b7729fcad70253919b7bbe3c302ad4f,1.52953136843097%,stakers,
0xebdca07c6dc66e97d3158e6c4ec3beff4629f2f7,1.52251599070081%,stakers,
0x01fb914c9222a46480cf2861331cf4db2f172faa,1.42317116883278%,stakers,
0x9b2e3c9a9189a8c59f21abb0b38627ac1dd2b8b6,1.26688339254634%,stakers,
0x4fc36cfc35a53712d910b38390224868de72c055,1.23423045304537%,stakers,
0x3f56121e9d140305adb81ecab3c82550e237e8f2,1.22035885106179%,stakers,
0x9edd7d5dde2b8fc391c5a5b646008d0b65afb6b5,1.14110462440658%,stakers,
0xe1f8afc92644bfe77080d7dcb0f936f578e00f53,1.13372465942038%,stakers,
0x811064eac57d9fd724bb88af56f4d84fa96650e2,1.09135378380512%,stakers,
0x19c11aa5fcf3d0314ee75852baf79bf650a1f220,1.08383236300797%,stakers,
0xb75972bac153879c967c8d1be1e01f27c1ddec69,1.05597463324769%,stakers,
0xea2c15b73e07bdd59caec75c08f675fd4cb04229,0.98928036957533%,stakers,
0x139101331957f87489944616ffd07cfbb59c7d3b,0.96939850292000%,stakers,
0x68e3b6b03974ca46c6356072bf4edfa0aaae4397,0.91781295897336%,stakers,
0xd118c8bacdba431aed80b62df3d4692c03e67da4,0.87781839245566%,stakers,
0x87a4d0feb99f1135d06835b3f50d0a6b2c1b6ecd,0.84636712306719%,stakers,
0xa08bd477e72e35fabd09479c66ef464642c5930b,0.82530778287158%,stakers,
0xcd7d8bd680fdddd2f58d6ca073e77f5ade2721f8,0.76054518316016%,stakers,
0x472f7cf864b3b45ca85e9e4c65a7d250e0fa970d,0.76013687123378%,stakers,
0x977dba046828aa80f61e0c08b59dfa71fe5f5ab3,0.71629548903714%,stakers,
0x836293ee032fbe826c4cc9cffe4c5a7f2c32dbb0,0.65467895623515%,stakers,
0x6cf29b68651e93aaa989c5596cdcbc4d1a58b7d5,0.59664443308090%,stakers,
0x791886aec4d7d41ea57d3a5132acec5811dc19c6,0.59564105283177%,stakers,
0x9023957063706aaf58a9163b068809671e9ffcb3,0.59079421095304%,stakers,
0x262646f4dc0e2825511f30e91c0da64af26b769d,0.52072692070767%,stakers,
0xeea30dfeab54a05434967f4540cddcd61dca2d21,0.47378005141486%,stakers,
0x844e0a43d4a654a26b74d5483db93e35a664b13c,0.46195731370848%,stakers,
0x89a20ce1a8c9951d4a662a3a288fd4e1caaa9041,0.45418525582102%,stakers,
0xe631f194d016584ffad539b11d6fe1afbd016c1d,0.43658410437031%,stakers,
0x7e744b70a3bc965a5c127ad63a98aa2393466984,0.41724212809077%,stakers,
0xb2b0aa68659a0f8d5c66e5e19b29614bcdee4fd6,0.39067210224935%,stakers,
0x81eda1df19687e95a4794907f1657a81b7dd51cc,0.38671320832681%,stakers,
0x036d7361fae049faed06fb4286b554688f52aec1,0.36971205760385%,stakers,
0xf2bd61e529c83722d54d9cd5298037256890fb19,0.35900976483653%,stakers,
0x5502f5f9f72b5fceb93dd03c12aacb4b5cddd985,0.32674444117366%,stakers,
0x6ee0fbeff95138ffee4355c73da3dd974daa5f62,0.31087500074200%,stakers,
0x3c6b375a555ad29d854c8cff46a38fc109ecabfe,0.31016814704483%,stakers,
0x153bb06cb7b0cf3710d21b323cc79f96ca9d4688,0.28968741522709%,stakers,
0x7115e03353487f837c564146772f265100b592f1,0.27198325053103%,stakers,
0xcb8aea6957501963b07b9689ad034f6df787966e,0.26845007681802%,stakers,
0x3c2ac1ca615cbb0cd43e4e746d35a93684f7ef24,0.26436585929484%,stakers,
0x8ce27983bb12ba037b5123e166b65c451a74add9,0.26424002665969%,stakers,
0x645baca74745d35f08563562a11388f5a5b3c712,0.26338496721441%,stakers,
0x43a506b02a8758e370021a5ece6416b8991374b0,0.26243005332701%,stakers,
0x95999b5c888d1adfa4e48fc29f14ded52af0d705,0.25918518839640%,stakers,
0x25db2eed34f177f26746d4f81145620b26719e70,0.25214589650358%,stakers,
0xe23b25a8056b91f38c2ca29afc95d4d52d8f05df,0.24785565946277%,stakers,
0xd74472f429ee04150ab1f75870fc57b72fb4cf54,0.24541357334338%,stakers,
0x2664f937e7461a93f4b1b22d3a6a6ebdd2ed8cf4,0.21771435902344%,stakers,
0x90a50ff52ebeadcda73b4bd953bbcbc267712b24,0.21682745354204%,stakers,
0x5bd8eff5967b1f1812fda2d5e5802d28d1cd793c,0.21369812550051%,stakers,
0x648dc42f7ca4325e6f8a4e55c149d363c4c7f282,0.21121746432708%,stakers,
0xb213ca2569e9bc126f9021adbb4d52cfe728868f,0.20658832535409%,stakers,
0xab0ed82707c337a4123c7917d6e5a8a1edad1550,0.20166480404988%,stakers,
0xb3aeba7fc075debcd37bd6743f1dbc4ffd6babfa,0.20033840304817%,stakers,
0x0201daef24f94d2c986c489db36d6e3366582203,0.19771035894955%,stakers,
0x2d0a342fbe76ce4a1783756981bc3902aa4f7de5,0.19183519064384%,stakers,
0x77deda2c72492b5a63c0a3944075e2e7f337e5bc,0.19134323667604%,stakers,
0x2f719aeb896b424666d79865180bcf3524641781,0.18850269855912%,stakers,
0x4ea0784a84eec07aa8ba8a3cbabf83124ab2b58e,0.16950268887848%,stakers,
0x0c60ceee9c7b07dfcaca32f4ddb77ab61130189c,0.16724796929958%,stakers,
0xb9d67a126879259b09ad435fd90f0ab213f72851,0.15999014470502%,stakers,
0x990bf11f1d15b22f91c0b2b5b1d97275a7b33020,0.15856507119749%,stakers,
