Address,Allocation %,Type,Sum
0x2dfeCa569143E749C071325663Bb7f31D08b0350,10.0000%,dev,100.0000%
0x8b7c5d0f05dc6a5af60292a6061ae960b8a47274,1.2500%,bridge users,
0x0a778f5b33810c6b9fed14661f482bae0c6495e9,1.2500%,bridge users,
0x12e3ad0f115cd1d04ebf7f49bb3b3058ea7d2f45,1.2500%,bridge users,
0x15ddb49556eff95cd03944542142449892b7809a,1.2500%,bridge users,
0x22db648239a6d483f639a42fedfb9e23deed0743,1.2500%,bridge users,
0x3f2665ffcd49979430f3dfa00da9f4e6efaea33b,1.2500%,bridge users,
0x488487d27009a263f0c0e9d1908e83cd08faa604,1.2500%,bridge users,
0x4c8a8a3ace0674e7ec917be229f9a64838fcb4e0,1.2500%,bridge users,
0x4d8219dde9402635b4b6b51f3c74efc3a4d48994,1.2500%,bridge users,
0x590049969a9eb45817fda0137572d1b9c3946a60,1.2500%,bridge users,
0x5cbc2d52284b28d4117f98a07966f5ec144f3199,1.2500%,bridge users,
0x68e5cf81eb3c319e47006eae067e04ebf6610204,1.2500%,bridge users,
0x6c718123475a6f31ad08f186a932d4750bea94c9,1.2500%,bridge users,
0x6c7d1be360a313e7695065c333611fca6ca71e63,1.2500%,bridge users,
0x93792bb24621d35aa6a19e86d4797bdd6b2f0f52,1.2500%,bridge users,
0x9fc36bf0867ebd3d7c16ed22e5fd9020c6753986,1.2500%,bridge users,
0x9fe4bfef1dea2939c19b2b6795014884a40f339d,1.2500%,bridge users,
0xaa9aa55efb061fb9842df9e2dc4efc3f67f65bc6,1.2500%,bridge users,
0xb217690e07a5744f9a93a039c4c5ba8b14552926,1.2500%,bridge users,
0xc3387ca7c0b481ba51b7d67cc29985d24388eaf3,1.2500%,bridge users,
0xc757bfa0015e026f7e8d2cdea8b3fa0dc13ca1d8,1.2500%,bridge users,
0xcfef87970977f25c53ff7192529b06c46b117281,1.2500%,bridge users,
0xcff0a1f1430c4d1df3f20f3b392627f98f48dde3,1.2500%,bridge users,
0xdd31f521253d993273bc25fd4ad739e2a4a8440e,1.2500%,bridge users,
0xe561e33d8d54c4fa9250b8e096a5de3e5cd28fb8,1.2500%,bridge users,
0xe56c46d44276b7044bac25244868ec703761c508,1.2500%,bridge users,
0xf5d204847af18426a32b65a189f5da214b17e365,1.2500%,bridge users,
0xfe015fec2e10c29d2481fa22520c08c23805fb97,1.2500%,bridge users,
0x68e5cf81eb3c319e47006eae067e04ebf6610204,0.0604%,community,
0x6e86b743a59b96fbd60c5118c8c0b322cb825032,0.0604%,community,
0x9fc36bf0867ebd3d7c16ed22e5fd9020c6753986,0.0604%,community,
0x35de71cd516e573d5c6686792dbde4d5939a0da7,0.0604%,community,
0xf8b8bbe28c2a3bfa4c6d9f69d8d519f049a97639,0.0604%,community,
0xc32cf03c1045cc06442e83bce7e558d54e023eaa,0.0604%,community,
0x3edb745762ce932d57e4204bff46587906f1ffd9,0.0604%,community,
0xba569e366b55e6ace06d089b57af810f8faaed6b,0.0604%,community,
0x80a1afe7395339e446f9f28c659efbec6a97aecd,0.0604%,community,
0x513050d47c4e31e77fa4016ad2dae796a3fa16c8,0.0604%,community,
0x5f49f1f052dc33f0b11c624c06a360aa56b53c9b,0.0604%,community,
0xd7600f8905f7d89753820f7cac6b1a3417187c1f,0.0604%,community,
0x7a9745f2a887766d1b53b6a819e4ba1f41bf5abc,0.0604%,community,
0x0a778f5b33810c6b9fed14661f482bae0c6495e9,0.0604%,community,
0xf02a171cc1cccb30e628931e3cbce7bc8ea9146b,0.0604%,community,
0x466307df95c6016234b7ebbdd9ca38e185092ad4,0.0604%,community,
0xc757bfa0015e026f7e8d2cdea8b3fa0dc13ca1d8,0.0604%,community,
0x81b3eb05d2d0f013e855cb2e5612dad4adfc6302,0.0604%,community,
0x34ea689d92c592e43b176e5ddd99d348f4bb5afd,0.0604%,community,
0x6e57e3b04f127db7c5f0ccfbefb82f1e3e3fb2ab,0.0604%,community,
0xebea8cd35d9c5aa0241d725a3c1a8afe68e43771,0.0604%,community,
0x8f1b81968ff9e86f32b9349fd0e3ece702196baa,0.0604%,community,
0xa7a67de556df19978fe4e7a075e8431c87934b20,0.0604%,community,
0x3cbdf88cfd4be017eff5e09b48dd05130e433995,0.0604%,community,
0x40aa2792d26a17bc4cf45e09e071246656e8496d,0.0604%,community,
0x76570c4657f7a6fed202afa38ff0b1745a72bef2,0.0604%,community,
0x4bcffcd351edb9f5f0a02a6a78e759720d28fce9,0.0604%,community,
0x495862fca2c1aa945f10dfd08a8b72ee5ab30301,0.0604%,community,
0x36a3e5428985da504ca320f73bfcd998723416fe,0.0604%,community,
0x9f8596b74ea3c2dd23b53c450ca6256a925be6c9,0.0604%,community,
0xb67ac8171c8ae954f9f60eeb60907b38242fe8c1,0.0604%,community,
0x4f4722d77c2fca5620e12255a68b03c18cd9fc43,0.0604%,community,
0x67e7c650db9bf5b77d2f4965247e62fac8069a49,0.0604%,community,
0xd13e7c2874222932d79ca2fb8e02be36114ac257,0.0604%,community,
0x54a79d649a7a06522e3b9bced719cb8d9bd657bc,0.0604%,community,
0x2c6a0b8c0b5d201dd074e8b60d6b370b49d82238,0.0604%,community,
0xd8009bbda98170b5b1e0648c7f56cd0409efc4d6,0.0604%,community,
0xfe015fec2e10c29d2481fa22520c08c23805fb97,0.0604%,community,
0x878ddb03ff5e63bd7f4b12205291d520357aa66b,0.0604%,community,
0x5e7d477a25698b088c3c8ad6267d8b16631b4cf3,0.0604%,community,
0xf73160c283a962428a9b5699bbb020d8abddfcc4,0.0604%,community,
0x97bf9ac95ed212db2ac2e8aa0632d02da118b55c,0.0604%,community,
0x23e26e326888d471fe22a443000938febe7f00d4,0.0604%,community,
0x46f56818514a3f851fb2d56661c53e34d95ae7c6,0.0604%,community,
0x72b1ff53cba149f0c4dd3a610d65cc87a628ec6f,0.0604%,community,
0xa8bf7a86d06fea857331e81149e7cff96f1c74bb,0.0604%,community,
0xd15c8e26a1f3658c86811afad0e3d6c60552fa2a,0.0604%,community,
0xdd31f521253d993273bc25fd4ad739e2a4a8440e,0.0604%,community,
0x7f1fd67e9b70e575d12b2d40db832e171771de85,0.0604%,community,
0x119b0d785595e5a31d3a94ade5429644d51d8c9e,0.0604%,community,
0x6eba30cab718fd7b044fae5bd43a2afe56e9d7d7,0.0604%,community,
0xf181562e1fdd5ab8906e4f774bfc82d5a9aefee0,0.0604%,community,
0xb71e718801127b15cea890a7bbc2818f15a39457,0.0604%,community,
0x735c2f3f0b74ac2a4f86bc062f53c683e4ccacf1,0.0604%,community,
0x5b41f1521f30f7240a363c3d5debe5ae59c6f7af,0.0604%,community,
0x746745705c1e3b1c62a40102cd45d31fbc564d87,0.0604%,community,
0x7a315662e1c58098123e9286091a671800323056,0.0604%,community,
0x80bc04964399f8a770266a6275342b69f5f9f03d,0.0604%,community,
0x6dbd4bbf7bbee6ccb2f2bd3127dcb02a1e8d3ce5,0.0604%,community,
0x38089179ca538e477b5688fc5f49f415624eb76f,0.0604%,community,
