Address,Allocation %,Type,Sum
0x86a8Bc110BD36D2cC5A634353d2ea3E3296ce669,10.00000000000%,Developers,100.00%
0x8cbdeb38448e3e8bd57ce89969cbb37143090179,3.72907225236%,Early Adopters,
0x1bbf04a88fc4c515fda95f882f8ec37a1ca03841,0.47657063730%,Early Adopters,
0x6ba3803898868149e59da4c0a38455a2358bd0b6,0.41006742279%,Early Adopters,
0xa8468eb3655f284e1fd7f9ca648dd70c7eef7d21,1.26663296454%,Early Adopters,
0xe4d946dcf5b919d03d6c78b376e23341d06bd0c8,0.00000009321%,Early Adopters,
0xbb7f13bb2e444f5574589f2ad649da85446e3348,0.05479323468%,Early Adopters,
0x778368610310ec6ef921fcc8f6fee90ad2433e1d,0.77916205308%,Early Adopters,
0xa6819285ce8a829c7fd67756b2140515a68b6b41,0.00982512237%,Early Adopters,
0x3c7bd16923a31ed4253595b3ad2ba79dae4aaaed,0.84707469744%,Early Adopters,
0x6ee62fb521531b587e79262d759dec8ce4fef341,0.90146896113%,Early Adopters,
0x9fff7a309ff09d41f04f8b0ed76483ee6c4addb3,0.07106900667%,Early Adopters,
0xea8810699ff8dc7cebecef62556606809525d433,0.13349302428%,Early Adopters,
0x507f77f6c2a11fe1618bb43c93cd4cf332d80827,0.00011186097%,Early Adopters,
0x31c711658398866ad97fefad26ebe0679b5c5d58,0.00009321747%,Early Adopters,
0xbd27bb1e70365a416ff2b119ee94c78ca9be49a9,0.00034824240%,Early Adopters,
0x821120e0c8b20801725b1b7d068d28a58a9d52fb,5.38556532726%,Early Adopters,
0xfa666bd8ec87d0dad7d1cb8f1bfaea24f276dbca,3.63607830798%,Early Adopters,
0x703e50af7e055c6c9ac83d72255caacd62400bca,0.00004471647%,Early Adopters,
0x553222b267bc978aca3c28493aef72d924b264bd,0.08948878077%,Early Adopters,
0xd498f99bafd467c5d06556d433ba89e52686f74b,0.00001864350%,Early Adopters,
0x31012d1270a826a8a40259583a639f5963c778dc,0.00009321747%,Early Adopters,
0x21bf63c0418d4f1d13f884c50498b2259b321b43,0.00003728700%,Early Adopters,
0xda9ad6284300b15bc802c3fbf6dbbdf7ceb27fe8,0.00000001863%,Early Adopters,
0x7ae1cd518ecf4546fc93796dbb26f0ee0a1b35ba,0.00000745740%,Early Adopters,
0x00409fc839a2ec2e6d12305423d37cd011279c09,0.00037286991%,Early Adopters,
0xdb93440afab57da665126084eddf9ac9f91c9a82,0.00074573985%,Early Adopters,
0xdba61407cab12c6a69d877760914b457b340f440,0.00003355830%,Early Adopters,
0x9d386325330ff9565821232435c67b253776fed9,0.00013749579%,Early Adopters,
0x9b4ac5feb3fa9c087906cce730dc1bed34f08514,0.00018643497%,Early Adopters,
0x6c991016b4588b3c73a984b87275f8ff8ea72967,0.00015267858%,Early Adopters,
0x9b9d813768a507003c5dde12fef9f065d58dfa1f,0.00001864350%,Early Adopters,
0xb2c466b176492eca88b68f4f8923361c398abf49,0.00052330344%,Early Adopters,
0x506685ad6e1d208d37547fd8d10a9124444251ac,0.02647376430%,Early Adopters,
0x9d9ccd735b6cadaee1a857b785ebdb2b4446f804,0.00018643497%,Early Adopters,
0x7314d37db36d7403fe37669704ee9a33f589496e,0.00001864350%,Early Adopters,
0xd8a05652091ad6fa0f7f502e57da545550c7829b,0.00018643497%,Early Adopters,
0x32650f3faf0cd0a8d0c279e3c2269b83c3d7e48d,0.00003728709%,Early Adopters,
0x4403a2543b5e54b3537f2d7f58bcd4b3ed338d8d,0.00018643497%,Early Adopters,
0x278603ee2609af74c0f9cf71740aacf134beeb88,0.00018643497%,Early Adopters,
0x2d64a1cace789801e758fe781e30f6b450c4ba39,0.00018643497%,Early Adopters,
0x9830d6b37fe7488707cc4ad7f8b481d75eb2a8c2,0.00013050447%,Early Adopters,
0xad7919ccd41a656f21843f2a5b8c4fd6bd42fbe7,0.01152368076%,Early Adopters,
0x956f248b94713ade7ad10d92acfd2700037bf3f4,0.00093217479%,Early Adopters,
0x673e99f8b95d2542f4745324e27fc438a6f853e9,0.00009321747%,Early Adopters,
0xebb28d2c512ed1786b246c7a96328ab308ce0f42,0.00518609898%,Early Adopters,
0xc4482e0f47262a73e966bba848848d693fe7a2cc,0.01825556367%,Early Adopters,
0x9046f76ad22f913bbcf95a73336c569e1ac2e59a,0.00518289189%,Early Adopters,
0x519290b3641d881a6ab5df4c1b4494faf1ccbc64,0.00518289189%,Early Adopters,
0xd6ffc55c22ab4d56220982927bb0ea66b6f15afb,0.02336822694%,Early Adopters,
0x3882481281cb3f7ddcc5619763cd0437f02e8805,0.00000559305%,Early Adopters,
