Address,Allocation % ,Type ,Sum
0x4Fe130BaB0CC799C8c497D3e4aA51c1F1FE2028b,10.00%,Dev,100%
0x8f9f8fa50bb7d63cff00714f7129c6c1f85f55a0,15.42%,Bridgers,
0x564b1a055d9caaaff7435dce6b5f6e522b27de7d,10.91%,Bridgers,
0x49e96e255ba418d08e66c35b588e2f2f3766e1d0,6.41%,Bridgers,
0x179730c6106b450c29e6b22f504be3261207de56,3.09%,Bridgers,
0xee1e33029c2104993e4536be502990284e77080d,2.37%,Bridgers,
0x2b40fe0496d15db07cee4c2d5a6b1ba99c873b88,1.77%,Bridgers,
0x66ceac5ee8f093059c4bc9628c06e63076505b15,1.57%,Bridgers,
0xf6681cb5f5a5804b159eb4fdaae222286c61f6ff,1.52%,Bridgers,
0x064980edd7d43abee781f49a4e31c06df05ecccb,1.21%,Bridgers,
0x8b800befd520a85907eb617fa627a55520d49bec,1.10%,Bridgers,
0x24f1786f78ddadccf8707b57c2f5fd3528ad4a85,0.93%,Bridgers,
0xf4fb9fa23edb32215e5284cf7dbfdb5607d51a5b,0.93%,Bridgers,
0x7781149a2ca561bf0f5b3ca03071b364f8b71e72,0.84%,Bridgers,
0x8c5fc43ad00cc53e11f61bece329ddc5e3ea0929,0.59%,Bridgers,
0x42600dc01fF057Cc3DE80c2082e8BF379766B3B2,0.53%,Bridgers,
0x9c731c50fb63ee893121245b58816e212f64df6e,0.50%,Bridgers,
0xb0ff9c9b8f7d80f24aef49ddcf6b35bb5a775d79,0.49%,Bridgers,
0x5011ebaf3a3eb652e4dc43ca588ce0b3c3689178,0.45%,Bridgers,
0xff18d10f5d9797d18dfe85437d3e76475025c2e1,0.44%,Bridgers,
0x17237bb1132b3d1c428db79df0ca9f276785a3b9,0.44%,Bridgers,
0x0b2ec8f000f56ec4467a25b5f5575b2260802f89,0.43%,Bridgers,
0x4158406b55313dcd2265b42ca0576a9075a9aeec,0.34%,Bridgers,
0xbb8eeb1b3494e123144ce38e1aac8f7b96b5efa5,0.33%,Bridgers,
0xe358aab671c02446e4ade3a4d9886c3140a71e3d,0.32%,Bridgers,
0x34bbf3b83f82342f16ac3c5d7d3256f9be9441bc,0.32%,Bridgers,
0xE158d53614c6D0Ba4ad85E3965B872a08570c3e8,0.30%,Bridgers,
0x675e7e9c22ee5b302bc86fac934c9b8d3110aea1,0.26%,Bridgers,
0xcc5dcd779156f26a4b3834397ed1f84e89e3f329,0.25%,Bridgers,
0x1d360d343a2873a75e4f6def615098ec8fa88ec5,0.25%,Bridgers,
0x5748a8e3e358ef97fb5370d8e6813a625d778c46,0.24%,Bridgers,
0x1cf2b8c64aed32bff2ae80e701681316d3212afd,0.23%,Bridgers,
0x89f5d3ae51ce956a8c07d2f9cf8dcf9dda52b7b0,0.22%,Bridgers,
0xdcccc474cf7a8cc0039ad30922f62a16c9edb999,0.22%,Bridgers,
0x15c548d23cfd084a526b905e21a2556294cf1d5b,0.22%,Bridgers,
0x669cfe8f42cd92b69edf5adc9f46192fb06f698b,0.21%,Bridgers,
0x854f1269b659a727a2268ab86ff77cfb30bfb358,0.21%,Bridgers,
0xB6C81897dfc99AE8dB0c0eB89aaA16c9c5Bfe19a,0.20%,Bridgers,
0x513ea5a99988252f3b2cd8382ac077d7fd26ef48,0.19%,Bridgers,
0xC6D81157C3E84C185dA724e03258e3D45a72Eea0,0.18%,Bridgers,
0x07f70642cb786277cc568b359b2d8f3222a4b018,0.17%,Bridgers,
0x3c3f486C6bA113E993Dd6B66b63f49fbDb42298d,0.16%,Bridgers,
0x1a51bcbc8d3642680d8267550f54e6e4cc5c4984,0.16%,Bridgers,
0x712a81b587abcaa64ea8ff2f0201f2379bf120e7,0.14%,Bridgers,
0x2891f651ffb4706a3acfe3d9c889ea83e2bd6582,0.13%,Bridgers,
0xd42787bf70ca6c46bad3cc8edf7de2e2524e6628,0.13%,Bridgers,
0xafDf4be23B0298B55B6637ab560cCE803487B166,0.13%,Bridgers,
0xcf2933f7d797edb6aa37e6978f61068abf15fc33,0.13%,Bridgers,
0x2ad6f45dba839f37612927c8a35052b50d7d4c0c,0.13%,Bridgers,
0x2df0fd0aac061e864f6402ea4c62aa6167a4578d,0.12%,Bridgers,
0xcc6b7dc51ca3de691f68b36fa4c3ee71fafbaf22,0.12%,Bridgers,
0x7338afb07db145220849b04a45243956f20b14d9,0.12%,Bridgers,
0x280726f20b2e0b29a698ba66c87f2f7c5df62c4a,0.12%,Bridgers,
0xedff3e9b6d596501c7fe806ef26bff395c01bdbe,0.11%,Bridgers,
0x77acac99ac831a1574b9db4d15299e98e195e6ae,0.11%,Bridgers,
0x6fa86a8a3b8a582279a12ff798537fc012623032,0.11%,Bridgers,
0xf5a93410e7e32bbf28a8eaafbd7f241cf0b290fb,0.11%,Bridgers,
0xdfc303d9fcac0f5044d61127af8a4e4f82bf2924,0.11%,Bridgers,
0x57d6c4efb2ca6703674343d1a7c0492fba49a6f3,0.11%,Bridgers,
0x84e40a13b42b1a24f031459d48b45d90b46297a1,0.11%,Bridgers,
0x612de69ba3bf25fd4637bf521e50ec0c01ee2171,0.11%,Bridgers,
0x5704fd8b601516da8e54860f8fe29dbf3e88329b,0.10%,Bridgers,
0x1b52ae6662bd445aa77ccc61596b7b6fe3d9be1b,0.09%,Bridgers,
0x6474183ade6709a76c3c411157f501d78b4c5482,0.09%,Bridgers,
0xf19aed29a6cd4f5a1b3c8ed79d987e3fc1dca853,0.09%,Bridgers,
0x5b9ce54b9cfffa6b80c698071c38b747c59e320c,0.09%,Bridgers,
0xee91d62eb5aaea933efbfd0790613af5db305006,0.09%,Bridgers,
0x68b53aa18d1b8437b7cd9524040c776e2261e06d,0.09%,Bridgers,
0xd8b07bc1bc3bae553bca5e94e99935dc12df24ff,0.09%,Bridgers,
0x6ed3c871ac6aae698a9d6e547a5f54873b091e18,0.08%,Bridgers,
0xbacfaa4003d25eb937fc7a584e853e586b267f5b,0.08%,Bridgers,
0xbe878c39929ed3e79a9fff31a4415da9a45fa73c,0.08%,Bridgers,
0xd415d2f890bff9b238aa4fc893f6a254f06cb4d9,0.08%,Bridgers,
0xd10c4a60a3d4cfcf2b22a97b0c9da871a2272ab3,0.08%,Bridgers,
0xe6882e6093a69c47fc21426c2dfdb4a08eb2dec8,0.07%,Bridgers,
0x48738f1c742131c0a90b608ce22c75c2662dbd26,0.07%,Bridgers,
0x25d61994536be3c6660e6954c1d2d7a9cd28a1b7,0.07%,Bridgers,
0x9ae452e5bd703f0fe1afc79776137b38024d4f2e,0.06%,Bridgers,
0xec7ee21a8d3ab382d35c3a20dce9292770313675,0.06%,Bridgers,
0x54207bdd0b6b1daa5bd98c0c8c2ebdef65f63a3b,0.06%,Bridgers,
