Address,Allocation %,Type,Sum
0x6fcE41235775317562f5e77D617649Cce196110a,10.000000000000000%,Developer,100.00%
0x4e391e7775a52e96ec8ffa82ec8f1f9687f570d4,2.100000000000000%,Genesis Holders,
0x0389285b6c3a8f5f805cc2b2c7554ed2c821bf5f,1.599999999000000%,Genesis Holders,
0x8b59e21d4e9c409cf2b7d354cd95f737443dd367,1.050000000000000%,Genesis Holders,
0xc3992fc601810ec6e5e62cbe845cada58a917d71,0.999999999000000%,Genesis Holders,
0x8f78bdf0ba4a79476ca1340c89c1f440353b2b14,0.650000001000000%,Genesis Holders,
0x02e5990b1a35e3e2784f284f82844e8d1352237f,0.500000001000000%,Genesis Holders,
0x1af5d9b49e15ee9f359557ed0631422bab22154a,0.500000001000000%,Genesis Holders,
0x7b57f3d0c21495b5a9ddba39d06a38eed4939582,0.500000001000000%,Genesis Holders,
0x7b826a105293e58631aa2e534661afee7d4b4ff6,0.500000001000000%,Genesis Holders,
0xbd6b8d8fa94f7307840252548549b56a33c98054,0.500000001000000%,Genesis Holders,
0x90767e40e82f43d0cc3b35a0e9159aa89d66e7f2,0.450000000000000%,Genesis Holders,
0x350dd23ded49297c1ae365c9a0493a7f40b6a0f0,0.350000001000000%,Genesis Holders,
0xc1bdbf49bb5d21960d0acbe9f20421cc7475a477,0.350000001000000%,Genesis Holders,
0x110397ef0fa6809b8e0ed2c6ee6c079be02ad400,0.300000000000000%,Genesis Holders,
0x11c486e7bf25b8548d8f181420316f01fd43f4a2,0.249999999000000%,Genesis Holders,
0x183bc692ca3ba91e87f955b897b5b3441216e674,0.249999999000000%,Genesis Holders,
0x28667a75cf7dfca566b1593308eaecfed29ed885,0.249999999000000%,Genesis Holders,
0xe2e0a9bb912ffcbdedc889c38235669783a97faa,0.249999999000000%,Genesis Holders,
0xe7823b78e389ea980b753c58b8cf8eba124bd9d0,0.249999999000000%,Genesis Holders,
0xec03609f48d71330054ee8c174a12647043be108,0.249999999000000%,Genesis Holders,
0xec79e502999878be6b31e4dc307a277428b7e37e,0.249999999000000%,Genesis Holders,
0x60f3f8e5ff48eb87bc1fd55f14b1d6ddf7194ad7,0.200000001000000%,Genesis Holders,
0x6506d81776826ea432c41d5147baf28e9b8d2a8a,0.200000001000000%,Genesis Holders,
0x7a55f7f819bac623fb802cb10bf47ab8c1c79974,0.200000001000000%,Genesis Holders,
0xa3663744d2aefaf73c166d598fbaa19358b4e3dc,0.200000001000000%,Genesis Holders,
0xa984ecf1aca8dd45e1358034d577b6d2c7032262,0.200000001000000%,Genesis Holders,
0xda0902cb35b422bb83456c2c3f9c3b3ea906042d,0.200000001000000%,Genesis Holders,
0xfcb53a2b2bbc8f6bc351fdcfae655698b2b8c4ea,0.200000001000000%,Genesis Holders,
0x4b7d56067664bd3bf9c42664d6c03451616707b4,0.150000000000000%,Genesis Holders,
0x5236df6802994bae798d07bc4c10e9f915b70852,0.150000000000000%,Genesis Holders,
0x600b3e0c328f63c9b9d2f89214f96925774afd4e,0.150000000000000%,Genesis Holders,
0x719844890208d00f73dc37d6bd2cb17b9c3dca87,0.150000000000000%,Genesis Holders,
0x7503697ad956b76109491bcf5dd09303fb2a04c5,0.150000000000000%,Genesis Holders,
0x8c01b3606761b2aa382afbc7fe4f9b1335fe0860,0.150000000000000%,Genesis Holders,
0x9425e212647518853a92ae7d2c1ab09d343e70b6,0.150000000000000%,Genesis Holders,
0x9608cc59b1f61bcf3307b5dee044e013dc4529eb,0.150000000000000%,Genesis Holders,
0x9d55bf8d6707c69d1e6c572e6ffdea578f906c3a,0.150000000000000%,Genesis Holders,
0x9f08993c21c5b5872541128dd4f666e17057e09b,0.150000000000000%,Genesis Holders,
0xaccc3cb8d513d7965015351857b303eb5e507f36,0.150000000000000%,Genesis Holders,
0xb24293f00f490e027990ebb849ec4b35bde13013,0.150000000000000%,Genesis Holders,
0xb5ac3f4b9a6f06c3bf175473f785bea083eca4ee,0.150000000000000%,Genesis Holders,
0xd07d73176e825a04d1c98cf1242650c384462ad8,0.150000000000000%,Genesis Holders,
0xd5b36818ff388651b03019f16d7a7cbc84107931,0.150000000000000%,Genesis Holders,
0xee4f7be5cbc2ce653a41b83091dae3043f7bd216,0.150000000000000%,Genesis Holders,
0xf98a39456903cfde206603bdd1e1d4227dbe1243,0.150000000000000%,Genesis Holders,
0x048f4c5a188fe6ac5fde6527abb965290cf5f096,0.099999999000000%,Genesis Holders,
0x0500d7da57940650f4457189e4f72c2351a91500,0.099999999000000%,Genesis Holders,
0x0b3217d0e4ca62e27e6e36e273bbdf8d5281646f,0.099999999000000%,Genesis Holders,
0x1201ede24e0b6e12411256d2392395a893cb079c,0.099999999000000%,Genesis Holders,
0x36b66f330c509b883c05afd3a11ffc3033d24c4f,0.099999999000000%,Genesis Holders,
0x3c24ed0e1c8679736d31f455fc53fe3f3a879d17,0.099999999000000%,Genesis Holders,
0x41fc26e9af3d3d8fde5a4f4e17f63327677c5615,0.099999999000000%,Genesis Holders,
0x4203f5cf8a04de31b79b319dd85c9c9e6edf0308,0.099999999000000%,Genesis Holders,
0x42f443370c7cbf31434769d1a8992b50efdfa241,0.099999999000000%,Genesis Holders,
0x53bb1da7d69516dc2f7410554ff4789458b6fa6d,0.099999999000000%,Genesis Holders,
0x58951d56799ca9f4a659858e637ed55fa96f0b55,0.099999999000000%,Genesis Holders,
0x6fc779bbb4144b66dcae2f729ff6bd84ac07ca89,0.099999999000000%,Genesis Holders,
0x7ec3e08612c39f0ba0da368b81d0c511dfc49892,0.099999999000000%,Genesis Holders,
0x8151fd8c84e7d3003071a1b0abd04ecb7347dd08,0.099999999000000%,Genesis Holders,
0x81fa7a5c65f92b7e88706e2ee900b5c04f39b990,0.099999999000000%,Genesis Holders,
0x86c803a605926453bd5df6e086c086226cd3aada,0.099999999000000%,Genesis Holders,
0x8dfeb66171a6830052b5017432dd67c35a354d83,0.099999999000000%,Genesis Holders,
0x9afba568f59854539d17b9120b6e4d31b9e8a3ef,0.099999999000000%,Genesis Holders,
0x9ee9e836c054fb73d4304d25fb69e642c6fc875a,0.099999999000000%,Genesis Holders,
0xa916a928af572eb5dd86541fe09d67462b46ce14,0.099999999000000%,Genesis Holders,
0xabf19463a8c6322553270f5766c307bb7312c167,0.099999999000000%,Genesis Holders,
0xb4995ebe3156550cbe893f12a35f4700c0093cbe,0.099999999000000%,Genesis Holders,
0xb4c497ef112d0cae5cd91e0e3cd79417586462d6,0.099999999000000%,Genesis Holders,
0xbb6be86245f9b075bea79e37010a951dd8ea8dfe,0.099999999000000%,Genesis Holders,
0xc41e6d6c2abc131a48d97621d8804c95579a47b3,0.099999999000000%,Genesis Holders,
0xc7c9e36d955355684024991735ef6b6850477572,0.099999999000000%,Genesis Holders,
0xcf2ec48b75ac38844aad7c01a32f0ed1f319aedf,0.099999999000000%,Genesis Holders,
0xd867b70a810ccce8e0d8703e06473a190ef56a99,0.099999999000000%,Genesis Holders,
0xde6ee5614a5c50f0ddb6235538b5c9ac3e57f115,0.099999999000000%,Genesis Holders,
0xe22c75f9b667e487f0a343bd19c0fa8023bf6421,0.099999999000000%,Genesis Holders,
0xea4fbfc1cff183c11ed06a3d09e9709fbf6ad2c3,0.099999999000000%,Genesis Holders,
0xeb615819a092e6dfc66f4013f8fbc34df8611018,0.099999999000000%,Genesis Holders,
0xf069a1d8862b5ecd15300da1b9592fd40800737a,0.099999999000000%,Genesis Holders,
0xf36556b089e26496fef728ea409e4cb04b5a1ba6,0.099999999000000%,Genesis Holders,
0xfc5b971c7bc39625c00e2da6dd99f802509ea025,0.099999999000000%,Genesis Holders,
0x0000000000000000000000000000000000000000,0.050000001000000%,Genesis Holders,
0x059e1641a9e95d862b57c0883fd47dd85162d3d3,0.050000001000000%,Genesis Holders,
0x0806a0cd0bc0e9a827513a8777d5ac901e2f021d,0.050000001000000%,Genesis Holders,
0x0af70cc3ed406d78d44c627a06d2590d5b37fa22,0.050000001000000%,Genesis Holders,
0x0df02b25eba9436247e3da1bc4710f6fbc5ee8da,0.050000001000000%,Genesis Holders,
0x101b471b202295b395e3661ed1b128a58787f7f9,0.050000001000000%,Genesis Holders,
0x108852f2a487098075857e2dfb175ca62ec88422,0.050000001000000%,Genesis Holders,
0x1226846c427a9fab039bfc4e9367b85d48551c88,0.050000001000000%,Genesis Holders,
0x126902db5abf36f809ffe14b6f1b8065b53a4f42,0.050000001000000%,Genesis Holders,
0x1376d5e2089bd3b25e04012251be2e2b8b9ef411,0.050000001000000%,Genesis Holders,
0x164b4c5f9ca1a1bc0fe0fa39a76a12aab85683e1,0.050000001000000%,Genesis Holders,
0x16815ed030c909770dc25d9f71e881442af965e0,0.050000001000000%,Genesis Holders,
0x180e66737947bae8983ff504c3b63bca77064985,0.050000001000000%,Genesis Holders,
0x1a9114139aa439e3b9cba324ed336157d53a1a47,0.050000001000000%,Genesis Holders,
0x1bd18969b137ceb2e37a33395db9badcb8020ec2,0.050000001000000%,Genesis Holders,
0x1c45b0bd63f1b3436277efe2fd2c3e49eba6ad19,0.050000001000000%,Genesis Holders,
0x1ce99b6bf58ad2b2b5d700045303bbdf8fff4b2a,0.050000001000000%,Genesis Holders,
0x1d1864959bd6f6cac85cdf5de9f3ff1c8aa1b777,0.050000001000000%,Genesis Holders,
0x1fa92d8fc6f135d2f2d765358879d62c805db84e,0.050000001000000%,Genesis Holders,
0x2093a1c355079b7e40b603a5f005d19050932618,0.050000001000000%,Genesis Holders,
0x21139f65a2c2f9d9c31527ca2adcf42e3930a85e,0.050000001000000%,Genesis Holders,
0x21bca401c280c8492a1ca15d554382eecb92f2f3,0.050000001000000%,Genesis Holders,
0x22fe123668cd3001af20a8b4f591bec8a8114540,0.050000001000000%,Genesis Holders,
0x2374fc856c6787ce1e1097e005e2e37f4a3851b2,0.050000001000000%,Genesis Holders,
0x24eb16a94ea52ebdff84ae6a9a118b3c204c9c9f,0.050000001000000%,Genesis Holders,
0x259a622c54bff19118f8f36e8aaa2d9d0bf00bac,0.050000001000000%,Genesis Holders,
0x27ae5938adcfd5374765aa4ec109b8dcc0b53612,0.050000001000000%,Genesis Holders,
0x291c11ee930b55a5cfd2e420d34258820b895113,0.050000001000000%,Genesis Holders,
0x2a2b5ee4240bd0d7cc6b42248576609196536e3e,0.050000001000000%,Genesis Holders,
0x2b51ce5e9b0a2bfcfdf76ddb9fb7e14da51a5049,0.050000001000000%,Genesis Holders,
0x2c23beee666abb46ec4de2aff69ffc9ff9740052,0.050000001000000%,Genesis Holders,
0x2e78723806654d22c0b9ac690c9c25b4a7f492fe,0.050000001000000%,Genesis Holders,
0x2ed29adc8fb15d93fa13a11d3d688d00fbb56e8d,0.050000001000000%,Genesis Holders,
0x2f944e3cc9714425e43a6f28e71d039e58955750,0.050000001000000%,Genesis Holders,
0x30245c14a8e52665dbadccd39ff037867ae33eef,0.050000001000000%,Genesis Holders,
0x327014c8c8029c1dbebc0459cf2a8b8d0bf3c0fd,0.050000001000000%,Genesis Holders,
0x33ff3c111de5f4b89cd4bdcc0ed99c46ca1e9541,0.050000001000000%,Genesis Holders,
0x3437f47b5002286dde4b87760feb3bd98c911635,0.050000001000000%,Genesis Holders,
0x343eb499b45290a2dce17b12e0c47ff840461dbc,0.050000001000000%,Genesis Holders,
0x35a921875900b93f7cb258b20748420470c61691,0.050000001000000%,Genesis Holders,
0x3637d3eb40f65047099816a553a653672fbf0e1e,0.050000001000000%,Genesis Holders,
0x377f92a00462b7ff48edc234f136e8bafb0a03bc,0.050000001000000%,Genesis Holders,
0x37be332f523fd7b1c0c4418d944e7a208e38a86d,0.050000001000000%,Genesis Holders,
0x3934aee47f26eefe7bfff8c89b4515dff050389e,0.050000001000000%,Genesis Holders,
0x39fe94ae99604fa8e0820491fb0c2da9e9f0c590,0.050000001000000%,Genesis Holders,
0x3cfcee807f932361382a477df3384e829c806c9a,0.050000001000000%,Genesis Holders,
0x40480d7c5658a2e0cbca0b9783590695c700dc63,0.050000001000000%,Genesis Holders,
0x41050e6543e88f7f1487cdfbb295ddf0a343c043,0.050000001000000%,Genesis Holders,
0x442107a9d30b89c4e05562f6f10ad4d42d73b92e,0.050000001000000%,Genesis Holders,
0x45ee88a85e01be0174ed8d1720a95b18426f57b7,0.050000001000000%,Genesis Holders,
0x48feb60da1debb283ea92a14d2fdb10496bb86a1,0.050000001000000%,Genesis Holders,
0x498e93bc04955fcbac04bcf1a3ba792f01dbaa96,0.050000001000000%,Genesis Holders,
0x4a74e7f5ea9fa4aedea3e99182a75d8dc2316014,0.050000001000000%,Genesis Holders,
0x4b65936d57c8a15850eeb2be71f1410a342039ab,0.050000001000000%,Genesis Holders,
0x4c5c4dcdb89f5577299b76570f78eaf7198d1204,0.050000001000000%,Genesis Holders,
0x4ea86bc04b39dce56f9bf1948f431db4d2024a01,0.050000001000000%,Genesis Holders,
0x51df53c3c3a963e03d6210914b20f36d4d7531a0,0.050000001000000%,Genesis Holders,
0x520ca088966e4eb095fbb60ee76570f6014db103,0.050000001000000%,Genesis Holders,
0x526ac66fd8f72f52af1943d335c7d38bb75bb097,0.050000001000000%,Genesis Holders,
0x52d5857bf750b0c2b9b0e0fcfdfed0aa2fdc550b,0.050000001000000%,Genesis Holders,
0x5440afc3ef2b0af19c358f9d519657a6cc5909e5,0.050000001000000%,Genesis Holders,
0x56cfd230c598c2c82afa4ff1c628913dd94a74ec,0.050000001000000%,Genesis Holders,
0x5719b4ed19705179951332a0beed805bfbb38903,0.050000001000000%,Genesis Holders,
0x574de9cd5a5ef9ebbe6dddd282e056b42a9434fe,0.050000001000000%,Genesis Holders,
0x579d090bbdc7273468149203930bb0b5d3fc3834,0.050000001000000%,Genesis Holders,
0x57bdff457bcb6491c799d154d47e4a1b3e8e460c,0.050000001000000%,Genesis Holders,
0x57ef4d9b66d53094e1ef64eb65a632d4842dd015,0.050000001000000%,Genesis Holders,
0x58922237e90d79a3f103eb9c79dd5b646174474c,0.050000001000000%,Genesis Holders,
0x5ba56799020771ad96d598481417a868c83cfc46,0.050000001000000%,Genesis Holders,
0x5bca4075dfc8065235cf75c6b15b410e62845fec,0.050000001000000%,Genesis Holders,
0x5c8494ffcfba5ab54f9a812c2f3157fb07a974a5,0.050000001000000%,Genesis Holders,
0x5db8cfd0f24bba356fd96e27584fb931f6d065d2,0.050000001000000%,Genesis Holders,
0x5ee0ffaac9f485b6b6dec9965efdcea92b1c82d5,0.050000001000000%,Genesis Holders,
0x6214617714fe5ccc546e59382b37b3cce87cc36c,0.050000001000000%,Genesis Holders,
0x62e5c4cbb4fd1220ad01a7abe55b8ece62e22f53,0.050000001000000%,Genesis Holders,
0x64b3231f1f2bcf346491c4656566828cb720c592,0.050000001000000%,Genesis Holders,
0x64c910601fb994cc6915740567f07030907a6a2a,0.050000001000000%,Genesis Holders,
0x64fb7220ec63b44f6a0eb276de870031bfab62a3,0.050000001000000%,Genesis Holders,
0x6571b457ea816bedc31d423500d965c61e4710a9,0.050000001000000%,Genesis Holders,
0x66fed14aa6dc6851761e912dc37c25ee0e02693d,0.050000001000000%,Genesis Holders,
0x6854d0768c4e0cbeaa8abc24638b3f260d5cb3f5,0.050000001000000%,Genesis Holders,
0x697cb8b5754e1e9001abe42d6be95ff598dab13b,0.050000001000000%,Genesis Holders,
0x69cab3a4e0ea0c225096c01ba8a3018ea9860610,0.050000001000000%,Genesis Holders,
0x6ab303c8f387224593d6b75359f8c40980dc5742,0.050000001000000%,Genesis Holders,
0x6c280c67d5dcdc9937b838240dfe42fefdadab04,0.050000001000000%,Genesis Holders,
0x6c287e0e925a5792ff58659ac5314b71a75746fb,0.050000001000000%,Genesis Holders,
0x6c5cadfd6f47e819c0c24328e261d01e9131a38c,0.050000001000000%,Genesis Holders,
0x6e1f8fa7945736c4ee219f7512593be4c2bd964c,0.050000001000000%,Genesis Holders,
0x6ea155c22910244adf8c5eb8e30addd26513f470,0.050000001000000%,Genesis Holders,
0x6f1abb7c362771c098ebebf588e37f4ca3dfe77e,0.050000001000000%,Genesis Holders,
0x6fe482405c440f41af712431537211488a0f42ce,0.050000001000000%,Genesis Holders,
0x7012ddd68fe633bd9f67ed9786c55c070ad58ffd,0.050000001000000%,Genesis Holders,
0x71f5f629ba9d7a5489eca941b2e2a9a60fed8529,0.050000001000000%,Genesis Holders,
0x726cd97715cac2f9e464c3fdc4a87c0f62d213cd,0.050000001000000%,Genesis Holders,
0x7384e3f9f4367bd3961b42e8f2fa61d6b3aa1509,0.050000001000000%,Genesis Holders,
0x73f0bc3335421d513a5fccdd886eaf7fe1a64f77,0.050000001000000%,Genesis Holders,
0x74375faba79502580c2906144ac99117a4a3f3b5,0.050000001000000%,Genesis Holders,
0x754f44ffb8c5fe0bb7841cd3754975d23ae5baea,0.050000001000000%,Genesis Holders,
0x7586f461ca563486f25603c8450a9905d38d20d6,0.050000001000000%,Genesis Holders,
0x7649b81d6a403a436570994d7db6b7badc0ddd12,0.050000001000000%,Genesis Holders,
0x785d59da34044cdf4517744af030bac991e568bf,0.050000001000000%,Genesis Holders,
0x79776e826c78f0452a463ee27b9d66ebe8cec865,0.050000001000000%,Genesis Holders,
0x79aeaaa10861fce6e0b9753dd34351b63b601178,0.050000001000000%,Genesis Holders,
0x7aa1855d22dd9308914c5455e9185fe5fb2d8e25,0.050000001000000%,Genesis Holders,
0x7c75795f49471c75ba402436dd60edf93343780f,0.050000001000000%,Genesis Holders,
0x7cc49cf0af6252312016e5f0df33d5fc3f4ccb54,0.050000001000000%,Genesis Holders,
0x7e76781217b51a1199dc247e73aab72aae97ecad,0.050000001000000%,Genesis Holders,
0x7eb41287964fdde3a353ea0df58ccb9d9625cfcd,0.050000001000000%,Genesis Holders,
0x7f43c223f40aa8b1b6719f1f5042abc5fbd22b09,0.050000001000000%,Genesis Holders,
0x81d40c38bce36ddd4fa8057f9a9f845050d3f00e,0.050000001000000%,Genesis Holders,
0x8207d1305e241a6fb4a2ef93d29b1035e08e7590,0.050000001000000%,Genesis Holders,
0x840c70a05d7d268997f0ec23b5354867098fba87,0.050000001000000%,Genesis Holders,
0x84cd2c9770e986ff761cec264913dd4a9e0df17b,0.050000001000000%,Genesis Holders,
0x869f3b391f025ee1f45a74b507fee668fdff96bb,0.050000001000000%,Genesis Holders,
0x86b3c5a4d7fff168a71be9900474e606fa0f7fed,0.050000001000000%,Genesis Holders,
0x88121d1196bc3c3ea18c763d8944192a5eca59fa,0.050000001000000%,Genesis Holders,
0x88644e1cbf9a29ecb6ca80d268738707abe3ef6f,0.050000001000000%,Genesis Holders,
0x8947febcd98e1ea38082848078023fe882364932,0.050000001000000%,Genesis Holders,
0x895e0abbd90b40b2ccd577fa822bbf5de8309c4e,0.050000001000000%,Genesis Holders,
0x8cddab7ddf167c20e11d69a25da7b79982aafd5c,0.050000001000000%,Genesis Holders,
0x8dc578ae52538230dc8b7040f5f58a29b9b7788b,0.050000001000000%,Genesis Holders,
0x8f8bf1cc3a3480dc5bce92e57f8da86fa913db26,0.050000001000000%,Genesis Holders,
0x9106fccf6523b9735e83ef8feadaf69e4e80efa5,0.050000001000000%,Genesis Holders,
0x912558a57fd02b307d0369f5d5296e7effd92725,0.050000001000000%,Genesis Holders,
0x941af622fb1decd2aeff4af3f329610006cf5aba,0.050000001000000%,Genesis Holders,
0x94f8d44844dd2e061db2d3c48f9fa0c3fc560a28,0.050000001000000%,Genesis Holders,
0x9554484b791a7d0f6ec4a9baf793be9567988777,0.050000001000000%,Genesis Holders,
0x960574ca3f7e35a113b71befe0123f2ff365f207,0.050000001000000%,Genesis Holders,
0x969de568df4cec02e682acf75d7ed9f048de3aba,0.050000001000000%,Genesis Holders,
0x96bfeb35ca34ad63ee2da4b9ba07298b9f554b30,0.050000001000000%,Genesis Holders,
0x991c006d297a491264c3645ca6dc9d1267d215a5,0.050000001000000%,Genesis Holders,
0x995916cef5ba4c533fded2cdfeefa9962a214a2c,0.050000001000000%,Genesis Holders,
0x99c69b9a42194e92a83d32db094e0d036a1e9ce5,0.050000001000000%,Genesis Holders,
0x9a1edb90e61cc0e5e93bde2e547df3b6fab2990d,0.050000001000000%,Genesis Holders,
0x9a3c86279482b026ea83f419da526fccc2b76c52,0.050000001000000%,Genesis Holders,
0x9a594ed5ffc9a018f0018a8bdcd78ea3bf89bbd0,0.050000001000000%,Genesis Holders,
0x9c73ab276e6588764ff185c4b34287205b32ae6d,0.050000001000000%,Genesis Holders,
0x9dada4090cb01fef1822cbf366083572682216d7,0.050000001000000%,Genesis Holders,
0xa14fde14737d77c07929a1446de30e695d71cf37,0.050000001000000%,Genesis Holders,
0xa1c11070db5e9f8bdcbd526ef303aa15d3c3a00f,0.050000001000000%,Genesis Holders,
0xa2ba973726600a52f51934330a5b9adbb44cd8d7,0.050000001000000%,Genesis Holders,
0xa35db9c7c0ada465af319061fef84d836559c924,0.050000001000000%,Genesis Holders,
0xa5a2eac8b8b9a4205291f6939d2a4d6fc90aa511,0.050000001000000%,Genesis Holders,
0xa6e87cae82b8006bf308ce6ccf292d0392b4106c,0.050000001000000%,Genesis Holders,
0xa7fedae2edad2cb6dd5e0c4e796349f647b4b205,0.050000001000000%,Genesis Holders,
0xa9d91181f4eeb40dfceebce3b95bb477aba93105,0.050000001000000%,Genesis Holders,
0xab260460a5a1caa214bfd8c671091c845ae6facc,0.050000001000000%,Genesis Holders,
0xade9086630754563619908bead432de161a1f558,0.050000001000000%,Genesis Holders,
0xb051c6f5f8ceaf33dfe5c1180bda327b686fe065,0.050000001000000%,Genesis Holders,
0xb15925daf5f46772b3c9b82278f718b6c38f3bae,0.050000001000000%,Genesis Holders,
0xb3823226e4bbf18709412d91ed6b759e18dbd0a7,0.050000001000000%,Genesis Holders,
0xb4286da1685868a4585b26bebc82002ceb16fd09,0.050000001000000%,Genesis Holders,
0xb46c67bf6ec04b6fbe9d34e7901b95b26bb8866f,0.050000001000000%,Genesis Holders,
0xb4b96952a1e2e7272bb4335c54baad72780fa9fb,0.050000001000000%,Genesis Holders,
0xb523376b23d868620ca292197b3dabe42111064f,0.050000001000000%,Genesis Holders,
0xb673e27222efb850890d6dcef12401e4c707503c,0.050000001000000%,Genesis Holders,
0xbabe614a7cb6317db1d41dc25f94de8371b3a9a9,0.050000001000000%,Genesis Holders,
0xbe7d5b134416e79f5f1ada633515d4916d0fc733,0.050000001000000%,Genesis Holders,
0xc06791891dee9821f1df27ce51fb9b1c8952f3ee,0.050000001000000%,Genesis Holders,
0xc0f70d98ec6ad9767d49341db57674f1e2305b87,0.050000001000000%,Genesis Holders,
0xc23859495d5cee5f5f38981523ea53068ce56c5a,0.050000001000000%,Genesis Holders,
0xc341683d1ee57b13ab90a1fc00f38dc6f7afdd14,0.050000001000000%,Genesis Holders,
0xc431a80079dcc212a71eff421afbb886e8d2fc14,0.050000001000000%,Genesis Holders,
0xc5046889f1557186b36456e64b567b5c7fc50eba,0.050000001000000%,Genesis Holders,
0xc64b172b40721d36318cc4d93111d352d019c40a,0.050000001000000%,Genesis Holders,
0xcd28cc2cafc7449c21d8d94c676a630b7bbb9522,0.050000001000000%,Genesis Holders,
0xcf17229f1fa622bccd36537aa8e2ed8826c78fd1,0.050000001000000%,Genesis Holders,
0xd2dfd8bda951930bfbf4b92912f8c212ac26ab48,0.050000001000000%,Genesis Holders,
0xd36f93fd49d04d42aeeb16a1b661548a87251b51,0.050000001000000%,Genesis Holders,
0xd4059510f8822869c42aa83647bbdc5e73eb29ae,0.050000001000000%,Genesis Holders,
0xd4364ddd6c7a125f98ec431b4d3ce8024e0d3ec8,0.050000001000000%,Genesis Holders,
0xd6074e349997f45ba63ebda5f3dced6e60b6f445,0.050000001000000%,Genesis Holders,
0xd66a616354d92d346fe8be490a05bc97b2f02036,0.050000001000000%,Genesis Holders,
0xd681521eaa18f5b3624b683f10de481489c014ba,0.050000001000000%,Genesis Holders,
0xd9aa8dfecf3764d0f40782984d9e959fce37bd21,0.050000001000000%,Genesis Holders,
0xdaeb5f4383cb7cca5486a1fa6cb84f3544fc3aa4,0.050000001000000%,Genesis Holders,
0xdc8e82e2c3dad5653fee4ce54b4feebb1efbd4d8,0.050000001000000%,Genesis Holders,
0xdccd51de685a283c233fa7d387c097499f3e83c3,0.050000001000000%,Genesis Holders,
0xdce219469527b5dd722534ed5c53db41d4e68d79,0.050000001000000%,Genesis Holders,
0xddd33c6fa58f04dc45a1f23fe6988eb5e35c3487,0.050000001000000%,Genesis Holders,
0xdfcf15bb0d3d2e11b1c865fdb1021395c3317087,0.050000001000000%,Genesis Holders,
0xdfd4b2309bbf26f81c20af29eba7f2ebb79a6a35,0.050000001000000%,Genesis Holders,
0xe10678b29da4a2818af9b620c037de34db5dc6ad,0.050000001000000%,Genesis Holders,
0xe2fdaf26e29f7f892cbfd7e2cb678b73a2493f2e,0.050000001000000%,Genesis Holders,
