Address,Allocation %,Type,Sum
0x5C85A7Ae2B6d29C38cdF360553F8aCBC4e684c31,10.00%,Developer,100.00%
0x11ca0cdf71bc2ba530be04735c76ba8410eb9c6d,21.6300%,USDC LPs on Meter,
0x8cafd0397e1b09199a1b1239030cc6b011ae696d,17.4300%,USDC LPs on Meter,
0x7db6ac6fa3c8aa2c6fb9bdcd4800e8baacdd2ee8,4.8300%,USDC LPs on Meter,
0xcb928017e3695d0ae6f2f2b8e494eb1842df350c,3.1500%,USDC LPs on Meter,
0xe5a273954d24eddf9ae9ea4cef2347d584cfa3dd,3.1500%,USDC LPs on Meter,
0x4d328e3f326c96b883b83bfd8e29f3c2ebfd4341,3.0100%,USDC LPs on Meter,
0xacedc263ff6de824b38caeaac1fd877b1a7344a1,2.8000%,USDC LPs on Meter,
0xabc66cc72636b4259d3821ceceee08c0ec9f3873,2.0300%,USDC LPs on Meter,
0x5a3546ef0467333d5f2176a2d13970032886139c,2.0300%,USDC LPs on Meter,
0xd63da94c6a7e8d15f8eed6d008815fd9e978cc1f,1.7500%,USDC LPs on Meter,
0xca26ecf47ce060855e652a4179d1d461de943822,1.4000%,USDC LPs on Meter,
0x2d22436025b861cfa6f9a627ee13dbc246a35cb5,0.7000%,USDC LPs on Meter,
0x895b0f1ff536e8d280ada29d14b8c22d0d919d09,0.6300%,USDC LPs on Meter,
0xfa4dfbe7b012b1d92fdd5544f30518bb58bd41ce,0.4900%,USDC LPs on Meter,
0xcaa74debeae8b73de8a894e16ceef7625c69c7ff,0.3500%,USDC LPs on Meter,
0xb3dbe27e6f3e594070c92b6461c9e0e6fff6a041,0.3500%,USDC LPs on Meter,
0xc211a250fc30122ee107ac9acf6686110339520f,0.2800%,USDC LPs on Meter,
0xf5fe4e9c5d2e008934cfca559dd61921d3c19184,0.2100%,USDC LPs on Meter,
0xb35b39be5b520e40ad67435168cfd3da86b1ed55,0.2100%,USDC LPs on Meter,
0x8573e706b5c2b0d1d265b2d53b8d2cdefe567a2d,0.2100%,USDC LPs on Meter,
