Address,Allocation %,Type,Sum
0xffab14b181409170378471b13ff2bff5be012c64,16.02%,OFT Volume,100.00%
0x5ddb25070b70268b0f152cad66a637c3fb0222c6,7.18%,OFT Volume,
0x00d5cbf97a6e9786a1a270c4b4404c81d59d643b,5.54%,OFT Volume,
0x13fb7f303b8a494b07edf3c8ea79d20ccc0e6cd2,4.49%,OFT Volume,
0x73831e7c600f48cebbbff957b466be8e5c087f34,4.28%,OFT Volume,
0xc6963e89c59d568f90ae0894547457dd570fc8ca,3.21%,OFT Volume,
0xae362a72935dac355be989bf490a7d929f88c295,2.96%,MET Holdings,
0xfe192ec5f16cee038e70afd28a42fb466d8e2569,2.66%,Synth Debt,
0x3780a7cf06eb4560f8f7f4402c82d7cd200278bc,2.63%,OFT Volume,
0x84119e837dbef0f4fb877681687a2869b220533b,1.98%,Synth Debt,
0x37e1881f05f33f71e43bb8f284e0ed53e26520d0,1.85%,MET Holdings,
0xdd84ce1adcb3a4908db61a1dfa3353c3974c5a2b,1.82%,Synth Debt,
0x2d29c09ef733f48fe10074a2dd7c38b50a9d4d89,1.63%,OFT Volume,
0x84c8438276003528b11fd5850a69eef24e879f23,1.55%,Synth Debt,
0xbe995995ab0ba80aeba56681b0fa97fbbef4518c,1.35%,Synth Debt,
0x73f10d7affbab50326441c56d775a075e54698f9,1.26%,MET Holdings,
0xf134d9ea8805997a57c05ae924fb674196bf0bbc,1.13%,MET Holdings,
0x86abfc48e5ce6dd6125f3c6606435b3e4f3a6313,1.09%,OFT Volume,
0x80f2d2b2d778fdcb3f231a9ed403b6963676c869,0.98%,MET Holdings,
0x32723421e07dd66da4b6e6389dbbf8bd10b9f0ba,0.94%,Synth Debt,
0x3132d5bae89d248deda77aba04a43255ef188264,0.92%,Synth Debt,
0x602da2908b166dc0f897c84cc095ae2675b118c5,0.89%,OFT Volume,
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0.83%,Synth Debt,
0x096187368ac90c47a4df438ccba411debd25d93a,0.81%,OFT Volume,
0xbdd5d655ad781fb9929bfe515eb4a50090444c21,0.71%,Synth Debt,
0x3c76a3fee9831309c8d2f66ac723eaab740b1ee0,0.70%,esVSP Holdings,
0xb3983cddba4b127960a4cdd531ab989264509e23,0.68%,OFT Volume,
0x61f50829b24f99995123ec64050c99d8c93c4ac8,0.65%,esVSP Holdings,
0x0bd27fac898a59680b9dc92bb7378df610825e8d,0.60%,OFT Volume,
0xd5d532eb47644efdfaed497fc6e201d27a738008,0.56%,Synth Debt,
0xcf3c96b0f299208b085fd3746ffb9a6fe5482523,0.51%,Synth Debt,
0xd4ca6ff3dd02bab5036d217ff7f87e7dad6d9066,0.50%,MET Holdings,
0xfccf78b260d819cda532ceb6ba16e71b0c1f6c98,0.50%,MET Holdings,
0x6341f36d0f3e02bde64b28277f1082afd57d81d4,0.47%,OFT Volume,
0x0470fba30a427099c248d32a3efe3d63fbb41619,0.42%,OFT Volume,
0x2ff770ca0d60e734179e1c667e9fa3dda0071d3d,0.42%,esVSP Holdings,
0x08fbdf4ae3a3a8d0ac6efacafe9ba37bbf3f76e9,0.41%,esVSP Holdings,
0x1813eae046e265511b10e0745155c74ae9eea78b,0.39%,OFT Volume,
0x1a776c84d64ecada985c968c3589b3c8615a1e7c,0.38%,Synth Debt,
0xc0ddbaaeed6fc3e2f4f4efa5778383b0e356621e,0.37%,MET Holdings,
0x68727c09bb625c18dc75996a6415007d01f757c2,0.35%,Synth Debt,
0xf8b189786bc4a7d595eb6c4d0a43a2b4b0251c33,0.34%,MET Holdings,
0xc17cbb210b2dd44bb07d55212c6de6961404ec94,0.34%,Synth Debt,
0x2fbbe2177ee493ccde082926384f6202603242fd,0.33%,MET Holdings,
0x37a6156e4a6e8b60b2415af040546cf5e91699bd,0.33%,OFT Volume,
0xdc775c3d76697aaf8c850b69d1a23123c36be8c6,0.33%,MET Holdings,
0xb8cffe8fddad3be02cd46ffae1d27ec5098989b4,0.33%,MET Holdings,
0x29d5ce94785f8d063f2de28a70dc4a82e40e662d,0.33%,MET Holdings,
0x9527a8e3140b1d41a27878f60dc8f36186edc31a,0.32%,Synth Debt,
0x9e4a89e06a5fff84aa7d1f057945089b13dae209,0.30%,esVSP Holdings,
0xf9cb2124e95418c0e135771acbddc2d60d7df6ea,0.28%,Synth Debt,
0xcc1004304901bd943079f2e75b642b77a094293a,0.25%,esVSP Holdings,
0x2b6868161cbc8c75bc84e0c8a270c3862c664067,0.24%,esVSP Holdings,
0x8be46b25d59616e594f0a9e20147fb14c1b989d9,0.24%,OFT Volume,
0x4fda54c85e7db9890a7e95b5fac4ff634ba608c8,0.24%,esVSP Holdings,
0x8379b00e8fab18a10d87ccbd28fbd796367244c6,0.24%,MET Holdings,
0x3f3b9b0f14def5817a61437ccb25ccbbd4853ffd,0.23%,Synth Debt,
0x7beae16328d9e269f594b90fc0471e34fd96039e,0.20%,esVSP Holdings,
0x6529112b8bc09073b1e38548a95f93924bf01d9a,0.20%,MET Holdings,
0x19c4179508320f6badc683bb73d92958a45a2001,0.20%,MET Holdings,
0xb001069a64f8b9b52f1b68c44d7de7c7ff6c86dc,0.20%,MET Holdings,
0xb96a335989b549d64b99ef5183c18d1586082f43,0.20%,Synth Debt,
0x4389b11f5ba911ae7e6ae418e828a2bf3eaff361,0.19%,Synth Debt,
0x434f7b4842fd67749149bfdac964eff03eb62f6c,0.19%,MET Holdings,
0xe500120d91ac194a690729026363c180bc19ad2c,0.19%,MET Holdings,
0xa185dada7ec3052fc566aa5ea00b4dd788507a97,0.18%,MET Holdings,
0xade9e51c9e23d64e538a7a38656b78ab6bcc349e,0.16%,MET Holdings,
0x7c65d0ed6296ac870d6ce085bf95ba384041e60a,0.15%,MET Holdings,
0x44cb2d713bda3858001f038645fd05e23e5de03d,0.15%,MET Holdings,
0x194772668b6d800ba24d3f910bb004da1a81cc81,0.15%,Synth Debt,
0x29aa2ed8712072e918632259780e587698ef58df,0.14%,Synth Debt,
0xa518bcaf2e9622d4922e893f04dc2eac5637efa9,0.14%,MET Holdings,
0xdcc47a74944ad6299dcc9fd65a557fa4fe1dbbfb,0.14%,MET Holdings,
0xbdb7194a6f048f57e0bab51aaae0fb623615805b,0.14%,MET Holdings,
0x1723a88158118ad1ae03a873b2df1e8de4fb921e,0.13%,esVSP Holdings,
0x16c4dd5974bced35984850d83a21c80a5f443753,0.13%,MET Holdings,
0xf4087b7ab24bde9c445ddd0bc4df257f81277214,0.12%,esVSP Holdings,
0xd4e5b7bd7b8d3581c8338360e3420fd3e492c65a,0.12%,MET Holdings,
0x7119f398b6c06095c6e8964c1f58e7c1baa79e18,0.12%,MET Holdings,
0x0172e05392aba65366c4dbbb70d958bbf43304e4,0.11%,MET Holdings,
0x76e2e2d4d655b83545d4c50d9521f5bc63bc5329,0.11%,MET Holdings,
0xb9f11247c2e287eb37a66dcec62b215e9755cd40,0.11%,MET Holdings,
0x91ecadb8ef5dacc6156ffc036acf6295eab7a545,0.11%,MET Holdings,
