Address,Allocation %,Type,Sum
0xB92Db657192c9CED21CcabFE43E04BAb14b34e66,10.0000%,Developer,100.00%
0x026a8fAE66A54336EB66F867a86fDc4617CC4377,1.0922%,Bridgers,
0x7bA6416f4ef7487dB8126C4Dc77ab551564EDF6c,0.9200%,Bridgers,
0x3907dc71a5AF27cF2e9f012053F746bf8e4Fa7Bd,0.6800%,Bridgers,
0x38B3349d3C1454754f12848621Fe590f2163c427,0.6500%,Bridgers,
0xe3af998ba2C3825C8d03cf564Baf349494d8088b,0.6000%,Bridgers,
0xf3De96Dd26847d877960736E426E2d852B6765f4,0.6000%,Bridgers,
0xADC031616771eCB503C65e607C13dDe152d459df,0.5000%,Bridgers,
0xd8844B1661e8D7f22eb34FeAeE49b888be3f7f9b,0.5000%,Bridgers,
0x5EeDe1C45E4401d7D95E55446dAd71B511328534,0.5000%,Bridgers,
0x56853FD7178bcDc672A28102f08217676086531E,0.5000%,Bridgers,
0xD849D695815bE00eD42cB550D9054a556cCc4316,0.4500%,Bridgers,
0xFdEa3f66bAE6351e1c63D4291db7F3888260d92E,0.4500%,Bridgers,
0xf6FF4400F07C369d72CfB362bBaA64df531F0F3F,0.4200%,Bridgers,
0xe063DC804128BCfa468221BF7CEB69Bf2728e937,0.4200%,Bridgers,
0x98AD750727AF9F145ab72D727E9B53500270A094,0.4200%,Bridgers,
0x1A2ae733a835213C1d1EfD2B696aE322e5B6535E,0.3800%,Bridgers,
0xec25575F2aBd0F64E00CB6Ce4cC31Dd83353329A,0.3800%,Bridgers,
0x8164BCd381c18403e069c06Fe39FF9f63Bc9F8cc,0.3800%,Bridgers,
0xacF109Bf250daFDf773F8bb6e31F15e21bA9a463,0.3400%,Bridgers,
0xf0AEF24e4d291B306dDCed7e85F0916804B95AC4,0.3400%,Bridgers,
0x3EcF4f2440e29E3dd9D5aa6C927B1337F480CC74,0.3400%,Bridgers,
0x6097c9D5500f5dA9d8e48F01E8032473974a4C63,0.3400%,Bridgers,
0xc4A2edCb8032566f918b87Eb66137A38B4Ac080B,0.3400%,Bridgers,
0x1A2eb5caf7Ecc626C313E19a449eDb5e7cED1143,0.3400%,Bridgers,
0x72e79e5B02e72E506D20F94F5696B4Ab7Dec1f3A,0.3400%,Bridgers,
0xfdf3B3B1cfE5f4967DabA1719693d589Ba790c1c,0.3400%,Bridgers,
0x6e22706d6E86C38f4BAD40415b1b4c76f5B821B0,0.3400%,Bridgers,
0x52cFa7C582bC31Ac294cEb2119C965B0b283d665,0.3400%,Bridgers,
0x9229a1946b86a7D3833EcE6953D7CF37E2BB2452,0.3400%,Bridgers,
0x52C8fe1c30a22AF561B1bF1e1D6a476b37d61c68,0.3400%,Bridgers,
0x21b360F60b386D2dCd63ac2E1EFcf7C36371eCac,0.2800%,Bridgers,
0xb3076C16e1e0b3ed70649dA1f5454962E09999AF,0.2800%,Bridgers,
0x6D431ae1e8ff26de98d8DAAAfb5B48877CF20211,0.2800%,Bridgers,
0xc63ED34eDeB159d7A44F37cBce9b61f5f96E7C72,0.2800%,Bridgers,
0xdb94A516465B1DDae57a5150C0771377D637B225,0.2800%,Bridgers,
0x98E349f711A6Be4bEc8Eb81CA3f86b7960B54642,0.2800%,Bridgers,
