Address,Allocation %,Type,Sum,,,
0x2E5d207a4C0F7e7C52F6622DCC6EB44bC0fE1A13,10%,dev,100%,,,
0x879c2ee5adc372d0542d65d80ebfe647ac1a5f10,5.31%,User,,,,
0xbcc324d812c940e8188ac9f38a0526235b6b75c6,3.53%,User,,,,
0xc337ecd232378b66737b1dfef2e63635f4c7c62c,3.52%,User,,,,
0x4a10fece68df9453493eb28d1db09c826c7ccf9e,3.20%,User,,,,
0xc337ecd232378b66737b1dfef2e63635f4c7c62c,3.17%,User,,,,
0xaf1de295a3ae5b8f08a01172ccefe137ad88b30d,2.79%,User,,,,
0xb5ca2dddf8cd15e11a58d4c02825cd9a82d56d5d,2.10%,User,,,,
0xf5e0e56bdeaa89be9ba6166fac3c62cce793754e,1.93%,User,,,,
0xc2c04667483a95b597acc6c347a0c57723bbf2ec,1.91%,User,,,,
0x6ee1f779c3aceb46e5d9f4e7b05c6badb9eb1307,1.82%,User,,,,
0xb66db9afc247d81c0ad6ea6c883422a33b4f6770,1.77%,User,,,,
0x2d41511ef16d6abfd9b5cdaaeba6bda914b02229,1.75%,User,,,,
0xd7ceecc70693b8268ab3652f8358ed19a36f7aae,1.60%,User,,,,
0xe61880588f183cfd9c65f5ce3fcbfdb1f4765a81,1.54%,User,,,,
0xa86e8f0538eb17ebac1c712581a399623fbfc678,1.41%,User,,,,
0xbe8c604c99c7bae4ccd6876c4a528945a107e05d,1.41%,User,,,,
0xc2280f7c7eb261ca7f45d13768d6d62c543e3d90,1.30%,User,,,,
0xa228224e8808733461ac8c15f9a7fd49dd4c18c8,1.25%,User,,,,
0x5261a4601f8e3016555a31f5b281d8ad57e1233d,1.24%,User,,,,
0x83cf51a12258848540e862d1ab8b2fe05518f716,1.11%,User,,,,
0x5cf5d2187fac6ac2802455234f8d14f8df8126b4,1.08%,User,,,,
0xf5ff296d4b9c856bed217ead0373cbd6480cce8b,1.06%,User,,,,
0x6ca0fd370ba5018d4e13224c5c94ea2f87dee2f8,1.04%,User,,,,
0x72fe8e0352c1228499377154087fc370db177a90,0.89%,User,,,,
0x50c87700c30d4bb5f6822860cc5e49501c4575b0,0.86%,User,,,,
