Address,Allocation %,Type,Sum
0x38605DB677238fe84334c731de139ddBB194e707,10.00000000000%,Developer,100.00%
0x001aBa7087F49a135FFB121A40684416824E9C34,0.02696996228%,OApp Vault,
0x00b3eCC795d7f3C3a0416be0784c43B652D5f4Ca,0.01216995113%,OApp Vault,
0x00d3133DCaCAF0480fcebCC8c50EbB66923d2b18,0.05247623145%,OApp Vault,
0x01992aA7a378A1Fae028eB6cb7fE237a6d8BAddE,0.05421112800%,OApp Vault,
0x02eEA268367896D5930fD04D5b434D8B1526C67e,0.11364133950%,OApp Vault,
0x040007A949fa726f50810f6C98b1B620b50793a2,0.02258141087%,OApp Vault,
0x047db99976D1080Cc7639923Cd1FE1D422A5fF49,0.04272160321%,OApp Vault,
0x060f729A9d7471956D2516DC8CfED6589d4C6B32,0.01566459554%,OApp Vault,
0x0660D0a626B2A63D03EAC2127816b6ec2E0572b1,0.00728457495%,OApp Vault,
0x06b67C5F8c490004A162f34b7E3561E2e5fC5fB1,0.02708548072%,OApp Vault,
0x0818F6E98A6b62E02A6A258458Dfb579FD2387C6,0.12430856220%,OApp Vault,
0x097Ba36Cb9B421689a30911cc0D40b607D5D5d0f,0.00877123694%,OApp Vault,
0x0Cf4660312c127e95941FbA33525948190d51180,0.02194341553%,OApp Vault,
0x0cBD422993AF41cDA4B1563e12fE5d95Cca18Ca0,0.00728501519%,OApp Vault,
0x0cbBFE89F96f8B5b82865330Eb8Db058C00337Ad,0.06154790549%,OApp Vault,
0x0e8B0cdF27b9DD2ddeC656ED31bb086B8AEd495C,1.12750118300%,OApp Vault,
0x0e9903AD764711A768ab6d9911b07004F2AA52b4,0.39178605170%,OApp Vault,
0x0f856Ef337Ad2D260d048543b66E601a1f6F6c6C,0.02043738725%,OApp Vault,
0x100AFADf0Aa55Fdb89de73794CB5fdeEdf14E9ad,0.01828985077%,OApp Vault,
0x10d0739E251F5c212312d023c9fCfE0fDcAfcA23,0.05642500589%,OApp Vault,
0x11fCd9A8f0c63f992eE9371c9Ac4F311e9B0d861,0.21621582590%,OApp Vault,
0x1341df844780b66AF4ccC98Ae0F34be87eABe1d5,0.04328989718%,OApp Vault,
0x137696A2a6804d4297B6B458bB336Bd5570ed4F0,0.08784869335%,OApp Vault,
0x13c5F6B639309227b2d7fc884df45f5ce3dcF931,0.02405717161%,OApp Vault,
0x15D6aAAfaD6255BaE4Cc6805617A03a7D8c5e991,0.07012010209%,OApp Vault,
0x17E0B2afA40B10166cA06c2b03cd3bE4A3534f00,0.04067531612%,OApp Vault,
0x186A0eDE279bb1e46fc383d990635d32dDA655F2,0.00443870023%,OApp Vault,
0x186b12Ceaf08FDE22E32647fcc800e45876F5Bd0,0.00257901312%,OApp Vault,
0x18b5Fc951aEF0Fb3938dE1CEFE890Cacc2A7c12f,0.00558869668%,OApp Vault,
0x1951F4Ca3a213086cA62073160C5ADa49DcF35e5,0.29183293250%,OApp Vault,
0x19D8bF7130E7bAEA5E0a56C7Bb4003e7bbFFe58d,0.03833749690%,OApp Vault,
0x1A5b017188c8d4063f9dd0F9515ECFb80D42291E,0.15012946730%,OApp Vault,
0x1CF274a674A29fFe2425c1111b64B4d181744CE2,0.00837765148%,OApp Vault,
0x1Cf044dD8a89bABbA6166566A2BCd4Fa0E693DA0,0.02930446118%,OApp Vault,
0x1EbB73f5F47Bcc3D7dC1dabf7284875E3AE40E07,0.01354834583%,OApp Vault,
0x1cE9FF9E35B27a847e2de6aF1C83F09BA3244768,0.01190299292%,OApp Vault,
0x1cdab1F3C6e535a9aC6F9E3C9999De76263c0A44,0.00645153616%,OApp Vault,
0x1dc619C4f2D36965EE1F8cd94732DAc48003A917,0.01747642500%,OApp Vault,
0x1eC1CEBa35194ebdA0148CEDc7B2cC6Fb12f4edD,0.00627705980%,OApp Vault,
0x1f5FA0fCf048e453ef2A1F1485A8bE1388162915,0.01154569337%,OApp Vault,
0x1fAAA2B27e79514Ca2eaA2B1959cFC2A5F4D52D6,0.10300781190%,OApp Vault,
0x1fFa995bD1a7effD6B02c740d8130FfA77778B07,1.00712997900%,OApp Vault,
0x200E5DD048354B3268D87c206951f451d70D2329,0.00542008182%,OApp Vault,
0x20897a7D7e7bdC6Fd1245561Ee2214D47EdBeff2,0.01198944052%,OApp Vault,
0x20C7B4c7c51941c07F1fF3619846a2DE9EF0D457,0.00854000322%,OApp Vault,
0x214B0A9135833e99687307B1614e4fC33F740D69,0.00871421092%,OApp Vault,
0x217d452b93dD9d369d4242c744DA5484E59dB312,0.00728454497%,OApp Vault,
0x21E75Bd06d45DaFC0C73b72eDcFcC34f51A5D9a0,0.03125748309%,OApp Vault,
0x2256642EaAB38Cf057f3fdD5A0F5853c79A23b27,0.10730658820%,OApp Vault,
0x23B819787B0d40419E282Fd063Fd3317DFf4486f,0.00364908847%,OApp Vault,
0x23ab09D56E319b7F66b2E3a6b22A33893733Aa61,0.02501777956%,OApp Vault,
0x24373196c5E335ec0C3D2148323D7A5Ee625c668,0.00692253445%,OApp Vault,
0x24D55b7da98A675BCe37bC89909b5F73A568a1d5,0.12384388670%,OApp Vault,
0x251788CD735320376F2b9D791fBFFEd95DE815b2,0.00529641272%,OApp Vault,
0x2529Ff9E9a4B68593Ae44947f9C6375185a9431F,0.04217910517%,OApp Vault,
0x255Ca0CdeD8bcD73B19aD800D9d113cE7B1ac5d9,0.01171987269%,OApp Vault,
0x25C48c194707297025Bf6d1ab7c842A0F244bf16,0.04968339984%,OApp Vault,
0x273122C3e71e3AE2d2021b6bb7b1652346F8DDEe,0.01148750620%,OApp Vault,
0x2835E63ce57A48DC80350c1EEDC0e3F532f2393e,3.58356344800%,OApp Vault,
0x2892F9F13224E737A5E143d5c6AEc0999e297B46,0.00662406735%,OApp Vault,
0x2951B1F7058bd2C05F01954002C450BaC0873847,0.00370596234%,OApp Vault,
0x29C398D190B1e70B7214D646D35750e4e72D7234,0.00375527202%,OApp Vault,
0x29f308307a37544E9F1b63DBF5a125DD54c3c9ac,0.00485071303%,OApp Vault,
0x2E28704760F4a1079F475A20cEB73F529C8c3Db0,0.01873212518%,OApp Vault,
0x2EA2ce595Bd68a0CD1FD34b06dF98970952Fe4D2,0.01198769270%,OApp Vault,
0x2a06913D5b8748b222E1236768C24ca19198B374,0.00489577178%,OApp Vault,
0x2c64a1D5D602E7Fb6d21dA6211DceCc6E17a0649,0.00551273158%,OApp Vault,
0x30ee1f53c0e9489fDeB7047d005684D641bAfb37,0.01381693692%,OApp Vault,
0x3130D2b8cbf0798bb1cBf2a4F527dBaE953FF27f,0.00956750463%,OApp Vault,
0x323832C47dA89306BF19a5f652C715d505792ee1,0.00711788031%,OApp Vault,
0x34Ba3a4Ea1FBCD251DA6591aF68302BD17b4AE18,0.04861672648%,OApp Vault,
0x34bcaD14D731aa73C08c2759cB5b2356900fC9BD,0.02456848699%,OApp Vault,
0x359AFCa16fE17df3BEFD35613bA57Dcb9E744a73,0.00444936587%,OApp Vault,
0x36D1137Ba3baEB5e0B9868642CB1f1c29bfFe696,0.01606625656%,OApp Vault,
0x36e77F5b1E4213EE730586B42585DCD9F2e1d73b,0.01557917561%,OApp Vault,
0x374D5221a4367fe746cC6C92D333C6ce15386fCD,0.00835663879%,OApp Vault,
0x3873DEcd4f853baD034b6c035A9b494d7161F9bA,0.01056684107%,OApp Vault,
0x387a9cAb0619f2FED715A79795473dd068039c68,3.68641836900%,OApp Vault,
0x38a6305Ac687C93Ee4c4B8d6f4cac99AdC526457,0.02000214907%,OApp Vault,
0x38eb9929B0e7a8d1a27fC3e12166327B666f4138,0.00588871485%,OApp Vault,
0x3BD1622FcF0c0840D13c481173917F5469A5F1c4,1.70753980000%,OApp Vault,
0x3BEcCd81D08845cb0F2355D79DE848D1Ede4Ae94,0.01458553345%,OApp Vault,
0x3C9F22869d325f1Bc9ACF2844B1455a4b6E22ac9,0.00914970014%,OApp Vault,
0x3D322b32FBb27B6c2dfBe7906300781F425dc301,0.00877379166%,OApp Vault,
0x3b90b67C69f3d4b86Ee3a8730A272FE2A2A05Af0,0.00450015183%,OApp Vault,
0x3ec783B1C10d39F1653C20C821E0ed810eAf6A2e,0.03464927346%,OApp Vault,
0x406cD9B0B56f3D9C9C70ca542F0968ddFbF93C4b,0.02831951374%,OApp Vault,
0x40E107CA678cEAaE2f9197137fad2da1c6E960E3,0.00727498200%,OApp Vault,
0x41F9732D73128f10112540Aa0F0496141a4438B0,0.01760910790%,OApp Vault,
0x4371eBAAefEb8e56ea8448787508EfeFa2291d74,0.03603424514%,OApp Vault,
0x43A996fa50d2f378d707aCA9dDCDE1C30CB68f63,0.06449541640%,OApp Vault,
0x4415C66Ebaf6F33c9E1abffb9C33277f55652a00,0.00869062409%,OApp Vault,
0x448B0b3088Ade825eA3DDA7867B2843205817f83,0.01364544020%,OApp Vault,
0x45faE1b6ccd0c3803f39f68f0f140c320dc4CA72,1.67923914500%,OApp Vault,
0x4642D9D9A434134CB005222eA1422e1820508d7B,0.00411487268%,OApp Vault,
0x476682Fb3ef153b13C6973b949a2e4C42F89f765,0.03663776961%,OApp Vault,
0x47Aa5da548a53Db1C9E9520B381280bF1C68Ab70,0.09892047709%,OApp Vault,
0x48b1E16cF36CE0543F9a0c5F9861Bb05d613142b,0.02785011417%,OApp Vault,
0x496a1565C1A9b056E468a20eaB1185d3502a8B9c,0.02728313624%,OApp Vault,
0x4A82811E22D20d8Ef663eA1229e2A7b0c058e985,0.00387381868%,OApp Vault,
0x4C775aC105C060132B9c55533D997bC2A0a54572,0.01460880393%,OApp Vault,
0x4E151f37CC3355DF367031d7c667d168555901D6,0.04930745888%,OApp Vault,
0x4FE53e953f1ff4454d144cb6f4fEE3F2CA9363fe,0.06269298470%,OApp Vault,
0x4ac139D40354cf5D6C135b21A0Ad5A4314B2353C,0.01032123497%,OApp Vault,
0x4c22F2CabB3FEb4AF34Ae6A7e06Db4edF1272C7B,0.00779843084%,OApp Vault,
0x4d25dF436ED70BF14FE546B1d0D3858f5959589b,0.00617448423%,OApp Vault,
0x4d4902BD7E080159964f46B10feeb6482d148E5a,0.41645103560%,OApp Vault,
0x4e441d3a31C8B2672a7685482Bd288938e5b7833,0.01481607217%,OApp Vault,
0x4e90Da1dDCD5B0Fb295b6A69251b5D04D5bCCA7a,0.58205281570%,OApp Vault,
0x4f1Df0B690c00bD96B1E71C66cb4E75cb22Ef1d1,0.00689146030%,OApp Vault,
0x502573283aab8E973370341397b13CfeF3696339,0.00728452230%,OApp Vault,
0x502B0eB67F0DCf70733ca71395E5031d2BfD3401,0.01159270638%,OApp Vault,
0x5039c76C55D659A3aa50846709a9913ecF711860,0.00887575646%,OApp Vault,
0x513e7E4eE75ABaC7f9Ba3e8424669386c41be3b8,0.00421374836%,OApp Vault,
0x51D0eb116Ecbfd3b82163f713887e62A78E1befa,0.02409110018%,OApp Vault,
0x5252a3C0eBa07bF5653648165abFcCbE5FEebcE3,0.02183004789%,OApp Vault,
0x5BA5Bb2ddA6770898855E40C2f2b5cD5D8E91D57,0.00728497497%,OApp Vault,
0x5D414D32510ACd9829a30c47855DDebC5b86f445,0.03993188749%,OApp Vault,
0x5DA247887e90EDba0C4DCaE09820869Eb4c26Fd2,0.06861379250%,OApp Vault,
0x5F07ab190F2EF7De9F5C1AE4752b0F20c8682738,0.08795067760%,OApp Vault,
0x5a5000B182A754C1F17bc00B43B352FD44206FE8,0.00522261696%,OApp Vault,
0x5c217CC668b5A972f7DF0EE87229dab1024028d3,0.00472433834%,OApp Vault,
0x602a9Cd5241e9A184DFe5D7C14601ECE8A71F35A,0.00404266942%,OApp Vault,
0x607a9e2523Cd4885e4D3bE8E049b57F0c8A8955a,0.00976260638%,OApp Vault,
0x608aa8c0b4D03Ea71810e8b32FB92ebF0BC11b21,0.03828658286%,OApp Vault,
0x61300DE79422a18B69Fd3aFe4238EC5aA1df0635,0.03292660418%,OApp Vault,
0x634ff2CAbF9ed670c12e9f71F8d62226583DA5E6,0.00728359794%,OApp Vault,
0x65Cb5Bff8BaFe67CD9106b454843dbf233aACf7B,0.23800736530%,OApp Vault,
0x66c9e172017e0DE677c5D99006fa1E1ab5720F4D,0.08387860272%,OApp Vault,
