Address,Allocation %,Type,Sum
0x510671fF25A10fcDa7aF9FA8B354B93074c06bcf,10.000000000000%,Developer,100.00%
0xa75fb923297758a8eef00ccce149ce4667d3faaa,8.423279340000%,Bridge User,
0xce52c2e8e54cc717d1b35ac730406141ddccb47d,4.667130179500%,Bridge User,
0x8678f58ac6c4748b5289d0db70e627eef395dead,3.154032131500%,Bridge User,
0x2bdb9d8ecc5af52f8a9d9095c440e0e197721790,2.520072764500%,Bridge User,
0x1d4836a9aa218c9adc5dbd40724be085dbfa6104,2.496715647500%,Bridge User,
0xfc9e0e4f0359e0972c02b840b9c36e129f82ab25,1.261181525500%,Bridge User,
0xe9b4c8212c9bf74cf5295839a77ddc0482a255dd,1.076942029500%,Bridge User,
0x4c80bc73806eb11f7e5364b78a82725d5d8db2b6,1.015859296500%,Bridge User,
0xa18af29f859e2a5047d45f0579c4d423014f86f9,0.603807613500%,Bridge User,
0x34a4392c184a7bb5f62675adbc8e93bd193991ac,0.529051610000%,Bridge User,
0xf2fe0bd50f818389fb012beef8aa96ad6b610916,0.514932433500%,Bridge User,
0x70144e5b5bbf464cff98d689254dc7c7223e01ab,0.490739532450%,Bridge User,
0xe476dec76e2cc238633d1e361b5a7155f46099a3,0.414464587650%,Bridge User,
0x372075b4f0f2f152a429fd5a495ec019c2bcc75d,0.404853869550%,Bridge User,
0x31d3243cfb54b34fc9c73e1cb1137124bd6b13e1,0.366279181850%,Bridge User,
0x7c39d57b97c7e3ed305484f5513ccfc2089cde90,0.323079081450%,Bridge User,
0x0fccc86490badac5758e90264e4197aab72521ac,0.292592233950%,Bridge User,
0x5b3067c5e26fec823d6fbf8f315e43632658d2f6,0.246980074950%,Bridge User,
0x3821e6fd61e42d4c486400bfd84a18e18379967d,0.234926366750%,Bridge User,
0xb99f5977cafad27adbb1aafa6505579572d20666,0.223697545600%,Bridge User,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0.204715807950%,Bridge User,
0x0b20a6140118be0235db1bcb0dfa96d5d656ca51,0.201106179750%,Bridge User,
0x470118cab7d15912460ff33f3450217988e63bc9,0.199899480250%,Bridge User,
0x7bdc57a20bea89f99ca021f1cfc8d9ed772d5415,0.191492063100%,Bridge User,
0x5fadcb810a04bb94d7ffb7902e4dc67e43ef0701,0.184850273100%,Bridge User,
0x4b34d50a8844eba19c40105c22acfcd73b514058,0.160279448550%,Bridge User,
0xcb15112f5a570bc8426decba2d9cae2b1b3ee900,0.156490295250%,Bridge User,
0x823b6b8da270906f0a231223e46edb5bdea3ff13,0.151182002350%,Bridge User,
0xdb7bbd7445d149cbd8650901d1d76a27545044f0,0.142445298000%,Bridge User,
0xa71ab4d7191f5e2e2da1d92172695e82b75d0beb,0.133190897300%,Bridge User,
0x857d34b66b929c2fba8a1f8b504602db25296911,0.133190897300%,Bridge User,
0x0feaa9d8eba3f9d220207ed4830a02d58eec928e,0.131700837950%,Bridge User,
0x70e7a6621f4cb3c3e073d0539899f49fc88424c0,0.121027992050%,Bridge User,
0xbf42875c14e06574fedc74e911e85b2abda481ed,0.119960599950%,Bridge User,
0x1eb856d4d81431bc0ba7839859004703df52532b,0.119529584400%,Bridge User,
0xf831fef99d3a252bbe8e80386aadb7ea44a67b40,0.112858462400%,Bridge User,
0x89b5e2bb9574c46d4aca2b3f1686c5c7b1b646d9,0.107472834700%,Bridge User,
0xe29ce1ee78e2c4fbb1045a4d409f6077b21e0cdc,0.105153391950%,Bridge User,
0xba6bf766823d7fec435c359afdb5e47ec96c10a9,0.099864454250%,Bridge User,
0xf3821c5a39d0c0f7c5b9159469c0d7b16de1ed59,0.090403856050%,Bridge User,
0x173baef3b5502a78b81ef8928ecdc3403e2e76c4,0.089546093250%,Bridge User,
0x56b04715bb12b1bf42daf2449c36f0e9f262a3b6,0.084870565400%,Bridge User,
0x1c421133f00269e3c626eab1619e06cd4758d8ba,0.082140698500%,Bridge User,
0x0c470f23b09847fc99e20b63aa9b0c3db13bacf7,0.076067415800%,Bridge User,
0x20d5f3f40dd1783d4e1075fc028732d60d2b9dd6,0.075958768700%,Bridge User,
0x490673213c2287bbee6e4b682ebedde7da068149,0.075492615550%,Bridge User,
0x137a48f028be804425428cdd1591675a583235e0,0.070828864150%,Bridge User,
0x2bfe66759f0331066f3e7d57b3dc9a96bfc17927,0.067959425200%,Bridge User,
0x67f72412a592d066a2e688e62664116deabeab29,0.067640208350%,Bridge User,
0x18ba0ba601d78c4afbf7619070fa69118711b6c7,0.065457754400%,Bridge User,
0xfb1da3e12a54d9d4036f969049fd58c97c6d00b2,0.063297296800%,Bridge User,
0xf76beb1e6914e058f77c88f4232d47657e0451bc,0.063292314400%,Bridge User,
0x1eb601191f801c82cdea148ab595b82e88c8a4bc,0.063021658650%,Bridge User,
0x2d1bdc590cb736097bc5577c8974e28dc48f5ecc,0.062235450250%,Bridge User,
0x3c39e377d0e892ea6ccd7c0a7cdbf60288366a4a,0.060202157150%,Bridge User,
0x5583bbda575f142993c10a335daf29dc7510e8f2,0.056144902300%,Bridge User,
0x6e2c3f0d517eb64f470e5391750f5ba35dbf20a7,0.055829523100%,Bridge User,
0x26280a4031ee51a7d8479a4bcf15cc21cfed0f6d,0.055145160100%,Bridge User,
0x826a87c737b0d046a9a77a9958779e924dc75d2a,0.055050669700%,Bridge User,
0x3aa69f6360806ab5da9f9f77f6cc09f9092b255b,0.054757115850%,Bridge User,
0x6521e19de165bd57a6cdee750cf6ced165cb7aac,0.054716814900%,Bridge User,
0x0b3ffe988df3235c222a131b9d27c733288a2f8f,0.054637993300%,Bridge User,
0xd11bcc0e7d44169a572da39ca6297d0dfa5c17fa,0.053418369300%,Bridge User,
0xad036a7e58dfa18a6511e85d29b0341e16bcbd9b,0.051799804650%,Bridge User,
0x523d0cd051e272856a2c925c08a5fba8425c4944,0.050783386700%,Bridge User,
0x900a2ef0d2215874844cb63294f21c5ec687d166,0.050516556850%,Bridge User,
0x63eaf53d1508ab9905f67266ead32e4979fe6918,0.050505988250%,Bridge User,
0x01f1f765c36f6c8ba9e5e621e7edf57220130e02,0.048927162855%,Bridge User,
0xc8d5937fa4421edd4afe59db5a0542e1be47924d,0.048370023465%,Bridge User,
0x669515b8b042174def89229c8135435a8207bfc4,0.047575420740%,Bridge User,
0xba1fd03ad67ddb9b054ae2c388d12f5a778076d0,0.046784457660%,Bridge User,
0x0b789136ca58ce27f744d7735e7eb2a38742bcff,0.046616814050%,Bridge User,
0x2f5ad162f1b9fe987b15ab49938e64d9f316d7fa,0.045628404400%,Bridge User,
0x083e958db271a5ba105c0878a94507fe37f25446,0.044866081875%,Bridge User,
0xb149d3a6f895b87353a8e6f41cc424c5e517390d,0.044818605940%,Bridge User,
0x2b6091da312a3591df6a94b24dd3c34d2b01ca22,0.043993184520%,Bridge User,
0xa68b85bc11f79d3829dee55175375b9d5b568313,0.043860573280%,Bridge User,
0x11e602b25c41941eca18037d93b82931d322a9b2,0.043792367880%,Bridge User,
0xf6b9cb280ae3c5dd5ec22d7a1a2a7f5f0a1ae879,0.043778651180%,Bridge User,
0xfd3052e6f192b4a059411d243088518c4f57a84d,0.043416136630%,Bridge User,
0x896212da5d35dbf0e7c57a37133f0c97033f82b5,0.043340317975%,Bridge User,
0x369606edde71fb6ec43353330796544852bad340,0.043004400415%,Bridge User,
0xb33245bd4b5be7c99059539bbc5aec8b723ac4b7,0.042955402635%,Bridge User,
0x8910e3ac6ed2282339198f0c3d014a60a81a8a4c,0.042955402635%,Bridge User,
0x2b33f6c2c1105a01ddd92ffead15bd2c715176a6,0.042955402635%,Bridge User,
0x6a935be884fd298fe3b83d6b34a0993948098a1b,0.041803859540%,Bridge User,
0x081931a599c1605c69cb6e3b9da48450b744b0aa,0.041500195590%,Bridge User,
0xa24d81bdab3ab78eb814709dd6fba23fe230c66c,0.040710104650%,Bridge User,
0x0fcab00173bb82d3329b0e9ac244e94d6de06085,0.039979378875%,Bridge User,
0xedeed75328937a17749c1a59772e2ec79eb51314,0.038152568710%,Bridge User,
0xeb411f3257be96536bbd17fbaa1b16f6b7d063e4,0.037929624240%,Bridge User,
0xa4258d7a86938368cc4b023a3f3a0b35c585bd0f,0.037921894295%,Bridge User,
0x639d2a49bdd0cf37614f46a83e4aa49eaff1e537,0.037697475105%,Bridge User,
0xbd805a08bdc683b80bc5e3e132e6212039a1defb,0.037223126595%,Bridge User,
0xfb79c3a4d001691a6a1cffcebcf426ce81355639,0.037030056715%,Bridge User,
