Address,Allocation %,Type,Sum
0xdd797fb63db3c94be266a6b37a366aea6c6273d0,10.0000%,dev,100.0000%
0xcd0b087e113152324fca962488b4d9beb6f4caf6,0.1475%,OFT user,
0xf9e1d1e9f22c96752356adfd377231528c7e851e,0.1475%,OFT user,
0x8f6f9ebd7670760c830655f86fb675cc07263d74,0.1475%,OFT user,
0xf4db9bd798156b4071f28910aecc35dd9de39e3c,0.1475%,OFT user,
0xd131f1bcdd547e067af447dd3c36c99d6be9fdeb,0.1475%,OFT user,
0x01fede4bb0f06ca47735be98b7a083a60c087a7d,0.1475%,OFT user,
0x377abba00a7740b7166fec0a6de04992290ab7d7,0.1475%,OFT user,
0xee857065cbe599febfa772e96c17996deacd7830,0.1475%,OFT user,
0xb76c641e06919e20c90f1b4abae126c0e331d2b9,0.1475%,OFT user,
0x1312739e2462212abcff9fd8b0155681e433ed7d,0.1475%,OFT user,
0xf439ab34f0e8eaaefc8706c5fbe675bd6efee05e,0.1475%,OFT user,
0xae212047669ac8c123d2eec24b28ec8b48de7dfa,0.1475%,OFT user,
0x446021a874acb3f415346f85648068e58515da41,0.1475%,OFT user,
0x0576dc91b3ae72ee2721b814dca3dedce631d734,0.1475%,OFT user,
0xa272ebcb9cfef4fb507860ad8c72cca701a35bca,0.1475%,OFT user,
0xacd54246eda0c5638a247c4717a8782c21497eb6,0.1475%,OFT user,
0x074a2807d0941a248109450add7b4ad521acbb28,0.1475%,OFT user,
0x35563678bccd0e89ac2878bdfe696d11043b07b9,0.1475%,OFT user,
0xe4ad52868492c281c206520569d90ce977223ab1,0.1475%,OFT user,
0x411cff877c0ef4b0c5c30e361d69362c0c740bbd,0.1475%,OFT user,
0x1f99d1bc5dcd5a87c6bcb40655a7438f99b6b601,0.1475%,OFT user,
0x89cbada8c98919e8c44d744a4234c2a8e22dc4d9,0.1475%,OFT user,
0xdd28d4909a1ad838e45ba869358dd7661c27307c,0.1475%,OFT user,
0xecef1d16395b731740898ca2c0c5da3a51beae30,0.1475%,OFT user,
0xe9f157f18848fa600bd003e4a81ff98349c9c55c,0.1475%,OFT user,
0xf598fda39e2dd32517d83d7195ef174e139ac088,0.1475%,OFT user,
0x8b437d4bd3c5d73c5a8fa26ade78fa5770fd6528,0.1475%,OFT user,
0x9c1d152cc101a68226c7de4d502f52ba0d76dc75,0.1475%,OFT user,
0xaa8660430bb627d9a490099e77c357b48e545a17,0.1475%,OFT user,
0xb3305202d13c59da248134374c1a686d6b93e3ef,0.1475%,OFT user,
0x7560e255f7d5abd4af80d48f9834bad510a27835,0.1475%,OFT user,
0xff6090e4981ed4d9e9841e45239961163f2b88c9,0.1475%,OFT user,
0x7c0d6a0466be475db7aba66bfd226631609334a4,0.1475%,OFT user,
0x1dfa5eca2ae57756c14e0dbae8a66da73a48e425,0.1475%,OFT user,
0x63942b3fb77f570e3873d4094e4c46ff6c46ae18,0.1475%,OFT user,
0xe184099e0dab1fb7ced9bd3d874c5f05a453171c,0.1475%,OFT user,
0xc142ea46374c49002a528ed2945a5e6580ae9d11,0.1475%,OFT user,
0x63d333030ba08e0a7e61fcc21bfbd1f0381839aa,0.1475%,OFT user,
0xb55d40db42a792842feb173f07ef082f0ee52d5a,0.1475%,OFT user,
0xc69c75ba65c590b4bdace92b5e7e1b8be94f70f6,0.1475%,OFT user,
0x48a526bc07137cf23eb3576fc7ef7456c3f55a94,0.1475%,OFT user,
0xfa67a4c1b1e50887f468e8fc210492efe48ff9d8,0.1475%,OFT user,
0xd5ca41b0dbba17904d89e695a1362ea812b402c8,0.1475%,OFT user,
0x73c3e1f1b8a3cde813ff0dba727276dbc42dccb1,0.1475%,OFT user,
0xe21bc2225013917a7e2229b50c368c1588d6f7e2,0.1475%,OFT user,
0xaaa71dbb3f162949fd6c64e54500cbb9187465c8,0.1475%,OFT user,
0x11e3d43b01fd8820e3f3ed5af6556b02b0768534,0.1475%,OFT user,
0x3c6020b53f37b3eecdbaaf8e3b6055fa249df211,0.1475%,OFT user,
0xb8f4ae80b56f188ff185da9ef56c4663177e60d6,0.1475%,OFT user,
0x16a90def515b53084023d26bbf87de6e555f74e9,0.1475%,OFT user,
0x9e476401b9b4fef124bc891472308e121c0a3838,0.1475%,OFT user,
0x0d96a6a74c414d6b8de00501237f93c7140a4d25,0.1475%,OFT user,
0xd56764ef11ad1ca39978e27ccbff0961b6d0a058,0.1475%,OFT user,
0x04d9ec6e2df6db53c4ff589d6aa4756b39400b0f,0.1475%,OFT user,
0x1aa9569e7eec935930b3831a4abe20105b3e5d7c,0.1475%,OFT user,
0x6099ce2191d9197598317db811522f270ef017f2,0.1475%,OFT user,
0xbc780ceb44412ad8a18874e6b86fb4caea0f1d95,0.1475%,OFT user,
0xbdbd0a24dd00a74bfbcc6e30fe12dc818484a8d3,0.1475%,OFT user,
0x624caf87f45590e7a728eae9d0ac9d9e3c24591e,0.1475%,OFT user,
0xbff5e2e6e366faebb97d3fdb085ef4f4850583b3,0.1475%,OFT user,
0x86c669b3acd5642f564f247a25fb6ba1a09d3174,0.1475%,OFT user,
0xb0ff72d319718ec769500f9e734663ac6d90cef5,0.1475%,OFT user,
0x0abad740754a5bc44b2674052d19a1de33eb12b4,0.1475%,OFT user,
0x3a051c14ccfe33a3aca07198858dff55ee3da420,0.1475%,OFT user,
0x8e51ab4dd62cf2f7b78a8b7bc46f1df5ed277a5c,0.1475%,OFT user,
0xa7414ee9e665954394d925326e284b928b0751c8,0.1475%,OFT user,
0x930653e4a9f227b2387b7adef2eddb5efd917d36,0.1475%,OFT user,
0xd83d7a822131ac163d62caa0f349617e25d0800e,0.1475%,OFT user,
0xb9fbab0625ba8db7a237dcdd46f244056f3f5ab0,0.1475%,OFT user,
0x4c40642340f9f75c1b5bcd418390c30c4a5dd0cd,0.1475%,OFT user,
0x0e97f0d9108933974cae98268578ec41f1f80a41,0.1475%,OFT user,
0x190988b64d91fae5468d6c360f1512fb455fb041,0.1475%,OFT user,
0x791054fdce9b1295ab1d8ecdcc81a21c50e6b258,0.1475%,OFT user,
0xb1a700587a19df88f447321243d4a398039c38c1,0.1475%,OFT user,
0xba4f8ff2875a440904d842a93c714aa1c86ce6bf,0.1475%,OFT user,
0x524bf8ab75a64ab4ea122e272d62843305481fe5,0.1475%,OFT user,
0x66d2f1737054f4e0b5aadb06746fe594f04626a8,0.1475%,OFT user,
0xcb694ab9bcda9ca1a51995629ec7fb09dd79f281,0.1475%,OFT user,
0xb352b728e2b5839fc725e1abab5a4b7c0c67fb81,0.1475%,OFT user,
0x1a79aa71bee6b23be0a5fc5cda1ad09fd9802af8,0.1475%,OFT user,
0xd45abdb586a425842289563bf8d7959b2ae8bea7,0.1475%,OFT user,
0xd4249aabf45a1f0b7528b2b5c7ef52c2899d8523,0.1475%,OFT user,
0xe5dde76a0f956936b3d22cd2da3261382b198e89,0.1475%,OFT user,
0xc2e2fd7a9a46efe73aa633a649386655e331f54f,0.1475%,OFT user,
0x05473c5cb7e7f3138de7bc4178ac66232e9fb03a,0.1475%,OFT user,
0x0e8d59f214a19dad29349c76d092ef409be1c69f,0.1475%,OFT user,
0x36d75e4b10271ceb4680d9c123e423752e81caab,0.1475%,OFT user,
0xa44e4fe0ba5867ebd027756a21721324debb983c,0.1475%,OFT user,
0xef54a04c08290c9e066e54c3055a8717d671194e,0.1475%,OFT user,
0xbde18c6510329bdc5392780fabfe0ce4337f20a5,0.1475%,OFT user,
0xfa6794a7f76495f1d388f75a7da06259610b04d5,0.1475%,OFT user,
0x291f77cc4d41ac3dcfa1d9438c4b63c6342946e5,0.1475%,OFT user,
0x6001d26436986706ff19c35478f97e0c43846470,0.1475%,OFT user,
0x777605c7dcc11f8019abaa4ec4462c434e53e149,0.1475%,OFT user,
0xd3e1c9f19ede62a6f7bf740182fe9387004f420d,0.1475%,OFT user,
0x87ad25784900c5c406a1e7aa8db9fa15d775a0f1,0.1475%,OFT user,
0x4fa1ff0a3985e84a97bdbf96d2f48c69840a034d,0.1475%,OFT user,
0x08e60e05f88b7f6b79e7d452cd8cdb14563c01c0,0.1475%,OFT user,
0x3d9bfc2ed8e2920a2cfacec1f24530ac3f49ee59,0.1475%,OFT user,
0x94c22ce8348a63d90827fb83e6bb8c4fecf8b3e3,0.1475%,OFT user,
0x6ef9406d739e1379094c257ff03c430f8975c4a2,0.1475%,OFT user,
0x4f868ba8452c1d5ba3294ae1dbacb3828714e199,0.1475%,OFT user,
0x77533667ef7000947f0d137547fb7a45fcd621a0,0.1475%,OFT user,
0xebba5cb05afeb97d77d749dadb2783cde25c3dc8,0.1475%,OFT user,
0xe030cdb814508dd95fbc7e135264c8e71cec1274,0.1475%,OFT user,
0xe9ef1ed600829d006be9e375291faaf2135a6da2,0.1475%,OFT user,
0x238f94ba41f502e93255357a6fbd833cd204ce65,0.1475%,OFT user,
0xf0aa506ac0f0a7515156d28071fa6c22555de6c2,0.1475%,OFT user,
0xdc26f34ae829dc24a394d5b3663f979ac65c7bc0,0.1475%,OFT user,
0xc1a30999097023c51b41094ccac5009054688384,0.1475%,OFT user,
0xcd9ed54945e0857e4e933529c13ace3102e6cb21,0.1475%,OFT user,
0xc1223432f345bbbc2522978785343306f61257f6,0.1475%,OFT user,
0xfb7c3eab953a6fc677ea9014b65d36d13b6ca763,0.1475%,OFT user,
0x1d8cab11844bf449663a21f93b435bab2fa1e4af,0.1475%,OFT user,
0x6382e0312b7e7060d2a36ff15c939c03b6682062,0.1475%,OFT user,
0x99940032be03eae373a1ce4a1861eeb872e741e0,0.1475%,OFT user,
0x15041a591e7f9a51fe4655e602b0694045a4edfa,0.1475%,OFT user,
0xe31605f5f997a02da7137e43032e99afd71b8bd2,0.1475%,OFT user,
0xf0684a949408bc1aab1d04db9a693eabebb79445,0.1475%,OFT user,
0xbae760f44c9af876636eb7b3bb1e95f955ba042f,0.1475%,OFT user,
0x41a615632d408a836c5f9f7a6ede3cf4b139b267,0.1475%,OFT user,
0x4499bff26af64c50ff12e86b66e4391bffa0b969,0.1475%,OFT user,
0xfbce3b6a0dba01036168195bd31ae8977f9348d4,0.1475%,OFT user,
0xd9baf5b84cc898954f966c395bef45bad08b767e,0.1475%,OFT user,
0x3bb5c8bea49682e4b83f36c9c4896b2a05dc2ac6,0.1475%,OFT user,
0x4cd3fbf581aa594bb47417ff7be192eb5aeb5bf7,0.1475%,OFT user,
0x11d60e1ea7067ea8217ac54530c7b9f0a53d384a,0.1475%,OFT user,
0x7c00b9cd44248871770fb5b927e14f9d1ed3e7e1,0.1475%,OFT user,
0x5f94aa04356ba8029861ac18f6c9c69aba7f77f5,0.1475%,OFT user,
0xf5d41bc2ee403cd98257ab15e999b407efe17b5a,0.1475%,OFT user,
0xd5440e8e4646204be267493434bd57cd6db29d51,0.1475%,OFT user,
0xef19912a9a8dcbe24276846087c9bbee4392e27d,0.1475%,OFT user,
0x4a8c5a6594c01498467e88afc01f83074daca849,0.1475%,OFT user,
0x01abdb8df1151a943b7c655d64fba38a7bba772d,0.1475%,OFT user,
0xc259dbc7f0dff16fe4aa3c49f459ceb33de161e6,0.1475%,OFT user,
0x244feed438f34902b7e8dbb2ad8e94dde7cb5933,0.1475%,OFT user,
0x51f85f88e0f8ff2f599e37c42e35bf52ce17a4ea,0.1475%,OFT user,
0x78da8dc996c50a4ff927a9b190fc1bdcdb776deb,0.1475%,OFT user,
0x371842b3b83197fce0157b5c1d8fa5ae3847357c,0.1475%,OFT user,
0xabf9068a59bc38f72bed74ce26b5572af4f421e9,0.1475%,OFT user,
0xfaff8131d6730d8dacc936d545bee972a03ed2f4,0.1475%,OFT user,
0xa3e863672fc50b00ce45b9a8b0fbd4c4b4be5f30,0.1475%,OFT user,
0x65eadf4d94b45d1859c12a5fa171ff74d5de06be,0.1475%,OFT user,
0x0bc7ea7bd03016d0b01f5116d6c8125aa73828c0,0.1475%,OFT user,
0x571b388d3a84fb086340275a735b986640c97f39,0.1475%,OFT user,
0x34007a5d76fd1ebb8e25e6aabfef2db4d8737fb2,0.1475%,OFT user,
0x185d688c29767164454f2fafa31fff0bc8c9b679,0.1475%,OFT user,
0xe5a0a9d56096eb4213cca6916c59cde09bab42ad,0.1475%,OFT user,
0xa7afe2cf4ac7d0b8ddcd326ef57b3f3f677f78b9,0.1475%,OFT user,
0x42da1255d91b6f897f96e93912eef14e5a62d1ca,0.1475%,OFT user,
0x0cbe5061a3356843d30f08a9fd6e6fbefb064612,0.1475%,OFT user,
0xaed20c8c686fde03ce357fd5e9eb954a9b140976,0.1475%,OFT user,
0xa1951617ff08569cc491b67bc49d5e7d10252ab0,0.1475%,OFT user,
0x549836bd62e24cb642bb98af2056f570f00333dc,0.1475%,OFT user,
0xd6bf4419c11ba8535862db7f951b575348d76c85,0.1475%,OFT user,
0x5f4772da3ad8b8e4d45f5f0fadd2d3f941242f39,0.1475%,OFT user,
0x4425b80a2eacf1c8c59277c304b4bb2e24bf26e7,0.1475%,OFT user,
0x341e27d2ab0bc0b5e9d4bfd1dacb57c7445493d3,0.1475%,OFT user,
0x06018ff6295bad68671e97793e6f882cab7d3445,0.1475%,OFT user,
0xb3fb14791e990e30d62f29a0ae1b5827a129abef,0.1475%,OFT user,
0x76a66b06dd8bf5e5b3f4a77523952be754dcdd44,0.1475%,OFT user,
0xc4e19de9653dc0685f698a14a66ca9edd7fac05b,0.1475%,OFT user,
0x19aa10e9d1f7f15fddd2d1e1211a441a097ff3d8,0.1475%,OFT user,
0x24e0bac42d27a00e8c339cb46857465429cf9495,0.1475%,OFT user,
0xf13d606c43169b49c46fdd2a757cf5728db8f6ef,0.1475%,OFT user,
0xd22a029fe86563098313f6abb2d4cd3d6712a63d,0.1475%,OFT user,
0x1d5eaf4d4386791e3b312d4b908e510ca74091e7,0.1475%,OFT user,
0xf180d10f7aca7ccb8fdb824cadde14e241770f41,0.1475%,OFT user,
0xb0ea22c04189f5a211ec99389e13b13623251e63,0.1475%,OFT user,
