Address,Allocation %,Type,Sum
0x062e08B2c25b8bD93101f3c8A4641062CBe9aF5c,10.00%,developer,100.00%
0x0008bb335a71a97ae89cf99388d7be70d7ef4660,0.05076142131979700%,bridge-user,
0x005aebe33fe888e77eaec2616964837f17ec8aab,0.05076142131979700%,bridge-user,
0x006f5fd0339ed11311500a31839559a063147472,0.05076142131979700%,bridge-user,
0x006fd4747170e2822c1618a9e724d789f10188cc,0.05076142131979700%,bridge-user,
0x00eb3e4299070f4a0071ffe7247b8aced8c495c8,0.05076142131979700%,bridge-user,
0x011a816929184E758c3b74e64Fb1df72899D0ED4,0.05076142131979700%,bridge-user,
0x01597a9137252fc9703d2a135cd73dcddacc3c0b,0.05076142131979700%,bridge-user,
0x0178274ec3e22cb684a35d829f5e15f66441e71a,0.05076142131979700%,bridge-user,
0x0180bb2bedc1aa37b92e67ee450e72b3e0d8e5a0,0.05076142131979700%,bridge-user,
0x01b49b7d919118228d7e3131298e7c4a670a7da2,0.05076142131979700%,bridge-user,
0x01bd2c05c8be20afc182f6a3e3be159151e79719,0.05076142131979700%,bridge-user,
0x01f1628765775e17663ac17d3a3334a3e381a175,0.05076142131979700%,bridge-user,
0x0202eaf80fb6313976491b4357205f684bff4842,0.05076142131979700%,bridge-user,
0x03f4822629a1f83526acbd36e1f9db0784cbd307,0.05076142131979700%,bridge-user,
0x044c5a4e989526a589689aa7fc052fd0b004840a,0.05076142131979700%,bridge-user,
0x044d3e9017a0947DE81d0F8554a0a7C199429145,0.05076142131979700%,bridge-user,
0x05415963e593fcfbab4cd6b01340fc495047423f,0.05076142131979700%,bridge-user,
0x05763c047C7D7f2Ba76390C6178f224c2eDe71E1,0.05076142131979700%,bridge-user,
0x05916a13d15ec698ec86c1b2961bed296b3ba8ce,0.05076142131979700%,bridge-user,
0x0663e40b3dbb278c5d717148a5d68d167f8c7397,0.05076142131979700%,bridge-user,
0x0711fe03a256e2e80162262c1bbda715f03b9bf4,0.05076142131979700%,bridge-user,
0x075b399748143b8eba2b3e93e3c3c6ee7bf9a6bb,0.05076142131979700%,bridge-user,
0x077a53542518ad6f1aaa394dfbd9838979e48542,0.05076142131979700%,bridge-user,
0x07a79284f66bc5f297ead80d8364036c9ddf2f7a,0.05076142131979700%,bridge-user,
0x07D5f53B68e772e98b732Beb5116B4Fd38261CBB,0.05076142131979700%,bridge-user,
0x07d7510c4d1a8e31ec51a22d88fa38e2c432fcad,0.05076142131979700%,bridge-user,
0x07e63f3af8670904036ebe7b7236e3b64acde39d,0.05076142131979700%,bridge-user,
0x081fbe4de67fd1cc479d15427a1d1419337b8fb2,0.05076142131979700%,bridge-user,
0x08f0fd004c1142c00ec2720d80fa9c7bef5c43c7,0.05076142131979700%,bridge-user,
0x091835f8a4c25aaa3b3403da336042f49bc85849,0.05076142131979700%,bridge-user,
0x092f8963e749910e23c2fc71d887538fcef9ca19,0.05076142131979700%,bridge-user,
0x095a80c08926f4e675333a3c752043536af2c6e5,0.05076142131979700%,bridge-user,
0x098B4F3068bd1E5e114c648C1C6b582bbE9a666c,0.05076142131979700%,bridge-user,
0x0998371C7901A565a76bCfAB44b64d5ae27bad3f,0.05076142131979700%,bridge-user,
0x0a2d94a6031264d99ac9249efa25ea47fbf62879,0.05076142131979700%,bridge-user,
0x0a41346f24ab6e2056fc41a63b692677698a91bf,0.05076142131979700%,bridge-user,
0x0a6c69327d517568E6308F1E1CD2fD2B2b3cd4BF,0.05076142131979700%,bridge-user,
0x0b386d99faacd4095cd20defa56dd24b2b9b08ab,0.05076142131979700%,bridge-user,
0x0b7aa2e0062717194af6cb471d48887ee21c489c,0.05076142131979700%,bridge-user,
0x0ba9b865a897f3c32fbaa058d45b5b34fcb02421,0.05076142131979700%,bridge-user,
0x0bc0d23f25b051f951f0f58a47bc303acc2a5b00,0.05076142131979700%,bridge-user,
0x0BC0D23f25b051f951f0f58A47bc303aCc2a5B00,0.05076142131979700%,bridge-user,
0x0be250f0feef1b7e410b01738e6afbd26a887a58,0.05076142131979700%,bridge-user,
0x0c20bda3a1f610fc49d4a2e6598db8dbdff85240,0.05076142131979700%,bridge-user,
0x0c5d98632ea580779c0b0121677d0ab00443f4d7,0.05076142131979700%,bridge-user,
0x0cd8f7ae204471b70247736eb36dbb2742ab533c,0.05076142131979700%,bridge-user,
0x0ce238fe115ac7d03aca5439a5814daf3b85fdb6,0.05076142131979700%,bridge-user,
0x0cfab25f87b5b2f22008e8859e8461e267e00b47,0.05076142131979700%,bridge-user,
0x0cFD8B6bec3595e25ad68154Ae8a5d65CC26fAA3,0.05076142131979700%,bridge-user,
0x0d7b0fef79c37170e02da5401d76ae0ad8528f44,0.05076142131979700%,bridge-user,
0x0d943ed64b90e0f132d6c7b38e352bb79c67f8f0,0.05076142131979700%,bridge-user,
0x0ded280f1553cf9c11bbda5d642ee35b6554880b,0.05076142131979700%,bridge-user,
0x0e2416ab1d912eabb00d09e331f7cfd88a076a76,0.05076142131979700%,bridge-user,
0x0e4e01fbef1a828ca854623853dd6a80324ce012,0.05076142131979700%,bridge-user,
0x0f5c42b8d375379a96717443a30102d8a13654f1,0.05076142131979700%,bridge-user,
0x0fab8cfc0d448f7c32a86f6216d24eb1339d6ee7,0.05076142131979700%,bridge-user,
0x0fb428d950e5398814dfc145880ea4063ab20039,0.05076142131979700%,bridge-user,
0x102daf0f0b6c5f467dc0dab22c957c412e57b4aa,0.05076142131979700%,bridge-user,
0x10b08d7a1c66e93247833a7c3b4e34987f3f5ad6,0.05076142131979700%,bridge-user,
0x10D2E08E33634ecd904eB1a6669fa0Af292Db4F6,0.05076142131979700%,bridge-user,
0x10ed43c718714eb63d5aa57b78b54704e256024e,0.05076142131979700%,bridge-user,
0x111f0c602131a53e63cd0835b4912bb677fa381a,0.05076142131979700%,bridge-user,
0x111fa8b271e7138307a1f9776ce710859cda01cc,0.05076142131979700%,bridge-user,
0x112f7e9307736149540954efdcd4a0b60881496d,0.05076142131979700%,bridge-user,
0x113cfd49a59bcec6633ae05c65e12372550e18b1,0.05076142131979700%,bridge-user,
0x1142d8f0c58b2afc60061532a8bdd776776ef349,0.05076142131979700%,bridge-user,
0x119cb7e030a8bea1eee60b1f3a7916c36bed715d,0.05076142131979700%,bridge-user,
0x11dac0d4ec940ed5828e1d13ee46878e09c8d320,0.05076142131979700%,bridge-user,
0x11f52eeed3792694a4996b281496254a75ff91a6,0.05076142131979700%,bridge-user,
0x11f8929EB13d1c07E9684637a6b44dFEa3Ec7708,0.05076142131979700%,bridge-user,
0x1263288f7fd71a8d3a876a407a9e9d54e8460a60,0.05076142131979700%,bridge-user,
0x12d8E0407140bCf38f1c041eD5916195fE852E28,0.05076142131979700%,bridge-user,
0x12fe0d2ff1e3840e3008093fbbb1bde58465d628,0.05076142131979700%,bridge-user,
0x13d2ce32e66f5d79227fafd193fcc757c21fab72,0.05076142131979700%,bridge-user,
0x13FE0A65D0aA7641B44D1AF17ECE4b41cEbB1880,0.05076142131979700%,bridge-user,
0x141938bed49bb6c1e0727299a611e331a63e8d95,0.05076142131979700%,bridge-user,
0x144c25c814f04ea74e15ebcb509bd4917de0cd7e,0.05076142131979700%,bridge-user,
0x1456d13A404c1417B2eC06fbC522e9634f3715f1,0.05076142131979700%,bridge-user,
0x14bb61a4c4cdeb65ec7f8a72d28d6743b713d761,0.05076142131979700%,bridge-user,
0x154c27356ef1a2f9426b9f4e4fb285d36b35a1f7,0.05076142131979700%,bridge-user,
0x15a44408b5f960f8a757ae9b01106de8a073b17f,0.05076142131979700%,bridge-user,
