Address,Allocation %,Type ,Sum
0x004fbB1E3Ae907fA7fECcbCF8e3607C9911Eb523,10.0000000000000000%,Dev,100.00%
0x004fbb1e3ae907fa7feccbcf8e3607c9911eb523,0.0052204176334107%,Bridge Users,
0xb87004a21b6bb529c17f874ee095f0c3344f0a9d,0.0052204176334107%,Bridge Users,
0x424ca2ac3d4b3a85979b02ac4ed4ace51a6f5f6c,0.0052204176334107%,Bridge Users,
0xac5d3f9f74c77821b624ec0830481e0608974ff7,0.0052204176334107%,Bridge Users,
0x79604cfa6712fcce0e8ce51c6ca73951ef4e8dd0,0.0052204176334107%,Bridge Users,
0xf6925aea9fec4db60f8a722056ae76961a4c945e,0.0052204176334107%,Bridge Users,
0x59ca7cf8dbf92514da288ea5df72f50f17bd85fe,0.0052204176334107%,Bridge Users,
0x2519410f255a52cdf22a7dfa870073b1357b30a7,0.0052204176334107%,Bridge Users,
0x23fb9c672a8b639e28c26b5f6ac60ba854505516,0.0052204176334107%,Bridge Users,
0x84a72a06e89ebc2b184af62fc35eb820292c6149,0.0052204176334107%,Bridge Users,
0x71c698844718a02390f252a9f4623b695a80c41c,0.0052204176334107%,Bridge Users,
0x21c24844a1980f612a358e37d57bf9fdba48a5ff,0.0052204176334107%,Bridge Users,
0x300f9c4481e3a34e2e00ad034ef8d02dedce724f,0.0052204176334107%,Bridge Users,
0x6dfc751dce4035cfdf9f07f04183854e6e7ad313,0.0052204176334107%,Bridge Users,
0xff050b344c508233d088bafb80f37df9b718ce6b,0.0052204176334107%,Bridge Users,
0x2122498a5cafdbfcaf7bfd6673f75658ae665b6e,0.0052204176334107%,Bridge Users,
0xed5af353c67ee87602b2039159a5b67e7dc3c6ad,0.0052204176334107%,Bridge Users,
0xf1e277e14f4d562bb742f0aa92add88fa9b29309,0.0052204176334107%,Bridge Users,
0xc7c5e4b78c7e573e4fda36817f858eb2c7006b10,0.0052204176334107%,Bridge Users,
0x0dc2d9b094d8fda7b00ecdd2d74bd39b408d2899,0.0052204176334107%,Bridge Users,
0x6f1c4bda70a45f1553d9b3d6f5241cff55eb2d9b,0.0052204176334107%,Bridge Users,
0x61aacb27a3653944ff353b3c121ed2a62fd61d31,0.0052204176334107%,Bridge Users,
0x2cdbd0996756437d706c9a89b38611162799b711,0.0052204176334107%,Bridge Users,
0xcf1c7dad8d7ca2ed496e68b10a133ee485edbec8,0.0052204176334107%,Bridge Users,
0x77226a2f0fbca3506d49a973384feae58d3f3d95,0.0052204176334107%,Bridge Users,
0x2b23c2e06ff5f36b9c5bd70dd33e1baff09ee2a0,0.0052204176334107%,Bridge Users,
0x174bf8a70219e472c59c19afa935bb855e35c6af,0.0052204176334107%,Bridge Users,
0xec709497d53cf41c99a6297467b5101d37cff867,0.0052204176334107%,Bridge Users,
0x47c53bdbe09cafa2a0b6d1cec059fc64711ca9d5,0.0052204176334107%,Bridge Users,
0x9bc6f895255d423de00d435eb4b880ebed7d6bc4,0.0052204176334107%,Bridge Users,
0xaa0d65359c6b83b6efb00dbd1465d689df90654c,0.0052204176334107%,Bridge Users,
0x94f7f72c65ad29e5ea4b8f251e6cbf6a1aa78e3c,0.0052204176334107%,Bridge Users,
0x7e5de7f4e5a729d13d20690dee172306bc58bbf3,0.0052204176334107%,Bridge Users,
0xc463b70d134cad979a71afcfcbcbd758bc3cf0c6,0.0052204176334107%,Bridge Users,
0xc151cc523f7c130f27692c4a044afaa4e6245227,0.0052204176334107%,Bridge Users,
0x749eaa7ef7d02340f949cf93450acd26cdc8e2d0,0.0052204176334107%,Bridge Users,
0x523e6aad88960003ad21a7e342d83ab8ff9b647d,0.0052204176334107%,Bridge Users,
0xc0b087fb130a5f536d166de99265c547f878b3fe,0.0052204176334107%,Bridge Users,
0xb6500cce961135185b23fc87505389c85ea010b3,0.0052204176334107%,Bridge Users,
0x5c3b2821d45f2bf5f52502f1bd6b129ea8cd85f5,0.0052204176334107%,Bridge Users,
0x0000a60658f83ba033a73c0840eaaab78c16da34,0.0052204176334107%,Bridge Users,
0xa9cab49dc436f943f6ced39c90037757a2527f7d,0.0052204176334107%,Bridge Users,
0x681962d649cd7116b9bc6bbbbcd432898287024b,0.0052204176334107%,Bridge Users,
0x6fc37d41bf5d8015133eb79ed202807d3b956b6d,0.0052204176334107%,Bridge Users,
0x9257829dd1f7d908a07f3cda6783464f9f7f5d0a,0.0052204176334107%,Bridge Users,
0x7e943da3b66af072ba664f6d80766463704bcdaf,0.0052204176334107%,Bridge Users,
0xdf8c94e31c1160fc9312c4c41468ec653a7fafa0,0.0052204176334107%,Bridge Users,
0xba46fb8bd0251e3d3a3334c0f690e0095e2ba302,0.0052204176334107%,Bridge Users,
0x289ccf3e07997447eb092cf85f3261a79d711972,0.0052204176334107%,Bridge Users,
0x53c7b1ec704dcb0557e8a591963da8c616218c2f,0.0052204176334107%,Bridge Users,
0x45d0164596806f12e167f1ecb11a8fa5179da439,0.0052204176334107%,Bridge Users,
0x943edf5b19a17a6ead1eec1cfb9afe68d4ea6bb8,0.0052204176334107%,Bridge Users,
0x23817bdf132b086e9e0638ab5b04541f75162bc1,0.0052204176334107%,Bridge Users,
0x090a5478ea22e14d33516dc4b09e053b5d71b396,0.0052204176334107%,Bridge Users,
0x0ee231255c78031b9576d72f671f625bdfe78664,0.0052204176334107%,Bridge Users,
0x3faa43180ee6798cbb6873e5013814542e0b2ccf,0.0052204176334107%,Bridge Users,
0x200ea5cda347966377e4cb73e8c00147b3c68157,0.0052204176334107%,Bridge Users,
0x03694a8a48a63d2eaea533dd4a5fe5796f60cdfc,0.0052204176334107%,Bridge Users,
0x5ea39e7d1ab629528a8bfb96447c570811d01af2,0.0052204176334107%,Bridge Users,
0x865b87cc2d9806959374eca91145d8ff2d23981b,0.0052204176334107%,Bridge Users,
0x8eec05710a7467f4b23abce29aac770f24ac54a6,0.0052204176334107%,Bridge Users,
0x2229be79459021ad5bba83b52f6ced3405fd12c3,0.0052204176334107%,Bridge Users,
0x3e50aba9b8aff7661eca083547aa79a731112f60,0.0052204176334107%,Bridge Users,
0xc090934af232433499b0325f9b4b76cf40859967,0.0052204176334107%,Bridge Users,
0x0c4d3cdb4e94efc18e81aa3ff3d2537c441389e5,0.0052204176334107%,Bridge Users,
0xe68a619c15bf57ee04b4311bf5b70389e6025425,0.0052204176334107%,Bridge Users,
0x62c3b9a42ce4c8a99a7cdea0b7d21857e1dd9f2f,0.0052204176334107%,Bridge Users,
0x3a27b5f6fa7fd723d1d6a93337531f705261a3cc,0.0052204176334107%,Bridge Users,
0x536599128bd444cefc795528f0b0407b8d485b98,0.0052204176334107%,Bridge Users,
0x9a87702e95b713060ad1fb424d5049ca49a960c8,0.0052204176334107%,Bridge Users,
0xb1728df8d9a48bf631ecd69584ec7bbfd4942ef3,0.0052204176334107%,Bridge Users,
0x478e2e281415aceacbe6056e8affa232c04d73c8,0.0052204176334107%,Bridge Users,
0xc86040901dd693723b9fdb4f22a8e6298c8350dd,0.0052204176334107%,Bridge Users,
0x63a0209aaf39f74a630559868594b07ece282292,0.0052204176334107%,Bridge Users,
0x232d0bf8e9492428203533fe1d3f5566e943f74e,0.0052204176334107%,Bridge Users,
