Address,Allocation %,Type,Sum
0x9959FCbD3B51fd73F162EA2A3fC8DaB80B00CA30,10.00000000000%,developer,100.00000000000%
0xa55504fdfc542fb006020b459d2a821c3b191252,1.66666666667%,user,
0xfa76b5a3f6d436c7a21450b580dba2d4e228f292,1.66666666667%,user,
0x6370ac332b0ed1e745d1886c9e18e16260cfdc53,1.66666666667%,user,
0x6b1ca5be786f5a521d2704acd4367e80aea7eb38,1.66666666667%,user,
0xbe520f2408b2001cf123b8c4ff8650a4de65d278,1.66666666667%,user,
0x75417fb812d1e1f3735aee91424a6fbc45acc319,1.66666666667%,user,
0x42b56d670777065b6f331e23bf49cabffbfc45ab,1.66666666667%,user,
0xe5441ebfdf0fbb467decdcd36a10b3c32f9b25d9,1.66666666667%,user,
0xd1546d2bedd17f38db7b615172c6bf8b324945b4,1.66666666667%,user,
0x97f34fa91eaf3edc570ca58a12342b0940f74d68,1.66666666667%,user,
0x197880ef3cffdc6bcf391a59558249037bf711ba,1.66666666667%,user,
0x8b8ab70bd3f4969320079c344698cb40b30967c3,1.66666666667%,user,
0x0775aad190522537d87f65e6baf095941d66006f,1.66666666667%,user,
0x7a0dff2a955b72159650300a9acef97146dd12e6,1.66666666667%,user,
0xf798b8b31ed46a391041c79a3c0cbac8374a6d62,1.66666666667%,user,
0x3feaa305790b876b1503e14fc24e3944ce19dc76,1.66666666667%,user,
0xba6AB1318Aed8Af7E30F36927EC703f406ceaB5F,1.66666666667%,user,
0x8880E2F10306fA75c1595F3783708446677E703B,1.66666666667%,user,
0x20912DFc1eceAa380bB9775bc3283DA512527b82,1.66666666667%,user,
0xc9270B4d0aB7A92dC194eFC349d24c685A6A630d,1.66666666667%,user,
0xEC2F7a50B1d9dd1940D27C9e995067763d14c7Ff,1.66666666667%,user,
0x09b34766Cc24E3570b33AAE97DC45EF8Ac5B87d3,1.66666666667%,user,
0x88286474C68D9C675D884425C26182BdF1461625,1.66666666667%,user,
0x69EEae3A39d5365A93081A3D95eE473Ba317Ad81,1.66666666667%,user,
0x6D57e82bbbB8175c42799AeF28987EDfaFa322f2,1.66666666667%,user,
0x634ff2CAbF9ed670c12e9f71F8d62226583DA5E6,1.66666666667%,user,
0x957Fe06BDf29712eC27CBECf667e4730D4B22BE3,1.66666666667%,user,
0x51F6749Dee3510F983C15B7c239CC6df4e4054Ea,1.66666666667%,user,
0x37e406f6f13c69f2ef35b8E8a5f2F06eEE7D6fA7,1.66666666667%,user,
0x34e5879787e76B617f754bCD90C860995086839c,1.66666666667%,user,
0x9F1DAFE36786701B22cAEFC3DAB70dd8Ab8082d8,1.66666666667%,user,
0xb6E4a0BECf5E73A5207E2B99136Bf5748904cAC0,1.66666666667%,user,
0x569692f0bE477eD1B8353f6F82Cf8079501E4bfa,1.66666666667%,user,
0x0BbA9956E4DAf62B142228C631AF56a59946291A,1.66666666667%,user,
0x457Cb678C43Be4471e8ea2370cAE981f80eb93cd,1.66666666667%,user,
0xdb656aE889306821Fcd8B0256B4F66BCeD538d43,1.66666666667%,user,
0xBedE3D4aFFed615D5280D5f0e7912EDFc357AF83,1.66666666667%,user,
0x518A17D5013Dc95886E9076418F4fa73dBDD94Ac,1.66666666667%,user,
0x4eC737D7eF9739bF9Bd0d0722f13bd2f09D6A950,1.66666666667%,user,
0x09d4D9899EE9895B4E44AfcdD508bc5977078F8B,1.66666666667%,user,
0x6DE378055c59BCd822ca02AAffbfCF0b73C88440,1.66666666667%,user,
0xe961b9d32063cb2C8b79AC09e48FA9f953010fBE,1.66666666667%,user,
0xCe98f38FF4F581344Afd39a4224D8FbbA2B0D147,1.66666666667%,user,
0x920A45D3DBBe99f01189E9Ecb17d06Ff3c2574DA,1.66666666667%,user,
0x4e50222ac79A474eCC6EF685312E3F59a0C0aa9a,1.66666666667%,user,
0xb51aBDb2Ac383953E2eC8145EfE30268f7bBc1A0,1.66666666667%,user,
0x80D394B1619d577A89f4F58B273A7b14b0d8bF88,1.66666666667%,user,
0x9fd1089235aDe31e51a0d38022bAE3910d821bcC,1.66666666667%,user,
0xC5E5e9472fc5F42eAc5eb05Fcb7D629b85f20178,1.66666666667%,user,
0x339afa34f6f71628E30Fbe835aa36ba12f508Da7,1.66666666667%,user,
0x0E17b4a0eF12b834Cee9cbc2D6e06fa1ACA5700f,1.66666666667%,user,
0x194f7Aa976E28F095A31153c093c3CC2521A11eD,1.66666666667%,user,
0x8E95f959f1Bd3C4A3Be2bda6089155012fF1a37b,1.66666666667%,user,
0x933af75e3C7231Cab49a22116Ea4cF7f6adfC594,1.66666666667%,user,
