Address,Allocation %,Type ,Sum
0x2f5EbbC43C3e40F5b9E36264C8f0EDd0CAEeBAF3,10.0000000000000000%,Dev,100.00%
0x2A2b31Ed1fC4b330Bc8Ef71c68E1B7013D4a23EE,0.0425273390036452%,Collateral Depositer,
0x19F2e10Edc1e8e92Bf5cF6D88Da5c9B4fC4347CE,0.0425273390036452%,Collateral Depositer,
0x05e3a758FdD29d28435019ac453297eA37b61b62,0.0425273390036452%,Collateral Depositer,
0x563537412ad5D49fAA7FA442b9193B8238d98c3c,0.0425273390036452%,Collateral Depositer,
0x9bcCb93fa1168edc110D9d2fb142c19269daa6c7,0.0425273390036452%,Collateral Depositer,
0x56F14ECE2E0c662eE5517E9C5164f2Ec0f64ad35,0.0425273390036452%,Collateral Depositer,
0xa656f7d2A93A6F5878AA768f24eB38Ec8C827fE2,0.0425273390036452%,Collateral Depositer,
0xDa62095B85950E6E44b374C27E88C527Ed71260e,0.0425273390036452%,Collateral Depositer,
0x8173C2df21a5Ea92C1e45eE7529A6881C81f1D20,0.0425273390036452%,Collateral Depositer,
0x52AE96079530b311C7BdBe89b5Cb07aB6FaCF67d,0.0425273390036452%,Collateral Depositer,
0x666Aa5A2a9cae4488D2f16422A84058301cF432F,0.0425273390036452%,Collateral Depositer,
0x515b72Ed8a97F42C568D6A143232775018f133C8,0.0425273390036452%,Collateral Depositer,
0x161bA15A5f335c9f06BB5BbB0A9cE14076FBb645,0.0425273390036452%,Collateral Depositer,
0x8894E0a0c962CB723c1976a4421c95949bE2D4E3,0.0425273390036452%,Collateral Depositer,
0x75e89d5979E4f6Fba9F97c104c2F0AFB3F1dcB88,0.0425273390036452%,Collateral Depositer,
0xB27e3b091827760C858C939838AF7FAC79b54434,0.0425273390036452%,Collateral Depositer,
0x8Af700bA841f30e0a3Fcb0EE4C4A9D223E1eFA05,0.0425273390036452%,Collateral Depositer,
0x1A1B402B3d7ffdE999155365E75512e624Caad98,0.0425273390036452%,Collateral Depositer,
0x92cEA8DECAfd67B90f6d5c61DDB4dE1472ADa07a,0.0425273390036452%,Collateral Depositer,
0x9bcCd6B20893Ad3B7b125aCC05761A5bfAa3A6C7,0.0425273390036452%,Collateral Depositer,
0xB6A24deBbA45bb8326F70B2510b685b4eB2f7763,0.0425273390036452%,Collateral Depositer,
0x73147F1A2EBCf284b2D0061299bdA8608fe0177F,0.0425273390036452%,Collateral Depositer,
0xB38e8c17e38363aF6EbdCb3dAE12e0243582891D,0.0425273390036452%,Collateral Depositer,
0xB3b1D52c2A7C9b0B0b3cDEBEedC8830B1bA4CF62,0.0425273390036452%,Collateral Depositer,
0xd9c2Eb244530BC6387B8434417D4e4C5A5d10672,0.0425273390036452%,Collateral Depositer,
0xE39a3f1868D38014AC108a983202c19300a0aA5e,0.0425273390036452%,Collateral Depositer,
0x2a9d04a3799AB2B9B0700dF4584A775D687a5Dfe,0.0425273390036452%,Collateral Depositer,
0x4982085C9e2F89F2eCb8131Eca71aFAD896e89CB,0.0425273390036452%,Collateral Depositer,
0x21A083E599F4874a11BAc9485fE2F1B6d977f38a,0.0425273390036452%,Collateral Depositer,
0xC2cfCDa0cd983C5E920E053F0985708c5e420f2F,0.0425273390036452%,Collateral Depositer,
0x89639b0c40b8517145D238dF4A5a83247EBb66A5,0.0425273390036452%,Collateral Depositer,
0x943980b467fE194Beb923dAF7A544aBce90b5f93,0.0425273390036452%,Collateral Depositer,
0xee6b17AD9Ba8778983417963FCC63963CfeD12cB,0.0425273390036452%,Collateral Depositer,
0x8C6Ff01D1e5DcFF16cAD09ef5F0F5a89459290E3,0.0425273390036452%,Collateral Depositer,
0x62383739D68Dd0F844103Db8dFb05a7EdED5BBE6,0.0425273390036452%,Collateral Depositer,
0x7E2a110f452C300EC1A6433270a3582C762C3f2B,0.0425273390036452%,Collateral Depositer,
0x904fB665AA6B4BBFAaAa0d5d1860b902F60BE499,0.0425273390036452%,Collateral Depositer,
0x8Cc76c25A7a086F353B2bd1Bf8b636cB4D497fd7,0.0425273390036452%,Collateral Depositer,
0xcDF9348894295efd34DC9E04c80Eab8080d19E1b,0.0425273390036452%,Collateral Depositer,
0x1acD16fCF57cCb32dbbe83DE190c42FaA99fd882,0.0425273390036452%,Collateral Depositer,
0x97fde35fa4f15e5e65ee6a928F8d47C5271946c8,0.0425273390036452%,Collateral Depositer,
0x53608AABa9B9e4d0871E999dBa8456aE6F7790aF,0.0425273390036452%,Collateral Depositer,
0x1A1b2ecd63920E45c76B3A7CcB09a4a6F23aAd98,0.0425273390036452%,Collateral Depositer,
0xeE114cC97eC5adeB34bA5645e315B497D8487a45,0.0425273390036452%,Collateral Depositer,
0x21a31Ee1afC51d94C2eFcCAa2092aD1028285549,0.0425273390036452%,Collateral Depositer,
0x3eb598917AAb7A96DAd2c6DA37738176cA6ccbbc,0.0425273390036452%,Collateral Depositer,
0x1a976E10025d585f76Aac2Dee8248103D232Bf67,0.0425273390036452%,Collateral Depositer,
0x1b933277D631C834AF0Bc3683DcE163e37F4f1ad,0.0425273390036452%,Collateral Depositer,
0x1B5B4e441F5A22bfd91B7772C780463F66A74b35,0.0425273390036452%,Collateral Depositer,
0xf92402bB795Fd7CD08fb83839689DB79099C8c9C,0.0425273390036452%,Collateral Depositer,
0xCf51821caDF543c1F631E2C852CfD379A212737b,0.0425273390036452%,Collateral Depositer,
0x925679c3B62c2A809A35C50B48c0517499B9753b,0.0425273390036452%,Collateral Depositer,
0x7F92510f72AcaE135EfAD7b0Dc1fCb661848568f,0.0425273390036452%,Collateral Depositer,
0x0300c557C28E213ea1bf1a20A8C3431658c4aa61,0.0425273390036452%,Collateral Depositer,
0xD542824e899C133FF40f9e012a69143556BA74F5,0.0425273390036452%,Collateral Depositer,
0x2e5e227280B1d5ee28500a9000296C112DC8efc5,0.0425273390036452%,Collateral Depositer,
