Address,Allocation %,Type ,Sum
0x245cc372c84b3645bf0ffe6538620b04a217988b,10.0000000000000%,Dev,100.00%
0x00424a7035eE77AdB825e45472668561f5fbBb18,0.2073732718894%,Cooler Loan Holders,
0x00bF0dF432A11580c1a9B5E1Ee6d8BDf4fcf5ad4,0.2073732718894%,Cooler Loan Holders,
0x00DEc2845F244108684c6d34958230fB758E23bd,0.2073732718894%,Cooler Loan Holders,
0x0174998c7e8fa81D45dE706a1c911497921a8122,0.2073732718894%,Cooler Loan Holders,
0x0212fBfB3bbA5d8566F09E8Ef78BCde68CCB30A3,0.2073732718894%,Cooler Loan Holders,
0x03658a9ab97F4742f2BF7a5ce93cDA898c906841,0.2073732718894%,Cooler Loan Holders,
0x03dA5c3B75503A1dDa58E2bd23D4726B5EE8DD26,0.2073732718894%,Cooler Loan Holders,
0x03df00E6fbDEDcB3ADE62d95219be27530936fC7,0.2073732718894%,Cooler Loan Holders,
0x0430C0cD447397D5411aEA19933165Bd96C46fe3,0.2073732718894%,Cooler Loan Holders,
0x056e0771EDA62BDBdF5509dd2bBC0E1854Fd224A,0.2073732718894%,Cooler Loan Holders,
0x0633E68DF5b28Ebf7C9a6cD887a66927D6a558A7,0.2073732718894%,Cooler Loan Holders,
0x06bD85704B17175282eD6abE52b65d44748D38ff,0.2073732718894%,Cooler Loan Holders,
0x06d486A38E1195fdEE147Fbe309821d72b06f197,0.2073732718894%,Cooler Loan Holders,
0x07339eCF97528E964AA42D9741a0e98065b685fe,0.2073732718894%,Cooler Loan Holders,
0x0a709Db29D2ff041F924f1b075e9f003BB781a3b,0.2073732718894%,Cooler Loan Holders,
0x0C2bec0bc629b8553135030D1b72CB4fbB9E516d,0.2073732718894%,Cooler Loan Holders,
0x0d9f5226215f3DD548BBCD0cAF16ee0f964C160d,0.2073732718894%,Cooler Loan Holders,
0x0e8F336e5Cc8d213C6E1Ff21004f4bd2Eda67D38,0.2073732718894%,Cooler Loan Holders,
0x0f6621DfB64976A39416a62EA4E9d7cB1951Ec8c,0.2073732718894%,Cooler Loan Holders,
0x0Fde32A92d1b4f2A182a757704fAcfb3f09478Da,0.2073732718894%,Cooler Loan Holders,
0x10EE12fD24893AD8d4F5a70b4d3B1bFD0D1D9eC8,0.2073732718894%,Cooler Loan Holders,
0x11147456DA6f04768acE9547b0bB8B8Fcf616530,0.2073732718894%,Cooler Loan Holders,
0x1119C4ce8F56d96a51b5A38260Fede037C7126F5,0.2073732718894%,Cooler Loan Holders,
