Address,Allocation %,Type,Sum
0xBb5d8FC17421a9a71101032d4Fc1ec0984Fc85f8,10.00000000%,Developer,100.000%
0x067f16eefb7f44a337177f7cb0d658233111a720,3.58632571%,User,
0x765d8e61bd060d0400bbe2a1d648b225434ec9f2,3.31447289%,User,
0xEEd72F305035AEFA27f669c74Bf053C63E8709e6,2.25581650%,User,
0x525E28fB8ce0AeC443731C2A0adA60DCAb24CF63,1.90000856%,User,
0x77716a5DDE86e13466FAa3A2Ee36a3ab1e1169D5,1.70265046%,User,
0x52e06f307b4e878ac25c038dc96ab0af56c5e729,1.55000854%,User,
0x144C8F91Bc6090AD425BC3e707F0A611534548EF,1.50265046%,User,
0x4043Ef52f39D34df8A33a7A906aDf3083447746e,1.40000854%,User,
0xBd7fAE690d2E4573Ba304d3Db4426Ad08BA6D760,1.30000854%,User,
0x640F77f89f6cDEC5A778daBb621FdbE3A62C6009,1.05000854%,User,
0x0CdAfC2fbd1eB267bd46A500A668EA4B7f264A23,1.02070050%,User,
0x4500d87740BC7030aC6cB6179d3bEee2B797d321,0.95000854%,User,
0x92434C10F32e6e8Bf16cBF7f19CCcc1caAbf09d6,0.90654714%,User,
0x03469aD0995ADb3f48d0889Da620290FC02faB06,0.90000854%,User,
0x4F4D3c10a4B0Dbc9790663E396BAd26b7e4d6C07,0.85654714%,User,
0xdA11E839Ab53B29Ef5017c8d9314d7327374B692,0.85095230%,User,
0xe627552c6338855983a147fa5235e5d92a3c2891,0.70463599%,User,
0xb950417BCF212Acdd3221A4806054ceEf7749B80,0.65000854%,User,
0x624C2b487C394D0dB8837913aaa0BDAC5d68FdB6,0.60000854%,User,
0x324ca541c9e5aca5a563a112532831d424740f44,0.44172275%,User,
0xc1e549320f048d8149d5b0cb9cb268da59f1f2ad,0.37266078%,User,
0x85399768c72b64879e704ebafc5ac52483984b9e,0.30216410%,User,
0x2945b3Cd49F52595334d455973dc9f8bd17E60f0,0.30000854%,User,
0x88b8dd3e10788b48314567f512cd3180716f8d5d,0.24971849%,User,
0x02eecbf4de99a1ff7ce9db378ab6fb251e9a9214,0.23962426%,User,
0x0716c3f02090bd26b1001102fe430cf356186bb2,0.21928777%,User,
0x759B94E1EC056C769dFeF808dBD29995393c26C7,0.19702253%,User,
0x05254ee2758ec00b88749aad29a551dfec08d8bd,0.18258596%,User,
0x0ade46287180f303f2aaa30cbcfaed0724c0fa08,0.17117830%,User,
0x43f4b540fc28046676e99e33893439d8870ea173,0.16035837%,User,
0xc858c8592dc56069a01dd3c0a8ad49204dfc285b,0.15080156%,User,
