Address,Allocation %,Type,Sum
0x8D935B2DdD20755E3cdb10039805EECb4c2a7a73,10.0000000000%,developer,100.00%
0x25CC275CFE3Cce1700E816e00d4CD1f60872038A,2.4136290880%,user,
0xA9F65a8a1829F68607e4223F349545861216543c,0.4884581570%,user,
0x983409AC03B6B5DFD45f895579251aae370ba1D3,0.3822484930%,user,
0x7dc6272db0523ce8d0270920e94f7c37d3bbea1b,0.3393274070%,user,
0xc6478e4e38351ae0d1C199CDFCAFaAEc25938a8E,0.3478269620%,user,
0x1868e6127b2999f7ab4be774c4a9d137012412bb,0.2930006430%,user,
0xc9f6977cF31F9deCdD2c24DF92aa621e4259469B,0.2806532330%,user,
0x63577E7034eEeC4446FDCB58a547bda878ebF33b,0.2540634570%,user,
0xcc10f2ae597b8a462f15dc498158de8b363603ab,0.2674599500%,user,
0xBF62900E21f6C98CEa9B00EEE30035338329BEF0,0.2505735390%,user,
0xD069391D85d6f47c1F916677A69159812D18350d,0.2403833020%,user,
0x636F87ba55DF23a414aF26eEbd2F933E75D62774,0.2381405380%,user,
0xbb058100c58f04eebfc245ab07364296feb9846b,0.2223950970%,user,
0xD8D5524409d27D84875F4cAb561ec1c1FaD7cB63,0.2202607210%,user,
0x84070e4f0fbe246db4a66a30b9d6ab759b1a4a5a,0.2084511410%,user,
0x5D32E91BE8Ef9FDF1cE926f63Db341418093851e,0.1853287550%,user,
0x4a4Ba70800F8EAbd56470152c4CED081B053087F,0.1574547900%,user,
0xf0ea58b65c82c48ce69f0abd68d178e7764c4ba2,0.1556168300%,user,
0xf1011216260e5a23f21cbdff7ae800f1668d049a,0.1549012540%,user,
0xb09e161a8170aada55612cb333f38d2aff45e453,0.1594005130%,user,
0x005b12f5b7c22b497528fa0a6bc81510748fb58e,0.1591336300%,user,
0x3f851484df1cd170f4e416e425a797ff39d89b42,0.1569849400%,user,
0xb4eec5988958827d479eac71b484277e913b38b1,0.1566281320%,user,
0x1D9698671D792C42aFded97b4dF08f6B9C585A56,0.1470111100%,user,
0xaa8BDB60eE28E7616Bfe4867f58BfE4EDF858271,0.1549303240%,user,
0x4b5D448082809a3aA567Cbd22778533e6dC2014b,0.1467267430%,user,
0x706ce9eeC7d007272Dc4a0482d95C0615f721305,0.1453745530%,user,
0x19654a74e0a10a6ff9876124e5bd0957c4401cf1,0.1432414930%,user,
0xd1aA7B6Ca4B057A82FCb2658f3cDA7824F2fE689,0.1326987810%,user,
0x53CeA486bBD310B251B7B8A3CCB618199879fEaE,0.1407230740%,user,
0xd849d695815be00ed42cb550d9054a556ccc4316,0.1367145220%,user,
0xdcc1f0af33526f1fc3905fb0104d81919d2e1571,0.1348173140%,user,
0x9cbacafb698538f93e17a85607948b66e5d62548,0.1272371320%,user,
0x35f8f9028c8d1822cbc1da133d7260862b25662d,0.1222222160%,user,
0xC8D46eb7881975F9aE15216FeEBa2ff58E55803c,0.1310188540%,user,
0x1C7411ce07Ee24Cca0FaB2401D66ef72b81F83D0,0.1249883230%,user,
0x249265F9B06d2F7Ab5282126786ae3F73b1Ddd29,0.1177279160%,user,
0x2c85fCf9225fF86E0c01Fd89524FB7aca2d94917,0.1187957380%,user,
0xD0181cAb0f13474ce327898fcC8dC09eA39D92D2,0.1122881900%,user,
0x51088DF019046476B5E52426b3fB2d130E989C1d,0.1127149600%,user,
0x876eB4A3D7261bea7D0c11fB37d605d0cE802fC9,0.1104743850%,user,
0x2951B1F7058bd2C05F01954002C450BaC0873847,0.1171681410%,user,
0xd733342b55d3d8f49f1ca5cc7c10ce8550615dfe,0.1087083480%,user,
0x146f2Aaa6e6B36Cdf8FAF037d2C50a00b38Be34d,0.1153192200%,user,
0xb44D72280575a1d40c0BD3EDF10054dbf05A725E,0.1109165560%,user,
0x22ADC81De50eB7f27D11653BB925507Eee90C59a,0.1152141850%,user,
0xc9e7D61bbDEF3F821DA08Bfdb19a2bf7e0eC60B7,0.1117284160%,user,
0xdf3bd15a1b1a724163725352c9baac851dc547fe,0.1091488080%,user,
0x43A7680a5b84FAd81ACd708dC419E3CEFdA4D879,0.1040063930%,user,
0xaDAcbA4Cae9471C26D613F7A94014549a647783C,0.1087681160%,user,
0xb70f3b5405676c45dab77501fe5bdd07924586a7,0.1036630250%,user,
0x85bd59c45fe79d3bb40d50239f276a9d1623580d,0.1061007710%,user,
0x7fA1fc1eB75E7c85a0E5d78423C99D4F35C6c56E,0.1015143360%,user,
0x2bC12061C8912505978472C21d4a23dB43AF62aA,0.1029825440%,user,
0xf956f65aa21447f909a54ffbd1d8583ca332dcc3,0.1027639480%,user,
0x6E48E2bDeaB3795CD8b007Be6629719a9EcBaD81,0.1028906590%,user,
0xb385ba0e174ff9b4473e841c566b54991030d6c2,0.0959890200%,user,
0x3b6280e12f19160c8b340a77d8cfb6eb5e32ea77,0.0996084170%,user,
0xb93b1460F366eB4094A3D081298e8611Abe73e07,0.0947418660%,user,
0x13964e9DEb70C3E5a53D6dB7E6A01D9F74edDaF8,0.0960372860%,user,
0x4398805dbcd8c08e45fa87070bedb69ab238ddd3,0.0990310110%,user,
0x83DB77A8CDF334a40196B0c60EdA7614BA038920,0.0987641280%,user,
0xbce5ca497c6ce7da88321d98c480cd7afffbbfdb,0.1023835260%,user,
0xE18548337521D1acA880dedBE9cCE7738Cdb328D,0.0977136680%,user,
0x464d19bb970ff3a27d2f5404656c4915564dfa41,0.0918776000%,user,
0x15fdbeab77d7a8e7f06b622ee442798af0eb20ab,0.0940180560%,user,
0x47ce4710f1EC69fd49Eeee3D1711942De47266d9,0.0879875250%,user,
0x3811176522caf2d6294f32e030713ee3849d2df8,0.0886811770%,user,
0xd14d72f13208b437e53897b231f2e696a5cc7623,0.0865653730%,user,
0x35859702621cbf41e5f9c3de1a6e6cd21d775aa7,0.0882195620%,user,
0xC0a61b303c08F020F5F0Ff5EdEAc877bd6aDCD6a,0.0882195620%,user,
0x5d45b085f59da5252d5002fee39165ce88240c54,0.0903356570%,user,
0xF72131e357295dDBED1C478096Bb81D90eFf0c19,0.0815718830%,user,
0xf969e21b1682b042246fdb5bb3af5f44006f5040,0.0839221820%,user,
0x806b704d7c2a4390a9e2b8078e1f1227da95ee9e,0.0801212860%,user,
0x9935f3f1dd5a25452c34fdE7A30c216dF728c263,0.0805963010%,user,
0x3a75173d353ca38ad4b39776257ec790c0ea1df0,0.0784912310%,user,
0x0dcFeB0bfb7Fcb7e48BD034b0a57DdEeA20ABb26,0.0739615440%,user,
0x404b88cd386e0853e83f01e959b5da5c92884a4e,0.0777866160%,user,
0x70582f685a10075d3743c6888cd7fc0775fe4d9a,0.0734277790%,user,
0x4bF6a5EAd2Dd225ae1191E6c1cE3BBa3A3e51Af4,0.0782155740%,user,
0x63B4D906a8adB9D9da2F435Ab8436Db2D4A11631,0.0700209730%,user,
0x3774539539A91bA9dBcFbA5802fCBdbb8A40f45F,0.0733054660%,user,
0x3E98895a24C7Ed2eDBF763b7dBD77c8A0d770945,0.0724039300%,user,
0x1f8c3653202b7795719ce4719ed37d290b07be05,0.0700953740%,user,
0xe2C8f9E17A6d5C6dF24444fe3050360a14822904,0.0710846260%,user,
0x3963720c3bC91a5C0bbfbB87e41126Bc1C394A85,0.0702662030%,user,
0x168e86eb1d72566ee0f77be308283ec4e9b60a14,0.0692947050%,user,
0x0ca34b96f8c33ff40dcb463a6e976697b6ff7010,0.0686493180%,user,
0x4ce88282B5A0A0Af7D65e2534bca49b55D74634D,0.0674960100%,user,
0x016D705F524edd6E57d1bBa30e28391099c77149,0.0711154080%,user,
0x8f426248a83ff0a1708f738f0233152248f09309,0.0657979950%,user,
0xB4B95107eB7BA3bdb0C66d8B5e9c7249FC0619e5,0.0632071350%,user,
0xd45509048d282d80d0ef6c5a14d4b5673433e0ec,0.0675991480%,user,
0x799778b38d5EBEADC54bc04687D1878dAc1d7eb7,0.0654611300%,user,
0xb3b5afe83803f4E415035Fd39c78fC92dA1f4D37,0.0698441420%,user,
0xc55B64848D18754c86Dc1f2F7ED183114afbF99c,0.0655181690%,user,
0xa67d1528bc474b28d5cec9053512843f573825af,0.0636493060%,user,
0x11Fb1E14BD349A61A93d5E05d7c6267E26D82d30,0.0652532470%,user,
0xede71d58eb92c4eb065d2709a08970f789e7084b,0.0603647920%,user,
0xF815ed6D10C0f0F8680c22b6e5f7920542A72Ac9,0.0644567470%,user,
0xa85bd2bfF15565B9653FdbA9Aedf355d5352dA13,0.0644567470%,user,
0x7579e358a26405ce2103db678321f961b16282a2,0.0633234020%,user,
0x1a5b37d3ed535e25a4857c4a1d7cc2c174a487b6,0.0645357100%,user,
0x19926743e3ff342b37da25dee7e178bb1d55ffd5,0.0626887490%,user,
0x7519d556501b7f122e6dff6d738dc75cd6b485dd,0.0670018000%,user,
0x594C9Ad8D38Fd59daeAe8520Ab1E31B2A866C4f2,0.0631155190%,user,
0xdBeE2B501021Ec7d8D6FE48f1829118178D2E4A3,0.0607586770%,user,
0x80E8F298069CbE363cF8c16091D37171fd30A247,0.0625859020%,user,
0xb3467880204D2A2d5dbfF08Ee67584cDE9035253,0.0628398620%,user,
0xaf9274eebf4ed79cf47633e4072400fc5fec0b61,0.0612665980%,user,
0xaeb9699ad68f166173853a713872b0eba2403988,0.0660193400%,user,
0x0bd3f061c45378ad9139289eda6d2c666670cbe2,0.0621330600%,user,
0x5e9d5e9708e795676de79eca0f2a85e7c22ef1a0,0.0644482640%,user,
0x6a65842233Db5B345764fc716092AbcEf221b441,0.0615115570%,user,
0x9a6ad1fac51dfcd547ceeabe95031975a0436ad5,0.0607238310%,user,
0x11d94e99987cb85b67c88020c61d6a12b1149703,0.0600675030%,user,
0x035ED7c70775567dAcb151d3C29841292f87c678,0.0607940200%,user,
0x164179c8d26a9b7b131b6e057d2e9fc4b18b6dc8,0.0600894060%,user,
0x4a11be257491197de5f6e875078fff134c86f716,0.0600894060%,user,
0x391180ab65f7bd2943d468fb00f96a47f51f8953,0.0593847910%,user,
0xcf73D5A120959e20f1C3B6B42FEF703d261dDd86,0.0595576000%,user,
0x7fD44c32A32BFCc4E72bb7351745Ae205338f3af,0.0594657150%,user,
0x22C0259870aAc800347D8E20870b9EcF40665959,0.0598924850%,user,
0xc789c1420e63f90f2b709fd3bdb2cde0725ac155,0.0587611000%,user,
0x6a57E3641e1FfeF4C021011c2941D2799B18ab7E,0.0591069460%,user,
0x05F3C3840160ed96722D2aE790cCF369d357363e,0.0577896030%,user,
0x9f0f5be7aa754b1134e3a88c44bd4a72c2468f99,0.0546343000%,user,
0x459d60e2db519a4f95e35c58bac84bdf39489607,0.0546343000%,user,
0x46c29252280759c1d2544cac71471be12f324e84,0.0594199070%,user,
0x4B47052498D469AC9521606A67d6F02AFeB0985A,0.0581944490%,user,
0xd0c57a1bc1f291d2c2fef2bf70d48a7f5a9ad00d,0.0579297540%,user,
0x3f99c87d2e802282fe89ecd5091cae7415142ec0,0.0604155790%,user,
0x61ff9cbe2d6ce98f4c8ecf3807339474f4c09630,0.0575709860%,user,
0xc6d7208dadee4f431bd0f3f11e7d4c91ff51bfb2,0.0575709860%,user,
0xdb77d93a976081cd2c97914b72d27f9b053c843f,0.0569582570%,user,
0x99B641e398267068e6BfBE3d98C101c97170aB92,0.0567722980%,user,
0xE066f0Ad67f39Ab8011638AfbB03A77AA29a95eB,0.0603829220%,user,
0x8E2a341007F90B10AFF2Ee33fF5D01B94Ea3DF45,0.0559757980%,user,
0x2f5a7296096ca92d74d2af81c60ca50a122c28dd,0.0572273910%,user,
0x3099ce94b9ddb6715b1169f61aa0e16ad818ce89,0.0549933380%,user,
0x2718E86f5793Ac08bd3C4A301382E8c1DA2a1e30,0.0550764500%,user,
0xeE36D49f4C006d7E62EF5C587bB6cFdc6C40C35e,0.0521968040%,user,
0x20628b67ce5cddac1cb95198c0ff5271f39fc048,0.0551573740%,user,
0xf74a8ff41a27345a6a2d8bea4a5e98664e991188,0.0539802020%,user,
0xd47D4F270f9BC03400cBAF1D5fAa97c3Bbe7Dd4b,0.0586739240%,user,
