Address,Allocation %,Type,Sum 
0xe9136362bb1c97019eab596ea9047f935644bb49,10.0000%,team,100.0000%
0xdbc07f32f72136ccbb96af42aec4b4646f38a327,1.2725%,helper + nft holder,
0xdc65ee52540b4f49e1aaec90ee135341790f9af5,1.1434%,helper + nft holder,
0x2c947bd048a0210c2de37471c4c299c2603ffce0,1.1147%,helper + nft holder,
0x0cb584c5cda6c048a4eb76bd114d6b8a128b0dde,1.0184%,nft holder,
0xc9ee33c627e5a5c1b2b9c7c218d3e8974a08863f,1.0000%,helper,
0xdfa55463959336a1e8e04ef09d9140421c15f26e,1.0000%,helper,
0xbe252f8dc0f27832269267b7e602c0e362f9ce3b,0.5307%,nft holder,
0xdb1151afe7826882d6793d16f56f0a10e142f4d3,0.5200%,nft holder,
0xa0e5750aea3f25190e8fcda4c1b29fc48eee5b90,0.5020%,nft holder,
0x2b88ac91ea0cf785d5aad50bf9e05d541c347cf3,0.4733%,nft holder,
0xab5d70d1497389ee2c7c8474ed967db2acbbf27c,0.4590%,nft holder,
0xf9adc204286171549e8d8fb6e8031f877b6fda7e,0.4442%,nft holder,
0xe29aaac4f69954adf72978cf4b86b3efd8af6173,0.4016%,nft holder,
0x28ea6b20cf91c378b0344eecf72b3f944bb1a41d,0.4002%,nft holder,
0x5f8645056c0e32546124cc40a70e05d828a502d5,0.3729%,nft holder,
0x7408fda2388b478b351e36e5c57b037714865f92,0.3729%,nft holder,
0xf8bde71eb161bd83da88bd3a1003eef9ba0c7485,0.3442%,nft holder,
0x4de4bad3c0528ce1703ebaa9b58db7b05be4afdf,0.3299%,nft holder,
0x770517373ed9abb3e2bd3f4bdbd9e6bc79f17bd9,0.3299%,nft holder,
0x879b8bd39f58e87181c29d92daa808769f9005b9,0.3299%,nft holder,
0x07fc23d3b388727647c37eb577b0547845634a86,0.2698%,nft bridge user + nft holder,
0xf298852f0f884eed5cb37a497c63fd35ad46f66d,0.2555%,nft bridge user + nft holder,
0x4893f283ad236f4a8c52cc5bf981bb81ad36cce9,0.2526%,nft bridge user + nft holder,
0x9063e1a6dd076899f6a0057475e8614e17536f59,0.2438%,nft holder,
