Address,Allocation %,Type ,Sum
0xB82A6D0c805f33C665AE2733599469B2f41a4bC3,10.000000000000000%,Dev,100.00%
0xac3C1FD0c953c7Ae8803b3bf79371a1f70b25282,0.714285714285714%,Active Contributor,
0xa462B73DfFb06bb483BC9d39ae6e9425FCEf91b5,0.714285714285714%,Active Contributor,
0x1F170EC5A661980E9d75105a3bfe0af9AD8A4E8c,0.714285714285714%,Active Contributor,
0xccf895ce19207d323e976d49bd9bc42833c5246c,0.714285714285714%,Active Contributor,
0x601d4fF404fC452b3188Bcd4571e11Ec9f8CF331,0.714285714285714%,Active Contributor,
0x75cF8d888D163f9BEBDCCb57ae7Cbb831C470ad3,0.714285714285714%,Active Contributor,
0x1F293e237D2C3739F901fc1b7b08b44cc31bf75a,0.714285714285714%,Active Contributor,
0xA16dd5DC89d9e36524e3b75DE78515ed7CA4F1FD,0.714285714285714%,Active Contributor,
0x16D4a2Fb6595cae20e1AD025b08dD445E310feF2,0.714285714285714%,Active Contributor,
0x148c14261AA423C8b1c36dAa57dE9927cA9752f6,0.714285714285714%,Active Contributor,
0x149B9d82649DE86244e84d857708479Dac850744,0.714285714285714%,Active Contributor,
0xE022F7D7d104674484471d8C782BDFD92B3443D2,0.714285714285714%,Active Contributor,
0x2d29E23c53eaC268c44f86B78f792a2C119912D8,0.714285714285714%,Active Contributor,
0x595d2528F1f235ba27Dc2Bec1ff515ee11316E06,0.714285714285714%,Active Contributor,
0xacdb3990eed2a6a8eea60e6937993de7799a41c1,3.147229120000000%,Token Holder,
0x37a981532d7a2754ec53f9fd86fc34ccb15610eb,3.031245760000000%,Token Holder,
0x595d2528F1f235ba27Dc2Bec1ff515ee11316E06,2.730914640000000%,Token Holder,
0xC118Fcf34Cf174e6E93C993F00c728C76edFBAB6,2.730914640000000%,Token Holder,
0x53352ec4283b15c2b8c9e0206829b0b2b7c4c3a6,1.777913680000000%,Token Holder,
0x652b71f544c863d0e83a015aec3a2f0236e93887,1.707231600000000%,Token Holder,
0x2d3a71ae1ad9657b47320bc9099c3588c925b1b6,1.413913280000000%,Token Holder,
0x17a686a4d7a8d77a94609c9935f224e9d71d8bb9,1.393048800000000%,Token Holder,
0x2d0b27892468A248507eabF727DC667792711718,1.365457280000000%,Token Holder,
0x3F5885718433008739b5F53DdCDE93e234508b69,1.365457280000000%,Token Holder,
0xf7171da5ced2f12de94d5d1d225b5c82238e2aad,1.309226320000000%,Token Holder,
0x39f49254d6eaf6b2b2549dfec4ed93cf6bae167f,1.304526320000000%,Token Holder,
0x23b8fa5eeb0ef09aa7ed529664c855dc06688918,1.266516160000000%,Token Holder,
0x75fa3be54d5b3571ed19f3eeace61fa1566ef948,1.199247600000000%,Token Holder,
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,1.146337040000000%,Token Holder,
0x14d92a7e0b39594a24e1433af564b47d7f1354f0,1.058167760000000%,Token Holder,
0x97f54e86516005ce31a57a8cde56340788faf383,1.036551280000000%,Token Holder,
0x9a7c7561ece91a1715d52588718ae3b225efc718,1.000584400000000%,Token Holder,
0x9d9c4e1ce6c58a0eb7de92d0608426001e3a4c91,0.998948880000000%,Token Holder,
0x3f1931bb25351b65ec831d84e3cd1cec54a16f6a,0.990082880000000%,Token Holder,
0x2385b2be5b0005df8e23cf695a83b400b10e717e,0.987860240000000%,Token Holder,
0x5645e0c6b705c5bef97205abcae6f133d3a67db0,0.980338240000000%,Token Holder,
0x6d1c360ce882bba1723119be2125772d526cc166,0.957777040000000%,Token Holder,
0xb82a6d0c805f33c665ae2733599469b2f41a4bc3,0.915764960000000%,Token Holder,
