Address,Allocation %,Type,Sum
 0x21d9d1460041b47ecd595f0b1fa5183e3c5038ac,10.00%,Developer,100.00%
0xd3c6ab0158c0ab1a13908a213b6ed7a9155efb7d,0.0375242706100000%,Active Commnunity Member + Bridge User,
0x942f1556aad625e23d88452d7b8a93b4d117fa3d,0.0374992127200000%,Active Commnunity Member + Bridge User,
0x0f206ced2f276514e2c73d78294028ebaee27d66,0.0374813330600000%,Active Commnunity Member + Bridge User,
0xaee51d8c23eedea7a698da05f77896083d60f36d,0.0374746321100000%,Active Commnunity Member + Bridge User,
0x3148308853361e4315ae7cf9ede7822b67d9af59,0.0374648758400000%,Active Commnunity Member + Bridge User,
0x8fe316b09c8f570fd00f1172665d1327a2c74c7e,0.0374648096100000%,Active Commnunity Member + Bridge User,
0xd06363c5e4674c54771b9be4532b8f147ae89fd6,0.0374593395200000%,Active Commnunity Member + Bridge User,
0x942f1556aad625e23d88452d7b8a93b4d117fa3d,0.0374588282400000%,Active Commnunity Member + Bridge User,
0xa6e51015c22c9242c5de133aabf826e5ecd95460,0.0374565001600000%,Active Commnunity Member + Bridge User,
0x8a818046e7b4345038ede9ff638822d103b45049,0.0374521961800000%,Active Commnunity Member + Bridge User,
0xb6f6713975d7e6f7a7afef2c615df05ab891bd98,0.0374460410500000%,Active Commnunity Member + Bridge User,
0xf7b18e107eb36797f4ce36de756630b9c30969ad,0.0374440863100000%,Active Commnunity Member + Bridge User,
0x70ec29bb2d63cc4fa10dface1fbe1c3a125c8598,0.0374424595600000%,Active Commnunity Member + Bridge User,
0xec220edb5b28c091981a113462dc801adfc58095,0.0374386776700000%,Active Commnunity Member + Bridge User,
0xf5a93410e7e32bbf28a8eaafbd7f241cf0b290fb,0.0374346217200000%,Active Commnunity Member + Bridge User,
0x2dbcd61d7866eaa5528fd45721066c44cb9fbd94,0.0374256693900000%,Active Commnunity Member + Bridge User,
0x6afdc1c82ed770c46b36a9fb6bc3e176ade01edc,0.0374246838400000%,Active Commnunity Member + Bridge User,
0x8fe316b09c8f570fd00f1172665d1327a2c74c7e,0.0374158611400000%,Active Commnunity Member + Bridge User,
0x2eab0333fd92d79def96401265785c145ec1e604,0.0374124816700000%,Active Commnunity Member + Bridge User,
0x98da6299e5e15024f5c7db85543adca5cb4031cb,0.0373993493700000%,Active Commnunity Member + Bridge User,
0xdf1f5666c5e70a7fa0bb89717947a1fecc245fe2,0.0373950616800000%,Active Commnunity Member + Bridge User,
0x17ceca2a6c0d079efa0224bc64e9046efc77e556,0.0373794617800000%,Active Commnunity Member + Bridge User,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.0373768193100000%,Active Commnunity Member + Bridge User,
0x6575d0572b998548dce4971b93d1cf2855ae0cd0,0.0373729868700000%,Active Commnunity Member + Bridge User,
0x41bc7d0687e6cea57fa26da78379dfdc5627c56d,0.0373648016200000%,Active Commnunity Member + Bridge User,
0xb08d2489fc75871abac91d624f4f5835105ba034,0.0373546998000000%,Active Commnunity Member + Bridge User,
0xe4db8dd92bf14f9f7136bbff206b6357e73e2e83,0.0373515015200000%,Active Commnunity Member + Bridge User,
0xb08d2489fc75871abac91d624f4f5835105ba034,0.0373450181000000%,Active Commnunity Member + Bridge User,
0xf869f2ace5d71e762fc867b852168b45e0bda316,0.0373450001300000%,Active Commnunity Member + Bridge User,
0x98da6299e5e15024f5c7db85543adca5cb4031cb,0.0373245499300000%,Active Commnunity Member + Bridge User,
0x23fd0fc86980e0e22c63d88ba9d5d82518eb56b8,0.0373242678500000%,Active Commnunity Member + Bridge User,
0x2dbcd61d7866eaa5528fd45721066c44cb9fbd94,0.0372981385700000%,Active Commnunity Member + Bridge User,
0x193f95ff49884ad3797863545da0bceaf9fef8a0,0.0372971787100000%,Active Commnunity Member + Bridge User,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.0372949092900000%,Active Commnunity Member + Bridge User,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.0372920502200000%,Active Commnunity Member + Bridge User,
0xdce62b21a8b1a9b39dd3ded27c876d416cc91b3e,0.0372880518800000%,Active Commnunity Member + Bridge User,
0xba19e32b1280105b8855d54073662000d7958b28,0.0372680555900000%,Active Commnunity Member + Bridge User,
0x73cc95363c5c31a25cf278236d4b7ee386a329dd,0.0372656445900000%,Active Commnunity Member + Bridge User,
0xbeaae572562131e92dae1b6800c5c20af440caca,0.0372571043400000%,Active Commnunity Member + Bridge User,
0x4334703b0b74e2045926f82f4158a103fce1df4f,0.0372536897100000%,Active Commnunity Member + Bridge User,
0x942f1556aad625e23d88452d7b8a93b4d117fa3d,0.0372439200200000%,Active Commnunity Member + Bridge User,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.0372254950300000%,Active Commnunity Member + Bridge User,
0x5ee6ef33147425af9ab11c326935e6c54e494a29,0.0372212652500000%,Active Commnunity Member + Bridge User,
0xe3c5f195efb34d723543d8bd5bf85a910a22852e,0.0372211702600000%,Active Commnunity Member + Bridge User,
0x1b1f13a2ff7b8f2f7da6982ed60b293cabad7c9d,0.0372180498800000%,Active Commnunity Member + Bridge User,
0x6c76edcd9b067f6867aea819b0b4103ff93779fd,0.0372018429800000%,Active Commnunity Member + Bridge User,
0x357f55b46821a6c6e476cc32ebb2674cd125e849,0.0371921406600000%,Active Commnunity Member + Bridge User,
0xe4db8dd92bf14f9f7136bbff206b6357e73e2e83,0.0371821893900000%,Active Commnunity Member + Bridge User,
0xc926ddba8b7617dbc65712f20cf8e1b58b8598d3,0.0371493630700000%,Active Commnunity Member + Bridge User,
0x6ba83d664c9fedfaefc05246dbca9cfaff4ccc6d,0.0371464630200000%,Active Commnunity Member + Bridge User,
0xb9e3b25bacffef7d7fb442e2e9e7b954bcc3de06,0.0371336257300000%,Active Commnunity Member + Bridge User,
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.0371285922900000%,Active Commnunity Member + Bridge User,
0x6ae382814e24b6ddf588901c597f26a9e945c577,0.0371161951000000%,Active Commnunity Member + Bridge User,
0x0c1a3e4e1c3da4c89582dfa1afa87a1853d7f78f,0.0370914283600000%,Active Commnunity Member + Bridge User,
0x151b1bce597a8fa247636442e1110f6d883c5ff6,0.0370819437900000%,Active Commnunity Member + Bridge User,
0x9739d1e515c5291faa26d92a5d02761b6bbb4d6f,0.0370703850900000%,Active Commnunity Member + Bridge User,
0xba9fa9e1def1140a5d036dafbc582d12026e9a21,0.0370657880800000%,Active Commnunity Member + Bridge User,
0xa58627a29bb59743ce1d781b1072c59bb1dda86d,0.0370611966600000%,Active Commnunity Member + Bridge User,
0x4c9f7207be28278b9dca129f2e211acfff48fb01,0.0370527304100000%,Active Commnunity Member + Bridge User,
0xdf60e2322c03ed945a102297fc56741879e15d2c,0.0370472552100000%,Active Commnunity Member + Bridge User,
0x0b7da4b6a49f5c1a082ec35296e8f390fd299950,0.0370469427100000%,Active Commnunity Member + Bridge User,
0xf212ce21a97dbe30999a4c2b309d278bccbb686a,0.0370450517200000%,Active Commnunity Member + Bridge User,
0xdde05da1122494c9af1694b377adbb43b47582c9,0.0370439217900000%,Active Commnunity Member + Bridge User,
0xa3a7b6f88361f48403514059f1f16c8e78d60eec,0.0370404852800000%,Active Commnunity Member + Bridge User,
0x9976bbc8304f1e1cd9aa83c89ae995a46b41d096,0.0370195874500000%,Active Commnunity Member + Bridge User,
0x92292ca2149d57d75d969fa54e503895f4919dad,0.0370120143300000%,Active Commnunity Member + Bridge User,
0x1b3eb4d104fb7bc87f6000853a15910094d5ea03,0.0370011054800000%,Active Commnunity Member + Bridge User,
0x1ed939ef096bab6d68657ea9c1fdf534ead267d6,0.0369997692200000%,Active Commnunity Member + Bridge User,
0x54c01260ffbb4c7ae6a319ad5641659e56c1385f,0.0369933435800000%,Active Commnunity Member + Bridge User,
0x95beabdf2ff4f5fa35cd90ecfa5953c9242ffdcd,0.0369614170200000%,Active Commnunity Member + Bridge User,
0x682cbb440539d50a57bc35889bbf0a3c2d6dbf51,0.0369540549200000%,Active Commnunity Member + Bridge User,
0xab575ba76fc1d1905f7b04f7b64e92d0ad964a12,0.0369264909200000%,Active Commnunity Member + Bridge User,
0x5bf16769038e8ebf39ad94fd8c36db07c2a5f977,0.0369116364200000%,Active Commnunity Member + Bridge User,
0x9cb21ce0ff81e55db73bbb36d5a9eac9d50a938b,0.0369000605100000%,Active Commnunity Member + Bridge User,
0xaa26138487d3c11a12097075131648481e3d2631,0.0368861610900000%,Active Commnunity Member + Bridge User,
0x5baac7ccda079839c9524b90df81720834fc039f,0.0368742873100000%,Active Commnunity Member + Bridge User,
0xba12222222228d8ba445958a75a0704d566bf2c8,0.0368630007500000%,Active Commnunity Member + Bridge User,
0xa9f078b3b6dd6c04308f19def394b6d5a1b8b732,0.0368581917900000%,Active Commnunity Member + Bridge User,
0x971aa15d6cef39fb66fb04be1067b7a93f9db110,0.0368528243900000%,Active Commnunity Member + Bridge User,
0xed496d1f42aa8acd52042f5b01ce2e7f775f9a51,0.0368444093500000%,Active Commnunity Member + Bridge User,
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,0.0368419882600000%,Active Commnunity Member + Bridge User,
0x59c63e2d3f850545e548e3626bccce4207ad999f,0.0368414232600000%,Active Commnunity Member + Bridge User,
0xebf919b0dafb9ea4bf324108a142c64a69052d8f,0.0368341600200000%,Active Commnunity Member + Bridge User,
