Address,Allocation %,Type ,Sum
0x5823d356fc6d8dFF96d31Ac66B760382c1f2c563,10.00000000000%,Dev,100.0%
0x971f50582d2AB7D447BA31BDAfeF39Bd07172B17,0.12113055182%,Bridged an OFT,
0xefF000742d4065625aAC71a329ff6D06D127a0Da,0.12113055182%,Bridged an OFT,
0xb36218CAcc3580628Ae0645c98bDC6a08716073d,0.12113055182%,Bridged an OFT,
0x7894234c61AfF71CF903B4D5eFD3Fa1E52D84D6a,0.12113055182%,Bridged an OFT,
0x4d227419eD60d737669578566d31a2b48ac7aCA0,0.12113055182%,Bridged an OFT,
0xc93EBaB0Cf79a0470b2531f450EB40AbBafA9612,0.12113055182%,Bridged an OFT,
0x878f2886c704C67BC30a028E795625e8FA1E3e08,0.12113055182%,Bridged an OFT,
0x29695349E69AB78d2298860c17bf3aF89415e3Cd,0.12113055182%,Bridged an OFT,
0x3629cA0Aa64BD977Ca713D968f56172A1D7DEa2E,0.12113055182%,Bridged an OFT,
0x17D3FBE8d07D21e19BE720dC9f5D14c1CC0E7a30,0.12113055182%,Bridged an OFT,
0xA2161B48564B75bc85b900AE4ab4403D6F502700,0.12113055182%,Bridged an OFT,
0x7279E76970346537ed31227f38037251A836b1dd,0.12113055182%,Bridged an OFT,
0xF643E600Eed4255B6e6Dd03394603D3692a886cD,0.12113055182%,Bridged an OFT,
0x2a6879BBB6cc7c952399937a28DfEbE21DEeE4e2,0.12113055182%,Bridged an OFT,
0x76Cd68E19cEBc593b238A9D67e8cBBB393b048b0,0.12113055182%,Bridged an OFT,
0xe57a4BC16e493cF1b73205b6d7ED1Ff6634640BC,0.12113055182%,Bridged an OFT,
0x002dA2Ec635BdA5C9960814826126754240CCCA4,0.12113055182%,Bridged an OFT,
0x8CD4AE9358Ed478eE602Eea3c573D1D1CB448F10,0.12113055182%,Bridged an OFT,
0xcC9805fA43AE5fe652780d56de520B9A7ae60CaF,0.12113055182%,Bridged an OFT,
0xBf370D3A8B40d1eEfC9745eECd89d3d6Ab8961A9,0.12113055182%,Bridged an OFT,
0x7F346aFaF26E5f52aFDb721f9C16FF6DDb5F2ce8,0.12113055182%,Bridged an OFT,
0x15AA0C349C4cd012113610d323DaCCC89d39c3fc,0.12113055182%,Bridged an OFT,
0x68aD436E314EAD78189fa2c3a0c95d98b672aEf8,0.12113055182%,Bridged an OFT,
0x5ed3F4a401BA3A9526DcCC3Da4B476e65F7188D5,0.12113055182%,Bridged an OFT,
0x1C0bBb7f05e43bf6c4a82A1cF44cb0Df4C5cC192,0.12113055182%,Bridged an OFT,
0xE7c777F2c6a54474d1d2b6f478cF36Be15b64a50,0.12113055182%,Bridged an OFT,
0x13C05bEeAAc7300e840C084B23D60D503249D0DF,0.12113055182%,Bridged an OFT,
0x25774eD5bc13A2baFBa76d0E65940d3728f61426,0.12113055182%,Bridged an OFT,
