Address,Allocation %,Type,Sum
0xF285E70Ca2002b796A575E473285282BBf39D790,10.0000%,Dev,100.0000%
0x000002c34bae6dd7bec72acba6aaac1e01a359de,0.0280%,Holders,
0x023c638b2181be451030dee5b050eedb5a4a8ba7,0.0280%,Holders,
0x023e3e7358ed829788d30954158ac54245fa2737,0.0280%,Holders,
0x0547e3ec0a688cddca21f5a01e95c55eaafebec1,0.0280%,Holders,
0x06356918f7c43cfb538960971afe9473273d213a,0.0280%,Holders,
0x0c08f298a75a090dc4c0bb4caa4204b8b9d156c1,0.0280%,Holders,
0x0caeb9ec19750df6dac2edbc551010aa6b3b35f7,0.0280%,Holders,
0x0de072a9147e1c07c200ddc0f3418d8dd7fd1e06,0.0280%,Holders,
0x11535660ceea9e225a632b480f6d5c75af50a40a,0.0280%,Holders,
0x121fa2787cf0180593da4dfd0e7e47dd34177c92,0.0280%,Holders,
0x12954b55987136cf934365fd926244ef02f1b6ab,0.0280%,Holders,
0x12cc0a3b0db1ff787bb5fc09b459f7fa0e788c79,0.0280%,Holders,
0x134a4322415afba7698bc44f1cb4b8f4cbb1a6b3,0.0280%,Holders,
0x14b2634b6f3dbda2bc6e801b2949c3b14f6bd9c7,0.0280%,Holders,
0x14b5e84039ad72c75daa10fedb5a3c8fe53bcc00,0.0280%,Holders,
0x16a7f4e78b9990c31beec0c5445daaa2778f8501,0.0280%,Holders,
0x17feb1b0aadeb0254ea57ffab07cbea39c72b3e9,0.0280%,Holders,
0x18f6f24375f68d1c676dfc7cb1e98d09a1168fd9,0.0280%,Holders,
0x1c0a79ac5bd3315d7af05b5bef2d0521dd86b53b,0.0280%,Holders,
0x1c8c244797a8d9edf32c6805447dfb9143e0762f,0.0280%,Holders,
0x1cf6386fed4770557841d1cff062d4aaf2ac08eb,0.0280%,Holders,
0x1d828da9c07f3a6318fe59955bf66be902fce58e,0.0280%,Holders,
0x1f7c2f8f02f56bdc79bbed5ebc054df2a2cda46d,0.0280%,Holders,
0x2022089491e7df9595faae0308bfcf9df6737922,0.0280%,Holders,
0x21317164f640770b615e4898bfa689e40451ae32,0.0280%,Holders,
0x22fa24b46d82ebd7467e7c77fa5d15db83f89666,0.0280%,Holders,
0x230a9eae4e3af696b9df97ebc375907920c74d71,0.0280%,Holders,
0x236f1b6cef55729526c0a31d69e6278a42233dfb,0.0280%,Holders,
0x24992814381d284dac9d5f6d6f69989a81ecb677,0.0280%,Holders,
0x25f6934b938e9308c6e87096e37ae3ff41daab31,0.0280%,Holders,
0x26264c0a843d715d3267cbb66b002e1ae8600754,0.0280%,Holders,
0x279446771bfff0d5b3d9b6ff9c35fc398cdde189,0.0280%,Holders,
0x2843be0c5d3bd4d27826ced483eaf1822c59a474,0.0280%,Holders,
0x2915918ad678055484f70283dba2d70cf1a63fe9,0.0280%,Holders,
0x29e572ca1e7b21e3482f55660680fa340bcfc01a,0.0280%,Holders,
0x2a967ab031ecd90ad2b4e1b6c4436a29f7a5f33e,0.0280%,Holders,
0x2ccb1559ae420848ff958352f4fb0d7234439036,0.0280%,Holders,
0x2d5437d11b560a564300745564674d3642fec6e5,0.0280%,Holders,
0x2dd35e7a6f5fcc28d146c04be641f969f6d1e403,0.0280%,Holders,
0x2ee77dc8f95d6847c00920cd2344743fc9bbc1b1,0.0280%,Holders,
0x2efeeecd3a8059a140ce6561dd269317b41b7d79,0.0280%,Holders,
0x2f9ad18bb0f5c2411cd923a0f0317ebb2e0f6b76,0.0280%,Holders,
0x30f93a95644b8c50c1f7b8c2bb6e84e4f31c58d7,0.0280%,Holders,
