Address,Allocation %,Type,Sum
0x81eb46BEFd6089B6ED8F6d791d89aFdA17f81E20,10.00%,Developer,100.00%
0xB249E586295881102DC8e103Ee501BAFbe608741,6.00%,Early Supporters,
0xac032096A746BeBB6b43FE13bD241FDECCA4aC3D,6.00%,Early Supporters,
0x7525F12C311695d68CB0CA1a079F19A6dfA4370B,6.00%,Early Supporters,
0x4eA86D099c160Db128c7815D6E570a395DfdCbB5,6.00%,Early Supporters,
0x3bc4Aa124Cd360413A71dCD278E8672b881f434F,6.00%,Early Supporters,
0x8dbc47FeEce2B56A63E4d5098d831Ac23e67fF83,6.00%,Early Supporters,
0x1Ad37EC7161bc586fA6171520E8863D5521a800D,6.00%,Early Supporters,
0x63a2dDf2DA6698b46f14d30bCeF7EbA11a916c1E,6.00%,Early Supporters,
0xf1Aa32780eb98231CB222446846d55988034aEA4,6.00%,Early Supporters,
0x75818B764086fcE72216D606c71728878B9Dd201,6.00%,Early Supporters,
0x117F51442C4D0D15DEf18a3Ee39f877EcFe01171,6.00%,Early Supporters,
0xc3f948A741a5Ddf7c32404e42f06632D567f45aA,6.00%,Early Supporters,
0x201c8AEd2FEA0a3f6D37E4047333805772A4DC49,6.00%,Early Supporters,
0x999999DdEbC4a0f07c2d03F27E6B5F8cfeA23E32,6.00%,Early Supporters,
0xa0939940Bb65f6CEa646DeBd6c34bC239640D301,6.00%,Early Supporters,
