Address,Allocation %,Type,Sum
0x638a0D55c184aAe3d227D656Be5E8d269bF5373C,10.00%,DEVELOPMENT TEAM,100.00%
0x9806734b230be6b6d9f3032158b21c80c1a778ac,0.167751904%,BRIDGED AN ONFT (152),
0x171b9ec9a9a114a1fb0bbf67d7131fad33151648,0.155611963%,BRIDGED AN ONFT (141),
0xa0f6cbbddc2e324b14c35330320fc1c143d72cd9,0.128021190%,BRIDGED AN ONFT (116),
0xd6009b6a5f9dbeea3cdac73af649c662a5d9bde3,0.116984880%,BRIDGED AN ONFT (106),
0xc842575acd573015c982421bd0b6607d498eecfe,0.165107222%,BRIDGED AN ONFT (103) / OMNIBOT HOLDER (1) / TOP GALXE (1030 points),
0x1e5ce6f088fd0adb4fcff31cfb02a61503311be9,0.110363095%,BRIDGED AN ONFT (100),
0x22f873a0180da7ad10b5ebdd85c5d84e008c6efe,0.099326785%,BRIDGED AN ONFT (90),
0xdf983a1266369d4437b4eca7c7b743ae1996a526,0.098223154%,BRIDGED AN ONFT (89),
0xe568ff6f95b82dd563688ba099618e592e3a97a5,0.082772321%,BRIDGED AN ONFT (75),
0x699290af6deb020aeffb69c08ea0c44a8b43aed1,0.082772321%,BRIDGED AN ONFT (75),
0x9793d88fd35101ee9ecddb4719011653912294c9,0.081668690%,BRIDGED AN ONFT (74),
0x6eb459849f2c95a986f2620f4968c3ef8498b786,0.078357797%,BRIDGED AN ONFT (71),
0x69bfdd497c609384d39dd03b86e25da13081b134,0.073943273%,BRIDGED AN ONFT (67),
0x64301e23b273c0eae9f09fa07e4da5e38074f2c7,0.073943273%,BRIDGED AN ONFT (67),
0x00e527cf1f4fdb4c79744f1e49cbb1ed2b8e63ba,0.071736011%,BRIDGED AN ONFT (65),
0x72d47acff1f026c030000fdb0b0eb22474caa810,0.069528750%,BRIDGED AN ONFT (63),
0xf92829996bd2625f63c7513bcd36d54c3a551048,0.067321488%,BRIDGED AN ONFT (61),
0xbbf5a035239183918839094ec012c69eefe67836,0.066217857%,BRIDGED AN ONFT (60),
0x56d26d444bbb2bd45c0fa1b12ed1f8aa469d07b0,0.065114226%,BRIDGED AN ONFT (59),
0xbb0681e131d704cb86bda625a730c7866e262a3a,0.065114226%,BRIDGED AN ONFT (59),
0xeb8c1bed02b05d0baa42bbeba7e80396414ea25f,0.061803333%,BRIDGED AN ONFT (56),
0x42b6a946d22fd8a4b26739e4a7c9a6ec737329de,0.100115813%,BRIDGED AN ONFT (52) / TOP GALXE (3180 points),
0x6ce2666a24d8770914fce888e6f088edc9a97853,0.056285178%,BRIDGED AN ONFT (51),
0x02e2e82bf6f79d92e0d776e85a56739d223a4914,0.056285178%,BRIDGED AN ONFT (51),
0xeb8840e8c29b5d6e48e18cdeb1d0b1837a5c8b56,0.056285178%,BRIDGED AN ONFT (51),
0x733376ddae5986e6e60f8617956bfecf12af7566,0.056285178%,BRIDGED AN ONFT (51),
0xb6bb3b0628fc0745ac6e3ffe5fae373cab6e5285,0.056285178%,BRIDGED AN ONFT (51),
0x89b0fb6eb9d83e6e50915aba19b92fc80a58f065,0.055181547%,BRIDGED AN ONFT (50),
0x10a9960cd3163e22c5f17e9b494b952df4a411db,0.055181547%,BRIDGED AN ONFT (50),
0x4d0f0bacc1ca39b2163def24429d36e739339551,0.091671901%,BRIDGED AN ONFT (49) / OMNIBOT HOLDER (1),
0x48143f46cd86d1c8b5481e35573227d49cc1f6f3,0.091671901%,BRIDGED AN ONFT (49) / OMNIBOT HOLDER (1),
0xb740524fc5fc935da20b29af9722c555fb961b1a,0.052974285%,BRIDGED AN ONFT (48),
0xe024dce94ddea0d8ed8c3927dba40720fd648a9a,0.052974285%,BRIDGED AN ONFT (48),
0xaa99157856d8785c3a0bab85f070766554a1d882,0.051870654%,BRIDGED AN ONFT (47),
0xee90ac98130dca85de0b3b6b2b0354c95a9cba65,0.051870654%,BRIDGED AN ONFT (47),
0xe9894efe9ff0d3eb166042bc6eeaf11f7f992843,0.050767024%,BRIDGED AN ONFT (46),
0x7105fbd2e5a6155825d7127bfdc352d675a3f1ca,0.050767024%,BRIDGED AN ONFT (46),
0xf2fe73ac75a345cb7cf26a1cfa376a819b4dbf44,0.050767024%,BRIDGED AN ONFT (46),
0x307b40115d4be5179e997fc909fd76a6b2ec67e3,0.050767024%,BRIDGED AN ONFT (46),
0xf1bd1822aeda6d43738770a0f9a79f3cae897831,0.049663393%,BRIDGED AN ONFT (45),
0x7b5f110105f6a7916e93cc138e213c796b780da4,0.049663393%,BRIDGED AN ONFT (45),
0xabb34c66d73b1eeb6a52d4c3e5037f5521e53321,0.046352500%,BRIDGED AN ONFT (42),
0x835bbfba35387fdcbae5433f0c14290575157ca7,0.045248869%,BRIDGED AN ONFT (41),
0x9bec8704197a4bbadc43ea62edd60fb71fcb268c,0.045248869%,BRIDGED AN ONFT (41),
0x9a875f6ce282e8009aa9432784f8124067032c99,0.044145238%,BRIDGED AN ONFT (40),
0xff4fee58df0504671e1007f6504e261dda19e9b0,0.043041607%,BRIDGED AN ONFT (39),
0x41f5af75766c963a00129427621d8b10ed1da100,0.041937976%,BRIDGED AN ONFT (38),
0xa36efe81da577c9964e4824a333def7ffaea9380,0.087486575%,BRIDGED AN ONFT (38) / TOP GALXE (3390 points),
0xa0ad538269e2eea76fc5aba98f67bcfa947f624a,0.107479184%,BRIDGED AN ONFT (38) / OMNIBOT HOLDER (1) / TOP GALXE (2080 points),
0xad133b6faa8bafce203939911517c2f14e5a9cc6,0.040834345%,BRIDGED AN ONFT (37),
0xd25254d04291b0ed773d6e7ce783e8d88180417d,0.040834345%,BRIDGED AN ONFT (37),
0x6776960de4bb9e51eb52db48a26dd67db25ea867,0.040834345%,BRIDGED AN ONFT (37),
0x4be5a3092c3b9b84b0049fbb6958a3188d9e42e3,0.039730714%,BRIDGED AN ONFT (36),
0x47aa92f6382105a843b4817d99658f6075b70899,0.039730714%,BRIDGED AN ONFT (36),
0x98da14a1adeff0d2645205eece2eeb1a33f56316,0.039730714%,BRIDGED AN ONFT (36),
0x54c86d89e22a52150e7621038a80357b8daf8a0e,0.039730714%,BRIDGED AN ONFT (36),
0xb0eb5a31ca1f3f6213468c753f8efd7ec95b80cd,0.039730714%,BRIDGED AN ONFT (36),
0x4a2f779994ae2c1e25726150d8228f1d4d4ed6e0,0.038627083%,BRIDGED AN ONFT (35),
0x1565f87990907b07a3abb77ac515ce7300990dc2,0.038627083%,BRIDGED AN ONFT (35),
0xedbeeb29869daa48bcf3ee214a48678bae7ce13a,0.038627083%,BRIDGED AN ONFT (35),
0x31331ec182777b3e3cf127f4709a8aaa8f76e549,0.038627083%,BRIDGED AN ONFT (35),
0x332372ff2ec919a650094cbcd6c97f4b03249807,0.038627083%,BRIDGED AN ONFT (35),
0x1f0160959d5b9773c9bfd669bee6ee443a3ff4ca,0.038627083%,BRIDGED AN ONFT (35),
0x6a738c309beac3c68ef8f50f3c5880c97dbc7726,0.038627083%,BRIDGED AN ONFT (35),
0x8a1002dd1c4df9b1c9a73e3a5c60870cdab0978c,0.038627083%,BRIDGED AN ONFT (35),
0xc8ad7852fbc97f89930afb1bdecb82cf383edfe6,0.151409038%,BRIDGED AN ONFT (35) / OMNIBOT HOLDER (3),
0xab07bd0ac2502a7fd0a5005b420b96f94104fcf8,0.038627083%,BRIDGED AN ONFT (35),
0xa254a81215eb9026529f929c0849ee5fb2273302,0.038627083%,BRIDGED AN ONFT (35),
0xa3f7fe5f82ea5db2e8f163afb99494b3f0c278a6,0.038627083%,BRIDGED AN ONFT (35),
0xc663960e612d301988b53ddb222320f7ba3a4cf0,0.038627083%,BRIDGED AN ONFT (35),
0x8f8b0b373531bb4b0086d4ad3969c0ae2efaed08,0.038627083%,BRIDGED AN ONFT (35),
0x76be491293ecd94651d90b02d2ffa66c96be273e,0.038627083%,BRIDGED AN ONFT (35),
0x4444ee1efbcfc7716754d4df119a1dbbe29934b3,0.038627083%,BRIDGED AN ONFT (35),
0x4024e55bcf7f4535df4575526a69fe74f5f7c246,0.037523452%,BRIDGED AN ONFT (34),
0xaf85b139aa26c1a4c920da0f63aab2d571fd8ab5,0.037523452%,BRIDGED AN ONFT (34),
0x14c61fcd2ee84e7ae9f36d84cac07a2b19cbee49,0.037523452%,BRIDGED AN ONFT (34),
0x95316d7b255e7749d6b2cc9a493d4d412a00f423,0.037523452%,BRIDGED AN ONFT (34),
0x924477d0e40c818c9ccea3d45c164c35a7d35da0,0.037523452%,BRIDGED AN ONFT (34),
0xbbfd0d3b1b0d5773b8cf00769c753c5239006233,0.037523452%,BRIDGED AN ONFT (34),
0xb406f93128f4514da572c5dd6bb06d1c7f59681a,0.037523452%,BRIDGED AN ONFT (34),
0x6def7d7725c3c0d4b76bb7435edc4feea1939531,0.037523452%,BRIDGED AN ONFT (34),
0xfb0857e91ca6ac98feb8748bfd4532e785d8fa64,0.037523452%,BRIDGED AN ONFT (34),
0x3fd6290544374e745d49fdea1886deba6fc85791,0.037523452%,BRIDGED AN ONFT (34),
0xea658155c7b39a2aa054fb02b14b53fb3d2b7449,0.037523452%,BRIDGED AN ONFT (34),
0x0943cf836b5175b10e170fa56266d6197019c06f,0.037523452%,BRIDGED AN ONFT (34),
0x2570053192e4d09eec00f35b83c05c81b71fe914,0.037523452%,BRIDGED AN ONFT (34),
0xe2c3d1c4acf793eb54a4088919c69e328b78b33e,0.037523452%,BRIDGED AN ONFT (34),
0x6918c877b9d11affd807f07b97227f87d4409e78,0.067323000%,BRIDGED AN ONFT (33) / TOP GALXE (2300 points),
0x6a1ff2aaaab0837f940ed7471e16d84e8953a035,0.106260601%,BRIDGED AN ONFT (33) / OMNIBOT HOLDER (1) / TOP GALXE (2400 points),
0x0efc8b496d6455e9606247f7988b16378c85c7b5,0.036419821%,BRIDGED AN ONFT (33),
0xd4837521239b0353d300c87c84094b06b3ec1d5f,0.036419821%,BRIDGED AN ONFT (33),
0x23254912de2b8c6e3d158efc8721f8dc1eb4a27a,0.036419821%,BRIDGED AN ONFT (33),
0x37aa61a0b010e77b6e9adf5a2c8d869c78e2fd15,0.036419821%,BRIDGED AN ONFT (33),
0x42ff03b60add419f4923064ace86d28e9d26fa67,0.036419821%,BRIDGED AN ONFT (33),
0x5287504c3966c5a7993b402562bcee563081d274,0.036419821%,BRIDGED AN ONFT (33),
0xf6368208baaa312206fbb87dd910c322be7c4266,0.036419821%,BRIDGED AN ONFT (33),
