Address,Allocation %,Type ,Sum
0x0aE4eB2b13FdA4Def856d484B0B35Bc97aFeAb65,10.000000000000%,Dev,100.00%
0x1b1591e43c071550e63d22f94febb16734848877,0.132013201320%,Bridged OLE v2 OFT,
0x9f5e9fa472263cd1e071fcc0bb59d2b83aa024ab,0.132013201320%,Bridged OLE v2 OFT,
0xb6256976d6898b3fffae5f02259b1c743f39e661,0.132013201320%,Bridged OLE v2 OFT,
0x84b39b9fb779af643b9d24ffe2912c98865440b1,0.132013201320%,Bridged OLE v2 OFT,
0xbf6ea26a83c2fd722a54ff2eb0955831be92dd07,0.132013201320%,Bridged OLE v2 OFT,
0x4551bda9180542a30000e8991c6d67000070d2ea,0.132013201320%,Bridged OLE v2 OFT,
0x1f9b67c85208c4320c208617b2a2f07a27d275a6,0.132013201320%,Bridged OLE v2 OFT,
0x9e2a65a9aea1556ba741b6c35cd55f3f7aadbbb0,0.132013201320%,Bridged OLE v2 OFT,
0xd434419efcb10359f68d6a7ec6dae1b90add6748,0.132013201320%,Bridged OLE v2 OFT,
0x714cb1145218871faebd55de36dbe7053cc9c74d,0.132013201320%,Bridged OLE v2 OFT,
0xde959df61001506f88ece36b8cf7a4d0923d5fa8,0.132013201320%,Bridged OLE v2 OFT,
0xffbee763801c5b10ef5816dfee7324b729348853,0.132013201320%,Bridged OLE v2 OFT,
0xf6a110e3c6bb1abcc7dc7b69e15a92b0682cb975,0.132013201320%,Bridged OLE v2 OFT,
0x091cad5e1f4daa4d6cf396496229026fd4102a9a,0.132013201320%,Bridged OLE v2 OFT,
0x20851d40441737628fee21c6419b20fe2195b89d,0.132013201320%,Bridged OLE v2 OFT,
0x2279122cc80b30b77acfcf07ae304bfa8186c51f,0.132013201320%,Bridged OLE v2 OFT,
0x244e9626cebfea2200e5fa5513e87eab1458e0a1,0.132013201320%,Bridged OLE v2 OFT,
0xf615c79423b3ec38178a71948e990f19e42182fe,0.132013201320%,Bridged OLE v2 OFT,
0xd6721d367ee1b349199cea8db019ecc4eef6a3f1,0.132013201320%,Bridged OLE v2 OFT,
0x7e933b3499f3648a24b0abd9f93262cf2f8f670b,0.132013201320%,Bridged OLE v2 OFT,
0x6aed4da2fa14a3874905fcde587c1206f78a8315,0.132013201320%,Bridged OLE v2 OFT,
0x80d6e4318567c5f53384e7058ff55ccf96b17520,0.132013201320%,Bridged OLE v2 OFT,
0x071d9d738d494d4a8e2de76f3df081c24a096fbe,0.132013201320%,Bridged OLE v2 OFT,
0xf04b13b260a80056dc96b555e0185748048ebc9b,0.132013201320%,Bridged OLE v2 OFT,
0xd71bb2d04a9afc95e9213cb16629659c7594742d,0.132013201320%,Bridged OLE v2 OFT,
0x222eee20cdb18b80352f906e0ae1cf4b70d7b413,0.132013201320%,Bridged OLE v2 OFT,
0xf3792d9808c19638155a1cc6072cdaa8ee25f0ac,0.132013201320%,Bridged OLE v2 OFT,
0x26a49c0810f71ae2caa0bfa22841a986f5976cf1,0.132013201320%,Bridged OLE v2 OFT,
0x1ab817f9d47353053eeed5ae1fb7b937de4371b2,0.132013201320%,Bridged OLE v2 OFT,
0x599316a08f63c04879d8b10fd69cee5d7a25b15e,0.132013201320%,Bridged OLE v2 OFT,
0x1dd68c589d12d39ed3fe76c30a1549a511a73401,0.132013201320%,Bridged OLE v2 OFT,
0xb271841ae2cc9f20f74e3c3c3ca49a4abf41082d,0.132013201320%,Bridged OLE v2 OFT,
0xd9863124e0dcfc85f26f72e0e4c2fe86f79972a2,0.132013201320%,Bridged OLE v2 OFT,
0xd25ec2eda416aa02aa9d286b61a71f64daa2b256,0.132013201320%,Bridged OLE v2 OFT,
0x95fe7934c0aa529ccd757509966c3354f3e413ad,0.132013201320%,Bridged OLE v2 OFT,
0xbadc797ff3b5c14e9020ddedac1cbd5835d3d1a6,0.132013201320%,Bridged OLE v2 OFT,
0x17a7403132112c06c1e67cc1d169787127ce934c,0.132013201320%,Bridged OLE v2 OFT,
0xeb33a48871021e767236895b67f81158ccc75eef,0.132013201320%,Bridged OLE v2 OFT,
0x80b8ba5fd9c9bb8bb8bd2ec44c90bf0351c337ff,0.132013201320%,Bridged OLE v2 OFT,
0xe29c2d2ff7759132db8574d62dda9e34e9aaffff,0.132013201320%,Bridged OLE v2 OFT,
0x85182bd0442a3e5dd71fb560174fa7ea068f0123,0.132013201320%,Bridged OLE v2 OFT,
0x1ab9ef296cb44e391c3989b4c8215cfe988b5a96,0.132013201320%,Bridged OLE v2 OFT,
0x570a977847a1b98a2e23cc4cb05e71046d1234de,0.132013201320%,Bridged OLE v2 OFT,
