Address,Allocation %,Type,Sum
0x5Cc4fc1C19Cbf3447b8C30E178898b7A2C4b00dC,10.0000%,dev,100.0000%
0xeF68adC9D45cBC65214352F4be9aAe1BCbcCa508,0.0171%,early domain,
0x8F9680E9A7ed5bD7AA268A27F67AB243DC2B6847,0.0171%,early domain,
0x6DB57cf11b5358F85fBB31c6DC3ec29B045c6bef,0.0171%,early domain,
0xaf3B1e1d050F7109ebf3f7EB16Be5f319Fe8caD1,0.0171%,early domain,
0x6D217AE5d7702cA449aDE0Dec159F3C3fe8f1c08,0.0171%,early domain,
0x10BB8Ab9aed0a46B788Fc50A6066D28C39F214FE,0.0171%,early domain,
0x77c399a8Bb2398E7D71554340886A857B198b952,0.0171%,early domain,
0x677cCfDaec7c5160f38FF681592F4c470A423387,0.0171%,early domain,
0x471dBA8d85ad2bD7660aE370FA9ebd1930b13a75,0.0171%,early domain,
0xa64b37ADD579C65C793cfa6DBd9D681b8E6f4D5f,0.0171%,early domain,
0x46B981f10E975Ad53Fd943242DF102Ed3a8200Fc,0.0171%,early domain,
0xEb291FDd2e5aBb32fC86Aa73d494748Dc7C0ef6F,0.0171%,early domain,
0xe93b1885CF682ce2A1D87cB9e5E9e0A46a10552c,0.0171%,early domain,
0x6a65842233Db5B345764fc716092AbcEf221b441,0.0171%,early domain,
0x1154627695d2159fe1Cfd3b76Efb921468E1a7dd,0.0171%,early domain,
0x47a20f8669Dd1047A90a9AC3D23bD373d26AeBB1,0.0171%,early domain,
0xe4286256CFc49394343BC99Ea49B999df2733b3f,0.0171%,early domain,
0x2c40716a8733e8797E9F75124c0717e2FE264eDf,0.0171%,early domain,
0x276D30c46743d02D64E81Bc352Ad86C2b3825ef6,0.0171%,early domain,
0xC90a480100b226199Ce091Dd4DC6570eA888DFCE,0.0171%,early domain,
0xEd93A4e89aD6C27318EAB868AA1EFd2EB97fa13f,0.0171%,early domain,
0x723243e7d7A17877E4b8B359fdcde511266508d9,0.0171%,early domain,
0xdd3DB38535E6Db000Bb26396b07e129F86ba0fc1,0.0171%,early domain,
0x4FDE018852F66B5b78851476f4Adf620430bFF3d,0.0171%,early domain,
0x6B292571AB32037aCb08Eb7B0F7Bd42f34f0fD44,0.0171%,early domain,
0xa7a517C88C64ACF94Ee38223Bbd030B4f71b13bF,0.0171%,early domain,
0x78A3E511241158eBA95e2Fcc19932A58d8F041e0,0.0171%,early domain,
0x992a395c64F5D6C70fb271957d7b7aB8228cf26b,0.0171%,early domain,
0xc10A86E7Aca4BC28396831D64F3151f1f2BE980B,0.0171%,early domain,
0x40a4fce89b26E924A3b5f13A91E78A5dc4944a45,0.0171%,early domain,
0x5DeE0C7C36F0ef68da9c215b7b20701d84E4F8a4,0.0171%,early domain,
0xA5F23796b0C196C4eAf578c7789B83f93B62B157,0.0171%,early domain,
0xC48dE2EaC9e5990Fc191F67aEEaF777Aa057115B,0.0171%,early domain,
0x2a1b2C13A52899c8B49E71D7Bc3bEb452d7978ef,0.0171%,early domain,
0xEe74356635A216A1fC89D4921495124c1533b0C8,0.0171%,early domain,
0x37Fa97Bf4D44446EABF06bBa000E63d78ed221A4,0.0171%,early domain,
0x6385aC6B593977efa15899476Db6757ccf5cbb45,0.0171%,early domain,
0x816a552DD77A14BEffCD8dFC40a70a8F2aD3b0f2,0.0171%,early domain,
0x3a98AFbb5211B3165000E3fE1409c169099A042f,0.0171%,early domain,
0x277D46fcBE71144c6489d182A8aa00DA61B57B07,0.0171%,early domain,
0x61ff9cbe2d6CE98F4C8Ecf3807339474F4c09630,0.0171%,early domain,
0x8fBFD3faBD443334B6f413b5931477d4DeBEAFa9,0.0171%,early domain,
0x9A1de63DdA9e84E2620b6c14Ed14E471CF24f9C5,0.0171%,early domain,
0x875573a9514B5db43cEEc0dE300bc2c557843f08,0.0171%,early domain,
0x260288C67f000aC9bD1080b0496eECC3814CD482,0.0171%,early domain,
0xDd86df368d956923E195929ADEe051F99E87Ee76,0.0171%,early domain,
0xBD9207A3acf1b9786519076188b2AA2d52DaBe7b,0.0171%,early domain,
0x80ED9Dd76FB1de6844cdD599ca013bb2fFdEDbb9,0.0171%,early domain,
0x74Ec183888150050BfC98c277dba5Fb8b284e000,0.0171%,early domain,
0xF6f93d8E06D6BCd87bb0ea1416DB51b93642Bb58,0.0171%,early domain,
0x7C2C4536506827a32F5c834bbf6E168ee9c25D5e,0.0171%,early domain,
0x2d7ba0b127D5048a631A83AF6fD05D61F16d20f3,0.0171%,early domain,
0x7F4C9ad87b5197a4089D834FFA8Cc7e06E79ff86,0.0171%,early domain,
0x48f7D45FA696Dc89fF4f2233B25490455AE19DC2,0.0171%,early domain,
0xa3baC2927a7831215967cEb3dc1CF3Aa45260C59,0.0171%,early domain,
0x44dE26F2d994590acBe0A073c9ba1859a58BbFD9,0.0171%,early domain,
0xC9d40065c7cA03CeE6ec5fD7497a8C200619D5C6,0.0171%,early domain,
0x92e3cd53c97C87249DF16008ab5b5A7b201Ed4f0,0.0171%,early domain,
0x918A67Cc9015f8A1625EBddF120d5F30352B8109,0.0171%,early domain,
0xA55A06619411d1c72767566da545759091D21AEB,0.0171%,early domain,
0x1A6E29F6C849a15AF35be68272fB28c5b7e95cb0,0.0171%,early domain,
0x9B082a4Ca71E4f28C1789112F2B6F8c7c20099cf,0.0171%,early domain,
0xcaEcC0fde6f11537b11B75c6bFC7D24951824c40,0.0171%,early domain,
0xF58886c5a06873357e946E75A4a7E3051A1F061a,0.0171%,early domain,
0xd62cAAbC1DBe4ba1c40aD74a7A18b72aca22c455,0.0171%,early domain,
0x3aaF80E1d1d079e0B8E6aF66b5a7E8a569A85677,0.0171%,early domain,
0x59E2F73238445a01938baed235e3079d5C0Ee0d5,0.0171%,early domain,
0x9bA6004CE6cdEc584Cd8d2B4eD53daDA86FA2375,0.0171%,early domain,
0x2fcBd7aE7F2E84e7b69618D069625c957309DaA1,0.0171%,early domain,
0x5ceCd7bFedc730cDe49401Eb9938a74E5A41065C,0.0171%,early domain,
0xa7f139B7DcC1F7D4dF20579BA422D98f0bdecDC6,0.0171%,early domain,
0xE534d1edfA732c75A5f000359f353dd91771A050,0.0171%,early domain,
0x8E199F48109Ae07548061D3497AA42ba8C056152,0.0171%,early domain,
0x6a6D0d51823F834aFFd723dB08b165985A4cE977,0.0171%,early domain,
0x8BbeCD49c2b44c2eb8A27E8a42f49B09cc9f0F31,0.0171%,early domain,
0xE5463558a8241EC7bC70B202e7CB3D1465DbB124,0.0171%,early domain,
0xfEcA2bEE374F764b4a4187caA94cc87b39abc3dC,0.0171%,early domain,
0x373E51C20e2Be88c5B1FCf21f4F85EfAd5e32F44,0.0171%,early domain,
