Address,Allocation %,Type,Sum
0xB1Dd0D3D28e6fb573f8D81ae5d6779a0ff41f98b,10.00%,developer,100.00%
0x1dc076d1eef269af110f07c8e8bb26914baa8062,47.83%,user,
0xda1a62cb1fe6916c0d5576c4bd905f56d2f3b2bc,13.94%,user,
0x83c26575b5b2b702cef03da56444db173940b768,6.81%,user,
0x1542cce4016b32e481502db0772850180ab9f041,4.21%,user,
0x4a4037E53306f284cf214B733E9A54D6a5939818,2.37%,user,
0x0aa4c6df60049966ec68e70ef4d084c2f7df080a,0.97%,user,
0xd5b696bcd66047f577699b67090d75749beb75d4,0.88%,user,
0xdb4ec6be63255b71c7adc219c6266fd410c417d8,0.72%,user,
0x3cBDC470F04f7f66b06Cbfc3A5616bAC5F08e607,0.60%,user,
0x1a2b4b2858f99e2a5dd3a0ec672192110e9cbea3,0.58%,user,
0x5Ef82e726A708Ce94C9d9dD278F16eCDd91BE14D,0.44%,user,
0x70b6bd8fd04cac4ff5816fb2fa27f15b5209ffb6,0.44%,user,
0xe9987a0e13b77b129b8de29654cb5ce93c4ee276,0.42%,user,
0x6e4aeB2Af9CE3b67116d8B19E6f1CA6b318Fc629,0.42%,user,
0x6eA71e513b942A1c6911328172Fd2FDd97b86caF,0.36%,user,
0x962C3ed849414a0f73E9af7641a3C586ab44e1C8,0.35%,user,
0xF9Ec9a272F663FA8e1d3dC4dA05a69639DdA4c31,0.35%,user,
0x61307BB9D0830Ab72403330fF9f48720A3E44ada,0.33%,user,
0xbea48eda8d04a92da1ebe7ffc2b491e1c62e52ae,0.30%,user,
0x6f8064293713ff7c93dd7a500147c3d175104453,0.30%,user,
0x03a0A80c2e026fc67ecF77e813849aaa111E9c4B,0.27%,user,
0xf238aa53d8a66dbefc0ba643e66a20a40986ad1a,0.26%,user,
0x6ee3286f8a1cfd2329ef39eb58d6c5f13cd4b176,0.25%,user,
0xE4e49027C4D051EaDCf6bE4BEf9a492874da8667,0.24%,user,
0x342566062f6de818861d5167979d1f80927873a1,0.23%,user,
0x8832D07a813A17df7275E6B402efD514125605C7,0.20%,user,
0x6217F0dfcC28CD37C980DB63ed5B41780A402A90,0.20%,user,
0x3eb429a9448ddf7522b7b78f4155b092d19b84cc,0.19%,user,
0x61df2c422274b021460759F342e216010559D695,0.18%,user,
0x562d514A89f59Bc95Af7d59cA0B62A1272dE90a2,0.17%,user,
0x64146e83cac8c51472e2174dc324bfc90728dd50,0.16%,user,
0x24E96fF7a830C617e202848b1cB22790eF1a8cf5,0.15%,user,
0xcfa9b19c31d7db52ae5f5485878e0d3c1a3d42be,0.14%,user,
0x8373f12bf465b37cc587d51ab7ad24720d6d366b,0.14%,user,
0xC4dfDDf2F6A8bd6fe2D45819D7158b456b3bE764,0.14%,user,
0x64e82c71e163fAadf0EFDF430Cbb8d1d6d53B86B,0.14%,user,
0x4Da53Ad5602315f07F8E642e835515CD8602D171,0.13%,user,
0x123235cd749ccab2b466da88a07e66089f79bfb4,0.12%,user,
0x0ae1BE13Bd64f8Cf22680Bd378893e8FC1BC56Ef,0.12%,user,
0xea0c122b4A2bDe664c1EB45176bd8eb31aaE0718,0.11%,user,
0x25037808ff1fdb04e07d286f25e6c629a34c1eec,0.11%,user,
0x78bcc9bcd7651321c6d0b86b9a2d18c7c8883252,0.11%,user,
0xBBcddE05587deDaE69132A7Cb5aF88c6B14D0492,0.10%,user,
0xf5829e303d7884957c8ffd32dbd81c0f551e7e66,0.10%,user,
0xb1d5604b8ad680ceb7147ef9a23237b68a21d73b,0.10%,user,
0x931ac5a2d8ee6193aae7cd79e737a3621b4cf57c,0.09%,user,
0x37B02Fc3Fb1B923993606D73D1892C6AdbF3Cdd4,0.08%,user,
0xb484C120ABD5F08EaD06b7AbD2aB179EB0Fb1A0e,0.08%,user,
0x999CF9541930754fDDaFA6799a180127372De2D9,0.08%,user,
0x0eAe1cF7557115423723ab8C275Ed3ba00b9F14B,0.07%,user,
0xFee136FE4C51dE265617ea579064c73e24c43128,0.06%,user,
0xD301055ab3d4f77213e9331a2DDafFf33d59a589,0.06%,user,
0xcd7089f2559000e3207104faa8806e2ecbebb917,0.05%,user,
0xBFaa24CeF2BDaE4D59292D34e8016313650fc6aB,0.05%,user,
0xac2307bef38eb99380c6d307e197e47920f70f94,0.05%,user,
0xa27f6a138a98d250451c368cf977359609bab8ab,0.05%,user,
0x41d61195cB4e054Db1977Ba0D3B8898C0B7063C9,0.05%,user,
0xC21ae2ad096A747b7BA9A60f02AaB00fa60234bA,0.05%,user,
0x33784f8Ae5848f69857831fC280afB392C9427c5,0.05%,user,
0x082214DA6Df7310ee70992b2359603E92eE73d53,0.05%,user,
0xd113a6a043c7c284de9a570171859d12c43a4f83,0.05%,user,
0x57F2943A46c9821840fE0F1ef86a3E9628F5CB34,0.05%,user,
0x3B7858Af7f26CA49C670e57c3B68B2Cdb634d8B2,0.04%,user,
0x3ee81d1f4a86a0f6db798caab665e69872a12cfd,0.04%,user,
0x313b79fC71b3992C1976433E3dA5D512B3aF9E43,0.04%,user,
0x2cfa2FECDA2B3BCF7e26D92b432A24C9DfD239cb,0.04%,user,
0x9aB1182e607b5a26C832561014A02db811F7Bc71,0.04%,user,
0xCaa38F6704Ea8a686Af642B9942A0714ACb017c6,0.04%,user,
0xFfFbC61b80115d1C617b4Fa82b70Eedf0F515b6A,0.04%,user,
0x95F003eA5195b263FCf27f66baa700152B14cc95,0.04%,user,
0xb4ed1a39491c83219764152e4dc68944d5547947,0.03%,user,
0x57A0F3143225DE4458A02D7A81Db090181a3fC33,0.03%,user,
0x6A770f64E1ef9526289273209005B3Fe41C793d5,0.03%,user,
0x4A13bfD2E8d9b635b948881533382eC884c90223,0.03%,user,
0xeC8804867a84cFB397debAD4e1BfFb1F015bd7E1,0.03%,user,
0xc0571b2cc9b21fefc1460851ab78550d06402bb6,0.03%,user,
0x9CC42944c908333b939E0D81Cb30d89e91E96145,0.03%,user,
0xFED2B18B4bA0989C0eC3EEb96139eB4b186d4cF5,0.03%,user,
0xe2D6546acC195E1EBC349FAAa8Ca3a3e8E8B1AC4,0.03%,user,
0xE86F6A2Fb8bcaea56635A028C3e3bca40083f404,0.03%,user,
0xED80f39CC520f4258813cB4aaae6563661e19b12,0.03%,user,
0x1076c2cfB8d1f3AA5Bf050D8C0d6D128175BFEee,0.03%,user,
0xdf67d976307886ec39573eb979b1af790aea6787,0.03%,user,
0x0990432a6a36496c609a8b2092f3e8e3d88c08fa,0.03%,user,
0x408b57F0BA1A4f17a037A4604119892076023448,0.03%,user,
0x5B6E912f34299A5ebaFb0F4C8b677215b216e5Af,0.02%,user,
0x39704c8a91BBa88AA618Af56277b4d76D5Ac0e36,0.02%,user,
0xeEef2aA134AbEFC7406c50ccF9CF562740c6CE15,0.02%,user,
0xcf7bcef46aa95449e86f1a2d23b7b4caa8d6ae3d,0.02%,user,
0xecF6bdE65fBE11AF3Cec1F907077C0A75Ab526BB,0.02%,user,
0x45907831a9bb6f04b5a139a363c4d2fdcf7e713d,0.02%,user,
0xd392262acDC49F85D75e625086569279A18073c6,0.02%,user,
0x43A01021775b876f29c03768EC8df2FCFB8ccF2a,0.02%,user,
0xf9d0252dF4f6837050D1ff9e87504F47E6398C31,0.02%,user,
0x5F5b654a3579d61161DeC61cBc7914560AC70883,0.02%,user,
0xb3cbeff0336baa4863cb51238bd6c35bdaab3d84,0.02%,user,
0x8c4cccdbb0effe9e489cc9238d6a3607f82040da,0.02%,user,
0xa5b643db9766c1804e19dc4c491465e581f7e914,0.02%,user,
0x35C194CF64F96A25C4014240EbA72F0D9Ce49494,0.02%,user,
0x1638F76072261335960FDd16C1e86fa78679FAFf,0.02%,user,
0x4Df6b903f8d4Ca797486C2DEFcDfb8a2FcFd0B22,0.02%,user,
0x13445Cc780A4450f21CD20D28D505F91005A1469,0.02%,user,
0xEf75EA7c286dDee711b5F4c56b0d73C112354665,0.02%,user,
0x46fe66665998226C74b3cFD07FE8aa2a2C0393B8,0.02%,user,
0xe722f5Ae402431b1184D311897966A98430aA7Bd,0.02%,user,
0xDcd28ca83aDF99BE83E376083C9b1D8C5Ef36D46,0.02%,user,
0x4547acFAd2de42cCb4f73B6216E02981A8AB1263,0.02%,user,
0xce39e7454490c56b03bc57ab348da7949a1e9821,0.02%,user,
0xfA772b7020fAbb5Bfb163364b481f4791Bc6441d,0.02%,user,
0xb4907A529eaF0f27bcCc121Fb885Cf39418AB697,0.02%,user,
0x84444e605e6E91A6D0828fDFB307ef4f1b8F6bEA,0.02%,user,
0x4B8A9fd8B14Af852Dfa4F9a273399d37F1bf44A2,0.02%,user,
0x887f61A29a7D9cD9853F26D1b7f1bCA797DF4fbD,0.02%,user,
0xf39ff1e8781c0cc7c714b78d73630f6b9ddddd5f,0.02%,user,
0xb469262a641cE764aBcbFFb25221F7afD4BA88d8,0.01%,user,
0x9e662E68536C2684af2dAfBa280065924370D8ec,0.01%,user,
0xea107f6e0C911f8358876054eCf91069EF3EA27c,0.01%,user,
0x627e4baf26D8A01b266c05197E57CF92f98E9A53,0.01%,user,
0xEaf43d65dC8A3708B86F3BFF44c08E0807b25355,0.01%,user,
0xdf399Ad08b986bdB37Ae33f59Fb3f7aF413E5414,0.01%,user,
0x7a895c720f0a505f50b0522d3b7559769e89347e,0.01%,user,
0x3291ea8d753Bf35E5f7e501C900c43AD3f7a502C,0.01%,user,
0x10e753aD46F7C6CA17981560127B11043D333620,0.01%,user,
0x2147D209c24B4E0403ce014393b64f3F8C0dbbC9,0.01%,user,
0x3f769c3666342f642b0fb3de045ea57b2709cc6b,0.01%,user,
0xa128539ad7de7bacbdd368b63e7a6af4d2d414d9,0.01%,user,
0x90457df24e85e174e61ec62fbab1a6ef34874d7c,0.01%,user,
0x1EB0a0B7d2Cf64c15DB0Fc59f31b2bD7fE359329,0.01%,user,
0xe093B2b2Af4028d0dD0778d03F50Bc44D9d42799,0.01%,user,
0x0688b645991e5C29B045E1970b202F2B3BF4A75b,0.01%,user,
0x20023f1e7A2d169a492764886A50F95E4084D88a,0.01%,user,
0x4F633959D18f10D482D4dd9a5E765c00511a2C62,0.01%,user,
0x2b8CF6DDB86b976cE088B64732Bfd68ECf1FdcEC,0.01%,user,
0x97Cd05ee9f47c6AbA029c5ed4Fbce8CE817586e3,0.01%,user,
0xEDD5469E2E560D16d3183cE087Bb47Cb2cbb80C1,0.01%,user,
