Address,Allocation %,Type ,Sum
0xe60ef505a1b336d76f52076f59982cb36267a054,3.33128837%,bridged,100.00000000%
0x7bd5dcf61de634198352256c2055763c645e8781,2.30712893%,bridged,
0x1f784ea8b2ca86be37b4b52e683740baa4a3ac5d,1.18783034%,bridged,
0x09c659d042059d372a976c0ff289fd1404eaec08,1.15043204%,bridged,
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,1.14315264%,bridged,
0xf2c5535c4d32a8a890a5fd58bda4cae1e28133c0,1.09096162%,bridged,
0x3aee2f08906677e35069bf9e837360737e699c68,1.08915848%,bridged,
0xe502a83d3c2eaf800b9581d0ca9ed36069f71a34,1.01853012%,bridged,
0xba0212619febff76431a4826c957853b9f2cdf7f,0.95064871%,bridged,
0x85938fe2139f1bf80e71a458bc0eed2b3095cad5,0.94689703%,bridged,
0xc02d87f3e0fcbe88627b607ec3e46161a9678063,0.92280436%,bridged,
0xb332b642a588fb9755e835ec26ac95915404947b,0.91470070%,bridged,
0x12bc982463cfe032407aac25664359a161ebe997,0.76436753%,bridged,
0x770df7854aae422ed88773b8ea81aa2e62e1e868,0.76419854%,bridged,
0x1ee6ddd77805b16e587f1aef5f2a3db1d36ee3e5,0.75321133%,bridged,
0x2615bdb689491f33c3dc908770e83d069860d17a,0.73187527%,bridged,
0x66b58e025116c1348b911b40e11a98ae620a0705,0.71549277%,bridged,
0x4551bda9180542a30000e8991c6d67000070d2ea,0.69501316%,bridged,
0x94d769e5b32df351ed20e0df0a82c6d769139e42,0.67169893%,bridged,
0x222eee20cdb18b80352f906e0ae1cf4b70d7b413,0.62881670%,bridged,
0x362eed7b6472ad89c168f18f78e566e0db4342bf,0.58313098%,bridged,
0x1e42753e0ff5f59926060a139320cb0b8e58e307,0.51340096%,bridged,
0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0.45498851%,bridged,
0x97ee5a48de3aa100e7977fd8b470f163b1d1a83a,0.36917803%,bridged,
0xf4cf1aaf8a7874457f177d37e0671da1de8be5ef,0.30934517%,bridged,
0xbeb0336edd58999ae0b55f5e3d8380725d67ba29,0.30626177%,bridged,
0x2166197c04a91b19dbdffe5917b1768dee81b134,0.29808203%,bridged,
0x342d3341e30e16406b63bb9ea28fdd51919a3f83,0.27923235%,bridged,
0x53d07d8815c31174917ce234a1014b4e936835fc,0.26106142%,bridged,
0x091cad5e1f4daa4d6cf396496229026fd4102a9a,0.25074106%,bridged,
0x19b999970c449be221c1fa4e117e7533695015da,0.20608968%,bridged,
0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,0.18064144%,bridged,
