Address,Allocation %,Type ,Sum
0x1Ae6DCBc88d6f81A7BCFcCC7198397D776F3592E,10.0000000000%,Dev,99.98%
0x2028AE38B8a76bF7AA4651f8796Dcf43B7F7cB90,0.9090909091%,Voters of cross chain quests,
0x4aFb5daf1f6016EdE27EbB838c45a759E0A4e4c4,0.9090909091%,Voters of cross chain quests,
0x9030D5C596d636eEFC8f0ad7b2788AE7E9ef3D46,0.9090909091%,Voters of cross chain quests,
0x3B737ba85aA1a022651A0E596a3e18f856442D7E,0.9090909091%,Voters of cross chain quests,
0xAAc0aa431c237C2C0B5f041c8e59B3f1a43aC78F,0.9090909091%,Voters of cross chain quests,
0x19124Ee4114B0444535eE57b30118CBD1Ca11eDA,0.9090909091%,Voters of cross chain quests,
0x4Aab9e6eB125cDd378671188255f19325E3A804F,0.9090909091%,Voters of cross chain quests,
0x68378fCB3A27D5613aFCfddB590d35a6e751972C,0.9090909091%,Voters of cross chain quests,
0xCF339235b44198c990bc0D674cC6C7F3BFFe1d1a,0.9090909091%,Voters of cross chain quests,
0x5FB5E55431AD15F6F262a594D3bE218aCedB9268,0.9090909091%,Voters of cross chain quests,
0x5180db0237291A6449DdA9ed33aD90a38787621c,0.9090909091%,Voters of cross chain quests,
0x1bfD64aB61EACf714B2Aa37347057203f3AcA71f,0.9090909091%,Voters of cross chain quests,
0xCa398e17D838F26A7e39eFC31d67FAe20118272b,0.9090909091%,Voters of cross chain quests,
0xF6Ee1A630BC3eCd8C3fB11520d5952031D7b4C24,0.9090909091%,Voters of cross chain quests,
0xb1D47D39c3BB868E5E4Be068b7057D4CAaD0b31C,0.9090909091%,Voters of cross chain quests,
0x60b2dC238f9EE37eb5A7549842FEbeF8233748bA,0.9090909091%,Voters of cross chain quests,
0x03D0D021cff4faDA9f1a4392393cf43079830d33,0.9090909091%,Voters of cross chain quests,
0x205e795336610f5131Be52F09218AF19f0f3eC60,0.9090909091%,Voters of cross chain quests,
0xb95A4779CceDc53010EF0df8Bf8Ed6aEB0E8c2B2,0.9090909091%,Voters of cross chain quests,
0x28884596Be485B9605e994aDC3284E663398E588,0.9090909091%,Voters of cross chain quests,
0x1A1406F2F90d1FA0a163CbA61486cCA6715A3731,0.9090909091%,Voters of cross chain quests,
0xd26Ab170462214725C89C5a67bE4b44577331620,0.9090909091%,Voters of cross chain quests,
0x79603115Df2Ba00659ADC63192325CF104ca529C,0.5950000000%,hPAL Lockers,
0xAFe4043c9FFd31753c5bE2B76dfc45AaA70ebD6f,4.5850000000%,hPAL Lockers,
0x9824697F7c12CAbAda9b57842060931c48dEA969,5.7260000000%,hPAL Lockers,
0xE1405cBBb31748d5cEFcF36dB34737A1dF8c2d9D,0.0070000000%,hPAL Lockers,
0x59e147Ec5BB417745356A1e2d9433F3A07D74419,0.0630000000%,hPAL Lockers,
0xB94933eD24d074cd1C753a568FeE6d9E9F56207d,0.0630000000%,hPAL Lockers,
0xF2e563F6FbF25cf23Dbe57d25287e10339aD3b6f,0.4760000000%,hPAL Lockers,
0xbcc181046fd96CCaDF0CEBe30D4Ff67D4373A126,0.5460000000%,hPAL Lockers,
0xE171e110cfe6f658c4421C2Da4c86E4933919de4,1.8760000000%,hPAL Lockers,
0x4271D22292aA37e13cD0C68b8210A7A6AF194407,0.0210000000%,hPAL Lockers,
0x8b53edCeE18D029D98048d4bdC8795d22421F285,12.9430000000%,hPAL Lockers,
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,0.4760000000%,hPAL Lockers,
0xc3c1744bcCFE4691e332c873F9cB99B53214e03C,0.0350000000%,hPAL Lockers,
0x7d90055F1334e5F5A7516BEe032944B3533009D3,5.8100000000%,hPAL Lockers,
0x009d13E9bEC94Bf16791098CE4E5C168D27A9f07,6.8740000000%,hPAL Lockers,
0xC1C79C6378e5A72895C8eA15fc6Dd59fFddc8dee,0.0140000000%,hPAL Lockers,
0xC53a1B7da00e02Ef475283f303247A314c636175,0.3150000000%,hPAL Lockers,
0xfA610F8304909a90B1760cF8B50CC1fDe6Ea1F5c,0.3080000000%,hPAL Lockers,
0x6ab791754298D6D6d7C182DC1572126B4eD24897,0.2520000000%,hPAL Lockers,
0xc4ff96Cdd187e0ec5A0664c8081bA77ED8A042a5,0.0000000000%,hPAL Lockers,
0xd384Cc029B537503895fE252f94FBA87A05D677E,0.1120000000%,hPAL Lockers,
0x08072a5fBC90eed1Ca4FB863c1dF8aa1FeC61cFA,0.0070000000%,hPAL Lockers,
0x139776871Ee95f55d20b10d9Ba5a0385451066cd,0.3780000000%,hPAL Lockers,
0x5DA80AbA9290dc32cE1476eE5D3f322021Dd95e3,0.0000000000%,hPAL Lockers,
0x1561b90927967f28df09bc81dd4626fE8bDEF7a2,0.0070000000%,hPAL Lockers,
0x6384D3861D0DaDCDc758d06DA7D9628e4ed41d1a,0.0630000000%,hPAL Lockers,
0x797BC498EdEE4357a16a1054dB0323CbD04C84c3,0.0000000000%,hPAL Lockers,
0x8A03F11bc8D1571E89453587Feebc5FE227aFe28,0.6930000000%,hPAL Lockers,
0xd199b18709C2A84E366e64C27f18f794c73279eB,0.1330000000%,hPAL Lockers,
0xa22301e3f0244e8f7C6062a0Ef5bb840c1AD66F8,2.2890000000%,hPAL Lockers,
0xdBD5fA8BE37931C3289B8f0737fE60D0502a2487,2.2890000000%,hPAL Lockers,
0x7291d890C726d68F43b32CF1D922D066533558aF,0.0070000000%,hPAL Lockers,
0xdfC8A5b2422F68894058F7109e71E82b55Aac94E,0.0070000000%,hPAL Lockers,
0xAD32bbF7BbA3E6DfBB138E1A597ECbb038f6Ac0a,0.1680000000%,hPAL Lockers,
0x186E20ae3530520C9F3E6C46F2f5d1062b784761,0.0070000000%,hPAL Lockers,
0x2968bd1A20f99D64FD6Db2e32af4cA68d197d3DD,0.0070000000%,hPAL Lockers,
0x30D41a62B6e36E72B4FED35236c3168F4369b2f5,0.1610000000%,hPAL Lockers,
0x2221A864C1A755E252eaB6dF314F8C102265d62D,0.0000000000%,hPAL Lockers,
0x0Ec07259E0CEc1a4894C0C475da711701a03Af33,0.0000000000%,hPAL Lockers,
0xb957DccaA1CCFB1eB78B495B499801D591d8a403,0.0070000000%,hPAL Lockers,
0xbb85C2591d54cae9a754857570020dc312139dDD,0.0070000000%,hPAL Lockers,
0xBD5a328e6AD8b7f535A95092dc2DB84F8D54E8Bf,0.0070000000%,hPAL Lockers,
0x46426750dC069953B3D78979FD5743C28D8F7596,0.0210000000%,hPAL Lockers,
0x48a7E4f10b34aD5b74EeF2ae3F82B69783ec60c4,0.0770000000%,hPAL Lockers,
0x417afF82D2cd9fD39fE790Af5798ae865fbe8C48,0.0490000000%,hPAL Lockers,
0xbde0EE0e7F34CF1bC9AeaD0f01d4D84a7f4E475e,0.0140000000%,hPAL Lockers,
0xB1f881f47baB744E7283851bC090bAA626df931d,0.2940000000%,hPAL Lockers,
0x773715A8C8D3217c98c27Dfcc2914c5c9B79433d,0.0000000000%,hPAL Lockers,
0xd70e3e8e0df4792855aB27f2E1308f125D12E869,5.9990000000%,hPAL Lockers,
