Address,Allocation %,Type ,Sum
0x02f086dBC384d69b3041BC738F0a8af5e49dA181,10.000000000000000000%,,100.00%
0x000000000000000000000000000000000000dEaD,0.000639508857197672%,Parallel NFT Holder,
0x000000008a64cf588D3093C68215D030D2AF47F8,0.000639508857197672%,Parallel NFT Holder,
0x000000d40B595B94918a28b27d1e2C66F43A51d3,0.000639508857197672%,Parallel NFT Holder,
0x0000057E2f44ef1c358602614AD1c45eC0817D9D,0.000639508857197672%,Parallel NFT Holder,
0x0002208085F5e1946500aD6616aA0Ee2f19e826d,0.000639508857197672%,Parallel NFT Holder,
0x00035160083fcF320995751dd7e54e94De360Cb4,0.000639508857197672%,Parallel NFT Holder,
0x000533f50ddd7f2fc4EfD06137b0c1A12CfB7Bb9,0.000639508857197672%,Parallel NFT Holder,
0x000560778D73Df8A93F4f120AEEE04B7D32f4C6a,0.000639508857197672%,Parallel NFT Holder,
0x0005d4a14043d3b69266079fa173598b07BCd37a,0.000639508857197672%,Parallel NFT Holder,
0x00079f880C76Eb129db8F82149a68bBF92684263,0.000639508857197672%,Parallel NFT Holder,
0x000A19096494491033EEdbbC7639499d319561d9,0.000639508857197672%,Parallel NFT Holder,
0x000A3A10859Ed467E7ad40963CBc12A0450bB761,0.000639508857197672%,Parallel NFT Holder,
0x000b73e6FAf1F671CEA29362a00b687F04089314,0.000639508857197672%,Parallel NFT Holder,
0x000d7Cf27E2515aa1655892A6ED8Cd28aD101D94,0.000639508857197672%,Parallel NFT Holder,
0x000decafA93fdCdCBB4b1a36D201812e13a37cc5,0.000639508857197672%,Parallel NFT Holder,
0x000e93fd472A04F32a42c999EF12eE1Fb8F86bBB,0.000639508857197672%,Parallel NFT Holder,
0x000F2aD73ae7Def0785296FaEB72FC8414000000,0.000639508857197672%,Parallel NFT Holder,
0x0010c09bA07bC58Bd896A4E995e55C93ed7f8375,0.000639508857197672%,Parallel NFT Holder,
0x0011a82d276dec0E286f2a985d191Fc6D5996E56,0.000639508857197672%,Parallel NFT Holder,
0x0012f362bF6a2Fcc91BFf7EB7768Be02DA9B5f7E,0.000639508857197672%,Parallel NFT Holder,
0x001985F9C8CF4D6CD4F3A305A1DE7834a6D52082,0.000639508857197672%,Parallel NFT Holder,
0x001A794b0973AA5384ae9B7140A767782c038af8,0.000639508857197672%,Parallel NFT Holder,
0x001b5A543Fb06140078050F0221a3e53735a2b11,0.000639508857197672%,Parallel NFT Holder,
0x001C07AE43DC7636C2851c80920E5885711929d2,0.000639508857197672%,Parallel NFT Holder,
0x0020826d62632bF45D8D1d39Ecbd066BC501c109,0.000639508857197672%,Parallel NFT Holder,
0x0020FE4545bB19B6257F7dEDa80c8eB353131Db0,0.000639508857197672%,Parallel NFT Holder,
0x002323982137530bdEA451Cb2f43A3Ad3fA66381,0.000639508857197672%,Parallel NFT Holder,
0x00256459aB74f94521CD393BC9634707F8aCC4aB,0.000639508857197672%,Parallel NFT Holder,
0x0025A1216ac6e8cBd434E697D7d167564b13685B,0.000639508857197672%,Parallel NFT Holder,
0x002675A2050f7B9C4Ac72E01033e1429456f08bb,0.000639508857197672%,Parallel NFT Holder,
0x00285869437a33a652c817c143A3029313FD5794,0.000639508857197672%,Parallel NFT Holder,
0x0028eEd5742C97fF29635ef965a150bf5049CEB6,0.000639508857197672%,Parallel NFT Holder,
0x0029a3DC6EAeDa15fccF666C965Be4B439733F81,0.000639508857197672%,Parallel NFT Holder,
0x0029E3b212C5a0277DdE199703b2A9E945e16782,0.000639508857197672%,Parallel NFT Holder,
0x002ad7300533619F1FF40d426Ca27BbaD9D79Ab2,0.000639508857197672%,Parallel NFT Holder,
0x002b25acc38742775FB8C8C53F0CcADBA562a1EA,0.000639508857197672%,Parallel NFT Holder,
0x002f114479735fDe1b9ef747F787ea680a5a63Da,0.000639508857197672%,Parallel NFT Holder,
0x002fFd8d4b8faB41D578a0785f4D23A6Dd892d97,0.000639508857197672%,Parallel NFT Holder,
