Address,Allocation %,Type,Sum
0x2e32935bfD5B2718f99BC8FDf8B37c16811f7D97,2.5751%,User,100.0000%
0x940e8588D3Cf0501E28A7762C72d2aBd3d223cd8,2.1459%,User,
0x38A4D889a1979133FbC1D58F970f0953E3715c26,2.0029%,User,
0xC883eB0148a4FdA6Bd05ecA05D9bF70bc97F1408,1.4306%,User,
0xcEcc87f1106920937b32Ac1f473Ae333fddF16f0,1.2876%,User,
0x5689d904c33BA4f58f3616881113B68A5b71b25E,1.2876%,User,
0x0A75974cEeb0b4C69C9DFF11DaA3bD2CA0a50A68,1.1445%,User,
0xbba2379F5cc9A2f248C5Cf18aD72379AE2478F42,1.1445%,User,
0xb29C388E3Fd63E1050Ac5e4Ca1d046DCa36F004C,1.0014%,User,
0xc16FCbb54d0307053c8F3006F8a061373A67Ae9A,1.0014%,User,
0x5F94D32058FC8067018e94E508EF48C1135e53fD,0.8584%,User,
0x30EBbC28C91D7d117A87714D0aD161ad88f61547,0.7153%,User,
0x44D76AbAB71F44f9E49bE54BF4e664527E78D41F,0.7153%,User,
0x0e63EE1a039bCC422b1bAaF65C7aE30C497d3FC8,0.7153%,User,
0xd716ad4f10eade5aF4Ed10006678f49Bd2E6624f,0.7153%,User,
0xB2E13b37C5227ACD82d02c4cc76d86B85bddAD49,0.7153%,User,
0x094E5aaBAa7C2D938e5e4AA5b004370Fa220bC13,0.7153%,User,
0x05262eb91b0b49d2f67091a978bc38E64339Be80,0.7153%,User,
0xf3b059c887172f2cc52b5e77EE3b2C8B3A32E6eF,0.5722%,User,
0xb9ef85Fb70E233D574479fBF02eAfbC72EFD1e6E,0.5722%,User,
0xb490d2A5d857c0357a8C2ac23c30ba0e6e02f909,0.5722%,User,
0x224f590A8B58f83Bd2673348d6Ac75A7b27f9b54,0.5722%,User,
0x8BeC7E3C790cf4738980881600Cb4579aE5EaefC,0.5722%,User,
0x5488ad7A97EECa612D73e395442ec60790B4a788,0.5722%,User,
0xcd1E27461aF28E23bd3e84eD87e2C9a281bF0d9F,0.5722%,User,
0x90f68fF1c0c98e50BAf4b494dF90D05A580618e0,0.5722%,User,
0xf2442e2fae553fF4610Babb50F3a79bD2DD68255,0.5722%,User,
0xbA0D6D3245C87fd89a70435d72ac3728039bDFc3,0.5722%,User,
0xf8D41a8e324cd2bACe183576F8328fA63793f775,0.4292%,User,
0x943fbbC1F2D8806966482cE5D93623C4FF1Aca76,0.4292%,User,
0x8fAB44e84C3B5F45a297670d499791A3af4b6929,0.4292%,User,
0xD425D28de788104Fe77883963c40AdE04c7d3296,0.4292%,User,
0x84F4CcC36fC9d5FB1947949aE5572A33ad738667,0.4292%,User,
0x99222201F28e82C399F1bc41C046C7e4501bD1a0,0.4292%,User,
0xBC4Ff71F3278C125950382BCe1aaFBa1238AF288,0.4292%,User,
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,0.4292%,User,
0xAEB27A64cdEE1AA56D49e45F26A3A8b736B97899,0.4292%,User,
0x44F4D478cB1d4225B83fDA680CbcdA2784438746,0.4292%,User,
0xC9c41B3a69396BC4BACCd92B5999eCad2d07A1e6,0.4292%,User,
0x4BF6b6b56D6aD274adD7769a7b6a62Afc59bbe0B,0.4292%,User,
0xa716c2ef62B60cF82B8119947030ea7E26A39908,0.4292%,User,
0x9E1b45A473B8B004A40ddC6Ea2730b36d16a1796,0.4292%,User,
0x372b8c8B1A809149f0964c13a22b9B11Da637526,0.4292%,User,
0x49379EFAE465C8d420357142477C09386Cc1e764,0.4292%,User,
0x34Ee2E826d3c6701DF3B081D84c282C11C5eB4Fc,0.4292%,User,
0x8e0e1e849Afd5069Cd628A0eC6495eAa4d13b33A,0.4292%,User,
0xcDDaA16e254ce0BB2e146D7BF57DEa9402cF862e,0.4292%,User,
