Address,Allocation %,Type,Sum
0x7bd456937104ca5efffbd895ccbba52421021c29,10.000000000000000000000%,developer,100.000000000000000000000%
0x18b20d76973eacc76022f0b15fc6857e1d8aa23c,32.452237188892600000000%,vependle-holders,
0x6bc27be639df9eae4d3effb0159f03c54255eb89,20.419629853122000000000%,vependle-holders,
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,5.194414772500680000000%,vependle-holders,
0xa3291a2dcaa69399a4dae786479b92d9fc29bfec,2.705424430052500000000%,vependle-holders,
0xf930ebbd05ef8b25b1797b9b2109ddc9b0d43063,2.095681163356900000000%,vependle-holders,
0xaa4cf724a400f6fc7e25e177fc6ef68857712285,2.057395668402240000000%,vependle-holders,
0x12478d1a60a910c9cbffb90648766a2bdd5918f5,1.872879749939210000000%,vependle-holders,
0x9592f9602cee58323a4f99504838cb344effb355,1.578695491348980000000%,vependle-holders,
0x21aa0479bdaa916269f466f7f6e000e524f37129,1.407008544598800000000%,vependle-holders,
0xb18b4ce7087db47cd5050f7f3fbbb97eb4f50f8e,1.260409480753860000000%,vependle-holders,
0x133d93566f9699b3af46fe150daa8a67a9563ed6,1.244953676642710000000%,vependle-holders,
0x63f6d9e7d3953106bcaf98832bd9c88a54afcc9d,1.212595587099770000000%,vependle-holders,
0x7adc5f2e75b4afb49f18d136b318abd9eae71d14,1.187142753861330000000%,vependle-holders,
0xe582dd973b72664a38253e51a4af1a8a257773a1,1.077038723336350000000%,vependle-holders,
0x2dbcbdb6ed8df05ddc859bd9e06a53e93e1c9561,1.072478239172630000000%,vependle-holders,
0x3300eebeea8239b90a435e403b130a853a0d7dff,1.052684341100800000000%,vependle-holders,
0x59aad2c81b86df6e4a0dae51c5c5bd45ba451875,0.901164612763291000000%,vependle-holders,
0x1fec70880238fc55db11dda3c110699700421041,0.526571040759360000000%,vependle-holders,
0xdb611d682cb1ad72fcbacd944a8a6e2606a6d158,0.390362846401279000000%,vependle-holders,
0xfa3e7d5c0b7e004371af2507ae61ffa1cab0e0ea,0.337785248397932000000%,vependle-holders,
0xdd089f79d9d7241358ef82639f5fdd099215da7e,0.296826301002413000000%,vependle-holders,
0x9ce6e6b60c894d1df9bc3d9d6cc969b79fb176b7,0.265337612253240000000%,vependle-holders,
0x16ad4e68c2e1d312c01098d3e1cfc633b90dff46,0.254628142475494000000%,vependle-holders,
0x23ce39c9ab29d00fca9b83a50f64a67837c757c5,0.229165319227936000000%,vependle-holders,
0x4c9f7207be28278b9dca129f2e211acfff48fb01,0.228503008623247000000%,vependle-holders,
0x22561c5931143536309c17e832587b625c390b9a,0.215454166709654000000%,vependle-holders,
0x34cae1d9e2d014b7b9e6295c66c554d7e79713d3,0.205185517334377000000%,vependle-holders,
0xf29c734c6150d439ce72befe7f965fdb6677737f,0.204337266559924000000%,vependle-holders,
0xa38945bfe64309898d89862e7b4c0c76bbf5f5b8,0.196631909524933000000%,vependle-holders,
0x172c33b4935649a95e91c2da28b52b58dc61bcf9,0.178239672732821000000%,vependle-holders,
0x4127143a866bf5d8ad2afb6de8e63164b8ad5bf6,0.177468012028295000000%,vependle-holders,
0xd95929b3d82f7f76afaf23ae716c691e489a43b1,0.150347747267493000000%,vependle-holders,
0xf09c63a2b47d7b383ecc517a295727312384eaed,0.133703762071535000000%,vependle-holders,
0xc54eeb8c00c85fe0fa68720ba609fc417b2f1d3b,0.128581137394578000000%,vependle-holders,
0x8ad150eee60dd2519bb2713ccec770b0fe07a1ae,0.128397627227034000000%,vependle-holders,
0x0ffeb87106910eefc69c1902f411b431ffc424ff,0.118580058263593000000%,vependle-holders,
0x9de142ceee3f34d29e3edf42b52de08d2c45f056,0.114646964672679000000%,vependle-holders,
0xbbf6b3393865bbf4bafbe8c9df1c60ccf2cab318,0.111033551373632000000%,vependle-holders,
0xff6a85ee4505b699b3e4131f37b1dbd6872eb3b5,0.105621666432581000000%,vependle-holders,
0xcdb4b5f351974fd86106e2f2e02e09d17ea65476,0.101595512756703000000%,vependle-holders,
0x84f73ae6acf4490e6eec2f91375fe80e393c22b8,0.101265572455468000000%,vependle-holders,
0x1b72bac3772050fdcaf468cce7e20deb3cb02d89,0.100361611630151000000%,vependle-holders,
0x4da4a2f69cb2f61a49efb7423b1f093b79c6f1f2,0.091468343510597600000%,vependle-holders,
0x3ecd0359496f9a49a1b11eb50bb603c262ff4218,0.090170542325705100000%,vependle-holders,
0x8703bdb1b413060a13c2f4712a30adc86b34f7ce,0.086975449408585200000%,vependle-holders,
0xfa08fd0aa4c2dc4d65ceb5c02c031c90d30d656e,0.086828209274155000000%,vependle-holders,
0x97e2096c62785d3c166db86db7660dcf19f9d617,0.083680276400092300000%,vependle-holders,
0x7c7f0649abeeba4ee4c5156d9ff9e110e12217f5,0.078419951597415800000%,vependle-holders,
0xc5f670cc55ed46815118428261025919cb4e1a63,0.073644277237225100000%,vependle-holders,
0x07a1f6fc89223c5ebd4e4ddae89ac97629856a0f,0.070118974018623200000%,vependle-holders,
0x2d876806411a36407350a626bf42d62c82b7d005,0.068545772582290300000%,vependle-holders,
0x8841f6e01e7fbf6a72b0c180c23967adba48fd61,0.068313032369798500000%,vependle-holders,
0xad0dc9b5bf4308cc26c1d44e1beb2d30c43bca1b,0.067035571203476500000%,vependle-holders,
0x2d0beb550118319afa2dde4aa042a35be7aa2e94,0.064136038556203200000%,vependle-holders,
0xe558002399291ce372b90f5e525fcb2a56c68b22,0.063140187646991300000%,vependle-holders,
0xa4d0f5c7a8277b75c705918dfeaae6eff1dac17b,0.060333085084106600000%,vependle-holders,
0x6c76edcd9b067f6867aea819b0b4103ff93779fd,0.060286105041213900000%,vependle-holders,
0xebec26064b5fcfe148b7f28a9c22d1b52f1e5b8b,0.058589333492061400000%,vependle-holders,
0xe77884cddf148dd5f0e9191b33d8dbaddb16dfb5,0.056018121144544600000%,vependle-holders,
0x4c315af217543b01a184f8c831497d76088e319d,0.055032890245028800000%,vependle-holders,
0x6282d419781b0259b261c4cd1a600b136417ee20,0.054999680214708000000%,vependle-holders,
0x9c20135df70f17c5c0b3024b48d17ed63e791b40,0.054698089939356100000%,vependle-holders,
0xe058d15cf70da6b7a6bd9bb10f04921994496b09,0.053115708494641800000%,vependle-holders,
0x5859e56aabaff9c31185da8c17d9fb52b3f091da,0.051944087424951800000%,vependle-holders,
0xc80a38405f929b92bd889f3e5d438c342e498aca,0.051081976637844600000%,vependle-holders,
0xfb188993e7cafa83ab69dbb9ca8b7e1235cbf3f0,0.048806774560585100000%,vependle-holders,
0x109f30842cdd088349f560b8053e124b79685774,0.048682574447190400000%,vependle-holders,
0x544845005e42fe00a3c0e9735eeec25aa068b428,0.047126473026469800000%,vependle-holders,
0x7338afb07db145220849b04a45243956f20b14d9,0.044814550915685000000%,vependle-holders,
0xc693b4ffb338579467a541b2bf267b1955870920,0.042833289106792900000%,vependle-holders,
0x33b3f0d6dc38dca1613c51d4232e73cb6f259bbb,0.042701168986167300000%,vependle-holders,
0xcd54cc88ac8bb4f437937b5dfa9c341570c6169b,0.042638168928648200000%,vependle-holders,
0x5e11a833d112e973661040e062f1aedfb2bcec1d,0.042517028818047300000%,vependle-holders,
0x2c0bc901d031649d805f6ec823e2b22f12c9bd42,0.039788766327143600000%,vependle-holders,
0xa98011446ffa72a860967db39d55ad1d857cd1a3,0.039768156308326700000%,vependle-holders,
0xfa8343c666c7b4e617e502c7070a31c52d5a46ec,0.039467286033632100000%,vependle-holders,
0xf35153bc3129438ed3dab917082429582af711dd,0.039151385745215200000%,vependle-holders,
0xe87a10d5b212d169ccbc9a50cf5e23dd3da27cb6,0.038584745227872400000%,vependle-holders,
0xfc09d8c9a63670702c2de876ff95608ab971dcd6,0.037219353981270200000%,vependle-holders,
0x6f9bb7e454f5b3eb2310343f0e99269dc2bb8a1d,0.036691413499260500000%,vependle-holders,
0xbbe6495f5de6805c3e28bd66b26ad2076c006dc8,0.036465243292767100000%,vependle-holders,
0x82ec09d06924dcb3f2449ce96cd92156410c340f,0.036422943254147200000%,vependle-holders,
0xa4ff74f6c1b86f2487a8b089cc2f599bc41f0ab4,0.034346191358072700000%,vependle-holders,
0xd320ff652a80c4192aacfbf7580295fddcf86ca1,0.034075291110740800000%,vependle-holders,
0xbdfa4f4492dd7b7cf211209c4791af8d52bf5c50,0.032648429808016400000%,vependle-holders,
0xb949dee5aec2cb44326422301150bfb8145d1ecd,0.032286269477364000000%,vependle-holders,
0xa5bd4fa2db60afdf5cf57c6c2ea40beef982caae,0.032137679341701200000%,vependle-holders,
0xbe21cdb80c1c5113b7c67f94db9ab3acc53902a5,0.032067029277197700000%,vependle-holders,
0x808af82545a721c06d1fccebea915a6f5128bef9,0.031894679119842000000%,vependle-holders,
0x1f602c77972d8188f6def44f531cc836b8f00d17,0.031663648908911400000%,vependle-holders,
0x8d9004e297950cac958729153fd7bb707d691338,0.031528288785327600000%,vependle-holders,
0x2649bb086552825ced34545388dbc40f6c51fea0,0.031434418699624300000%,vependle-holders,
0x4858ce44be65a79811f32417801b832b423de0b5,0.031018078319505500000%,vependle-holders,
0x8bc8860fc86e143c93c1404f56765d375569b918,0.031015198316876000000%,vependle-holders,
0x1a14ee265b33ae8f8acf2aa97df47f6ea04b21ea,0.030972808278173900000%,vependle-holders,
0xa317e39fa28ea88416860dd01ab4710e605af456,0.030929158238321500000%,vependle-holders,
0x9d1ad3aa93da59149112c36714c4a1259feb2958,0.030645207979074900000%,vependle-holders,
0x7840ed59a9ff36527fc0c526ae658e5f1cbf96f4,0.029647557068219600000%,vependle-holders,
0x76b84cb4dbe1ec6ddc1aefc7abc533fb4be43006,0.029295476746770300000%,vependle-holders,
0xb7e163c290f1301adc7d37b42ed6d7067093516a,0.029158406621625200000%,vependle-holders,
0x70144e5b5bbf464cff98d689254dc7c7223e01ab,0.029063006534525000000%,vependle-holders,
0x0fff37da7403a3c997d7eb5b745e3850cb5358a7,0.028876526364268600000%,vependle-holders,
0xbb0f753321e2b5fd29bd1d14b532f5b54959ae63,0.028649816157282100000%,vependle-holders,
0x61e193e514de408f57a648a641d9fcd412cded82,0.027953305521367900000%,vependle-holders,
0x1908a3232eed9186b4a5b666075711d2db0200e5,0.027849085426215000000%,vependle-holders,
0x5e014aa0649102e07c074f498845f01bcd520317,0.026789874459155400000%,vependle-holders,
0x05756e208ab01acbb4d9d426d827dde45ca2c068,0.026202173922584800000%,vependle-holders,
0x0b3752b82084b9fd6f461d72253375173889fd45,0.025995803734168800000%,vependle-holders,
0xa800fe5e671e26ea3bf7651529ca195ff3eb45b1,0.025844693596205200000%,vependle-holders,
0x65103d859573b78868a3d1e493351a4ae5b02b6c,0.025462733247475400000%,vependle-holders,
0xb9eb8c1a688cb64d0f8315b8ed885e4064352334,0.024953512782557200000%,vependle-holders,
0x4a33001459ae32810c1329d0e6fea7211c124d7e,0.024683242535800400000%,vependle-holders,
0x1f2a56c721f3504e4a434ca4e421869cb2bef03e,0.024635272492003800000%,vependle-holders,
0x8290b440c72f47b229484e30236f1d86910cf1a1,0.024523942390359400000%,vependle-holders,
0x742f068446aa226cfe91108f0b788c0fb70795c1,0.023973951888218100000%,vependle-holders,
0x8f688a91695f7d2a1e93e57cedcbf5c5202f617b,0.023495871451730600000%,vependle-holders,
0x99daaf637e697c53afaa67d6ff27e336db925812,0.023391291356249000000%,vependle-holders,
0x58f1101f3632f1d0544197351fbded673f4b43f1,0.022972160973583000000%,vependle-holders,
0x4a7095c3ff70cb309c17f3c1203c5c095927b795,0.022939040943344400000%,vependle-holders,
0x2feb0899a1fef88bc260a5c9e25f29a84b60bbb2,0.022524680565033300000%,vependle-holders,
0x758496c86f5fffa3322f8e346510791ffe1ef905,0.019848348121541800000%,vependle-holders,
0x3dc606ce9cca12196917a3267a8ae7008e018958,0.019787688066159200000%,vependle-holders,
0x6f5a8a35fb10eecef9128f407a0fe67b898556cf,0.019693277979962800000%,vependle-holders,
0x058c6093516192129181696fad6a985266bc2684,0.019381607695407800000%,vependle-holders,
0x9026a229b535ecf0162dfe48fdeb3c75f7b2a7ae,0.019351727668127300000%,vependle-holders,
0xf9bf109d8d0c347a495f028934dbe6512f4c28a0,0.019259927584313900000%,vependle-holders,
0x410dbc6527558707f1eae9c1b62d5208312ac243,0.019258217582752600000%,vependle-holders,
0x749f90c2f42f7184a018ce3743c413bfe4f316ac,0.019238597564839600000%,vependle-holders,
0x8907bd00491d0b830c38276acc6d72e2419135a2,0.019217087545200900000%,vependle-holders,
0xe690341e50dce63c764ce7e0a6e923349d77ae2f,0.019106207443967400000%,vependle-holders,
0x3ee9201b37eb55e108836ae15efaef1ec33c6ea9,0.018724337095319800000%,vependle-holders,
0x9455de53af389f3fda3ac7e096e44ea7636e7e3b,0.018715157086938400000%,vependle-holders,
0x02e845dc76abdffa32c600d347573ba1497b7e35,0.018300526708380900000%,vependle-holders,
0xdf83756d2c07837a7a3366738520e53128cefc45,0.018052216481673600000%,vependle-holders,
0x386fe07db7d72e94cd7be8145d64a0281e06224e,0.017605636073945700000%,vependle-holders,
0xa4067c70daa589febf51995621d25397cdafa430,0.017569276040749000000%,vependle-holders,
0x8fab44e84c3b5f45a297670d499791a3af4b6929,0.017532466007141500000%,vependle-holders,
0x32324e483e2892771314ba6bdf12374b5282a417,0.017152845660548100000%,vependle-holders,
0xffa8e2be96d48ae277ae4884e1a03ed5d458f14c,0.017115045626036600000%,vependle-holders,
0xadffc760edf4f6146dce89022b5ae7ebb7edd2b9,0.017098215610670800000%,vependle-holders,
0xd2c69cd5d740bc735eb30188d3b406e2774a1d21,0.017042235559561100000%,vependle-holders,
0x2b2673427a59a8df5f944df57eb38780aaec6b59,0.016597635153640900000%,vependle-holders,
0x8dc5567e4e8da85267b5d1bb7803dfbf2804c146,0.016581345138768100000%,vependle-holders,
0x4acff92b8d2fde216c504ec7f557cd1cc62beb60,0.015976994586996000000%,vependle-holders,
0x4e5f5ddd741d6a912ba64a2a1263786cb804e0f2,0.015905984522163900000%,vependle-holders,
0x9df2322bdaec46627100c999e6dddd27837fec6e,0.015761534390280900000%,vependle-holders,
0xc00a6614b8030ce216302016e11c6b4140b5e499,0.015525554174831000000%,vependle-holders,
0x412e0c53654f79740bf0abf6b0dcbed7c4ac326f,0.015277873948698900000%,vependle-holders,
0xcd81917ff5313d02d7da3d47a9afcd3f635c36e3,0.015277693948534600000%,vependle-holders,
0x03faa3fc344ee5eea6c59ef0a878facf70f41890,0.015277603948452400000%,vependle-holders,
0xa50fd1dedf930c729e48e142e9dddbd52fac54ed,0.014876383582138200000%,vependle-holders,
0x16f037a3ddf53da1b047a926e1833219f0a8e1fc,0.014808433520099800000%,vependle-holders,
0x9f6e465b94fc2ccb507d39af953e8a503afb2ddd,0.014683423405965600000%,vependle-holders,
0xaf94b174a7708765fde429202a99b52d2f96e9ea,0.014639953366277400000%,vependle-holders,
0xe27c6d0626c87faa401dd55f9d8bbc99076273d5,0.014605393334724100000%,vependle-holders,
0x7cdd207194c58f24c86ca3a60e73dc77f8bf38a0,0.014479483219768200000%,vependle-holders,
0x9023b8e4b80f1684c9068967b0bfdd9f6e0f24d4,0.014322793076710100000%,vependle-holders,
0xe98346e48c805597fd5bd05b0d9e79b9cc8dfc50,0.014313613068328700000%,vependle-holders,
0xf2237cc48cf298c4e3ad8b1ba53bce8548e879cb,0.014264113023135200000%,vependle-holders,
0xbfa539d470c00eebe74d2540e993755d2133de34,0.014224062986569500000%,vependle-holders,
0xd41e3f7430826420a4e8b6b89e2a4f6a45d17a7a,0.014146932916149700000%,vependle-holders,
0x40c018f0984eed640be8b3df56207cabab41e1a6,0.014100222873503500000%,vependle-holders,
0x04be74f44e452f2fe6c757f19f90b92cfc9f9aea,0.013851732646631900000%,vependle-holders,
0x67594ca0dd13f1def68b5e67a1e92e6f84d8a7af,0.013721142527403100000%,vependle-holders,
0x28f6d2459491f59488b9de0f18c0a9e6f249d401,0.013609812425758700000%,vependle-holders,
0x349a01774f22f51ffd46270b48f1fdc85ac9131f,0.013406142239807900000%,vependle-holders,
0x4dd9db85b909a1c76feb8b0a8385d9ccfebbe7ae,0.012986021856237900000%,vependle-holders,
0x44cdce3e92b8405be3973e7bb7b58242b98a99da,0.012946511820165300000%,vependle-holders,
0x09e010bbf41ac73a59668754b263f83f4a49c06e,0.012839771722711600000%,vependle-holders,
0x16b63dc110640cc79c68e907c7ade6c4b94ea3cc,0.012676601573737200000%,vependle-holders,
0x839f270fcbdd755e8762704b800a6ead6f47be68,0.012539171448263500000%,vependle-holders,
0x19390810fdf8646561757d2d29cc3a096acb77bb,0.012486431400111900000%,vependle-holders,
0xfbea6f2b10e8ee770f37fff9b8c9e10d9b65741d,0.012436661354671800000%,vependle-holders,
0x8d0b972a80076cc82bfe23e1a57d33d1c3a6759c,0.012431621350070300000%,vependle-holders,
0x4371ebaaefeb8e56ea8448787508efefa2291d74,0.012388601310793000000%,vependle-holders,
0xc75fe9bab090a059af7f52b085288dfab2b5a6c7,0.012147401090577200000%,vependle-holders,
0x26c84c03d7ef37dabdd4209fdc1cedacf8c6b12a,0.012108071054668900000%,vependle-holders,
