Address,Allocation %,Type ,Sum
0x443Af6E1195bBf12876be3DA891aD5c67c0Efc56,10.00%,Dev,100.00%
0xdeaf42d4a2cc1dc14505ce4e4f59629aec253d75,4.748223568%,Bridgeoors,
0xed8ca11e952447a7e0e7ce242b2e86856f10abbc,3.111930705%,Bridgeoors,
0xdeaf42d4a2cc1dc14505ce4e4f59629aec253d75,2.807181415%,Bridgeoors,
0x193db18a5ef9a0320b7374c1fe8af976235f3211,2.769357554%,Bridgeoors,
0x193db18a5ef9a0320b7374c1fe8af976235f3211,2.248244130%,Bridgeoors,
0x77f4a43ec39264df8b0c1b1317f455879c1828c0,1.904430667%,Bridgeoors,
0xfcc92f0d50f43a3798041afd7e2c918cfb8b28ad,1.407490740%,Bridgeoors,
0xfcc92f0d50f43a3798041afd7e2c918cfb8b28ad,1.263995283%,Bridgeoors,
0x3c948a11c4d5462ace49a505ece7112531b16725,1.088321245%,Bridgeoors,
0x4624c8bde33545893bac01a999dda0f9296b3588,0.969018177%,Bridgeoors,
0xfc88e456b3a5620e63a449ce429dccf2687cac26,0.933050962%,Bridgeoors,
0x3c948a11c4d5462ace49a505ece7112531b16725,0.901729531%,Bridgeoors,
0x81d6ea3e2678675c8e7fb67dfa694bdfac8824fb,0.862453032%,Bridgeoors,
0x9ce6e6b60c894d1df9bc3d9d6cc969b79fb176b7,0.740152633%,Bridgeoors,
0x1b648ade1ef219c87987cd60eba069a7faf1621f,0.737472204%,Bridgeoors,
0xfc88e456b3a5620e63a449ce429dccf2687cac26,0.697118093%,Bridgeoors,
0x77f4a43ec39264df8b0c1b1317f455879c1828c0,0.661251213%,Bridgeoors,
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,0.612009296%,Bridgeoors,
0x6d3b90747dbf5883bf88ff7eb5fcc86f408b5409,0.611688503%,Bridgeoors,
0x73831e7c600f48cebbbff957b466be8e5c087f34,0.582605123%,Bridgeoors,
0x3c948a11c4d5462ace49a505ece7112531b16725,0.566918124%,Bridgeoors,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.563364400%,Bridgeoors,
0x3690b7635ef58133a1e0f6016cba899e56595a26,0.529641021%,Bridgeoors,
0xca74f404e0c7bfa35b13b511097df966d5a65597,0.526508871%,Bridgeoors,
