Address,Allocation %,Type ,Sum
0x7676c73c0863beea3208881173798AAf3A6B2b31,10.0000000000000000%,Dev,100.00%
0x5b70b4b173f95ce18dc6eed797fb680ff7ee2895,0.0338600451467269%,Interacted with Prime Portal Contract,
0xc47378e6db31b1f56161523285bb158ca249efbe,0.0338600451467269%,Interacted with Prime Portal Contract,
0x6dc88b231cd04dd1b1e525161162993f47140006,0.0338600451467269%,Interacted with Prime Portal Contract,
0x0c8afa31d68028ed8054493ee92f52b82ab992a2,0.0338600451467269%,Interacted with Prime Portal Contract,
0x130cfe00d05b289eddacb09a7a317336c2602a5e,0.0338600451467269%,Interacted with Prime Portal Contract,
0x5b8ab15f8e1fc80a800c8484c11330fdf868afb1,0.0338600451467269%,Interacted with Prime Portal Contract,
0xc6e4637aef0d61b2071405cbab076abf03eaa310,0.0338600451467269%,Interacted with Prime Portal Contract,
0x0369aefc252396e43e9ed136ec96f63e462ee66b,0.0338600451467269%,Interacted with Prime Portal Contract,
0xee38a460c525b19b3fab0e82491d6473a4a2edc8,0.0338600451467269%,Interacted with Prime Portal Contract,
0x9cc971739173b41f12b3a01d49fcba48b3725c16,0.0338600451467269%,Interacted with Prime Portal Contract,
0x6d0872f1b64702ebc14223dac590d66ce8221116,0.0338600451467269%,Interacted with Prime Portal Contract,
0xb203df26af3666f4214661f7f903c46edf9403b0,0.0338600451467269%,Interacted with Prime Portal Contract,
0x994649b6f14e340c2878885d2e9d90bfd4ee8aae,0.0338600451467269%,Interacted with Prime Portal Contract,
0x01098eb1fbae765d760b16de380f539faf820c09,0.0338600451467269%,Interacted with Prime Portal Contract,
0xe1bf3bbf0d11066af40e746db7999f32c74008e0,0.0338600451467269%,Interacted with Prime Portal Contract,
0xcbb05408efafaab450c8d43d1671df5b401a2b72,0.0338600451467269%,Interacted with Prime Portal Contract,
0x3e47921efa7d4fde282f69511aedadafe403e9dc,0.0338600451467269%,Interacted with Prime Portal Contract,
0x51f6749dee3510f983c15b7c239cc6df4e4054ea,0.0338600451467269%,Interacted with Prime Portal Contract,
0xe399b5a5fa209b96ceac7c05cf301f2968eebbbd,0.0338600451467269%,Interacted with Prime Portal Contract,
0xd70bd78a9132214bc8a8343dd7ad68cc4b7e994d,0.0338600451467269%,Interacted with Prime Portal Contract,
0x49b144d329b096d2772533f936b5fda6ddf8dbdb,0.0338600451467269%,Interacted with Prime Portal Contract,
0xad6df315d043d0346f3852f02b8662290884db46,0.0338600451467269%,Interacted with Prime Portal Contract,
0xda6ab7d0a045a8b7dc25f8a50b383af7ff49977f,0.0338600451467269%,Interacted with Prime Portal Contract,
0x7ef673bedb238526168c44885797d117921c66cc,0.0338600451467269%,Interacted with Prime Portal Contract,
0x6363f3da9d28c1310c2eabdd8e57593269f03ff8,0.0338600451467269%,Interacted with Prime Portal Contract,
0x2f71129b240080c638ac8d993bff52169e3551c3,0.0338600451467269%,Interacted with Prime Portal Contract,
0x7b8ee8e1127de4faa326726c9595fb8c2b29ec42,0.0338600451467269%,Interacted with Prime Portal Contract,
0xb7137e13e32b3ba462b89c74c6b0962f1bfb688d,0.0338600451467269%,Interacted with Prime Portal Contract,
0xd58370f2beab7e4a1996e024f84cc9e3a6072f7e,0.0338600451467269%,Interacted with Prime Portal Contract,
0xe7c75833f11d0675d889c17e9be92b0bf2914193,0.0338600451467269%,Interacted with Prime Portal Contract,
0x14200e5a1473b668817c85936ecd4f788f061873,0.0338600451467269%,Interacted with Prime Portal Contract,
0x0bedc3bf8a1da3f18b3617d91766ee5a461f4d0f,0.0338600451467269%,Interacted with Prime Portal Contract,
0x1886988012538fa5b05010f694f4d38df7939e3c,0.0338600451467269%,Interacted with Prime Portal Contract,
0x695589d2bc5a63db1e830b1da7a07de73e58c6a8,0.0338600451467269%,Interacted with Prime Portal Contract,
0x26860f918ca9b7c8bbf7f681bcbba6946d8cf048,0.0338600451467269%,Interacted with Prime Portal Contract,
0xb59513b34f376ab01c5a538a7f54150c4913c489,0.0338600451467269%,Interacted with Prime Portal Contract,
0x25c62419b199e4fa6c1c9ebb67a7eebb22fee068,0.0338600451467269%,Interacted with Prime Portal Contract,
0x9b0c74924a7f6b4a54e7a02f7d56bbe9605bb629,0.0338600451467269%,Interacted with Prime Portal Contract,
0x87c9c98c3f93d931a56b63036fddfe6828247d76,0.0338600451467269%,Interacted with Prime Portal Contract,
0x1c2cafa86bbfe15c12fc9ef4fe167d191d8ac327,0.0338600451467269%,Interacted with Prime Portal Contract,
0x5294933183a74366c50ac78f35c9ac72b21bdd40,0.0338600451467269%,Interacted with Prime Portal Contract,
0xede71a5af825ca497979d8ec87ec15a3132febf2,0.0338600451467269%,Interacted with Prime Portal Contract,
0x1f7a20af62cdd4b242c02f2086bf1441d2d44789,0.0338600451467269%,Interacted with Prime Portal Contract,
0x1fca8cfb226cb5bcea2e67bc34abccc653bb44cb,0.0338600451467269%,Interacted with Prime Portal Contract,
0xc313d7913c479bd1abe564be348ac24463f968be,0.0338600451467269%,Interacted with Prime Portal Contract,
