User Address,RFP Allocation,User Type
0x1e830ed61b6f1bb785481de18b06283d0736b955,13.620371742472700000%,General Depositor/Borrower/Protocol User
0xe29a293809b4f212fa6a880df7d9773926f40ac4,11.495317508705700000%,General Depositor/Borrower/Protocol User
0xbaeeb113dc6fc6a67b5a0bcb8154c6b71081d3b9,3.551252928652820000%,General Depositor/Borrower/Protocol User
0xd7948ebe844f1544eab530c837917100dbfaaa8c,1.826398172480670000%,General Depositor/Borrower/Protocol User
0x91a59912fabe13ad1f7927828b16724fcd97f14f,1.567874538490700000%,General Depositor/Borrower/Protocol User
0xf139b646aab752e4a564d7f9be558b715f57504b,0.899237598275392000%,General Depositor/Borrower/Protocol User
0x85b3c124a704ae638622a1e99310f22eee7279c6,0.948793823387692000%,General Depositor/Borrower/Protocol User
0x05f51de33bd21abd4172634eddc78c8884212033,0.464866841171235000%,General Depositor/Borrower/Protocol User
0x2f38aca175c72412d931e4407b34a01fea77539a,0.516323840575934000%,General Depositor/Borrower/Protocol User
0x2e1f7295d9ea8fcddb89e904496d2acf5befe60f,0.382382292782460000%,General Depositor/Borrower/Protocol User
0xf93a5f0a4925eec32cd585641c88a498523f383c,0.318725809222806000%,General Depositor/Borrower/Protocol User
0x3333ddd8b99365836ff1c03bc7dee3c50a43e919,0.319180430589369000%,General Depositor/Borrower/Protocol User
0xc5b8225b939a5ad72640ccaecb11ca68b7c76b16,0.324541906633977000%,General Depositor/Borrower/Protocol User
0x8fe7261b58a691e40f7a21d38d27965e2d3afd6e,0.364563322985510000%,General Depositor/Borrower/Protocol User
0xaf40a179e8a77a4766d6b613cfca099008ac935a,0.319547796915041000%,General Depositor/Borrower/Protocol User
0x8bc8860fc86e143c93c1404f56765d375569b918,0.306721900666555000%,General Depositor/Borrower/Protocol User
0x58b098dca8145cfa8c8e4bc7495a613f525b0028,0.274460145627238000%,General Depositor/Borrower/Protocol User
0x539a1dc7a604edc0696f60fa823bb07d16690b99,0.334177085774481000%,General Depositor/Borrower/Protocol User
0xceef35474e4d79e68ce64b8c8fbf548c56962347,0.274540074019713000%,General Depositor/Borrower/Protocol User
0x89f39f7bc269a6972948ffa32ce1537ea68a8d4e,0.276473548854144000%,General Depositor/Borrower/Protocol User
0xe41427e5ae4546cacb9746882421df1f74f7d55b,0.245202330026744000%,General Depositor/Borrower/Protocol User
0x02e7b714fae84e4ba80f3cda5508553e7cf5042a,0.229124180704753000%,General Depositor/Borrower/Protocol User
0x329f4435e0f22899b733756c71aa12c1004146b1,0.303849889507512000%,General Depositor/Borrower/Protocol User
0xa52aa5964685cd5df8a03cc9cd73bc45479a99d0,0.244591105161587000%,General Depositor/Borrower/Protocol User
0xd8c8f8e07f779c34aec474ba1a04e20e792b5c5f,0.215467607692349000%,General Depositor/Borrower/Protocol User
0xb3ff54b7f24950945ba8f1778f52835a7ad30a7f,0.208509865526028000%,General Depositor/Borrower/Protocol User
0xece792e16f847add756d2c421801ff82999d2333,0.203948634140700000%,General Depositor/Borrower/Protocol User
0x27f12d7520d43cc65459df04d5a0bf33901a298a,0.175560334746371000%,General Depositor/Borrower/Protocol User
0xffcf56c98a8a1d8a045ae39e82ba7fd456926571,0.186547514152570000%,General Depositor/Borrower/Protocol User
0xd0f231e07b9e641fd937b5abd2d5eae690b646f0,0.415563165790193000%,General Depositor/Borrower/Protocol User
0x3b1f2788f820671ab0e0c426691a35be22bfd62c,0.159594716307936000%,General Depositor/Borrower/Protocol User
0x0f687b1d213aefb1c174cd8c136cdf563f2a7897,0.167757328915815000%,General Depositor/Borrower/Protocol User
0xbe0030b71e9eded2b417f2a459c0ce24a4e8089a,0.170825173471101000%,General Depositor/Borrower/Protocol User
0x717d641b98a51e2bdc46f36eeec5c4f453fa10c6,0.155486631109479000%,General Depositor/Borrower/Protocol User
0xafaa188ba59d8b7950c6b287bb11e77759da714a,0.139287843252540000%,General Depositor/Borrower/Protocol User
0x3c6dfb5d608c4849d289d81d8bfccbd48d86d0a8,0.151529893888727000%,General Depositor/Borrower/Protocol User
0x2ea8660f9b6cd96daf1251adec3721e18bc68ec2,0.182118982221931000%,General Depositor/Borrower/Protocol User
0x7f2fccaf717128bdf5efabd67a8ea9a812d5813e,0.121775114161220000%,General Depositor/Borrower/Protocol User
0x95c127ba6f48e9e4b320076e7dbbe4da2b09ae7d,0.135033976804176000%,General Depositor/Borrower/Protocol User
0xb69fc0701a948a9296e0695b51e4108873f770a4,0.131061617004331000%,General Depositor/Borrower/Protocol User
0x62c0c8a0456a977aa007326bb9d8cc1e9d3cc082,0.124987079620082000%,General Depositor/Borrower/Protocol User
0xe15089af07658625e34852ea25b74e290f79d8bd,0.125835429963705000%,General Depositor/Borrower/Protocol User
0x155475353d0a4b0e64ab42c1c22186b2e2560e2c,0.137683909649976000%,General Depositor/Borrower/Protocol User
0x74e874e8a796ea1b968d2b740a328ccb27b41734,0.144482685786172000%,General Depositor/Borrower/Protocol User
0x1b2dab8062e1d7ea6d6bff01ae297fede19e3125,0.103400044292800000%,General Depositor/Borrower/Protocol User
0x23b6d8e09cb33b1550de19ac25cc3f41ae4603bb,0.158448107419747000%,General Depositor/Borrower/Protocol User
0x1cba0b01dc6987f755e2023579eda5a3aa71fcdd,0.099000870423171500%,General Depositor/Borrower/Protocol User
0x598ac9f2031997862147d6a0fcd075a5a326d051,0.102446816350663000%,General Depositor/Borrower/Protocol User
0x9ff56083dcc92533c4833998a2bf0878b9a178cb,0.171807159974826000%,General Depositor/Borrower/Protocol User
0x7d0522a27409ad6f6a93ac604da2bfcdf703f5cc,0.107270629737037000%,General Depositor/Borrower/Protocol User
0xa8335707df53fd16769c32d1829c3c4778c78e3a,0.116026822916183000%,General Depositor/Borrower/Protocol User
0x1da14e9cdae510ae75972f5221200fa781fdb4c8,0.081177001275809600%,General Depositor/Borrower/Protocol User
0x1fc34df45170d042538a32c80f401e4199160bba,0.115449589217035000%,General Depositor/Borrower/Protocol User
0x44d2913213a76e42c756c1d1184724d8f6ba4751,0.092615516346445600%,General Depositor/Borrower/Protocol User
0x73913cc0481a59706d1f6183a8a66efd930ee2da,0.067015953590521700%,General Depositor/Borrower/Protocol User
0xe5edfe0e968bf5dad6d023814989b536c0875676,0.209815537565322000%,General Depositor/Borrower/Protocol User
0x385ad4a6504c244fb7a51137509cfa063238e8bd,0.069178563502239400%,General Depositor/Borrower/Protocol User
0x8b9869a87d5d5128eb742fbaed44441e90327e10,0.064390270831566900%,General Depositor/Borrower/Protocol User
