Address,Allocation %,Type,Sum
0xd8531a94100f15af7521a7b6e724ac4959e0a025,10.0000000000000%,Developer,99.99%
,,,
0xa22eb3338dfd69458513a1f6d4742ab29f7ef333,4.0934963799000%,vePRISMA holders,
0x8e27d64063d74c7c2f7c8609e5b6d78d03378d23,2.7952161777000%,vePRISMA holders,
0xc1af7b6e54e5d991cfe8f7494dde81c1b33487ac,1.3084244325000%,vePRISMA holders,
0xf91d92176255b58bb631e36973e44cae271570a5,0.9228934125000%,vePRISMA holders,
0x62bd0dec5a8733a0590891f97e5928b51dccc6dd,0.9139983525000%,vePRISMA holders,
0x42f6e927e8fd5b1992e6d52f62d355e34f659079,0.8479561370400%,vePRISMA holders,
0x4db1361f4cf544f1ec8f224528330c29d13b9c55,0.6381582214500%,vePRISMA holders,
0x699be20b51eb285a1d3b6c552336b9b5a912c310,0.5299318836900%,vePRISMA holders,
0xac060d5334f0d987c591089d707c7d5e1b18acb9,0.5282529305400%,vePRISMA holders,
0x46a83dc1a264bff133db887023d2884167094837,0.4940932785300%,vePRISMA holders,
0x1362d0ddaa44d70cff5bdf462111e92d46f99ebc,0.4723797635100%,vePRISMA holders,
0xd8531a94100f15af7521a7b6e724ac4959e0a025,0.4149575110800%,vePRISMA holders,
0xdbd5e81eb31a210459f5d4c057651ffce5f742aa,0.3077431765200%,vePRISMA holders,
0x7a16ff8270133f063aab6c9977183d9e72835428,0.3070313498700%,vePRISMA holders,
0xd09f16830172e6073e8e5ee5053f35010f1c7d7a,0.2919837485700%,vePRISMA holders,
0x5a52b3a72bdaa5c474f6ba45f2909ef692866676,0.2904037128000%,vePRISMA holders,
0xea9f2e31ad16636f4e1af0012db569900401248a,0.2749124673900%,vePRISMA holders,
0x9b44473e223f8a3c047ad86f387b80402536b029,0.2460327772500%,vePRISMA holders,
0x52f30c782d029a8d0839c0bcc0f28de3b7774f17,0.2312257671900%,vePRISMA holders,
0xf89501b77b2fa6329f94f5a05fe84cebb5c8b1a0,0.2094909554700%,vePRISMA holders,
0x6f3a86a0fd7aafa0b679d4dac8ea7dfccce383ab,0.1839996981000%,vePRISMA holders,
0x344d9c4f488bb5519d390304457d64034618145c,0.1573580577600%,vePRISMA holders,
0x9dc3e0fc228c2455773e70ee9e987ae2a6fbc07d,0.1563342811200%,vePRISMA holders,
0xf4dfcd61c36fc3ac374e52206c43253e14c2ffe2,0.1509981584400%,vePRISMA holders,
0x425d16b0e08a28a3ff9e4404ae99d78c0a076c5a,0.1490757766200%,vePRISMA holders,
0x40093c0156cd8d1daefb5a5465d17fcc6467aa31,0.1440002699100%,vePRISMA holders,
0x4d4902bd7e080159964f46b10feeb6482d148e5a,0.1386584072100%,vePRISMA holders,
0x13f210c8baf5f5dbaff3e917e2e5a49e73bbaf12,0.1018846042200%,vePRISMA holders,
0x5f94dd661a351738f44de2e239a8bf1b8a602a85,0.0945839627100%,vePRISMA holders,
0x5794cfe09c6e84f299d891431988b4a08bd365b4,0.0945797229900%,vePRISMA holders,
0xe4353c3d60162580dd4f5418566ba19bf855d154,0.0878519737530%,vePRISMA holders,
0x5a14bd3f2bf84c3690d653f1d40cfb7a8a9b3c26,0.0801723937770%,vePRISMA holders,
0x97b418f3f1abe6810bed881cfc298491f4b93bf6,0.0779532599520%,vePRISMA holders,
0xade9e51c9e23d64e538a7a38656b78ab6bcc349e,0.0765200510100%,vePRISMA holders,
0xff2c1a69a7d54adc3b872fa2f6b3d2eb2421d031,0.0757027517490%,vePRISMA holders,
0xb335312edfc1628ec20973ed04c19dbeef909966,0.0756095418000%,vePRISMA holders,
0x74926a23b2eabd0bdf34f5da3b6687a48b45e0db,0.0681801088770%,vePRISMA holders,
0x32d03db62e464c9168e41028ffa6e9a05d8c6451,0.0669834470880%,vePRISMA holders,
0xe75c6d867f658e534450e0595dd0eb4fcc7a4060,0.0633815903250%,vePRISMA holders,
0x608f6a227ffd3b2d4cb04961e47944203d68bbb3,0.0574001077320%,vePRISMA holders,
0x20eadfcaf91bd98674ff8fc341d148e1731576a4,0.0556551118440%,vePRISMA holders,
0x5e5e9207e58c16ad48018781a35f9ed116277fe7,0.0545296783680%,vePRISMA holders,
0x8d9004e297950cac958729153fd7bb707d691338,0.0536845270140%,vePRISMA holders,
0x7348679dd2e27a4b2fc5e861074129bc9219d078,0.0472898614860%,vePRISMA holders,
0xaef6ea60f6443bad046e825c1d2b0c0b5ebc1f16,0.0452316762630%,vePRISMA holders,
0xc162977c10827ba32c818682188725043f9d4af7,0.0382336573320%,vePRISMA holders,
0xc90725a132e4c2dd0fc036ee9c3d3b1a3c7ee629,0.0375057522180%,vePRISMA holders,
0x2c235260146dc215b99ffdb7752c38bf6272663e,0.0375057522180%,vePRISMA holders,
0x0820bb1d8a4200902cdd064f87607cdf605d75e4,0.0375057522180%,vePRISMA holders,
0x88a946ed378c6579c6bebe9039f9f3e0504b368e,0.0344219314230%,vePRISMA holders,
0x94a468fcb53a043bf5cd95ef21892e02c71134be,0.0339487719030%,vePRISMA holders,
0xe45bfbbce6b346682dbff697b50f691f9e3a05ef,0.0331593247350%,vePRISMA holders,
0x5bff1a68663ff91b0650327d83d4230cd00023ad,0.0322206372900%,vePRISMA holders,
0xb44831a793d4be04c06ad22e3fed000b7406b382,0.0314608685940%,vePRISMA holders,
0xf07a2439296e07bc4320af924e655a01fb69d89c,0.0314129590740%,vePRISMA holders,
0xa3c44dddbb1d9695e158d722694fef352cf5267a,0.0313650169380%,vePRISMA holders,
0x063608d16d09e48e46329d6bf833cd31dc341030,0.0295362364590%,vePRISMA holders,
0xd6089c2500b7f3c18e07c21bd2f0466b25b61039,0.0293986392660%,vePRISMA holders,
0xd9cfab54f1234aeea22b2818ab919866a2809c1c,0.0283739168880%,vePRISMA holders,
0x404787122655080e4aa8c18484c537b69ea8409d,0.0256014916920%,vePRISMA holders,
0x74fd09eb3d5342d9abfccbd5c144e3b0faca5a50,0.0254200290750%,vePRISMA holders,
0xb8dba71e9a9a953a6ef299d0caa8279dd4527332,0.0245723990760%,vePRISMA holders,
0x04b8fbbe534b616d12adc6a918fe4e9420612169,0.0223673869800%,vePRISMA holders,
0xc2028ff0bb395c10eb87890a9d0abcb3e6b99eec,0.0220142458620%,vePRISMA holders,
0xb51074da03c55e79e3526cf6bbf31873443efc63,0.0211989034260%,vePRISMA holders,
0xde414fe1bff028e595e00f2415ba024ca3e15b43,0.0207016097670%,vePRISMA holders,
0x56a201b872b50bbdee0021ed4d1bb36359d291ed,0.0198689168340%,vePRISMA holders,
0x82a3b3274949c050952f8f826b099525f3a4572f,0.0194232832740%,vePRISMA holders,
0x2739112f7cc5b48b15737d964c9e61020055d977,0.0192866971050%,vePRISMA holders,
0x71aca6dcafc4a7a85c998f58c092b53e0ee1e619,0.0173822202360%,vePRISMA holders,
0x9f63d8c42cd762c36bb3a63a13fdc3b7eeefa853,0.0169591227390%,vePRISMA holders,
0xf2c9c2ebaebfc38f76d825b09a91aeec477f4fcf,0.0161656640910%,vePRISMA holders,
0xb3b2266f8ad938e1ebf73495da2ac56aac8ea9cb,0.0156964508280%,vePRISMA holders,
0xf5f1bd0e5bc743cf540b6305ecdf41a48347cb96,0.0156713382810%,vePRISMA holders,
0xfb2a4e6e2aa6fb965acbcf59e4cc51a751642dcd,0.0151820023590%,vePRISMA holders,
0xe6e0d89feacff96ec7a53b09021c68286a592676,0.0150272177490%,vePRISMA holders,
0x1c7409c299ff49c9869cfe7c4a9f006346a539e4,0.0147606986160%,vePRISMA holders,
0x794783dcfcac8c1944727057a3208d8f8bb91506,0.0144938859570%,vePRISMA holders,
0x1f00b89f92990b8b3a1708a59e11397dc5af0364,0.0142237467000%,vePRISMA holders,
0xe5350e927b904fdb4d2af55c566e269bb3df1941,0.0134180579160%,vePRISMA holders,
0x57d7e9853072ddf1e288fa4d7ee52412bfbb8347,0.0131591703780%,vePRISMA holders,
0xd5bb24152217bea7a617525ddfa64ea3b41b9c0a,0.0113100389550%,vePRISMA holders,
0x5a529aab8c082fc535280be71050b9a6b7c88373,0.0110234297790%,vePRISMA holders,
0x31d3fa1131e80cf187faf89b0ff69ece2720176b,0.0108194963310%,vePRISMA holders,
0xdb29ec3fb265a03943bfedbdf4ee9d9867b368e8,0.0107317328670%,vePRISMA holders,
0x617d08085f68070f00fe4945c1e57013f7600b12,0.0106231944870%,vePRISMA holders,
0xea125e2e69bcea66942ae1824b4eb6822c278f50,0.0105994517130%,vePRISMA holders,
0x9636842fb5b6c46a7b5d6ce8bf61b4ff6248926c,0.0103874626800%,vePRISMA holders,
0x54dec492c2fdb485f8e8e2add1ebc3a4b614f54f,0.0101102462460%,vePRISMA holders,
0xccf6c29d87eb2c0bafede74f5df35f84541f4549,0.0100953744030%,vePRISMA holders,
0x09cf50574504d9dcf127e848a6058e8e0bb814aa,0.0098939522070%,vePRISMA holders,
0x260d2a30680062e7c0231311c6b46616c841c712,0.0096714615600%,vePRISMA holders,
0xd71fa85cfba365b1c9ff9d0af229d0a3db03f070,0.0096457293540%,vePRISMA holders,
0x058de0bd43d02f06addfdb0390cff26a45f7d4af,0.0093765032820%,vePRISMA holders,
0xf14ed610543c877f73626749afcf29d24a33ff0e,0.0093764380500%,vePRISMA holders,
0xb8bd8f4c420ada4d999f2619503d5aaa139ed7c2,0.0092749442310%,vePRISMA holders,
0x60a2d9981154c54b8362e959ba37f5db2e24e950,0.0089035394382%,vePRISMA holders,
0x5c91c5d4d94801298ba5a47b63d6e0b5fc5200f1,0.0087962729868%,vePRISMA holders,
0x0b9bdb591c62b8aa65aaf1688eebd8d7ea1a1c53,0.0087070092966%,vePRISMA holders,
0x4621867fc6fda09eafd90aaf5fe56ac75dd936d9,0.0086780157201%,vePRISMA holders,
0x61fdff48d154c6079e43cbf14027057b367cb3b2,0.0086644158075%,vePRISMA holders,
0x59b40b338eb5958b130a0331bb5877266a8df9f8,0.0085274708922%,vePRISMA holders,
0x116e91d0dceb6e3efc2e06918c9e85417b3a7008,0.0082896844230%,vePRISMA holders,
0xd76f1c2764a5f22548713cde767b5b752170d6d7,0.0082295121510%,vePRISMA holders,
0xfe51263bd0d075dc5441e89ecd1f6d63ff41e02e,0.0081641216871%,vePRISMA holders,
0x8e5a521a7897574e0e4fb1d80b7951802985b2e2,0.0079903559061%,vePRISMA holders,
0xb0fa55b366676bb1962c70fa66b10aa48c04a304,0.0076311812547%,vePRISMA holders,
0x161b6976dc49155dbb7c56195736395a23e4a57b,0.0073696194000%,vePRISMA holders,
0x39415255619783a2e71fcf7d8f708a951d92e1b6,0.0071703170946%,vePRISMA holders,
0xebc48e8db0d9203db04512ec4a8030cf2a43c384,0.0071384861259%,vePRISMA holders,
0x7baf965eca4afff0f9c92fd26ce8e0447e30b86f,0.0070174240803%,vePRISMA holders,
0x77cad933774fcb8f66c6fb34a382e15bb88857fe,0.0069159628674%,vePRISMA holders,
0x138ba9b9143eb6e8ffc9aa1a89d8bec5aa1d2a7d,0.0068804791641%,vePRISMA holders,
0x2a48d3be1b3603af83ff5f72df5b14b8cfd37164,0.0065446885341%,vePRISMA holders,
0x78be8dd29b176c43dfd10eb40d98ff5e88851ee6,0.0063125116209%,vePRISMA holders,
0x284b3e3b630a3371693c988f21be147ff60c9411,0.0062535134421%,vePRISMA holders,
0xc20238592961060f2ed79ed951dfe107e20330b5,0.0060423071364%,vePRISMA holders,
0xbfc8780e3a5fe21c5e206b769c8d4aa96cddc5bd,0.0059356929591%,vePRISMA holders,
0x6dc36ccbdcdd8b863ed7ddecf621e9e0d2deed28,0.0058704655635%,vePRISMA holders,
0x1908a3232eed9186b4a5b666075711d2db0200e5,0.0057012330870%,vePRISMA holders,
0x9c02ac8a9e766a6e4f6987f5ea6aa91d70e932b9,0.0053040634785%,vePRISMA holders,
0x8a8e9730646efd1e57453054f1a6366897d7cb1c,0.0052618939668%,vePRISMA holders,
0xdeccf3122d665f0e912bac602f0e28c0ae0ea8d2,0.0052406950635%,vePRISMA holders,
0xe116d5f4ccd817e93a4827b4b1166fb3fa61bec5,0.0051257317797%,vePRISMA holders,
0xecaa7767e6e024df40d5fcd283cdab33af2a5ae7,0.0050134102056%,vePRISMA holders,
0x23cef0b3fa3f1754f6f32cc113acdd639edea8ed,0.0049844492415%,vePRISMA holders,
