Address,Allocation %,Type,Sum
0x3f22fc93143790a1bd11c37c65a0a0f7e7875ea2,1.38057860896363%,user,100.00%
0x4182a46c61c3ee40e61304f8b419f813eeced3b4,0.55239698900727%,user,
0x4d3aaafa919f18883d16a9a9d1ead0cc55fa9a5a,0.42155513480121%,user,
0x796b157c2a4f01663934b04cc11e61a920711d32,0.36753393149969%,user,
0xfdd6cc8f6849e82f5e0102057fa74941024d11b6,0.34185499126383%,user,
0x7e9f74ecfa5054b8672db762a2cb977379f33628,0.33306316213749%,user,
0x0fbc63632cb41a7c4242ca738b7532d9c1065cc3,0.31681624621390%,user,
0xe5442ae87e0fef3f7cc43e507adf786c311a0529,0.27619849450364%,user,
0x0da7e3de48eabfa788f1b931f9305c19601a78a0,0.26807457464055%,user,
0xe84b59500c00fe0890292cf3aa64ab45b18d7bb2,0.26807457464055%,user,
0x9355e3fa0d4b14a14ca160497e20438249b7c360,0.26522279608502%,user,
0x8d689e03721df8fcfa5a5f8d98ae71bfcd43d3f1,0.26347219020140%,user,
0x89bc08ba00f135d608bc335f6b33d7a9abcc98af,0.24612410160590%,user,
0x2befaeaa756c700d11ee11d675e4f60a136bd330,0.23558074279337%,user,
0x188b264aa1456b869c3a92eeed32117ebb835f47,0.23040560075641%,user,
0x076319f1d1e960f4f087c58cde74a147f51b6f57,0.22745774673286%,user,
0x35f0686c63f50707ea3b5bace186938e4e19f03a,0.21547695111035%,user,
0x7e6601a0cb2b5ae129c09661846a053ea07223fb,0.21450511079923%,user,
0xfc3e9a8d5090357d8b25013da0417314e80b01d4,0.20199497630004%,user,
0xcb450c8e269b8b96c944bc5b19c51100bdb4139b,0.19769559910618%,user,
0x25cf64beb03949c6283e719a67434ec64a564534,0.19043266324496%,user,
0xb8082130a600ee4e174f9c95f48cca18c7498097,0.18683999502259%,user,
0x201eec84a2992685b689849844b3bcfba3e56e85,0.18289628182092%,user,
0x59794536300ef36420c9db14a91ca77eb4e4bbb3,0.17286840484642%,user,
0x3996f37cb19ce18343ab0e4cde6455f20cfcd3ea,0.17059307909900%,user,
0x4a7c6899cdcb379e284fbfd045462e751da4c7ce,0.16686553570037%,user,
0x680a0ca70fe188f9897b835b2dac1d3b73cfaa43,0.16247008303849%,user,
0xccdead94e8cf17de32044d9701c4f5668ad0bef9,0.16247008303849%,user,
0x82e4d78c6c62d461251fa5a1d4deb9f0fe378e30,0.15632310069042%,user,
0x4b54caf0caaa938a1d11c07927ec4c45a3948eb9,0.15458173283257%,user,
0x00bab174e556e4e89c8335eb0773fc34d9ff66da,0.15434616317541%,user,
0xdc3b2dce95ebd1e7c18eaa37780d10d240146660,0.15269163275981%,user,
0xcf6b8a78f5ddf39312d98aa138ea2a29e5ad851f,0.15061861977678%,user,
0xa0fcd6df8a83b449c2fc6cb829318282f95a288e,0.14821858068145%,user,
0xada5542b0da23a1a3f3ee7137aa1a25095b15388,0.14821858068145%,user,
0xfe92a7e528e3a957a8979d077f1981ebfb62722c,0.12997532738873%,user,
0x878d7567017fdd2b59d97f00cabc598ea5b5a1a2,0.12743671790684%,user,
0x34b14e83d7da6c6a30c46bf89ff93b066e139154,0.12185233132823%,user,
0x4b94b38bec611a2c93188949f017806c22097e9f,0.12185233132823%,user,
0x9a773a0c1710a5afd9d25eb5b0d2dca2239663e6,0.12185233132823%,user,
0xd663712098d4343ab98762d0baec34dfe5feedb7,0.12141906791956%,user,
0x1d360d343a2873a75e4f6def615098ec8fa88ec5,0.12120289811652%,user,
0xdbdf5542eaa6af219ddc76794647dab8a1cb9502,0.11445082508044%,user,
0x54c21b7d20836cfcfe3f6ef0d79197fdcf799585,0.11417091289958%,user,
0xa3182a14fbb84935ddd96e79128a27d817029a36,0.11357506023734%,user,
0x020cf21cb58942e2c2fa355c4646d61b576e19c0,0.10912602702599%,user,
0xa01f3ba860ee63acecf8a362d2a4b4307e4274b7,0.10722114611200%,user,
0xb250a2e05e80dce25b94e11be39f7608b27a6148,0.10560541540463%,user,
0xbcb5dc467d09d518a0eba0bd968a3ecfb37768c8,0.10560541540463%,user,
0x1f2429fb6ea7923d447223cd4177b3be487a7c47,0.10538924560159%,user,
0x7d551b4aa5938d18be5c5e9fde7fece9566611ba,0.10275271304653%,user,
0xd13904284752e4a21f3118e1de3166f7861f71c8,0.10209404180905%,user,
0x81c288d8e25d6a1af714a3fadecaa90b0b5936c0,0.10083951790934%,user,
0x59f3eb596b0af6ebb197362c5f191a9abadd4f7b,0.09823716604962%,user,
0x56a355dc85c5a11aa093a1a28494b01e5295f54a,0.09748149554155%,user,
0x7822a2151ad319040913d0ea4b93c64c0b49bf1b,0.09748149554155%,user,
0xad87b447586ccc8a09f20ba88ee73967ebb34a5a,0.09748149554155%,user,
0xbac304b8ae6ce953d18fc75cf09dda7b6eb29a6f,0.09748149554155%,user,
0x38d2276032593c7cc6d0ec58aff942c0fd706ce1,0.09660665450103%,user,
0xf50c6bbf8b048e91a41a999dfa4492f0d7b09cfe,0.09660665450103%,user,
0x1a5f5821f7594f9757123e133c06cdb686ef45a4,0.09362461978213%,user,
0x14929281cb3dc7f7e47c95a977c05ed4b85489d0,0.09271559804625%,user,
0x81c3e8b7cb0c8fde07d807138116982a9e581c39,0.09134467502182%,user,
0xdc2ac5d6df6dc7bea18a71b8da7bbd69d479ef72,0.09073866053124%,user,
0x67a402bf6a80ebab97f08bc233335581c311e07b,0.08946381297483%,user,
0x94dfce828c3daaf6492f1b6f66f9a1825254d24b,0.08935849948104%,user,
