Address,Allocation %,Type ,Sum
0x8949d9694b567022E21c785D199D407d50601388,10.0000000000%,Dev,100.00%
0x0ff5b06c73374687259e98f8c5415afa89351511,0.7929343758%,Token Holder,
0x0dbff72f35d902bcc9db6d5ad12546e6e0d7d911,0.7032981936%,Token Holder,
0xbacaeee68f8f30faf9bd229731a9dc89f5e0b707,0.7023022377%,Token Holder,
0x88d34e94b385abe31e295010baee98de3120a12d,0.6128960292%,Token Holder,
0x4401fe38292256a2fc3b2054c44a2fae12b68ac1,0.3677431404%,Token Holder,
0x7b9e0e5c8ad006886213505c6df146410f682407,0.3497337966%,Token Holder,
0x36a6c64401fed5a0bc1e4ab63005ade1d5a919f6,0.3394385787%,Token Holder,
0xa342b52ec9c386a530c0e85937731415581bd38c,0.3151774119%,Token Holder,
0xd8457e98d03771b79a8f49a17d83d891583fb4ad,0.3032303106%,Token Holder,
0xb1c46f40fcb0fbaf55dbd78f5ee17c5b124cc286,0.2849966536%,Token Holder,
0x26c51965f4b5f172f98c7d3f68a55d00076e8653,0.2836502142%,Token Holder,
0x3ff21a30f08b38ff27a7a3a432ae45024b2506a5,0.2762770157%,Token Holder,
0x2010d5e010b87da015f4b6fda31e161d8cd837cf,0.2758032132%,Token Holder,
0xb4242a99848dbd06547bff4ab1cdc4f74ee66ff2,0.2629746239%,Token Holder,
0xa25bc30badf37cadcf9f62a99c8c115d9c2249c3,0.2382249026%,Token Holder,
0xd707f486c43fc83be0f27b9a4fe2333674c6f8be,0.2321587941%,Token Holder,
0x09389b9d5fa2186dee3928f77ba2a0b7306ee40e,0.2094044117%,Token Holder,
0x2b79e2aeee777905799b7bd300d30028a3981adb,0.2084886964%,Token Holder,
0xaaf025ae754b016121571340c809c4a7c7aea1cd,0.1922701424%,Token Holder,
0xc5fd8f3fa33fc67a49293c3150798c011487a4a9,0.1869332889%,Token Holder,
0x9efed471ab0cc93b439f29f0e9dd219a859ceaed,0.1614357053%,Token Holder,
0x10abf8cc795f7959182e0326e40304d026640ef6,0.1608249920%,Token Holder,
0x18e7878128e14116eeb62c6ef41a6180c709f7a2,0.1549450654%,Token Holder,
0x7a8624dee68078c62ff568c7e5c395d94ee56401,0.1530278806%,Token Holder,
0x238961704c55ab869e09cfe0be2991ea519b83bd,0.1496306164%,Token Holder,
0xcf22e7586e6ae25cd1e7162ff6479d39a5d4fd8c,0.1306455932%,Token Holder,
0x00f243919a3986c916a108fa799fb618bb25da16,0.1305507768%,Token Holder,
0x41515e3aef4fcd84a348ce65f9caefd8ec10b70c,0.1225794510%,Token Holder,
0xa703d94d71146acfffcfdc65d0359510e84beb66,0.1225792059%,Token Holder,
0x0206a769cdd1763797ee6ef9eb4138fcae4b43ae,0.1179826082%,Token Holder,
0x5357f78c79986948956ece7b8f43953655feaa0e,0.1145863545%,Token Holder,
0xc5f40dbed77bf37f3d68fd5b0fc8ae0becaf78cc,0.1131054332%,Token Holder,
0x3cb093c4ffca963f33fd0d5c97ea4d1f55932a0b,0.1104979380%,Token Holder,
0xf2b15283d7331e5cd10bb8e2a9c2440e10925121,0.1093727674%,Token Holder,
0x2911a6dda96494d8929b38abf8a9862ea901e14a,0.1093301098%,Token Holder,
0x43cc0d68c7c7a2a9ca4248593b0ec664924d3334,0.1008615415%,Token Holder,
0x6953865b862c095459b5bc5f50468f4e83e6b72b,0.0999786648%,Token Holder,
0x2dbaa8a8e6f351fbee42b1e21b9e8beca9c98e64,0.0961535654%,Token Holder,
0x8e663e118225384ddc319ddbee2aad136f732687,0.0945882442%,Token Holder,
0xdece55fb56e80ee51961755536765e580ff4ce49,0.0932528204%,Token Holder,
0x14fccea8d481b997662a22368996402452b4765b,0.0923521200%,Token Holder,
0x08fb1e16a98ae9f56072815817f98690b7dfc717,0.0900239087%,Token Holder,
0x5ae60432076d1885aa082546cae5d0e4cf0e9b1b,0.0864865492%,Token Holder,
0x70a6d8799f02df71d7cc77c3246095325f475a6d,0.0859506377%,Token Holder,
0x0d024684cefbe514ae867b413f671b31bed1fa5c,0.0830533571%,Token Holder,
0x0c7f0857dd1b153b38c42f4fc0eaf73f7b8e6fe0,0.0820839716%,Token Holder,
0xdb56f189fbfeb5586ed7d4fc76752b3f0cbf6f2a,0.0797912180%,Token Holder,
0x9814b63b084076578b30c6491d625f15d70f731f,0.0785913667%,Token Holder,
0xa398c09402744324af39e5f4fe536d9cbfa6118f,0.0778919026%,Token Holder,
0x895ff9a08dca3d38774d12aab7db8c707bffe528,0.0775555599%,Token Holder,
0x70a69021cbf9f32fd333b65c7c4787500dc40764,0.0767096811%,Token Holder,
0x811ab00b7e075c8efe9dc741f2669d8a11d93de4,0.0766493555%,Token Holder,
0xc7a1b0e7d743fd4a80af02b5cc1ebf53ae7e999c,0.0766135359%,Token Holder,
0x7891223aadd843f0b284ceab9b56bee0ca0e4305,0.0766135359%,Token Holder,
0x4194f9e4641feae0377979f8f19f2beaa5d6b906,0.0766135359%,Token Holder,
0x223dcc16bcaba54d50cd871f18c4b52e9f241e35,0.0766135359%,Token Holder,
0xadece72114fc46287f7e04dc20001d0209f1747e,0.0766135359%,Token Holder,
0x760e2bbb877faa3f65e3ccc881d6c8d7687bf426,0.0766135359%,Token Holder,
0x227a1a307c732a0df04236193ac94821d2ffc5db,0.0766135359%,Token Holder,
0xcf4c6496e8d3b7aa4ce89fb3eea22da6782e7ae2,0.0766135359%,Token Holder,
0x4d15fa3f7cb27544385ffed4374b2319438b4708,0.0766135359%,Token Holder,
0xffa6e203f25f4674570466700c2ace3b97b8c1e0,0.0766135359%,Token Holder,
0x05e2f6fc7b4fec83c1a771f7223ab86ec8e33e88,0.0766135359%,Token Holder,
0x1f4628e652405e27748a184c134c700284816851,0.0766135359%,Token Holder,
0xe05ddcf3af182610631fe77ab3e81d87a5ce971c,0.0766135359%,Token Holder,
0x26bd1c320950ae13304e2e28eaf46d1828b67a74,0.0766135359%,Token Holder,
0x2f1351f948d610d6d4e064543b52291443af08cd,0.0766135359%,Token Holder,
0xf6cd7549c28cd37ee3b9972b3ab2fe6dbccb82ce,0.0766135359%,Token Holder,
0xe2879255cd07711cc9857dfebd281ab8d597a547,0.0766135359%,Token Holder,
0x657a34a4eaa20c4bc42d9265d2f1adfbaf403275,0.0766135359%,Token Holder,
0x79bdab6cef505061147a5b1dbc38b879fb9a37e8,0.0766135359%,Token Holder,
0x8b047a6118667a294dd02f4f9ce4fcdcf0c8e999,0.0766135359%,Token Holder,
0x5d3570d850c73aab0f2792703f2bc7349271a947,0.0766135359%,Token Holder,
0xc9a7982dba0a06c3ed8686bc298f303b3e59f43f,0.0766135359%,Token Holder,
0xd47fbd5b30ac5f0999e65d8ee372b9e24c4a2576,0.0766135359%,Token Holder,
0x52f5beaf51695d3ce198aa24aa9e1ea18b5b6be9,0.0766135359%,Token Holder,
0x19e97aadc3dd84c0654e63e15a5c1a272cbb26ee,0.0766135359%,Token Holder,
0xf44a6a216d7319decd95b8122599b0b9451ab508,0.0763751807%,Token Holder,
0x96d9c9b41294b9750d98a9d7c35c634127cf6dfe,0.0761311624%,Token Holder,
0x2031179fe3e5664e37ead672fb837f7bd3da7264,0.0744946388%,Token Holder,
0x037c117444e58676dda698bf3bef636276b59271,0.0741223733%,Token Holder,
0xfa6a30186acd66817f09c00b1b4bcdcb39e95dad,0.0739186014%,Token Holder,
0x0772f014009162efb833ef34d3ea3f243fc735ba,0.0736378031%,Token Holder,
0x94227d9c70dc8dabd9d3beee120f45ff17dd90e0,0.0723846971%,Token Holder,
0x58d0ca1fc60a80a504499812ff6a840b41269186,0.0722081396%,Token Holder,
0xdf65cafea3dcdf37fd303e1c8dd4fb82ef77e03c,0.0715333173%,Token Holder,
0x9795ded7c2881648c56f18912fa96b992df629e2,0.0704791013%,Token Holder,
0xfa87374753e528b4dea388225e5723f42a2db8bc,0.0694863572%,Token Holder,
0x4553ed5d8d3731e629f67bd86abd021175f31848,0.0693798305%,Token Holder,
0x88d09f2deaa4185f311d1e28fad9a119ad203324,0.0683091334%,Token Holder,
0x3693e21731d691363f4f94577f15e08721a122a3,0.0673928036%,Token Holder,
0xf1d5c5949ddd547f1d5ec92ef313bb07387d3bc8,0.0655876283%,Token Holder,
0x0d0f1b3898edb4414da6d9e93ffbf1f67dabd7c7,0.0654609663%,Token Holder,
0x286e3b7623fc30b36f9a606599223b38e886cda8,0.0638177990%,Token Holder,
0xb1004094ee6840d2edd8df19f693e0c24c954a7b,0.0637411871%,Token Holder,
0x204094e148431b85a68e39fb1ad02d27939d465c,0.0630372938%,Token Holder,
0x996f02ad954fa897465d34a2ea17f0f78ab6e74c,0.0627968369%,Token Holder,
0xd5b814e3b6154af5538b32961b9fbd916e1d9c4e,0.0597281124%,Token Holder,
0x58edf78281334335effa23101bbe3371b6a36a51,0.0592417103%,Token Holder,
0xf38d5513d8d491fb70086e4fbd85c5507b92e83e,0.0578349699%,Token Holder,
0xa897d3e42e95bc45d562d6730a761d6aa4f79701,0.0556346871%,Token Holder,
0xfc06b7ab1e2f2b1f186c4b5aad4fe3648055df01,0.0552219641%,Token Holder,
0xca426d388b16390bf1b5935d97e799dc723b5619,0.0551606426%,Token Holder,
0xb1f117744118f280fe7a9245e500cdd249bb6cd0,0.0548752766%,Token Holder,
0xc3e48c502ae28ce961d88dbe49c18ef674232c5a,0.0539027997%,Token Holder,
0xd6118157eaa0c510279c77b95eef1c35a1fac9dd,0.0536284026%,Token Holder,
0xbc25be47e1cd25e0fe29d7caa52614dbbc64d8b2,0.0531659851%,Token Holder,
0xbef94899d7d09724b7509692c35d3442e47f2d19,0.0513124217%,Token Holder,
0x7674c0ad7cc25b1003104399f1da46ebdef787d5,0.0509439180%,Token Holder,
0x79d5d25e57070a96f7c59bc91ba09e1672949e9e,0.0498373049%,Token Holder,
0xa28b0c89d48d6d6eee1d3025c57c82269477eb4c,0.0496434905%,Token Holder,
0xca8e10f1aa649f6eae5ac95fe18a84290815d86c,0.0491478260%,Token Holder,
0x1abf55b4a89802358f8b8387cbd515bf9f2b5b3c,0.0481541566%,Token Holder,
0x29008c399a662008601b785768173a06798762a1,0.0478825023%,Token Holder,
0x62719cc0d8f48c501f0f8325b9ff50bc7a8be659,0.0476442697%,Token Holder,
0x515a99b93a997db63f410c45f47a0d1957409c5a,0.0473698914%,Token Holder,
0x348342fbd0f52bdbf0545d55d5afe30ed259cde8,0.0464212356%,Token Holder,
0x5a754780f466c237ac1fc5838782296b4a38ee18,0.0460849112%,Token Holder,
0x53b380ebefb1bb44b4b6a7bcf97009f2b73d184c,0.0460143137%,Token Holder,
0x773f303fdf2b44ade231356c8ce4ce2e42429556,0.0459672022%,Token Holder,
0x7f116d23d5090a09102322bb7f6e37904f1443c2,0.0459524325%,Token Holder,
0x502de96dee910e2cf70ef832f7697465f2ca6293,0.0449574713%,Token Holder,
0x5f6f3c3a72bb61906f174c1a9802129ab52995eb,0.0445350389%,Token Holder,
0x2a26c69c232dac8fa017ab413cec02db61d74c76,0.0443999045%,Token Holder,
0xa17c919f7f7963d03e80bec94acefd21ba72095e,0.0440738992%,Token Holder,
0x218cc02d5c5ba213f5639eb686b44798009a02ea,0.0439249839%,Token Holder,
0x5dc03db8ab87eb4c0e81cc9cf16883355de1a24d,0.0432696016%,Token Holder,
0xeafd99fc43ee3457405309ec3e4d1809e0e5b8d8,0.0421326335%,Token Holder,
0xb84215f6e6185228948a84e735f2b2acb710d4f0,0.0418444774%,Token Holder,
0x08073af25755d02dbb19d5f464e02cdc0bc6c226,0.0417422341%,Token Holder,
0x99335bfc5427fe60957cfee8eb8cb8d85f4e93b7,0.0417125852%,Token Holder,
0xe651368cd0a995386133c6fae610021de0f03b31,0.0416820930%,Token Holder,
0xa74a726232d4ec276d483a4524c38c07fdd7ee76,0.0415027593%,Token Holder,
0x63493d9af58d9dd621cf839fd1a2f567665ae1f0,0.0413138548%,Token Holder,
0xebe4086dc8ff6eef19a20e9538388b5329af6e21,0.0409050311%,Token Holder,
0x9103ca6100e005ac5ca2c7c82912ac493bff3b93,0.0406212701%,Token Holder,
0x9ae219d2b2e419dec14b294d66eb7582cbd49189,0.0404237257%,Token Holder,
0x2c26af98e8c037ac429a004e70ddbc1359f140c9,0.0402679586%,Token Holder,
0x68c0ae8b76f09c6c1804201140760583bc71b740,0.0401145354%,Token Holder,
0x7a98ec2bf6352191aef5363ab2c34cd53ad63d71,0.0400922861%,Token Holder,
0x17bac9658c8a8dd2712b9089125f4fe4e91a3085,0.0396837416%,Token Holder,
0x067f42f1f713aa64a000d51b794db4bad04f74b6,0.0393801021%,Token Holder,
0x8c8c25bed40ccfe027568ede745f7fcb1ba57f96,0.0387744996%,Token Holder,
0x3d40c52e57cb2c89df0b221f0d2758385e802a7e,0.0382029823%,Token Holder,
0x213741b1bf77958f7d4f761b099ee8b58bed0e00,0.0374969791%,Token Holder,
0x99e954b314339d1cf9f05a68b2a0721a8d5da5c2,0.0373265489%,Token Holder,
0x241256ed0e46da679736bdb4d52a661a2494a32e,0.0370345031%,Token Holder,
0x10fcffc793b234492f7cb3c4c3aab1b3ab4ccd5e,0.0369724125%,Token Holder,
0x04f752f9716c94ef473c8fbc86f702408eeb9204,0.0367737618%,Token Holder,
0x07cc7646e491ee7e7d6c5c359e2d32ec1069f2e7,0.0367430487%,Token Holder,
0x46ccd67e6cd3c6624fbefd6c2dd1fd6592631537,0.0366511826%,Token Holder,
0x452a73cc3fd4d9cf872597f8295ba27219128b75,0.0363609823%,Token Holder,
0xbe51376e4e88adaa44933920b39448a8be24728b,0.0361909461%,Token Holder,
0xb66585bd482a03a524154a7cc637fd5b0323bd50,0.0359773340%,Token Holder,
0x72c2fc6963cd8e7577ce3a125afd1153c88ed7b5,0.0356061948%,Token Holder,
0x956428451ee142c6f03afb4739ccda0e372b54c5,0.0352415523%,Token Holder,
0x1820a618f286af8c42d6340885886b63656c8f79,0.0352415217%,Token Holder,
0x7fa5f334e9733bc7f56354cecce1f398526ff8e4,0.0351592052%,Token Holder,
0xaf2fc476126da6d04d171970af71ec49aa750696,0.0351120179%,Token Holder,
0x4c7d4492944267df74492692c5c2703648622182,0.0350343015%,Token Holder,
0x72bc6ffc27668f73a6b4334af70cb8e95acb6928,0.0348175968%,Token Holder,
0xdfbb542c6b1c6b9399ebb1582710bbd9a152123f,0.0339171674%,Token Holder,
0x42353e768f6e02abe97d925c86f9a03b3345c2d4,0.0334922424%,Token Holder,
0xa9e4497f3e5a567972970a91dbe7ed9f1534833f,0.0332819654%,Token Holder,
0x4cb35d01e2283a005698e808c825bd0fd6c8ec8e,0.0332391602%,Token Holder,
0x34e3fb81c25bb710392f91acca2d05e3b647e0fd,0.0329830071%,Token Holder,
0x58f612ed320360836701cc0e2687b5a6f1a7c9fe,0.0328723261%,Token Holder,
0x90843d6ad4afc248a03d4f424372decdfb47ca05,0.0326202573%,Token Holder,
0xb1b2d032aa2f52347fbcfd08e5c3cc55216e8404,0.0325770774%,Token Holder,
0x543c87973959133ddbb2982fd9c83045ab00ced2,0.0325432316%,Token Holder,
0xf65a3dff1d6a960686726ace3f5c44ba34e4c179,0.0322975470%,Token Holder,
0x2c87e87db90ee766500b2e1ab167ec97d6cff05a,0.0321824657%,Token Holder,
0x4ba268dc24a63af1818e83fecc9dddb156ec194b,0.0320596704%,Token Holder,
0x446e4eddd21132b8ac477e7d5f278a627191c332,0.0319487684%,Token Holder,
0x44337d095fb0d4e8b0fde937dd56a1ba6a835eee,0.0318260653%,Token Holder,
0xbc4234df1ac483e1512d89db821973509a95ae76,0.0317270533%,Token Holder,
0x1ac0e125b62547d4e16249588e433e840bc4b708,0.0316921948%,Token Holder,
0x7ea6838bb89c6e2543b28f0319b1d94d93f9c48d,0.0314161734%,Token Holder,
0x25a15bf787d56ef46e5d61839de0347be5ce3580,0.0313716490%,Token Holder,
