Address,Allocation %,Type ,Sum
0xAd95A5fE898679B927C266eB2eDfAbC7fe268C27,10%,dev,100%
0x55c1568efd6d19edec498330952fa7e582fea20a,0.16726833,aveQI user,
0xc06320d9028f851c6ce46e43f04aff0a426f446c,0.12833388,aveQI user,
0x044325aCCB1A131cD00B4Cef674E9a8d9b60ad72,0.11558826,aveQI user,
0x680963fe5e628c5486C3A282ca12Aa575820e446,0.09937953,aveQI user,
0x5e3E4ED40E754254095F091aA51871D125F4380a,0.07886592,aveQI user,
0x4f83c87083ccceb90bc105040169f7a0bb74911a,0.06379074,aveQI user,
0x9d3c8a651e48e4D89ca5D1553035A4BE3c17cFe6,0.03410523,aveQI user,
0xdb9d281c3d29baa9587f5dac99dd982156913913,0.01898658,aveQI user,
0x066188948681d38f88441a80e3823dd41155211c,0.01866267,aveQI user,
0xe70981f2aeb601a12001465c7a5e52aa76adcbec,0.01865043,aveQI user,
0x5d22db0ddc365dbdc0983441e2906d51855a142d,0.01631844,aveQI user,
0x312f81f9a90427f9967f476712795d55e3f89e9c,0.01492146,aveQI user,
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,0.01032336,aveQI user,
0x0f89e880c863d5ad296df064f65fc78f7108ffc8,0.00863028,aveQI user,
0x6523a02072d736535148aa67db26f80c2e456547,0.00646434,aveQI user,
0xdfc423a316b2f4ee73632f7c2edf2f6328537e8b,0.00554301,aveQI user,
0x9a20a5b173b938f846b00875833af437dd7a1716,0.00398367,aveQI user,
0x80b3153f39aeec1ef68adc038913698e103e6e1d,0.00393039,aveQI user,
0x329c54289ff5d6b7b7dae13592c6b1eda1543ed4,0.00295668,aveQI user,
0x94a468fcb53a043bf5cd95ef21892e02c71134be,0.00287757,aveQI user,
0xc1d90c0a2d1ab8b58702f2faea4701f00ac505d0,0.00265779,aveQI user,
0xc17e91dd86b427135f2694ed6a8bc86ee9d37c06,0.00255393,aveQI user,
0xcdf46720bdf30d6bd0912162677c865d4344b0ca,0.00229518,aveQI user,
0xa47dc3c86a77a41b9377fc5f6f6edd1d8f380f41,0.00211608,aveQI user,
0xe0a46db77fe3932a901214bfa0a1389d3e996332,0.00211086,aveQI user,
0x7da8e2a56901552a1affc74063569e533c6a77dc,0.00210069,aveQI user,
0x5b181e9e67c4f09f5d0229a458db6b0c07f6184e,0.00182862,aveQI user,
0xBC59a167a5A56FB07f3Cf6BD3FACe4284D8c6505,0.00145683,aveQI user,
0xa054934e49470cdbfc6b4d886b990bcb2002a9b6,0.00136422,aveQI user,
0xf826bc629d859af67736671274bfbf0967e36729,0.0013347,aveQI user,
0x1d7d6598c766485dc89746fd9bda82c21df128a9,0.00132012,aveQI user,
0xefc194772a4bdbcdc5871a56e5a86dcfec845788,0.00124767,aveQI user,
0xb2dd7f7a0c94364067ade38ab28ad18d124bb329,0.0011493,aveQI user,
