Address,Allocation %,Type,Sum
0x03E17834194904a98272aCC4F021C5323aF93e73,10.0000%,dev,99.8944%
0xc67fc0b7fabaf8fccb07d05d3f1d5a00d146c37c,2.5000%,LZ_Bridge_User,
0x0a6c69327d517568e6308f1e1cd2fd2b2b3cd4bf,2.5000%,LZ_Bridge_User,
0x2ab4430ddbc3bff890fa0367c6a6aec23d583f85,2.5000%,LZ_Bridge_User,
0x0f9fa4e250cf43430908b98b54b9a689d4faf49a,2.5000%,LZ_Bridge_User,
0xd4a2aee94345bfa6aa1bdd3b95e8dc9d14b2ea19,2.5000%,LZ_Bridge_User,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,2.5000%,LZ_Bridge_User,
0x35198179a1fd9675ee60e609118c1043dcde9b06,2.5000%,LZ_Bridge_User,
0x02ad11f20a5210866914703490c79fbac0f4213d,2.5000%,LZ_Bridge_User,
0x0551b94c54d23afbd317dae2a211ea6ad841a0e0,2.5000%,LZ_Bridge_User,
0xfa0d2d8e3534da478a3ce313630512e69f36e9ab,2.5000%,LZ_Bridge_User,
0x318deed569763a8df1fc085deb0a95e0b614f68f,2.5000%,LZ_Bridge_User,
0x5e5efca8a96001e1dca7cf1d7ca4f0e51534352c,2.5000%,LZ_Bridge_User,
0x3c436998198e7a6659383a337bdf0a4f89171bac,2.5000%,LZ_Bridge_User,
0xfa7c975ab75494007865270000fe89611b1d006d,2.5000%,LZ_Bridge_User,
0xe0f41ffde55ef31343ff2a43361a915a92dc813b,2.5000%,LZ_Bridge_User,
0x3554de9abade616a5897847339da8bbb91f9d6f3,2.5000%,LZ_Bridge_User,
0x62448888fe1c19ca0a4c78ba055f31b33a7b1bcf,2.5000%,LZ_Bridge_User,
0x20ad21f9d4b4ff13a562a6f5123e65127ff23c0b,2.5000%,LZ_Bridge_User,
0x4551bda9180542a30000e8991c6d67000070d2ea,2.5000%,LZ_Bridge_User,
0xca74f404e0c7bfa35b13b511097df966d5a65597,2.5000%,LZ_Bridge_User,
