Address,Allocation %,Type ,Sum
0x6d3087c03B12CEA61A52827a38AfA6E7cA3B865c,10.00%,Dev,100.00%
0x041c05eBB9279663619CB95DE4Ba937e7F1A2351,0.01%,Token Holder,
0xE808BA45746D32D7282F5f01C07F289078f0d043,0.01%,Token Holder,
0x6d3087c03B12CEA61A52827a38AfA6E7cA3B865c,0.01%,Token Holder,
0x8D3842a743F56678135E0f98dD875Fd2Cd2C52E7,0.01%,Token Holder,
0x88429A9834081ab4042Bae6e520dDa6112798ccF,0.01%,Token Holder,
0x172FFFc69ED471B7fF2465aE97504985F7071593,0.01%,Token Holder,
0xb06C413693B4d41522d8c67040E6e125D34c9493,0.01%,Token Holder,
0x17E545Be64350E9166B0B33a7580357C802cdBe6,0.01%,Token Holder,
0xc9B5091E73FBEFDB8990bDF3fCF46628A70fe75c,0.01%,Token Holder,
0xD32d0C4380Ae4Cb6443d88166733fF0DDD372b1B,0.01%,Token Holder,
0xF63222eC91359Ee0cc4a1E82e242ecd414856EC5,0.01%,Token Holder,
0x7Ffcec1f87caA332BF08f26719e4DafB901ddCa6,0.01%,Token Holder,
0xf0e41a77b95483C54c95F0609Fa26a3C929095a2,0.01%,Token Holder,
0xFd8C29379C31f1a1c5854fD4632b519B2c8bDca1,0.01%,Token Holder,
0x6e5CC4528ABf1EB1f6Ed0C50bcAD91c3B56C3B3f,0.01%,Token Holder,
0x0dB3B3Ce524a943403FF2D268e445bA873A2A84c,0.01%,Token Holder,
0x56af32D442821aD83fAC7DdDE576a403Cb80a0B4,0.01%,Token Holder,
0x8671A1A99dd3c6e39e118d6a6af75C288a7cadad,0.01%,Token Holder,
0x99ef7D7AB77Ba043d036eB8D039c76978b78CA80,0.01%,Token Holder,
0x71F0EcbF37EdBbc5A3d7daA968Dc1b8AcbAF2662,0.01%,Token Holder,
0xC6eaA387B80009abf6f2b0294c94C9B30474034a,0.01%,Token Holder,
0xAB25A85CAfd401ca6e9A3F25f9e075f0cCfB9883,0.01%,Token Holder,
0xA1Aa88ba6564653a469904A906e2ab57D330e650,0.01%,Token Holder,
0x24BF48481ea52f6bCF30588CfCb5dce2700C9261,0.01%,Token Holder,
0xBDEC3959B7C44AEf68cecd627787AB17Cd31014D,0.01%,Token Holder,
0x62C46150b28C38911B3a470F48a40a79Fc1dDF07,0.01%,Token Holder,
0x430C553F57E0906c0486173a14E324ca97ADca8C,0.01%,Token Holder,
0xcd01aF6B899777D987Ef426311FAFfb3F6fCE4fc,0.01%,Token Holder,
0x304041E65bF5d26FE905cCCED4251548F76A9467,0.01%,Token Holder,
0x420B35D5a51b554345F38B6E9fc38652C90F1Ec3,0.01%,Token Holder,
0x6c2F168ACEEfCB5F15155368bACF9845035fd5c4,0.01%,Token Holder,
0x74E53434E6Fe38aB47ba2a5E406511ab0Bc71AEB,0.01%,Token Holder,
0xaBe3Db7B5Cd716aDEA73587d509Ba9fc3764d705,0.01%,Token Holder,
0x4100071D69C8A90f828C783C7c40A79Fc491BC02,0.01%,Token Holder,
