Address,Allocation %,Type,Sum
0x99999A3C4cB8427c44294Ad36895b6a3A047060d,10.000000000000000%,Developer,100.00%
0x0117ce17bc661d9bc331a328dc57c05d99b087d3,0.091047040971168%,Telos Stakers,
0x0314ffd688b21832f5fbea098aa1394e92cf358d,0.091047040971168%,Telos Stakers,
0x037eee8fb6c477d6d6ffc016ca01964efe477680,0.091047040971168%,Telos Stakers,
0x0413c0a423f915279f60fb3e2bd871e6d27646ea,0.091047040971168%,Telos Stakers,
0x043951150857e82d8f59bcabf1cf4ef99fb9ae03,0.091047040971168%,Telos Stakers,
0x0515dfd2394982b497766b9754c4399470c4258b,0.091047040971168%,Telos Stakers,
0x05255469949484a6b4284f240eef87972098abac,0.091047040971168%,Telos Stakers,
0x05dc01d2c179135109c180aec897558e92d49d4c,0.091047040971168%,Telos Stakers,
0x0656eb0bf781a940d7d1a12bbb3ab84165a5973d,0.091047040971168%,Telos Stakers,
0x08ba4fb9a64b56e38b2930504e7baf33a36611b3,0.091047040971168%,Telos Stakers,
0x0921ae8da2b2274d25e621abaad1b76ebd6614fb,0.091047040971168%,Telos Stakers,
0x094b12a57fcf2c37e0b5898a50f372427812280f,0.091047040971168%,Telos Stakers,
0x0a7cd00d0fe34b1d285b11aa4047c540b4bcb517,0.091047040971168%,Telos Stakers,
0x115c7222ccc2c3fbc8ab37c169825a24728857e4,0.091047040971168%,Telos Stakers,
0x1200b4a3a90dcdc504443130572e840c988ec13c,0.091047040971168%,Telos Stakers,
0x1234561fed41dd2d867a038bbdb857f291864225,0.091047040971168%,Telos Stakers,
0x154727a1f781e92e89d376460f715de44e4807b3,0.091047040971168%,Telos Stakers,
0x161d9b5d6e3ed8d9c1d36a7caf971901c60b9222,0.091047040971168%,Telos Stakers,
0x169833ebb85fbd3cb67eec73ed02f738c0017951,0.091047040971168%,Telos Stakers,
0x1fd6c5c81c44b19561440698c9976089f77b3717,0.091047040971168%,Telos Stakers,
0x22b908c2fea7a1e6043ffcdbc77d660d4d326961,0.091047040971168%,Telos Stakers,
0x27dd36cef3b5c2169a36a872f667eca1d7904b43,0.091047040971168%,Telos Stakers,
0x285fed35cbea271a711681e84ffd83c68a596a75,0.091047040971168%,Telos Stakers,
0x2be5a38bb540802b7c379b30c0122078c363f332,0.091047040971168%,Telos Stakers,
0x2c5643cc190137a27afae5f0f16e6b9f796ec0aa,0.091047040971168%,Telos Stakers,
0x2ec19e982172ead28b312a07faf25105fb3747d8,0.091047040971168%,Telos Stakers,
0x2ec732b8f78ed864aa5de2b0ff4130fd4a09f469,0.091047040971168%,Telos Stakers,
0x2fad66ad2e94bc969b3b37c35d1e9a7b3193cabb,0.091047040971168%,Telos Stakers,
0x3036ab1687ccc0116116cd4f0502d849aa5d28c0,0.091047040971168%,Telos Stakers,
0x3254fe50650b86df7a32fc1dd743f582f42390f5,0.091047040971168%,Telos Stakers,
0x3255f62bbd1317ed1590228f287be8d602d78443,0.091047040971168%,Telos Stakers,
0x32d2959a4a37ee64c80d8726f6584b5633e4a55f,0.091047040971168%,Telos Stakers,
0x36fafaf048bef5d754c2ffcba91423c4f26e20dd,0.091047040971168%,Telos Stakers,
0x39472031df3dd313ce8b7572ee687ad03a63720d,0.091047040971168%,Telos Stakers,
