Address,Allocation %,Type,Sum
0xD6C3Fa893cB64976e1D236e2aFC03740BD53BC7e,10.00000000%,Pixel Vault,0.999999682
0x0064647c242aa552211033b8286d27f13ee90c6b,0.01000500%,Reboot GG Community Claimers,
0x00f0f41bae6192bc5743fcf5f18390e4700a7d26,0.01000500%,Reboot GG Community Claimers,
0x01144efe0af5e1a67b5a81c1845be727dbaea50f,0.01000500%,Reboot GG Community Claimers,
0x013d2c8273253a10a558d4612418f8cf04e97114,0.01000500%,Reboot GG Community Claimers,
0x0155fd4b71430e278a63835df32fac80cf67b260,0.01000500%,Reboot GG Community Claimers,
0x023a77d93490fc42f2de8b558068d53e884f6fe5,0.01000500%,Reboot GG Community Claimers,
0x024aef1375c1701693b2a0c8e8ad7badf0dce493,0.01000500%,Reboot GG Community Claimers,
0x0266e34df00e57361159ee0dde895899e3f93f5c,0.01000500%,Reboot GG Community Claimers,
0x6850d0d2c341c83a46eeecf75dd4c5d049183d79,0.01000500%,Reboot GG Community Claimers,
0x9dc7c324b57123128cd772a989f9186cb66419a0,0.01000500%,Reboot GG Community Claimers,
0x02d1a96a3f39c2e4965e57caf70b3ac5083033f9,0.01000500%,Reboot GG Community Claimers,
0x02d7da6d1606728a001e4b420c3884ba0f93739a,0.01000500%,Reboot GG Community Claimers,
0x02d86dc0c6678ff79f1def4868d3b92b0dec4f96,0.01000500%,Reboot GG Community Claimers,
0x02dcce9e0aa57881dd15d09ad904c6ff93f0c059,0.01000500%,Reboot GG Community Claimers,
0x0312d0cafdcfb9a89fc0fa2aac64ebfaf4838c18,0.01000500%,Reboot GG Community Claimers,
0x0338e561e152cc81e6a537d7e6c2650ecf59d2fe,0.01000500%,Reboot GG Community Claimers,
0x0359c0b2b30ff5e52893156c1baba2b55a468700,0.01000500%,Reboot GG Community Claimers,
0x03c402bde83ba3c17e369240f74f49e9839abd57,0.01000500%,Reboot GG Community Claimers,
0x03fe9d1c054abff936bacc30a942b68bb1bf193b,0.01000500%,Reboot GG Community Claimers,
0x0456728ecde574ed1e3f5149da8aef6772a911d3,0.01000500%,Reboot GG Community Claimers,
0x80f22abd952d99d1ab4658b0628f575ba6b8edaf,0.01000500%,Reboot GG Community Claimers,
0x04d4fecad5b3daac8d9b753629977470d834e7ba,0.01000500%,Reboot GG Community Claimers,
0x04df8d02f912d34fef12a1b0488ee56fd6f7416c,0.01000500%,Reboot GG Community Claimers,
0x04eaee25c74c91f1f53d139bf1e6a662219f7513,0.01000500%,Reboot GG Community Claimers,
0x04ff54e138125c9711a5649eadf9efbb3a417eb1,0.01000500%,Reboot GG Community Claimers,
0x0500e25c6358bcbb9c523f5585f6cec0135c67de,0.01000500%,Reboot GG Community Claimers,
0x051a0259259db0e5785cb2ab04f72ca9e754381d,0.01000500%,Reboot GG Community Claimers,
0x051e08a6407e6bcb4d47cf1cc4ff3bc080cbec68,0.01000500%,Reboot GG Community Claimers,
0x051e6559b9bc9df0a46c09ce1b738186c52e3e7f,0.01000500%,Reboot GG Community Claimers,
0x05555b1a39d6545b2483eb29805ad8b00369972b,0.01000500%,Reboot GG Community Claimers,
0x058b7eaeaa9dad64e54c9597966343fa6098c570,0.01000500%,Reboot GG Community Claimers,
0x15b0d713a6c4514892bd9180737905735d168872,0.01000500%,Reboot GG Community Claimers,
0x05cda24eeefd1f24f18dac398f5a612674d3ca5e,0.01000500%,Reboot GG Community Claimers,
0x061a5570f2fd9e5ab0f53c934bb96016d618fb70,0.01000500%,Reboot GG Community Claimers,
0x062e2aaa9ec2da2340cc49c76be1604047ea0892,0.01000500%,Reboot GG Community Claimers,
0x068f432b624d9aa2c02cb6a5cbb72dbd14e72f81,0.01000500%,Reboot GG Community Claimers,
0x06a6712572b532188d499eb5ffe8c4f08e379666,0.01000500%,Reboot GG Community Claimers,
0x06bf27d510e9e47fc650a85deab30ea0dca3c078,0.01000500%,Reboot GG Community Claimers,
