Address,Allocation %,Type,Sum
0xA52Fd396891E7A74b641a2Cb1A6999Fcf56B077e,10.00000000000000000%,Developer,100.00015000000000000%
0x684566c9ffcac7f6a04c3a9997000d2d58c00824,9.78162000000000000%,pxETH bridgoors using OFT,
0x6f923e527a9ac0fca4e4a14ee10778fbf0d8013c,7.66018000000000000%,pxETH bridgoors using OFT,
0x6d7ac63aaa7ba8925dcb3e44be6355261dcf688f,3.47296000000000000%,pxETH bridgoors using OFT,
0xffab14b181409170378471b13ff2bff5be012c64,4.11148000000000000%,pxETH bridgoors using OFT,
0xcc529ebfee1257eaa43a1d19d5cdc7bf57a30193,2.83382000000000000%,pxETH bridgoors using OFT,
0xb3816873c61a137f7706763e88a35a6ccf57e18a,2.96431000000000000%,pxETH bridgoors using OFT,
0xdc3b2dce95ebd1e7c18eaa37780d10d240146660,2.02212000000000000%,pxETH bridgoors using OFT,
0x2de9d6f84e28f3a347b97c6a3db51d366e65ba4c,2.48506000000000000%,pxETH bridgoors using OFT,
0x2576b1b83f78129e0473ce97445832c1095cfaf1,2.05131000000000000%,pxETH bridgoors using OFT,
0xb47c9824dba412eef3bbe36dd32dc3514e17e146,1.21959000000000000%,pxETH bridgoors using OFT,
0x560ebafd8db62cbdb44b50539d65b48072b98277,0.98664000000000000%,pxETH bridgoors using OFT,
0xa249ac7499bb7a18f47168f936825452d466dcaf,0.95988000000000000%,pxETH bridgoors using OFT,
0x90f15e09b8fb5bc080b968170c638920db3a3446,0.80885000000000000%,pxETH bridgoors using OFT,
0x1d6128628d63415a0aaaed455ed1ea38d880f645,0.64301000000000000%,pxETH bridgoors using OFT,
0x1c6d419fa8a95f92d29efb782044719ced32eea8,0.81314000000000000%,pxETH bridgoors using OFT,
0xdc848a72842d943b87926ae27ee05f1e949ec931,0.60931000000000000%,pxETH bridgoors using OFT,
0x41f03af13cb6cec919e5838a53ae79eadf291b87,0.77478000000000000%,pxETH bridgoors using OFT,
0x03719ee8f7cee79be9b467bcd82f882de428bcbb,0.50895000000000000%,pxETH bridgoors using OFT,
0xcd7d7aa605a32af04964320219b3cfebb550c359,0.40442000000000000%,pxETH bridgoors using OFT,
0x7f6494d4fbea1c06dac2250a3fca81003bf8d20c,0.60664000000000000%,pxETH bridgoors using OFT,
0x83cf51a12258848540e862d1ab8b2fe05518f716,0.52770000000000000%,pxETH bridgoors using OFT,
0xc2e21fb6112c295ef69f23d6d595868ccf9a5c3c,0.26728000000000000%,pxETH bridgoors using OFT,
0x2e5b96c7b84f5efc5c22c99c1dc6b20f3ca62c6e,0.40442000000000000%,pxETH bridgoors using OFT,
0xb4a3c2debfc033ee3399ad6adf0b4fc74db92baa,0.38628000000000000%,pxETH bridgoors using OFT,
0x384664e31d035322341b4e927d7ad82e7117298b,0.26503000000000000%,pxETH bridgoors using OFT,
0x658eca63e200b2fa9c524687369de474e7ef1822,0.30895000000000000%,pxETH bridgoors using OFT,
0xa5ef4dbdf267e9799b497e4ac1a67467deffb7da,0.10900000000000000%,pxETH bridgoors using OFT,
0xae7c744b83330ac07111844f9d11bbb8df89fe62,0.26288000000000000%,pxETH bridgoors using OFT,
0xdf974829f6d977370b21e065ae445390cb9d010c,0.20221000000000000%,pxETH bridgoors using OFT,
0x14d97603b995f1f433341441caa83ce5239ad2d3,0.24265000000000000%,pxETH bridgoors using OFT,
0xb631651cb570ba0c0d696bd5e4860cbd214f20a0,0.12133000000000000%,pxETH bridgoors using OFT,
0x396afb2e3663f16319e6e8a0884911c70b2f7d0b,0.16177000000000000%,pxETH bridgoors using OFT,
0xfc954a6179739584973187b4f87991d4a2cfe584,0.15368000000000000%,pxETH bridgoors using OFT,
0xf2327b04521589f505c7074c163805843a4bd6cd,0.11324000000000000%,pxETH bridgoors using OFT,
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,0.08125000000000000%,pxETH bridgoors using OFT,
0xbfc016652a6708b20ae850ee92d2ea23cca5f31a,0.10111000000000000%,pxETH bridgoors using OFT,
0x2a6bf8a714acdbe9d6e9dd1753ca09b8e7d95328,0.05773000000000000%,pxETH bridgoors using OFT,
0x089bf34290ff2767fbd1cda881566c76415a9c00,0.08088000000000000%,pxETH bridgoors using OFT,
0xb25e55e36cc998a546639365272f88fe2ce50753,0.08195000000000000%,pxETH bridgoors using OFT,
0xc435c05232a18b79ad71a4df4944fb70a1b8e488,0.09706000000000000%,pxETH bridgoors using OFT,
0x9a526a5bc7849e2872c7146e8bf81ba4657bd529,0.00607000000000000%,pxETH bridgoors using OFT,
0x351818754da79ca479c5a0aba7c9482ac8d955d9,0.04449000000000000%,pxETH bridgoors using OFT,
0x8a249d31750d727e6a3a7b534255badd575aa26f,0.04063000000000000%,pxETH bridgoors using OFT,
0xa764d4dcb7ad411e0235035e0a1d9e2e685aebab,0.03882000000000000%,pxETH bridgoors using OFT,
0x768a5600b8d8c792cd7a647848f2b658ff77078c,0.02427000000000000%,pxETH bridgoors using OFT,
0x2d42d6bb3d18a7be35d76b599aee9d3358b22b3e,0.02121000000000000%,pxETH bridgoors using OFT,
0xc6e4ad3ccdfc65687d2d60a454a8bddc1f4d6c06,0.02022000000000000%,pxETH bridgoors using OFT,
0x3559b7256e235109f7519b457060ed37106a91fb,0.01135000000000000%,pxETH bridgoors using OFT,
0xe8ea8990643a0431e4b28f7f7f6878aab88fe424,0.01295000000000000%,pxETH bridgoors using OFT,
0x03afed01b3c3f2e4b87a2366987683d11e8d6612,0.01044000000000000%,pxETH bridgoors using OFT,
0x4db75041d55f393bf758dbfc2dcdfbc7e12cc757,0.00809000000000000%,pxETH bridgoors using OFT,
0x24c727800400722fdc9ce07b8f8d2930dd0c908c,0.00728000000000000%,pxETH bridgoors using OFT,
0x98e366b23ebb96409280c6708c9012d103e638a6,0.00607000000000000%,pxETH bridgoors using OFT,
0xd00c30655a6217cdf20e77fb2a08bcd2338c7c58,0.00364000000000000%,pxETH bridgoors using OFT,
0x684566c9ffcac7f6a04c3a9997000d2d58c00824,2.09430000000000000%,pxETH LPs on L2s,
0x6f923e527a9ac0fca4e4a14ee10778fbf0d8013c,1.14995000000000000%,pxETH LPs on L2s,
0x6d7ac63aaa7ba8925dcb3e44be6355261dcf688f,1.90599000000000000%,pxETH LPs on L2s,
0xcc529ebfee1257eaa43a1d19d5cdc7bf57a30193,1.26780000000000000%,pxETH LPs on L2s,
0xdc3b2dce95ebd1e7c18eaa37780d10d240146660,0.38259000000000000%,pxETH LPs on L2s,
0xb47c9824dba412eef3bbe36dd32dc3514e17e146,0.56684000000000000%,pxETH LPs on L2s,
0x560ebafd8db62cbdb44b50539d65b48072b98277,0.47939000000000000%,pxETH LPs on L2s,
0xe42b9cd7680942f8a60f9c4a9718391ffdf3a6fc,1.52431000000000000%,pxETH LPs on L2s,
0xd46c81245a0582891c2249daf2d68925977cf2a7,1.14133000000000000%,pxETH LPs on L2s,
0x90f15e09b8fb5bc080b968170c638920db3a3446,0.12659000000000000%,pxETH LPs on L2s,
0x1d6128628d63415a0aaaed455ed1ea38d880f645,0.16555000000000000%,pxETH LPs on L2s,
0xdc848a72842d943b87926ae27ee05f1e949ec931,0.17253000000000000%,pxETH LPs on L2s,
0x03719ee8f7cee79be9b467bcd82f882de428bcbb,0.22321000000000000%,pxETH LPs on L2s,
0xcd7d7aa605a32af04964320219b3cfebb550c359,0.20393000000000000%,pxETH LPs on L2s,
0x369605580748e32cd037d6998d4c31eed11a0636,0.42752000000000000%,pxETH LPs on L2s,
0xc2e21fb6112c295ef69f23d6d595868ccf9a5c3c,0.14510000000000000%,pxETH LPs on L2s,
0x384664e31d035322341b4e927d7ad82e7117298b,0.06270000000000000%,pxETH LPs on L2s,
0xa5ef4dbdf267e9799b497e4ac1a67467deffb7da,0.20945000000000000%,pxETH LPs on L2s,
0xe7ad7d90639a565fe3a6f68a41ad0b095f631f39,0.28590000000000000%,pxETH LPs on L2s,
0xdf974829f6d977370b21e065ae445390cb9d010c,0.05750000000000000%,pxETH LPs on L2s,
0xb631651cb570ba0c0d696bd5e4860cbd214f20a0,0.05532000000000000%,pxETH LPs on L2s,
0xb95d38425fcce496149142d3c39384a1d3689df4,0.17052000000000000%,pxETH LPs on L2s,
0x6415a12867ff9c118dd8c4a7fdf41ff0ac879c20,0.14956000000000000%,pxETH LPs on L2s,
0x0cf0060d2557618b19256e7861a21f3048f69e28,0.14900000000000000%,pxETH LPs on L2s,
0xf2327b04521589f505c7074c163805843a4bd6cd,0.03220000000000000%,pxETH LPs on L2s,
0xa9e184dc2df0486243f9d23de543f43b2b3fa45b,0.14381000000000000%,pxETH LPs on L2s,
0x5275817b74021e97c980e95ede6bbac0d0d6f3a2,0.05330000000000000%,pxETH LPs on L2s,
