Address,Allocation %,Type,Sum
0x869Fc28755D90858C27f50724aCfdeb59123bB37,10.00000000000%,Developer,100.00%
0x31e6d495041bbcf9b3f32d714640ac5b089afcd7,0.00637755102%,Releap Profile NFT Holders,
0x869fc28755d90858c27f50724acfdeb59123bb37,0.00637755102%,Releap Profile NFT Holders,
0xf3676dc97400b23f8b4486d1e360afcca749fc60,0.00637755102%,Releap Profile NFT Holders,
0x11e1ecf545d7e73ffbb4dc57814e99c81582c7b1,0.00637755102%,Releap Profile NFT Holders,
0xfcaca883f3e7f4868f85eab5f7ab960753fc6d91,0.00637755102%,Releap Profile NFT Holders,
0x15a7757524abb32e6dcb4539e41aead6784c0342,0.00637755102%,Releap Profile NFT Holders,
0xb9488bbd1309a5bc4a070f7bccdcaff4f94a5972,0.00637755102%,Releap Profile NFT Holders,
0x4a1cebb7caf5ae93e610aa7f902362987cc52076,0.00637755102%,Releap Profile NFT Holders,
0xc2a2a3339d976d9f6e6d69af050ddb6a9f422521,0.00637755102%,Releap Profile NFT Holders,
0x83f78b9aa0be4966ff71696dd5b637676f17f1e0,0.00637755102%,Releap Profile NFT Holders,
0x5f3fdc0106fe360ad773352cf7ae9f01edcae726,0.00637755102%,Releap Profile NFT Holders,
0x74818ef936485562e81d3e49d0729fb04d3c970e,0.00637755102%,Releap Profile NFT Holders,
0x5b18a82a34eaf0ee1e47c02097f739973ac10c68,0.00637755102%,Releap Profile NFT Holders,
0x786803ea352260c4c0c920dc18e749c2f3988811,0.00637755102%,Releap Profile NFT Holders,
0x7b5d3d77b8fa928659013f973af27ca200864fcc,0.00637755102%,Releap Profile NFT Holders,
0xb12126a20b9e0cb8b23737f90b9f3363f33fd1d0,0.00637755102%,Releap Profile NFT Holders,
0xf8c2a0624970ea7e5feb5d971522de3ec8a34a4c,0.00637755102%,Releap Profile NFT Holders,
0xc0c82304f81cf227caea93d35004b6543d0dc98e,0.00637755102%,Releap Profile NFT Holders,
0xac9d154533165fdbd443c4760f066d98c48e580f,0.00637755102%,Releap Profile NFT Holders,
0x4fc2f858db469ab8dbda1aa3f02dd624bc1a24ac,0.00637755102%,Releap Profile NFT Holders,
0x2ffe1193b74f8dd43f08ea8ae0a14c699b3677cd,0.00637755102%,Releap Profile NFT Holders,
0xfd759df0e7d1cff13cd2cd79db5246b3faf4cd61,0.00637755102%,Releap Profile NFT Holders,
0xbae3f532feae62d661a57f02e04455e884276d7a,0.00637755102%,Releap Profile NFT Holders,
0x766d12ee3857e3673b6b230fa51cca9a45870096,0.00637755102%,Releap Profile NFT Holders,
0x0841d78202bbcbd0fad944964ef36c1a7358ff15,0.00637755102%,Releap Profile NFT Holders,
0x25a12f5fce984d258142a893d6beec319045e54d,0.00637755102%,Releap Profile NFT Holders,
0xf73cd21e884c012367df44b39637b2d535a59b41,0.00637755102%,Releap Profile NFT Holders,
0x1869f6bcca76861e0e2ea7ffdeb8be741d712736,0.00637755102%,Releap Profile NFT Holders,
0x72a39d868b2788b34c03b90fd61701fba0875cd6,0.00637755102%,Releap Profile NFT Holders,
0x463e00d3be936f0add390f2717e2523cb124c43a,0.00637755102%,Releap Profile NFT Holders,
0x95f43144b6e161afab45adf7f15aabfac658bc7f,0.00637755102%,Releap Profile NFT Holders,
0xa7d2ceeaec5d2b0048a83430dc91e0d7088d61b7,0.00637755102%,Releap Profile NFT Holders,
0xc52fa2d4f52e065a7eae05f4cc74153d28418161,0.00637755102%,Releap Profile NFT Holders,
0x169aa06118190e69af195b4c61f75a8cc022bb94,0.00637755102%,Releap Profile NFT Holders,
0x3a27ed84135704347b2a87d1682815dd987ce665,0.00637755102%,Releap Profile NFT Holders,
0x7f1ff8340b576b622f2a8ccd2a9331c0ab4c9533,0.00637755102%,Releap Profile NFT Holders,
0x96cec74ebcf8831609780b0db6b3f62ba2293a3c,0.00637755102%,Releap Profile NFT Holders,
0x0498bc2c38046f565df56cf6dce9d1e319961ca4,0.00637755102%,Releap Profile NFT Holders,
0x26bfb906bc0d72d813c9a2521736a3ae9155b5b0,0.00637755102%,Releap Profile NFT Holders,
0xe7841309d0e088ca3ccd3f8d287966d9dd6e5fbe,0.00637755102%,Releap Profile NFT Holders,
0x2be30e48ba8025d4d92e5a0ccaff689713639356,0.00637755102%,Releap Profile NFT Holders,
0x1532475021141220cd1a81770fbc451507606e11,0.00637755102%,Releap Profile NFT Holders,
0x20053028b07b3c9bb9f1166a236d230760eefd90,0.00637755102%,Releap Profile NFT Holders,
0xef664bc9783c4f09adbd708c51e682c73f19899d,0.00637755102%,Releap Profile NFT Holders,
0xa61f71cc23b260932329fdb48d99170c7521aacb,0.00637755102%,Releap Profile NFT Holders,
0x035ceb21c467f15e62e95b6e4ee7e0e6d6ce9b7a,0.00637755102%,Releap Profile NFT Holders,
0x0e1a219d1c173a7073b5803e53d6a68c3b7978e3,0.00637755102%,Releap Profile NFT Holders,
0xa2deb339bcc07a2f7c7bf5466eac087773a67864,0.00637755102%,Releap Profile NFT Holders,
0xc7a2cc2bd29d2639334fc2064036a12d57586103,0.00637755102%,Releap Profile NFT Holders,
0x371adb47a6155262f372adcd2b45f4d24b88e08e,0.00637755102%,Releap Profile NFT Holders,
0xb9ea10d8729018acc3a8c658d3843ccb1a907e0b,0.00637755102%,Releap Profile NFT Holders,
0x4b6c8ce2f1c4f0b0b3a7eca2843991b6c2d6b313,0.00637755102%,Releap Profile NFT Holders,
0xc06fbf7b249c5dc1794f0ff38b10394f525b18bf,0.00637755102%,Releap Profile NFT Holders,
0x48112b9aa36baf6ac6b9bf847131c7e8ee55b871,0.00637755102%,Releap Profile NFT Holders,
0x123c6d7d6d0a15bccf7204bb5f5dd6eaafb8871e,0.00637755102%,Releap Profile NFT Holders,
0x27168e3632e7e751c1d1143739d8a3e44574628f,0.00637755102%,Releap Profile NFT Holders,
0xf9f41c487fd784e0cf7522206a2aeb4fe7b34b9c,0.00637755102%,Releap Profile NFT Holders,
0x1fcb1c3230c5da2ff731931a0fd7e79f01f02d1f,0.00637755102%,Releap Profile NFT Holders,
0x3b6334e4018f45c6e697e5e9d75665ef7f0721a7,0.00637755102%,Releap Profile NFT Holders,
0x930bf5ef70ac79e5470c0aa5856530b3b003fc59,0.00637755102%,Releap Profile NFT Holders,
0xc3b381a350bbdace63ec76c87588c62813c52cd0,0.00637755102%,Releap Profile NFT Holders,
0xee81635a24e565cd5366dbb16d8b6fcb98a084c7,0.00637755102%,Releap Profile NFT Holders,
0xb6f5d4ea633be503801360f4d954f2d3e99261e6,0.00637755102%,Releap Profile NFT Holders,
0x77b237eafa654f02e9204cd01289ce582d4db83e,0.00637755102%,Releap Profile NFT Holders,
0x972ce6dbc6e10d3d30bdbbf94c8124eef0a4565c,0.00637755102%,Releap Profile NFT Holders,
0x6ed9585db148c400ae6156fca06a4a1b59458ecb,0.00637755102%,Releap Profile NFT Holders,
0x76ec54ddf8f702853adb8551f1d85c35a08d131e,0.00637755102%,Releap Profile NFT Holders,
