Address,Allocation % ,Type ,Sum
0x078068Bb479AC47f418614040c11BC3ac5Ec8dC9,10.0000000%,developer,100.0000000%
0x000bb9e55b9a87ac69c25bb0d0a132d16efd8693,0.3000000%,ONFT holder,
0x001623e383576c12b92ba4201e36bad7bccf258d,0.3000000%,ONFT holder,
0x00d3be15cc9a9d071b6810531fbac7938c50ac39,0.3000000%,ONFT holder,
0x027ecaff2b48504ee9bb84ae690a888179db6236,0.3000000%,ONFT holder,
0x02fb0b916594c4b6c6649c06ab685574d41be326,0.3000000%,ONFT holder,
0x03aafad7c8de4f6e27ae9cde2e68aab8db598621,0.3000000%,ONFT holder,
0x03b7c016e60b4207a775bdabece62069f862a5cd,0.3000000%,ONFT holder,
0x078068bb479ac47f418614040c11bc3ac5ec8dc9,0.3000000%,ONFT holder,
0x083c8f5c54a02071fa8c615b94ede00a545bf3ef,0.3000000%,ONFT holder,
0x087d82eec4a3d6362bfda20b7ad7083414da9649,0.3000000%,ONFT holder,
0x08dc8e38305d959bbbb35bfb2be4839e62d11d03,0.3000000%,ONFT holder,
0x0947cf31231b54ce1aed159f765888e4a3e09fba,0.3000000%,ONFT holder,
0x09b1bb794cc0ccd168e0cce8886867292eacbf88,0.3000000%,ONFT holder,
0x0a5960ee3d261a89f563b2fc105487ba30cae475,0.3000000%,ONFT holder,
0x0af80d3fe4babebcbc991100b5ed5f7e6364d37f,0.3000000%,ONFT holder,
0x0b11f994ae23bd0a00fc7ae940bf18dc36d81f2a,0.3000000%,ONFT holder,
0x0bebd0898fab4784ea207b3a33b3d167c70d8f75,0.3000000%,ONFT holder,
0x0c71fc96146a36baf36ff1befebdfc2cab8e8ebf,0.3000000%,ONFT holder,
0x0cb33d57340c2ea7b701715ea356910b9bc84ba4,0.3000000%,ONFT holder,
0x0ccadee70606c70839921aed2783864862caaedb,0.3000000%,ONFT holder,
0x0ceb9ddc3aab8abfbefc828af9e219703362f3f0,0.3000000%,ONFT holder,
0x0dab6722a8ef23e99055e25b1aab2100337a8e28,0.3000000%,ONFT holder,
0x0dcd643aa4626a40b60d8154216f3f416ff31b07,0.3000000%,ONFT holder,
0x0eb893b5911ba34239e6c0c253b9f47697fb88bb,0.3000000%,ONFT holder,
0x0f0fe0408fc7613c9d177d820de3e4154ce6135b,0.3000000%,ONFT holder,
0x102b20921c6f1d392b21919718e01f6309f815da,0.3000000%,ONFT holder,
0x107f8778af1302676bf2e58ea124b99fc12e4c11,0.3000000%,ONFT holder,
0x10c73a5ad077c05154ad079b04c802520ae331a2,0.3000000%,ONFT holder,
0x10d0739e251f5c212312d023c9fcfe0fdcafca23,0.3000000%,ONFT holder,
0x10de861aec0140b7096aeb13d95ad8fd770f96e6,0.3000000%,ONFT holder,
0x1438fe2670272d30cdc0ce1ef657c82b8dbf271f,0.3000000%,ONFT holder,
0x150684064e082b301e962e81cb5c586bf1e6da20,0.3000000%,ONFT holder,
0x15315d97c57a331ee03d2de85a8db5e920390e05,0.3000000%,ONFT holder,
0x1665235630f8fd617dcc32599f47fd36e51d1b77,0.3000000%,ONFT holder,
0x16aa4dbf50fef870a5a13c188f89678025505c95,0.3000000%,ONFT holder,
0x17a04d093ada7d4dc826dbbfd19bfd8daa9ee278,0.3000000%,ONFT holder,
0x17b76551ff8d26d692da2b9ba02dea9d3ecdde55,0.3000000%,ONFT holder,
0x1863b0b981e145f3974b21006d21f73d09813d10,0.3000000%,ONFT holder,
0x19273d054247d1f4b66021e63b6171654988ce4e,0.3000000%,ONFT holder,
0x1bc93e8547ee46f7480c70424fa447dffd50e8e8,0.3000000%,ONFT holder,
0x1eb2d856c0c96a58f44676cd7ae26035dab69605,0.3000000%,ONFT holder,
0x1ef1a4a0f97969f0db47f2414af934a64368403e,0.3000000%,ONFT holder,
0x1f660f4c9e0c833520eefe7e207249b3fa7db92f,0.3000000%,ONFT holder,
0x218a75491fac6a7c94288b3ba3eb57f1ea52c22f,0.3000000%,ONFT holder,
