Address,Allocation %,Type ,Sum
0x156ac784bae328f6afb6403460145ba8b029d3b5,0.054201%,NFT Holders,100.000000%
0x18bfa963eea299513fb74be5e8b0ecb3a31deb2e,0.054201%,NFT Holders,
0x313dcdf91d40639b3d11248eebc1cb599fa03fb5,0.054201%,NFT Holders,
0x9ca0171dc39c99a4ecd47a019cedd81e21b27438,0.054201%,NFT Holders,
0xa9315bafffe208873a82fdbfbfa6e6985945bdd4,0.054201%,NFT Holders,
0x27cd99978c5aa2473ac8a8f1a5b6d2989b8e5acb,0.054201%,NFT Holders,
0x4a2e3806fb3803fe6b2a5d9a884ccef6b0fdd37a,0.054201%,NFT Holders,
0x8c5c5f0c931403935b3461db1fa47a64de3c0790,0.054201%,NFT Holders,
0x9ee4e94e5bb251fec1b7a55a0a6b722b303bc437,0.054201%,NFT Holders,
0xb3ce7027b196f90fde73cd8c84d39e7a649796d4,0.054201%,NFT Holders,
0x0337a2521da6dc5ba732355676d8386c181b9f75,0.054201%,NFT Holders,
0x03a375de376342e5dd7afab0819b4b3acc96a6a0,0.054201%,NFT Holders,
0x05f4ccfe7747aa083954f54c6c67e93882c6428c,0.054201%,NFT Holders,
0x07b5e8b868d17e25850c2abe19d23750bc44c737,0.054201%,NFT Holders,
0x0cf776d57e0223f47ed3a101927bb78d41ad8a13,0.054201%,NFT Holders,
0x0d5f91c74c33de39a8bd7f233c798717a47f974a,0.054201%,NFT Holders,
0x0d9d29f6b67648864fe06750e7412e164ae5eaab,0.054201%,NFT Holders,
0x0f8261376963b48c5f2a3cabd6fcbf45a56ec25e,0.054201%,NFT Holders,
0x14becd683e5c8335cc29d24610d6545b0474dfe6,0.054201%,NFT Holders,
0x17de8d630f9e66a78cdd023f31abbf2f3b728cc9,0.054201%,NFT Holders,
0x1ad54d61469604cd5af5615e3b0f9082131d0d51,0.054201%,NFT Holders,
0x1ad55d1b21744e83a02709873341d14a3ae9ba07,0.054201%,NFT Holders,
0x1eb78f761aa7ae4dcab12a22f061bc35403d5d09,0.054201%,NFT Holders,
0x2097e37bc73a2561923e6a82bc7252af9d0685f8,0.054201%,NFT Holders,
0x26542d0bc93a63c141a21956337f18773b237882,0.054201%,NFT Holders,
0x27bed4a442d4db2285256b9232790edefb2626c5,0.054201%,NFT Holders,
0x2c329cf17c6551a112ec5595da18d5952acadcce,0.054201%,NFT Holders,
0x2dace0ee7b328b359ab85e0d50824fb730eaf571,0.054201%,NFT Holders,
0x2e8f7ca1d0c2bc3f3c468c333c4c0553a8311373,0.054201%,NFT Holders,
0x2ffd89a42b4dc25a7619b4fb968bf2268b82755a,0.054201%,NFT Holders,
0x3142d8e391ed0a1ea00b5d638338d54fd317c4bb,0.054201%,NFT Holders,
0x3391718e58072de76cb6d5070b729b56f6eabd6c,0.054201%,NFT Holders,
0x35c4c7631fd5bef23849512831a7093e70618f63,0.054201%,NFT Holders,
0x36a8d3bbd2f84d163b19cf8432a8557442918d11,0.054201%,NFT Holders,
0x3907ae68494c72c3e7800a0651b80507faee02d6,0.054201%,NFT Holders,
0x3a265faae9c7a29013d2017548b89438b2b04d13,0.054201%,NFT Holders,
0x3c93f68b04782b68dad81272512389c0565dc453,0.054201%,NFT Holders,
0x3d54ff5667b4e6a48ccf61f9e588652e7511515b,0.054201%,NFT Holders,
0x3d5b5d0ad5ee0afa1bb3ae6f4465683b3c2da77f,0.054201%,NFT Holders,
0x3e527a52e968bf6ab0bac83bb637da9f6bae03b1,0.054201%,NFT Holders,
0x42c99690b0fb8cdc8d9b7ff6cacb68fc4e646e9c,0.054201%,NFT Holders,
0x439fc347a360d0c9fda70f9f4f2558b78c5f27ab,0.054201%,NFT Holders,
0x45833689d29e80065d75afd3dc4e43811dffd42f,0.054201%,NFT Holders,
0x46c9ffbf7a016394e426cbe85297aa346d59ec5a,0.054201%,NFT Holders,
0x4837a5cd646e2bbc39501d483e604906693acdc3,0.054201%,NFT Holders,
0x483d1cfbe1ff6e046daa2e4066522c1471fc2f3e,0.054201%,NFT Holders,
0x49aac12969db3c0427acb653301f6b5560f64fcb,0.054201%,NFT Holders,
0x4a86c395babe60e122b83c23768f7de9d16ed726,0.054201%,NFT Holders,
0x522d3caa7f914c6294bebee79575ffb5131f8d29,0.054201%,NFT Holders,
0x527622b27ea354f0a4f3c6eb365fbc0a807e0357,0.054201%,NFT Holders,
0x53f30248db2c628cfeeef28bd20a86ab17e46f4a,0.054201%,NFT Holders,
0x55bdddb3bd9e484102d34df45c0ce8fcc093861d,0.054201%,NFT Holders,
0x5ee3d39e386211bb0306ce090496ae383bb427d4,0.054201%,NFT Holders,
0x5f46ca97f2ea77396fdceac6088d1a97d1c669b2,0.054201%,NFT Holders,
0x633905cfa5130392a24d2e937779ebfbfc85b6a0,0.054201%,NFT Holders,
0x6a78aab74f03bd3b90dcbc9d98093e2a042e6fa9,0.054201%,NFT Holders,
0x6c34543007843c3434e12b7e0af6f37707ac7d55,0.054201%,NFT Holders,
0x6e6b53eef33d759edd36f6779d89e717e42e95a6,0.054201%,NFT Holders,
0x6f1270949362285e110e49f7743b9ea947e90d0a,0.054201%,NFT Holders,
0x6f4ce222708170b6636cd615576933298e8c3fb3,0.054201%,NFT Holders,
0x7428d380b4e8a333427966b28ac91cf9dd42501a,0.054201%,NFT Holders,
0x7709b3b41e94a6e22a9e510544fd75ee2b4c0d8c,0.054201%,NFT Holders,
0x78ca5ce2738a165c69d9d92c0baf22c2191e20aa,0.054201%,NFT Holders,
0x7e0e7585dafb55303f8ac9d7a246be5fc2a7750b,0.054201%,NFT Holders,
0x7f5d18fa9c8c3aadc358e4d3de72410051cb4eac,0.054201%,NFT Holders,
0x835887ccd5084addb8dabea28596c5538b2480cf,0.054201%,NFT Holders,
