Address,Allocation %,Type,Sum
0x8964a0a2d814c0e6bf96a373f064a0af357bb4ce,10.0000%,Dev,100.0000%
0xe214eb56eaf38001d00b8a09b6c3b73360acf497,2.2500%,Bridge,
0x4c684552237c057fffa8a70323de306892d24365,4.5000%,Bridge,
0xeb349d9380b2eb77b07d7624f29dba4f5423ebcd,15.7500%,Bridge,
0xd8d462958fe3194cabb95d502f1ad7ddcf7e0558,2.2500%,Bridge,
0x7b0c75a71293338d378083d640e1572b5a296282,4.5000%,Bridge,
0x7b0c75a71293338d378083d640e1572b5a296282,2.2500%,Bridge,
0xa0a59da94f30e8b615591a9d1aa6cd9bbb3e28a0,4.5000%,Bridge,
0x8291bb43138288fd1330d523415996b4a3554935,2.2500%,Bridge,
0xc637c786739f8efde02cdcc0a2a2f651bac08dd0,2.2500%,Bridge,
0x9ec9f0b3570e451713b564f17e9b1152487cd395,2.2500%,Bridge,
0xab32fa260b024b5db6bbe8d0983e9ac3fcd1a221,2.2500%,Bridge,
0xab32fa260b024b5db6bbe8d0983e9ac3fcd1a221,21.4200%,LP,
0x9ec9f0b3570e451713b564f17e9b1152487cd395,2.0000%,LP,
0xab32fa260b024b5db6bbe8d0983e9ac3fcd1a221,19.2900%,LP,
0x4c684552237c057fffa8a70323de306892d24365,2.2900%,LP,
