Address,Allocation %,Type,Sum
0x53e1561eb6fdA82fEe188631698Ace52390226b5,10.000000000%,Team,100.00%
0x430722F17811365DC4F000fBFa7d18AC4b1ABB96,0.143623852%,Users,
0x1252bf1BEeA27b001d2e324069e92d83722Cd40F,0.143623852%,Users,
0xF6Aa21404F079E8b8E142e91FD408A86713DC087,0.143623852%,Users,
0x21AB1fA8cB579dE00Bb15F159Cb1cf84BB32cBEe,0.143623852%,Users,
0x40c7E9977d99fD3Db838FfB1E312AD9E2423c457,0.143623852%,Users,
0xdcd0E69d3cDe634d482e4be9CF93F5bEE7BEF158,0.143623852%,Users,
0x07DdB647e0100b915D39f4126781D58755a82C19,0.143623852%,Users,
0x982d4892fC417234DD5b42C12Bd841aD07110BD2,0.143623852%,Users,
0x52F6d6E1dB786c8Ce34a1C7BdDeec27DFc231A16,0.143623852%,Users,
0xE047782C250928dd38b210d4f516e8C50bA38181,0.143623852%,Users,
0x62B9d7B654F07c8A2DfB0bd2CDa56Ea19CebA142,0.143623852%,Users,
0xAf6193fd81b4c8435e6E81c45ee7CdC511FE5F3a,0.143623852%,Users,
0x1dDe7b19fa3150a06e3307341E9b8cC5E95122D4,0.143623852%,Users,
0xCD92B0227aC47FFb7c50f2ebd2b7337444F16C4A,0.143623852%,Users,
0x8b6EBcc80d06F8Ceeff615FAE15AC3D68B831D38,0.143623852%,Users,
0x96bCf8A9B2E9DE1Fc74D9acFdF467B9Bc50655fD,0.143623852%,Users,
0xbbF46514de004992d8DCbceC19f02f2E772aB51d,0.143623852%,Users,
0x6FB2416702BF8be9Df8e30bF44D0EA19B374D297,0.143623852%,Users,
0x19267bcbaf2C219e18c33427b6c7BE4252A0B76F,0.143623852%,Users,
0x47c81cC164230f4C90c727c5ef82CACD6AC91388,0.143623852%,Users,
0x3637B10A410284A4dD5E0b200a501F0896b3e889,0.143623852%,Users,
0x660cf7FDC410c34D5824fe27CF402dF0E0592fb0,0.143623852%,Users,
0x4Cc090B7F81abAd6858140761C3d87B131164B2C,0.143623852%,Users,
0x6054d61eB4c4153B7F5BfC31cB0f20Bc85777E7d,0.143623852%,Users,
0xB6aF30b4554C58360e37358B08eD7A6b1e8Ade44,0.143623852%,Users,
0x35A89D18C342662256b327292D016cc173d988Bc,0.143623852%,Users,
0xcAEDF695012947F97e73f188F75922d92Ae33721,0.143623852%,Users,
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,0.143623852%,Users,
0xc552aa6AAFc8ecaDdB1Ec1b5aa3cFdbEc4a782B0,0.143623852%,Users,
0x45062198f372195a36A0937B5C537105c91F3E9f,0.143623852%,Users,
0x07658d9c7a375339Fdcaf2121d12C4864722875C,0.143623852%,Users,
0x99442576D50F471C7AB096Af4041FFD196A2B079,0.143623852%,Users,
0x34C51ddb3800b3A22e37B8311402D31B630042bc,0.143623852%,Users,
0xdDe74f034163192dd2170BB56B9CAc2d45Ce0a36,0.143623852%,Users,
0x1dBAF5afdD389D34c2AaDeAa94C256994e7331B0,0.143623852%,Users,
0xB855c4eBb5b6eB3F2033aecC4E543e27BC39465D,0.143623852%,Users,
0xEC67256a2B28829382F9eE3CF57C9C4850Cb0dba,0.143623852%,Users,
0x65E5CC34B92e6dfA3c708C7911ab11Ad4F65B54E,0.143623852%,Users,
0xBCfeA7C894cBd0CF5fE654559268f2eB28c7c659,0.143623852%,Users,
0x75d4bdBf6593ed463e9625694272a0FF9a6D346F,0.143623852%,Users,
0x6e4D47DAD1e97833F4EcB0Ef56347bA8e6Fd1c0e,0.143623852%,Users,
0xEa302cF778a1186843Ae10689695349f5388E0D9,0.143623852%,Users,
0x4245fd94da245C4ba533185b6f19CA8f22Ca4CEF,0.143623852%,Users,
0x339EF2B2e41bd5Fb6468ab949763a00277AE098b,0.143623852%,Users,
0x57FEBE3600ad2b99bbB947249d9aB225A08E570a,0.143623852%,Users,
0x020FC5E269872E6893ab7fc24486534eA228C5a0,0.143623852%,Users,
0xc63c4113f2037CC6afE804dA69FF608932898498,0.143623852%,Users,
0x9fbB12Ea7DC6dE6503b35dA4389DB3aecf8E4282,0.143623852%,Users,
0x0B9B6a85A594ED1F9f194a9D2B2Fa7FE4d65d578,0.143623852%,Users,
0xbE525d35A9270c199bC8d08e5bEb403C221F18e5,0.143623852%,Users,
0x037dFD569DeFBC08aE28001159b4c49f6d006cfF,0.143623852%,Users,
0x2fdf502ac2f054d5983A4a4ba916B2F2d4056685,0.143623852%,Users,
0x725BD658Eb7A6912FAC6eA2ADbfaca196a591395,0.143623852%,Users,
0xA1d59233c5Cda6b1Af6A129c7E12C9ffBA348eAA,0.086805556%,Users,
0x427070e33d630B0476BedBA5d53Db224913eB946,0.086805556%,Users,
0xf4c40bF7070Fdcf64Ecf020bCb583738A6cC3bcD,0.086805556%,Users,
0x5773381b7D56a21B4B70660aFe1bBaa3C9443032,0.086805556%,Users,
0x817cC22E709FE6b0f26d22726cef3e73089ca2D6,0.086805556%,Users,
0xc3992Fc601810EC6E5e62cBE845CadA58A917d71,0.086805556%,Users,
0x00092c15dFc69CeF5D745A3c6a1cE32BeeCe3eb3,0.086805556%,Users,
0x1bfc7b12b950A88371947EAFE123126ea3D5314A,0.086805556%,Users,
0x6cBA568A72CfdA9BEf8c4e13baF60C7598b4A872,0.086805556%,Users,
0x18cCC241CcE98a67564E367eBc1F1f0e692E3188,0.086805556%,Users,
0xb8fE71A788B4Bc22b58d1bcBD5f6099981947757,0.086805556%,Users,
0xECD1f3E99cAA4cdbf174ad12ce79D89a8Ba54Fca,0.086805556%,Users,
0x8b04080d54dF3cF24DA20d536c320049739c7d85,0.086805556%,Users,
0x9708Ab9d638A927b83637346ce22665E1EC8b65c,0.086805556%,Users,
0x88a10d7995b96f28a1ecD7dDf1F2e2CbBe1E3786,0.086805556%,Users,
0xaA90beFC76B37F487eEc5C1A593ea5b9826440bE,0.086805556%,Users,
0x758e83c114E36a28CA1f31C4d2ADB5Ec7c04C578,0.086805556%,Users,
0x1cD2fD2b2B3cD4BF000000000000000000000000,0.086805556%,Users,
0xD77A8Cde26AfB5b711F0E25C23a48562d5259bF3,0.086805556%,Users,
0xdECD504c466d891B7833DE68838F0e2730E23a17,0.086805556%,Users,
0x2CC0b2046b5842C79Ca90BD0A529cFC23c42bDbF,0.086805556%,Users,
0x0f972b74B3f7fe173Cea4d7d9D27955b7D4Ec69e,0.086805556%,Users,
0x2db76e712A41c263ce7d2CF27886bE35Bc72eCa8,0.086805556%,Users,
0x397eDee5CE94367e3566Bfa9dC57369c8a01Cf18,0.086805556%,Users,
0xd4B9ec8ad0b1a34AFE72755bc74B7715356b61fd,0.086805556%,Users,
0xb65fC205B161DA5Af518507B8F18df74A55b2FA2,0.086805556%,Users,
0x0a6c69327d517568E6308F1E1CD2fD2B2b3cd4BF,0.086805556%,Users,
0xC650Fdc12b2e9221eD1d6bC69c5E8B32B327E785,0.086805556%,Users,
0x65A8F07Bd9A8598E1b5B6C0a88F4779DBC077675,0.086805556%,Users,
0x5293c6003C6ea4b20195aE293D567C18f8eC8dab,0.086805556%,Users,
0x3ab9F580da07A20f949f3dB433c4cd839724e471,0.086805556%,Users,
0x4cb6F0ef0Eeb503f8065AF1A6E6D5DD46197d3d9,0.086805556%,Users,
0xcA74F404E0C7bfA35B13B511097df966D5a65597,0.086805556%,Users,
0x8678F58AC6c4748b5289D0Db70e627eef395deaD,0.086805556%,Users,
0xa311f7Ca3Eb2Fb98123A807f9b8e4BbbDBDcB2Ee,0.086805556%,Users,
0x071F8795B317bB554c3ba789b06C2b48F0FF9564,0.086805556%,Users,
0x30CB2c51Fc4f031fa5F326D334e1F5DA00e19Ab5,0.086805556%,Users,
0xDaf6f334d49AbF1065E6D1Dbf5EA04F563D424C2,0.086805556%,Users,
0x3d45DEafD7Bfbe52d2fb0dB402D675Ec5dE4Ad14,0.086805556%,Users,
0x78EE025E72aBBbB6b41DD8A65a4d180165E7537C,0.086805556%,Users,
0x6951BeC32B306d7D0A89b3c52067697e68357477,0.086805556%,Users,
0xbEc762335c9DF7286729Cc6344Ea4f42E4959003,0.086805556%,Users,
0x1e3b89056537a181280392cDc3d0D21e6895413f,0.086805556%,Users,
0x49B8e8572E86D90191679bE8314141AbC84668dC,0.086805556%,Users,
0x335C620b16788D8b9AD6c010833c8336aD641128,0.086805556%,Users,
0xab44c5E7392f78426491A9540b237a5B6CC2f9b7,0.086805556%,Users,
0x9083BD612DA6Fa474e885c3764a8013595657eb4,0.086805556%,Users,
0x4911505CBb6cC71F71b59eF1EC0ee99f6C57a8A0,0.086805556%,Users,
0x7756409A94C91c55971EBB08813c9721E28B3e17,0.086805556%,Users,
0x120E32BDc8840b11B13a67691028af51812F21e4,0.086805556%,Users,
0x488C33aF408dAb0E9B62b7405777c5bec881F0aF,0.086805556%,Users,
0x8eB2283F696F2a130134d46E28d3528e19e16868,0.086805556%,Users,
0xe9308a788B772CbF07532F978c8b415Af8A1AAb0,0.086805556%,Users,
0xf868037A44dA9DC1517A7eBE4110E85B619D1352,0.086805556%,Users,
0xAfecd45B9b0A36d9aC54ede54cba07368FaA74c6,0.086805556%,Users,
0xa89e9D6d9555eF767B3057c2F1e43538849F8EdE,0.086805556%,Users,
0x865197E7beF5934456746b58B0A54751dB3e2f0D,0.086805556%,Users,
0x0e0B0000834dcefa2C00003d239Ce6340c2c9866,0.086805556%,Users,
0x38071D668B278d5BB8CF9B1e5c9D4323Fac95687,0.086805556%,Users,
0x356d7c7c81A436AACd62E553eB4911337BB46EDa,0.086805556%,Users,
0xF7b3e7E00F7b6D0e259Ffb82F2D5A130dFd021f1,0.086805556%,Users,
0x4D38398551ea116fc29b6eF254d43a80941Ce7D0,0.086805556%,Users,
0x18aCEBd49205b3950E79b88a887bA114aaDEF1b5,0.086805556%,Users,
0x55b1bE5e9D5C2C18916Cc06406629958C3Bf0c2e,0.086805556%,Users,
0x7c6269A54Ef007B13F281300b0c7791028a9c2A7,0.086805556%,Users,
0x1fB4377E13956A9762Fd7438680Ff2C04138615b,0.086805556%,Users,
0xD42Aec006B42726e205720526d932adDd285E31c,0.086805556%,Users,
0xE3BAa88EA0eCcC5679925a8A3E094a7E2d7E7a19,0.086805556%,Users,
0x5ce353FDD85369E850C304Aa1A5eDC8495B108b3,0.086805556%,Users,
0x4F779F0D68517E4914d6708fbf335fc7D599a0b0,0.086805556%,Users,
0x12024e465a4d95BAf510831cFBF79E4E5F82362F,0.086805556%,Users,
0x77DfC3fA254efF6818B6D3F057768F43c0057C3c,0.086805556%,Users,
0xDC00E700B1709a9B7a0032f3c84373C2DE00e620,0.086805556%,Users,
0x2ab3f303850F0Bd5E6Ae6b79423e4aD64492228E,0.086805556%,Users,
0x2ce40dB032C3618dE2be97C964da1Ce7e70F5AA4,0.086805556%,Users,
0x6339F6872458Fb48D7DdF0e1452f0a3365f73709,0.086805556%,Users,
0xE0eE62CFcd1c5C3d7ee559c909aa8453e86E8929,0.086805556%,Users,
0xEbD3560e802a5648B983a0d59c76a090a7A87B1c,0.086805556%,Users,
0xAb3d829024648392b678d1E96d087b75CcC143b0,0.086805556%,Users,
0xa9fB3e29B7F789faf8E2656bfc7F9BFF2ED766e9,0.086805556%,Users,
0xBCbeAc56eeF250E8a4859be46c6cBFd93aAe5d2F,0.086805556%,Users,
0x9ABDe6fAe4c59D730A73142542d9a908BD291644,0.086805556%,Users,
0x6BD957f6d562c563547E296E04A56558a1A34904,0.086805556%,Users,
0x25132bB3a3276d1Cb05F975E790F86b5122B34E4,0.086805556%,Users,
0x01c7bCFA641699002aAe3F567B72b13F2220513B,0.086805556%,Users,
0x1e1a93F781a41d546CD4aDf29740c9d2b76EE59b,0.086805556%,Users,
0xaA5D314a300205077e0F6c0acB06C97F5E92B0bA,0.086805556%,Users,
0xda06bd372F19D0317c0C12A47dB751207E85E502,0.086805556%,Users,
0x1a1A5286d7BcbD937652152D6140C433f24ef31a,0.086805556%,Users,
0x40D68C490bF7262eC40048099aEC23535F734Be2,0.086805556%,Users,
0xaE7c025F021e652173Fcd6773F80f4353b9Ea1C5,0.086805556%,Users,
0xF55f9b5034b2078F8eF3c49e213F824D18188c15,0.086805556%,Users,
0xcc88036Fa05c86129Bf66260c2A905AB2c7B663C,0.086805556%,Users,
0x1f77A81803593B4F760735c0609aF28d8203ad88,0.086805556%,Users,
0x1adf198B135C38E7f14A3e3516622Fe80941f667,0.086805556%,Users,
0x38Ea3A54091fD9E5E3f032c215D5268dC9fC52e2,0.086805556%,Users,
0x7dF6378D01ebaD5D41f76CeD301D913d443F2C7F,0.086805556%,Users,
0x53df0656766068a06369C668A098c1cE62F91Cef,0.086805556%,Users,
0x9B9019D7FAF9857d9643E65A15327A755042884b,0.086805556%,Users,
