Address,Allocation %,Type,Sum
0x6690ce47175A09bd1a999581efA04D506541e156,0.1298701299%,Team,100.00%
0x09E4a68F4d342E866bcB6C095C61484121bcb36e,0.1298701299%,Team,
0xE5dC574315e9c56e648c1e2f183E9Ffd354622ef,0.1298701299%,Team,
0x115EDF125FB98A9394dB628DAcE34c7b4F11b980,0.1298701299%,Team,
0xF2cccF66F7dFfB17D7242f1B0Cf9e5f7A171506a,0.1298701299%,Team,
0x00960b70171583e426C58248179c21FDBdF631dE,0.1298701299%,Team,
0x4B631c38c6C50D24ad5CdeEA1FfD0937F6059464,0.1298701299%,Team,
0x52FB99408E4778139DcACb83311A5F12c0046EE5,0.1298701299%,Team,
0x1010A312f1E7b69CB494DBafe2c44A35932e5178,0.1298701299%,Team,
0x543D8eA2a2683b6310AE5b3641c13AFE90fAFbf9,0.1298701299%,Team,
0xFADbF284520EC8030968b952EeEE38f44B7F272F,0.1298701299%,Team,
0x00075dF5C938Fed7065Dc000A8A29137213FB778,0.1298701299%,Team,
0x0676A31E1D927642BFcE981E31220A91b10A2922,0.1298701299%,Team,
0xDC48C43d534a87766Cde409F038dC766B02b83ba,0.1298701299%,Team,
0x74Da6DE078290f8F22E08Df9B08953E9BE5F8594,0.1298701299%,Team,
0x995E739978e38dDf801C7e6287Db39b324815605,0.1298701299%,Team,
0xb7Dc744313D91BDaF31E5c9c7e89bBa6DA33a031,0.1298701299%,Team,
0x132291dcedcb2012011818a987a34d294b4f3ea3,0.1298701299%,Team,
0x24a9fD128C71E20509eBcaEd4EC5848e8528a667,0.1298701299%,Team,
0xC0300F19ea7a910bCE11b8F120e7418CC1dc4954,0.1298701299%,Team,
0x15B8e65FC8B649f9be558A392f3143E7b3e942Eb,0.1298701299%,Team,
0x7caC92ade9Cd6E5a2A29046d8d7EDa2AD16a9d09,0.1298701299%,Team,
0xfbf1d5DD09cc3CE2Aa8c83E2B4CbFEBddf7B1DbA,0.1298701299%,Team,
0xDc6696dfFaAe297e6C3868cC6f1836E777c12b48,0.1298701299%,Team,
0xCFbad05fB0dc01fA16eB43f748935d6CFd6d48FE,0.1298701299%,Team,
0x6650069af3Ab44f969A9B19b762A7c5CB6323E7B,0.1298701299%,Team,
0x756ea9Ae4866B962326d588CdF39d558e671dF61,0.1298701299%,Team,
0xA4995167644268BD7b5b944B0860945EB174f5aC,0.1298701299%,Team,
0x56F883676163Cb18EAF00e1c0cD7a25e3845A3a2,0.1298701299%,Team,
0x756393236b34777eb03506acb9be0EF5E2b4AbdA,0.1298701299%,Team,
0x64BD469d3257dbC96fCB79fD592bd84139CB0c6b,0.1298701299%,Team,
0x78D5dC1eC3A57ef8D174397bC40771e2eB48a0B7,0.1298701299%,Team,
0x9D8fEC895e33a42395860F43BE768b27D01B1484,0.1298701299%,Team,
0xd3D38761872Da05B2A41f54BB68332d70206E38E,0.1298701299%,Team,
0x98A43cF2fBC13DA7349Ef6f2f78dd6109C6216e5,0.1298701299%,Team,
0x67C445cD331f2d3e34Faf915f96236A4AA909763,0.1298701299%,Team,
0x570C0Ec76a1930bd39FB4b6737314AFBdEcd7f7c,0.1298701299%,Team,
0xafC02CEE476e204338954038D7B001a9cea7f0Dd,0.1298701299%,Team,
0x5816F9edA19A72Cb487Cc5Cd9da0adf3897501ba,0.1298701299%,Team,
0x163cd80F18dC1CB7D0977C67771140c6bb3700Ac,0.1298701299%,Team,
0x09Ffd2A1E2a5a199A0E3aAF15fE1bCb3241843f7,0.1298701299%,Team,
0x7f57E1f346685bE7d9d660A2B6240b207AF0Ac09,0.1298701299%,Team,
0x0e6f6dca2e6EA6Bc4775b12680F684B5F0Bd2Da5,0.1298701299%,Team,
0x828f3Fbaa4ce4D7866f8805d4fC5c6F0EE0c55C9,0.1298701299%,Team,
0x51267C6bF5F0F6F8903352302843D5C0504Ac2d4,0.1298701299%,Team,
0xc6556480444F769c8d4ec70fE2ADC84776ccC378,0.1298701299%,Team,
0x24b0D654496018AcE0D714D6455E9F8cc886dE4c,0.1298701299%,Team,
0x4dD5E64c80e3aae810D085Efb0409bC8562C34C7,0.1298701299%,Team,
0xA6f2a1562aa1919cC038838c49fDbFB03E11253D,0.1298701299%,Team,
0x47A867bedC0FBb41FfCabF11Ff8524D9F04f7658,0.1298701299%,Team,
0x53DC326e1eDb65200E3105735454c7bBd06193Ae,0.1298701299%,Team,
0x1bCc777aEfB23f7D5B84cE30621064d8Dfb05B28,0.1298701299%,Team,
0x134f8A0CD9574fba665b7495F9C60E3BEf2ca683,0.1298701299%,Team,
0x2848c0260581133973343523ed2041Ceba8B986e,0.1298701299%,Team,
0xc15A0E2FA24B22F6151a9731b99FE8eDE26967eA,0.1298701299%,Team,
0xe366d247C533619780D7671571CAd8A6C4E72805,0.1298701299%,Team,
0x7d26dc481B926146647627aF8052c1d5F87C16Cc,0.1298701299%,Team,
0x20F7F7b94b2832b011cBc4EFeB889afCd3F9009f,0.1298701299%,Team,
0xe83353607ae958e6A2DA7859C16d977f6D13fE37,0.1298701299%,Team,
0x2DE073bD1728F6674a2569EDFf12756BFf04B0b7,0.1298701299%,Team,
0x8cd041B04CEC85A59DFAedee414Bcc304e180c2a,0.1298701299%,Team,
0xad20DDF41932716adC26C910E954D7E99A078A44,0.1298701299%,Team,
0xd9EBc885674a93a7c119f37a6ABF9dBED84E1ff8,0.1298701299%,Team,
0xFa20C5976dD7e538Ef7B31507d685cC24F8bC1C6,0.1298701299%,Team,
0x5f6e21da7F6db60Ce39Bf68D237C6B34abed680C,0.1298701299%,Team,
0x76aea332D1e86BA9643a818d004d4224D227c6c0,0.1298701299%,Team,
0x5600c6fE0A4b3ca56d3c8864d0b60a472881373A,0.1298701299%,Team,
0x38A8009d0255af0b033De86a96B5FDF3b06Beea4,0.1298701299%,Team,
0xbb610f103dBDBd7596857918B1f0AAdcd4743877,0.1298701299%,Team,
0x87eD7924f5221a32f1a3B2201a612f09fbB68e9c,0.1298701299%,Team,
0x935Bcd2d8BB92eb0B06e6832b45880CF35F478fF,0.1298701299%,Team,
0x4c7968090a07e2F2994F26290524ac6a0542e208,0.1298701299%,Team,
0x4177d4278e30d6d2B3036A8dc21B94A6369D3412,0.1298701299%,Team,
0xF80e551CB2E5c86707c2350Da19987954E60cAb3,0.1298701299%,Team,
0xDCC74cBc0fC58Fa5e9949607c9484FA1fCAC3710,0.1298701299%,Team,
0x4363A6EE36F9184b7f8CCDd1A737a79d69ff3F8D,0.1298701299%,Team,
0x3d727ef461376EFC7834A57C059215C91E676405,0.1298701299%,Team,
0xb41a4c00f8c47e2d47931eeec9d57ce9ccbb87c0,0.0032188841%,Vanguards Holders,
0x5d7a6fb0aaa4b79c93dcd7a43039c49ab83bc995,0.0922746781%,Vanguards Holders,
0xea53c11fbf846f9e89f86bfc20ca587bb762b42e,0.0042918455%,Vanguards Holders,
0x660e3daed6b12c07a2f94831b26f7f57d1999297,0.0010729614%,Vanguards Holders,
0x0c1a500277017a7a01a4ae67f7baca8203225c71,0.0010729614%,Vanguards Holders,
0x4da17a2549563dc28deb3c62c8c1295cc91fd5cb,0.0128755365%,Vanguards Holders,
0xed322e0b84e989dae47e2a8eb6f912daf6229a0a,0.0064377682%,Vanguards Holders,
0x0ed0898b70d4e145321f477a88550ed7c4313c5a,0.0021459227%,Vanguards Holders,
0x3eb10310776e35d00485fa79c10e0a18d93f603b,0.0021459227%,Vanguards Holders,
0x3c4de66c2a15160201a98c981de157bf59f3a297,0.0032188841%,Vanguards Holders,
0x4e353b58e894110996fa7fd88e23a8c2f5f4c3f0,0.0021459227%,Vanguards Holders,
0x227ebd6aac2d4fda497c41fe3877ae2dcfaf723a,0.0010729614%,Vanguards Holders,
0x513b716f9cd5ea4b1c98892f9e6cb0aab64014d1,0.0042918455%,Vanguards Holders,
0xa94b400442e8182f0b13a52ca2d6d496dae2a35b,0.0021459227%,Vanguards Holders,
0x8cb35f081bef4ec451f61e95cf275fd95e3e4ea9,0.0021459227%,Vanguards Holders,
0xb357a57f181cf2ddd31eb052457f191280739988,0.0010729614%,Vanguards Holders,
0x354bab4d9191375da145e5bc3c1f67e6d3d70231,0.0010729614%,Vanguards Holders,
0xa53f02c5ae9d11281df4855f63a833b201d339bc,0.0053648069%,Vanguards Holders,
0xc77a6d5aae9d965fcacd71140e2f1fe83afa57d6,0.0075107296%,Vanguards Holders,
0xdef108aa28f398eccd5353d6c1a20250bae4f924,0.0010729614%,Vanguards Holders,
0xf97e1da1b688dd6a6f1cac2746ddf242de6ca172,0.0139484979%,Vanguards Holders,
0x9c46d801f2e88ba453038bea821babaf9bbb57dd,0.0064377682%,Vanguards Holders,
0x39c8b7ef9587f31c5c26b8717b4720ed51912d7c,0.0064377682%,Vanguards Holders,
0xbf119a5069a5dc86a3cb1859a14483b1b14e6bd2,0.0010729614%,Vanguards Holders,
0xc4b3aafff293b99f5d26beee57dde3df83f458a1,0.0010729614%,Vanguards Holders,
0x68df438a6b4044372111321627e81514b2663fa3,0.0021459227%,Vanguards Holders,
0xfaefcb66eaadaa24b98de173fbecdef03e6b6bdc,0.0096566524%,Vanguards Holders,
0x870d0426059f9a16f2f7af069f8abcaeefbda6f1,0.0032188841%,Vanguards Holders,
0x92619f57b6d4d6471b047c866074d9958225a694,0.0042918455%,Vanguards Holders,
0x2a9b156a58ff3abee825568668a2f178f142cc04,0.0021459227%,Vanguards Holders,
0x21fd9655876eff4523fa9363cee54be869a78443,0.0010729614%,Vanguards Holders,
0xe69b290ff19f29401cdc47c1b46250f2d204988e,0.0010729614%,Vanguards Holders,
0xf73c800b097cf6c610131a1237768a939d145596,0.0053648069%,Vanguards Holders,
0x1a318b92a1818e1d3170ebf9a77b25deb000f3a5,0.0010729614%,Vanguards Holders,
0x8e4bed28ea483140d361a84a64c9b6ae270c091f,0.0085836910%,Vanguards Holders,
0x5708df8c01d2bcec22dfa66c501e27c197ba2470,0.0010729614%,Vanguards Holders,
0xb163ad1209f21913590e140e0c663c25a09ecfe6,0.0064377682%,Vanguards Holders,
0xd42b85482792f189056661242923e7d49b345a19,0.0064377682%,Vanguards Holders,
0x7256a7b4107c35122fcdf66de033c3e7af51c651,0.0032188841%,Vanguards Holders,
0x538b4f215975b1b3d453a9254a5b17a51ee3766e,0.0032188841%,Vanguards Holders,
0x61a1bc4da00d68166faa576b01b7e4cd6d638011,0.0010729614%,Vanguards Holders,
0x6f3da41603854f27e8b4cc63bf8ea6f4f2b8db66,0.0021459227%,Vanguards Holders,
0x5826914a6223053038328ab3bc7ceb64db04ddc4,0.0021459227%,Vanguards Holders,
0x7d26dc481b926146647627af8052c1d5f87c16cc,0.0042918455%,Vanguards Holders,
0x6bec5efa9929d6b430a496f2888ed80ab52bfc27,0.0021459227%,Vanguards Holders,
0xe83353607ae958e6a2da7859c16d977f6d13fe37,0.0032188841%,Vanguards Holders,
0x2cb50b2f9a4456bee0c82fbf6ae542c0296f2b7b,0.0053648069%,Vanguards Holders,
0x243c2eb069cab913a4e2747eb27ad4e593507e00,0.0032188841%,Vanguards Holders,
0xc403afb75a81e1015ef04e3697925fc320367379,0.0075107296%,Vanguards Holders,
0x4064b631cd825718c9355e5327609d7dd4ca7f42,0.0032188841%,Vanguards Holders,
0x6a04ae605a45ff1e69c4110254b105e1fa62dc56,0.0010729614%,Vanguards Holders,
0x3ba8b7c21cf636d6e680058c2822156d12983921,0.0042918455%,Vanguards Holders,
0x24b0d654496018ace0d714d6455e9f8cc886de4c,0.0053648069%,Vanguards Holders,
0xc72d93ee36d89552af4256ada628720b0226aeb6,0.0010729614%,Vanguards Holders,
0x51267c6bf5f0f6f8903352302843d5c0504ac2d4,0.0021459227%,Vanguards Holders,
0x1641a6a1d957ee0ae35adcc57bba92ba7a30a838,0.0010729614%,Vanguards Holders,
0x5f86bb0da79d989f670a7519c7f4730b597dcfb9,0.0021459227%,Vanguards Holders,
0xdce1d000b05a6dd6d063409d6c48e150b31afefa,0.0042918455%,Vanguards Holders,
0x041c53268e9f8247a90d8a7690c9469a01f072cc,0.0021459227%,Vanguards Holders,
0xf1600eb68730bc980bbdb30d20d8676c85a050ee,0.0010729614%,Vanguards Holders,
0x0c1d4360c2a6957cedcd3f7e29448df511ec8f00,0.0321888412%,Vanguards Holders,
0x66d7472b717277277bf8ea3b1d07922731d8ea35,0.0010729614%,Vanguards Holders,
0x28e5090405232336ebc1eda14511af7c315c5608,0.0032188841%,Vanguards Holders,
0x2848c0260581133973343523ed2041ceba8b986e,0.0010729614%,Vanguards Holders,
0xd088077b0447655eb55ce7a8d2baa65283fe452d,0.0010729614%,Vanguards Holders,
0x2e1b184870a6c0e6406fd8ee353ba87847bab2ba,0.0010729614%,Vanguards Holders,
0xfdfbcedac0afa43ba336b657199e6f77d657c25d,0.0010729614%,Vanguards Holders,
0xc40d0edccf932e90d43c86fec23a7f059b051476,0.0021459227%,Vanguards Holders,
0x81ff94136298dd096c4c6716248fe89bc3beade9,0.0010729614%,Vanguards Holders,
0x11da4ea754630d5580774eb17647c7315294279a,0.0010729614%,Vanguards Holders,
0x2b0666f128374ce8f30d7560bdaf2bc14e079da8,0.0042918455%,Vanguards Holders,
0x8180d3f38e53ab5c6555ce4cad13a00c68480139,0.0010729614%,Vanguards Holders,
0x6182ac905c30d824ea2994cad610e17431baca80,0.0010729614%,Vanguards Holders,
0x51ae7459deb148fc0174f5cd82739112c5952de2,0.0010729614%,Vanguards Holders,
0x94ff06c619fc2184e38e087a313bb67348659716,0.0085836910%,Vanguards Holders,
0x4c2df85f40aa2195f73d7dffb4667c4443d30793,0.0107296137%,Vanguards Holders,
0xfef94c443e10274787cf3b8fe5df6c410f848cf9,0.0021459227%,Vanguards Holders,
0xaa61b6e50321ff63ba5610c0f57eba388deec9be,0.0021459227%,Vanguards Holders,
0x25a2f8941eb7a5076f492cad7313287340a259d1,0.0010729614%,Vanguards Holders,
0x58810874d8bef1d9e6f170b5ce55bc8462898297,0.0032188841%,Vanguards Holders,
0x5deafdcd74d10bf8ca739342f12d8c379edbd4d5,0.0010729614%,Vanguards Holders,
0x294545af9f2828fadb73f4d9df8a896ee6a84e9d,0.0032188841%,Vanguards Holders,
0x6d66f7dd72f63428a23cc1494902c3ee17a92210,0.0032188841%,Vanguards Holders,
0x74c1f1f5f9e2d3ec503c772d20ceeed88f0f8867,0.0032188841%,Vanguards Holders,
0x51dec6efbbd5342697832470f2abaeca9c9bbb4d,0.0042918455%,Vanguards Holders,
0xa2c11c0f1cfd4079532afe99fdc7c24c87b99ac6,0.6791845494%,Vanguards Holders,
0x5153c4df99b263f50a3b006f91a1bf15d1582d30,0.0021459227%,Vanguards Holders,
0x5abb7f8696081355e1c53e123c821504ec4e3b80,0.0021459227%,Vanguards Holders,
0x775214284ee2c3c8754c77f1dc7ec9b20cd502bf,0.0053648069%,Vanguards Holders,
0x61558e198bdfa6a19ea0ff0e5a2f1e23dde129f1,0.0010729614%,Vanguards Holders,
0xaa8e8e53ac17eb5ce235fb20479ff3b3456ce5a3,0.0010729614%,Vanguards Holders,
0x4dd5e64c80e3aae810d085efb0409bc8562c34c7,0.0032188841%,Vanguards Holders,
0xd585e0cd9be7179589e07b4edc3e9bbd50c491ed,0.0021459227%,Vanguards Holders,
0x69254ed04ba89628b261e9f725861b984fe4ba36,0.0010729614%,Vanguards Holders,
0xf15035c951cacc48a6e2a9bd1d3e4ad060cf85f9,0.0010729614%,Vanguards Holders,
0xf14b486df8285ee482ecca829f6ce8573c1d7c73,0.0171673820%,Vanguards Holders,
0x6b8f2d2390334e39435cfec1be575a727e1323b3,0.0032188841%,Vanguards Holders,
0x2ee8f413379638159bdcb63ffc2f7aeb3bec788b,0.0021459227%,Vanguards Holders,
0xf68b6102fcf6edf9ca65a26093741f8f7dafc922,0.0053648069%,Vanguards Holders,
0x3760632228ac8c97f07cabc4ade417d2b0958e35,0.0053648069%,Vanguards Holders,
0x164d1d41a6e485f122c22169ea821e985089c29e,0.0010729614%,Vanguards Holders,
0xf844d2ec10b474bf3b5a9be2c6d1175f93d7ab69,0.0064377682%,Vanguards Holders,
0xc8c425e66d1da55ffdb77d12673952913ecfd159,0.0021459227%,Vanguards Holders,
0x6c6046f29b6c28f83f72217bb78d3a369edc0a79,0.0010729614%,Vanguards Holders,
0x4a851b377a4ee0d2e2b56bc2095e3b13ffe0a837,0.0010729614%,Vanguards Holders,
0x46a9787fdd33b546482fcd47acaaa1a72a83ea4a,0.0021459227%,Vanguards Holders,
0x536478c8a9049f9cb0d34764a16b1f8921a7c4e1,0.0021459227%,Vanguards Holders,
0x904e9db669a75c535e68c0aed94a1ad2103df56c,0.0042918455%,Vanguards Holders,
0xd69bde3e8615b9afd581f80c0260f88b94d35ce0,0.0010729614%,Vanguards Holders,
0x34342d2bcdfde1fb27ff0004138a0bd06ad3a68f,0.0096566524%,Vanguards Holders,
0xa3d0ba836aeb1a21918836481e66b240a3ef240f,0.0032188841%,Vanguards Holders,
