Address,Allocation %,Type ,Sum
0xF80aa0272DAB45e54b1DC2b4473c589A0aAde92A,10%,dev,98%
0x1e38d75d68d8719dd2ffdc9b5f2ec126f3724189,2%,token holder,
0xfd6b44c70f693a888c340c92ed0804bd53d93b13,2%,token holder,
0x6cedbcf28759056190d11344daa8874449fcab2b,2%,token holder,
0x82205e561a783bf0dd5f5a77e2d7e82933691393,2%,token holder,
0xc509d36fa17bae3417f2e85aa5ff1a20ff91f945,2%,token holder,
0x8c6157310c3e423b5e5467cf417fa62d8728115f,2%,token holder,
0xb647e62f2e40a37fbca03711778730622a163ce7,2%,token holder,
0xdbd0111a06f38a39a9bddcd179c67ee54d02858b,2%,token holder,
0x53a71c579ff535a6ecb413dea70992ec1c9b2b86,2%,token holder,
0x82bb42919c1765c4a730732c4d4fd198cfb4a973,2%,token holder,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,2%,token holder,
0x47eebe804f3f5b291f4b8be6ddd9d1edd33c99ef,2%,token holder,
0xcebda550ff74f50e2b4941b2824c99aff9bda3a6,2%,token holder,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,2%,token holder,
0x6d9f1a927cbcb5e2c28d13ca735bc6d6131406da,2%,token holder,
0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,2%,token holder,
0xb76167cdde70c7ca6c919f9aea6d9fe715837d52,2%,token holder,
0x4abf172e4c3fd51aa30b6b2112e03f382fd741f0,2%,token holder,
0x6cedbcf28759056190d11344daa8874449fcab2b,2%,token holder,
0x2dae0e240dcd87291e3c286a4839e562e78da248,2%,token holder,
0x8e036e8b73d02325fbf57d7b1e68f802da5254fa,2%,token holder,
0x70c594ebdeb05a36e4b70cd64a1ec8b857fba750,2%,token holder,
0xe242b9daaf3af2758d2b25eeaedef89ee18e0eb2,2%,token holder,
0xf022377004ec15ed8dafd624ed8a88a362f28b07,2%,token holder,
0x45c7079ed67034855d0fc31d2e8bf388cfb478ce,2%,token holder,
0x02482fa9b72a7b47894fb816ba86c6e66a76222f,2%,token holder,
0x31cda09d5ac1f8125939a854a4c76b343c4dbe0e,2%,token holder,
0x3e6ae4c225dd547f9c9b171603bbb94c0a842d8f,2%,token holder,
0x884539e6aff33b28c90fa2a92cc76629333bcb09,2%,token holder,
0x1e5d5426c1be85affdb96bb7a5bf3e244a90d040,2%,token holder,
0x382ffce2287252f930e1c8dc9328dac5bf282ba1,2%,token holder,
0xc4753f3109a393b3490a821649028e4fca38310a,2%,token holder,
0xbecb867a8f1386a3c02a667ae0ff9a7fbafea9f3,2%,token holder,
0x6d9f1a927cbcb5e2c28d13ca735bc6d6131406da,2%,token holder,
0xad01c20d5886137e056775af56915de824c8fce5,2%,token holder,
0x4e111a7b56731f230ce88b2188dec3d3d4d31fe7,2%,token holder,
0x7b81ba0453727753d654f9c52aece31a85ac2c3a,2%,token holder,
0xd4adb7469b670c31408befce25c4d876d935cacd,2%,token holder,
0x9b4c5983bebc33a6d33f00746b42422fc84598a6,2%,token holder,
0xe3684065b16051c0ccae3544dc0a358d8022b796,2%,token holder,
0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,2%,token holder,
0xFB985A87E036ad424e809eCa975E29a69aF0bd34,2%,token holder,
0x279204E51C2151685A49F653e7bcee35B9e242d1,2%,token holder,
0x88c5E70ee7c909eebB424cdfeb19bd1A8e680FB0,2%,token holder,
