Address,Allocation %,Type ,Sum
0xa1efcde1B4Dc33a57b05af24973b4f61A26C38Aa,3.33%,Dev,100.00%
0x18AF6d5D3dBfcdb6Ec370B85980941d45E22E7AC,3.34%,Dev,
0x6899f1629e8aEC73E0c261b8B6f088A9aC9Ef61F,3.33%,Dev,
0xE3EC898C04EBf1b95b82de6340fD208771679812,5.71%,Liq Mining Campaign,
0x78719E609649690b21F4871f1c4018176061fd5b,4.02%,Liq Mining Campaign,
0x4EABddc14215a76842D91a409B7aE54a9554732f,4.33%,Liq Mining Campaign,
0xdCCd7161353E8A93aD1A4dcDf206583EFeCe0463,3.18%,Liq Mining Campaign,
0xEDF7f59bD672510076aF70595558CAAa4A3defce,3.45%,Liq Mining Campaign,
0xC34359Fab3d2DF508e4F994Af5a6418C2dbB132d,3.70%,Liq Mining Campaign,
0x9D91B3D7990f16c86b4169f7D020E30E9B8C7Bb3,2.55%,Liq Mining Campaign,
0x464789DF1531341b4B7F7b69A46CE5317130169F,1.95%,Liq Mining Campaign,
0x23727b54163F63CffdD8B7769e0eCb13Df253b4e,2.21%,Liq Mining Campaign,
0x39be8fAD61f5Fa0cDFA2FC97C30a59833F58705D,1.81%,Liq Mining Campaign,
0xB65A842dea36Cd9B0862C8774cDCB1495A145AB3,2.25%,Liq Mining Campaign,
0xF05CCa4013Cc72c14bd9694A0932efd18A044A10,1.56%,Liq Mining Campaign,
0x6E9491e2e2E97f2d4b4C7812bb17141311114B30,1.43%,Liq Mining Campaign,
0x889CEF5559EB8b6a1dBCC445fB479e5530c37D8f,2.00%,Liq Mining Campaign,
0x7103dF3a9bfd4Aca3DD9B59D20Ff48f345ff591E,1.31%,Liq Mining Campaign,
0x690C684CcD1317DFD45f863a1050f068A8ae361F,1.08%,Liq Mining Campaign,
0xA80D3EDF3e358B2633fe7C0E419130BD7CE3d78d,1.00%,Liq Mining Campaign,
0x2c61a1fc43a66a57d0C889BeB5d47EEF5Feb99F3,0.83%,Liq Mining Campaign,
0xb814C7583353D7c472E55964AD358b5802388050,0.87%,Liq Mining Campaign,
0x96379aA5e547F14459C894b634eABae71C8009Ba,0.45%,Liq Mining Campaign,
0xE80d2b35a3552B8ff146114bCF900F2cf1872AF8,0.79%,Liq Mining Campaign,
0xb09d930e97705b317EA7f2BBd6566465A8897405,0.78%,Liq Mining Campaign,
0x7a447C0A0cA7a786224BC2D27347b257e246eB1d,0.78%,Liq Mining Campaign,
0x098dDb5F48AD1DAA5f691c4b2AD6360e45a22747,0.84%,Liq Mining Campaign,
0xA30d10cb8680A0892E3BAEa0056c8f28bA020aA8,0.63%,Liq Mining Campaign,
0x91021825C48A2900D0f116932400255f5f53D762,0.59%,Liq Mining Campaign,
0xD41fd935b41A822b343f641AC1390895c0fe45e3,0.52%,Liq Mining Campaign,
0x4b89E005c3B30fec8B5c686f8a146B86804AeaA1,0.33%,Liq Mining Campaign,
0x659bE2a0489779EeCfAdEf9963f63b00a75172AA,0.40%,Liq Mining Campaign,
0x316E8f7B9A3F9E5AaBB4792e14954CB047E7508d,0.26%,Liq Mining Campaign,
0xB8B1be69A221Ce7b747ce71f262C0B18Bc60df19,0.53%,Liq Mining Campaign,
0xb62F1c4F32a0B8A141a52C6153933F1449743c0E,0.40%,Liq Mining Campaign,
0x055109C45aD0EcF7F767C3467Ca75f00b8aA591f,0.35%,Liq Mining Campaign,
0x7Ac42E3E2E7fc2c8D2F766Eebe392438D9e81C98,0.32%,Liq Mining Campaign,
0xc743eE41B3D0f468F14cB4A74B520a73E5CC852C,0.20%,Liq Mining Campaign,
0x51187baC0b31a74d909eB4da32F0913f17737C8D,0.33%,Liq Mining Campaign,
0x00826B9fb82512CCAD9c6c1925Ee64A1cFbFcd12,0.33%,Liq Mining Campaign,
0x30D95514929FaD2A192D50F2cf7a520533a76146,0.27%,Liq Mining Campaign,
0xCEa9D7Ee9121e01062F4Bf5d35826A5465AeB1B4,0.27%,Liq Mining Campaign,
0xe27D97Cc652a823956bB078D6B30CE84Bb19E508,0.23%,Liq Mining Campaign,
0x014467Cc3F40ef555a27651e860BD92f92D69125,0.28%,Liq Mining Campaign,
0x20F2eFB0507A3BEC555EB989Da58875cfE064056,0.15%,Liq Mining Campaign,
0x82784592893afcDec068050c6a10A7d0233293f9,0.29%,Liq Mining Campaign,
0x96BEF3f314Df63009585b477C7eEcA1367Bc4AD0,0.11%,Liq Mining Campaign,
0x0942ba79A4961A4aD48174f583BB2B25949eef6e,0.18%,Liq Mining Campaign,
0xCAEd86A152d480DFdD626a9E60F099c281583eAA,0.25%,Liq Mining Campaign,
0xAeFA493135bBc7d3584a777903FD3DeA096329C9,0.24%,Liq Mining Campaign,
